Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,0.00,4174656.48,0.00,4174656.48,39 B,20 B,58 B,54 B,(15 B)
12M 2014,0.00,11383163.23,0.00,11383163.23,102 B,28 B,129 B,121 B,(33 B)
12M 2015,3.42,289.60,3.42,289.60,98 B,145 B,243 B,(356 B),764 B
12M 2016,2.12,309.46,2.12,309.46,149 B,161 B,310 B,253 B,466 B
12M 2017,0.83,334.41,0.83,334.41,513 B,116 B,629 B,511 B,447 B
12M 2018,0.38,336.83,0.38,336.83,522 B,72 B,595 B,507 B,438 B
12M 2019,0.43,256.95,0.43,256.95,47 B,586 B,633 B,632 B,599 B
12M 2020,0.31,167.30,0.31,167.30,11 B,678 B,689 B,688 B,318 B
12M 2021,0.34,148.61,0.34,148.61,16 B,674 B,690 B,686 B,309 B
12M 2022,0.36,138.02,0.36,138.02,37 B,675 B,713 B,710 B,285 B
12M 2023,0.36,103.11,0.36,103.11,35 B,563 B,598 B,592 B,190 B
12M 2024,0.68,94.41,0.68,94.41,35 B,573 B,608 B,603 B,249 B
