Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan Kas Lainnya Dari Aktivitas Operasi,Pembayaran Kas Untuk Beban Operasi Lain,Pembayaran Untuk Beban Usaha,Penerimaan Penghasilan Bunga,Pembayaran Provisi Dan Beban Bunga,Pembayaran Beban Pajak,Penerimaan (Pembayaran) Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Investasi Pada Entitas Asosiasi,Penerimaan (Penempatan) Pada Investasi Jangka Pendek,Penempatan,Penerimaan,Total Penerimaan (Penempatan) Pada Investasi Jangka Pendek,Penempatan Pada Investasi Jangka Panjang,Penempatan,Penerimaan,Total Penempatan Pada Investasi Jangka Panjang,Penerimaan Hasil Penjualan Aset Tetap,Pengembalian Aset Dalam Penyelesaian,Penerimaan Bank Yang Dibatasi Penggunaannya,Perolehan Aset Tetap,Penjualan Aset Tetap,Penambahan Properti Investasi,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan:,Utang Bank Jangka Pendek,Utang Lain-Lain,Utang Dari Supplier,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Jangka Pendek,Utang Lembaga Keuangan Jangka Panjang,Dana Syirkah Temporer,Modal Ditempatkan Dan Disetor Penuh,Liabilitas Sewa,Utang Sewa Pembiayaan Jangka Pendek,Utang Sewa Pembiayaan Jangka Panjang,Penawaran Umum Perusahaan,Tambahan Modal Disetor,Total Penerimaan:,Pembayaran:,Utang Bank Jangka Pendek,Utang Lain-Lain,Utang Bank Jangka Panjang,Pembayaran Utang Bank,Utang Sewa Pembiayaan,Utang Lembaga Keuangan,Utang Pihak Berelasi,Penurunan Modal,Pembayaran Agio Saham,Penerbitan Saham Tresuri,Biaya Emisi Saham,Total Pembayaran:,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2014,4546570366.000000,290597805293.000000,-261808803633.000000,-8514627947.000000,,-6885024117.000000,,263554585.000000,-9097433151.000000,-8900664.000000,,4546570366.000000,-74522506905.000000,-5250000000.000000,-7928731116.000000,,,-7928731116.000000,-4382202300.000000,,,-4382202300.000000,682645375.000000,,,-54035176010.000000,,-849936480.000000,-2759106374.000000,-74522506905.000000,73691491716.000000,,60589494167.000000,5250000000.000000,,14875847229.000000,,,,,,,,,,80715341396.000000,,,,-5272328943.000000,,-263737224.000000,-528549029.000000,-959234484.000000,,,,,-7023849680.000000,73691491716.000000,3715555177.000000,6235964.000000,4682109982.000000,8403901123.000000
12M 2015,-97692578580.000000,675072494499.000000,-698568192917.000000,-17484439738.000000,,-15299766941.000000,,1862428350.000000,-24596422911.000000,-18678678922.000000,,-97692578580.000000,-468821755076.000000,,2007295080.000000,,,2007295080.000000,-19589797700.000000,,,-19589797700.000000,461458334.000000,,,-277320944734.000000,,,-174379766056.000000,-468821755076.000000,1156881777500.000000,,,,,131590850200.000000,,,29910847200.000000,362500000000.000000,,,,,753750000000.000000,1277751697400.000000,,-9521220660.000000,-5250000000.000000,-8696494073.000000,,-318552414.000000,-1102802012.000000,-53984430976.000000,,,,-41996419765.000000,-120869919900.000000,1156881777500.000000,590367443844.000000,48515878.000000,8403901123.000000,598819860845.000000
12M 2016,-201727333811.000000,807761003674.000000,-908158990321.000000,-51831077393.000000,,,,9544643889.000000,-33432476200.000000,-25610437460.000000,,-201727333811.000000,-358013740850.000000,,,-16766039140.000000,9000000000.000000,-7766039140.000000,,,23972000000.000000,23972000000.000000,768910271.000000,,,-370022437071.000000,,,-4966174910.000000,-358013740850.000000,18604765809.000000,,377524359769.000000,,,62750000000.000000,,,-29910847200.000000,,,,,,,410363512569.000000,,-358344515990.000000,,-24549156021.000000,,-1840375382.000000,-2616958196.000000,,,,-4407741171.000000,,-391758746760.000000,18604765809.000000,-541136308852.000000,-236154509.000000,598819860845.000000,57447397484.000000
12M 2017,-157257528055.000000,1318297625688.000000,-1330626374343.000000,-63965158834.000000,,,,3069913471.000000,-48306737384.000000,-35726796653.000000,,-157257528055.000000,-91117596726.000000,,,,,,,,,,,,15470260885.000000,-26423277649.000000,,,-80164579962.000000,-91117596726.000000,308908991566.000000,,1126227978620.000000,,,5998433525.000000,,,,,,,,,,1132226412145.000000,,-767734541698.000000,,-48529692285.000000,,-3446800985.000000,-3606385611.000000,,,,,,-823317420579.000000,308908991566.000000,60533866785.000000,-342730704.000000,57447397484.000000,117638533565.000000
12M 2018,3318013910.000000,904866998025.000000,-811172981320.000000,-43201387490.000000,,,,3650070595.000000,-46080671985.000000,-4744013915.000000,,3318013910.000000,1672770624.000000,,,,,,,,,,3301500005.000000,,4631196475.000000,-6259925856.000000,,,,1672770624.000000,-35404929213.000000,,1222960444846.000000,,,,,,,,,,,,,1222960444846.000000,,-1210474729970.000000,,-39959227724.000000,,-4920712630.000000,-3010703735.000000,,,,,,-1258365374059.000000,-35404929213.000000,-30414144679.000000,11053064.000000,117638533565.000000,87235441950.000000
12M 2019,-134157324097.000000,418210596741.000000,-521132341214.000000,-15165181952.000000,,,,544881646.000000,-13656524479.000000,-2958754839.000000,,-134157324097.000000,49913823429.000000,,,,,,,,,,50208796872.000000,,,-294973443.000000,,,,49913823429.000000,-1955958128.000000,,2000000000.000000,,,,,,,,,,,,,2000000000.000000,,-1000000000.000000,,-19693070.000000,,-2635577146.000000,-300687912.000000,,,,,,-3955958128.000000,-1955958128.000000,-86199458796.000000,,87235441950.000000,1035983154.000000
12M 2020,-58925903424.000000,325212830470.000000,-62587191301.000000,-848529490.000000,,,,-255635672531.000000,-64771006196.000000,-296334376.000000,,-58925903424.000000,3145276757.000000,,,,,,,,,,,5080000000.000000,,-1934723243.000000,,,,3145276757.000000,55925267545.000000,,,,,,,,,,,,,,,,,-35019092525.000000,,91744245057.000000,,-799884987.000000,,,,,,,55925267545.000000,55925267545.000000,144640878.000000,-333049375.000000,1035983154.000000,847574657.000000
12M 2021,-28969176542.000000,159695085892.000000,-148401748912.000000,-23947931528.000000,,,,-610112592.000000,-3907874687.000000,-11796594715.000000,,-28969176542.000000,28878433616.000000,,,,,,,,,,175909090.000000,28702524526.000000,,,,,,28878433616.000000,4375722240.000000,,1386970500.000000,3105157419.000000,,,,,,,,,,,,4492127919.000000,,,,,,-116405679.000000,,,,,,,-116405679.000000,4375722240.000000,4284979314.000000,-451480147.000000,847574657.000000,4681073824.000000
12M 2022,-4704662477.000000,652360239079.000000,-658893810610.000000,-33864265426.000000,,,,,,137341548.000000,35555832932.000000,-4704662477.000000,-473851334.000000,,,,,,,,,,,,,-473851334.000000,,,,-473851334.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5178513811.000000,3503882402.000000,4681073826.000000,3006442417.000000
12M 2023,11396197114.000000,890030539991.000000,-794938690122.000000,-21501600918.000000,,,,,-2908312437.000000,,-59285739400.000000,11396197114.000000,-467659500.000000,,,,,,,,,,,,,-467659500.000000,,,,-467659500.000000,-4412777084.000000,,,,,,,,,,-53490250.000000,,,,,-53490250.000000,,-4359286834.000000,,,,,,,,,,,-4359286834.000000,-4412777084.000000,6515760530.000000,-2980271105.000000,2732668735.000000,6268158160.000000
