Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,3092658000000.000000,-2691644000000.000000,401014000000.000000,-104782000000.000000,-81794000000.000000,-50161000000.000000,-35541000000.000000,62714000000.000000,-104782000000.000000,296232000000.000000,-147122000000.000000,72000000.000000,-147037000000.000000,-157000000.000000,-147122000000.000000,149110000000.000000,-37924000000.000000,-37924000000.000000,,-37924000000.000000,111186000000.000000,113543000000.000000,224729000000.000000,111186000000.000000,111191000000.000000,-5000000.000000,111186000000.000000,224729000000.000000,224734000000.000000,-5000000.000000,,224729000000.000000
12M 2013,3534018000000.000000,-2929019000000.000000,604999000000.000000,-226169000000.000000,-145608000000.000000,-80320000000.000000,-55837000000.000000,55596000000.000000,-226169000000.000000,378830000000.000000,-127572000000.000000,3579000000.000000,-132459000000.000000,1308000000.000000,-127572000000.000000,251258000000.000000,-47697000000.000000,-47697000000.000000,,-47697000000.000000,203561000000.000000,163063000000.000000,366624000000.000000,203561000000.000000,203565000000.000000,-4000000.000000,203561000000.000000,366624000000.000000,366628000000.000000,-4000000.000000,,366624000000.000000
12M 2014,3367873000000.000000,-2803580000000.000000,564293000000.000000,-143471000000.000000,-131720000000.000000,-79004000000.000000,,67253000000.000000,-143471000000.000000,420822000000.000000,-158798000000.000000,,-158798000000.000000,,-158798000000.000000,262024000000.000000,-47129000000.000000,-63567000000.000000,16438000000.000000,-47129000000.000000,214895000000.000000,190927000000.000000,405822000000.000000,214895000000.000000,214895000000.000000,,214895000000.000000,405822000000.000000,405825000000.000000,-3000000.000000,,405822000000.000000
12M 2015,3583541000000.000000,-2810585000000.000000,772956000000.000000,-338913000000.000000,-159767000000.000000,-106259000000.000000,,-72887000000.000000,-338913000000.000000,434043000000.000000,-239138000000.000000,,-239138000000.000000,,-239138000000.000000,194905000000.000000,-35906000000.000000,-52839000000.000000,16933000000.000000,-35906000000.000000,158999000000.000000,109282000000.000000,268281000000.000000,158999000000.000000,159014000000.000000,-15000000.000000,158999000000.000000,268281000000.000000,268296000000.000000,-15000000.000000,,268281000000.000000
12M 2016,3259200000000.000000,-2560584000000.000000,698616000000.000000,-265615000000.000000,-142078000000.000000,-196585000000.000000,,73048000000.000000,-265615000000.000000,433001000000.000000,-293852000000.000000,,-293852000000.000000,,-293852000000.000000,139149000000.000000,-36224000000.000000,-42345000000.000000,6121000000.000000,-36224000000.000000,102925000000.000000,24017000000.000000,126942000000.000000,102925000000.000000,102917000000.000000,8000000.000000,102925000000.000000,126942000000.000000,126934000000.000000,8000000.000000,,126942000000.000000
12M 2017,3662810000000.000000,-3100253000000.000000,562557000000.000000,-272367000000.000000,-125860000000.000000,-188505000000.000000,,41998000000.000000,-272367000000.000000,290190000000.000000,-269760000000.000000,,-269760000000.000000,,-269760000000.000000,20430000000.000000,-11796000000.000000,-18879000000.000000,7083000000.000000,-11796000000.000000,8634000000.000000,197858000000.000000,206492000000.000000,8634000000.000000,8639000000.000000,-5000000.000000,8634000000.000000,206492000000.000000,206497000000.000000,-5000000.000000,,206492000000.000000
12M 2018,4467590000000.000000,-3935894000000.000000,531696000000.000000,-214643000000.000000,-110556000000.000000,-149591000000.000000,,45504000000.000000,-214643000000.000000,317053000000.000000,-257413000000.000000,,-257413000000.000000,,-257413000000.000000,59640000000.000000,-10899000000.000000,-21750000000.000000,10851000000.000000,-10899000000.000000,48741000000.000000,25734000000.000000,74475000000.000000,48741000000.000000,48723000000.000000,18000000.000000,48741000000.000000,74475000000.000000,74457000000.000000,18000000.000000,,74475000000.000000
12M 2019,4885875000000.000000,-4197484000000.000000,688391000000.000000,-193423000000.000000,-149742000000.000000,-147856000000.000000,,104175000000.000000,-193423000000.000000,494968000000.000000,-261675000000.000000,,-261675000000.000000,,-261675000000.000000,233293000000.000000,-47599000000.000000,-59131000000.000000,11532000000.000000,-47599000000.000000,185694000000.000000,-2443000000.000000,183251000000.000000,185695000000.000000,185695000000.000000,,185695000000.000000,183252000000.000000,183252000000.000000,,,183252000000.000000
12M 2020,3775530000000.000000,-3217408000000.000000,558122000000.000000,-197390000000.000000,-111101000000.000000,-130681000000.000000,,44392000000.000000,-197390000000.000000,360732000000.000000,-205664000000.000000,,-205664000000.000000,,-205664000000.000000,155068000000.000000,20767000000.000000,-41436000000.000000,62203000000.000000,20767000000.000000,175835000000.000000,61509000000.000000,237344000000.000000,175835000000.000000,175825000000.000000,10000000.000000,175835000000.000000,237344000000.000000,237334000000.000000,10000000.000000,,237344000000.000000
12M 2021,5378808000000.000000,-4258794000000.000000,1120014000000.000000,-286034000000.000000,-196518000000.000000,-190510000000.000000,,100994000000.000000,-286034000000.000000,833980000000.000000,-174578000000.000000,,-174578000000.000000,,-174578000000.000000,659402000000.000000,-173341000000.000000,-160417000000.000000,-12924000000.000000,-173341000000.000000,486061000000.000000,8104000000.000000,494165000000.000000,486061000000.000000,486062000000.000000,-1000000.000000,486061000000.000000,494165000000.000000,494166000000.000000,-1000000.000000,,494165000000.000000
