Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Tak Berwujud,Properti Investasi,Aset Pajak Tangguhan,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Bank Jangka Pendek,Liabilitas Keuangan Lainnya,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,14314000000.000000,,590954000000.000000,587505000000.000000,3449000000.000000,590954000000.000000,,,,,1631542000000.000000,,100190000000.000000,2337000000000.000000,,6087000000.000000,289000000.000000,781465000000.000000,3000000000.000000,,,,154967000000.000000,945808000000.000000,3282808000000.000000,,,2095080000000.000000,,197528000000.000000,986000000.000000,198514000000.000000,1684091000000.000000,83700000000.000000,28741000000.000000,26826000000.000000,,51624000000.000000,,4373000000.000000,,55997000000.000000,17211000000.000000,2095080000000.000000,419016000000.000000,,126361000000.000000,5833000000.000000,,,132194000000.000000,162805000000.000000,79120000000.000000,44897000000.000000,419016000000.000000,2514096000000.000000,,428599000000.000000,,10672000000.000000,,,10672000000.000000,65000000.000000,329375000000.000000,768711000000.000000,3282807000000.000000,4285992035.000000
12M 2013,,,119196000000.000000,,888049000000.000000,878716000000.000000,9333000000.000000,888049000000.000000,,,,,1767302000000.000000,,228803000000.000000,3003350000000.000000,,45575000000.000000,25440000000.000000,1157563000000.000000,4540000000.000000,,,,157109000000.000000,1390227000000.000000,4393577000000.000000,,,2096531000000.000000,,623921000000.000000,879000000.000000,624800000000.000000,1247809000000.000000,97608000000.000000,18032000000.000000,17912000000.000000,,52481000000.000000,,6785000000.000000,,59266000000.000000,31104000000.000000,2096531000000.000000,362587000000.000000,,139603000000.000000,10954000000.000000,,,150557000000.000000,41145000000.000000,121181000000.000000,49704000000.000000,362587000000.000000,2459118000000.000000,,718599000000.000000,509125000000.000000,214235000000.000000,,,214235000000.000000,61000000.000000,492439000000.000000,1934459000000.000000,4393577000000.000000,7185992035.000000
12M 2014,,,197776000000.000000,,792012000000.000000,787611000000.000000,4401000000.000000,792012000000.000000,,,,,2374717000000.000000,,215185000000.000000,3579690000000.000000,,65798000000.000000,25204000000.000000,1561125000000.000000,17403000000.000000,,,,193938000000.000000,1863468000000.000000,5443158000000.000000,,,2636139000000.000000,,704055000000.000000,1682000000.000000,705737000000.000000,1676006000000.000000,115719000000.000000,18144000000.000000,24181000000.000000,,63872000000.000000,,16601000000.000000,,80473000000.000000,15879000000.000000,2636139000000.000000,481110000000.000000,,224858000000.000000,30920000000.000000,,,255778000000.000000,,168386000000.000000,56946000000.000000,481110000000.000000,3117249000000.000000,,718599000000.000000,509125000000.000000,414761000000.000000,,,414761000000.000000,58000000.000000,683366000000.000000,2325909000000.000000,5443158000000.000000,7185992035.000000
12M 2015,,,24585000000.000000,,664315000000.000000,658451000000.000000,5864000000.000000,664315000000.000000,,,,,2061815000000.000000,,242722000000.000000,2993437000000.000000,,68433000000.000000,25186000000.000000,1873458000000.000000,46847000000.000000,4723000000.000000,,,436363000000.000000,2455010000000.000000,5448447000000.000000,,,2328260000000.000000,,258042000000.000000,1103000000.000000,259145000000.000000,1844368000000.000000,98786000000.000000,7244000000.000000,17728000000.000000,,74462000000.000000,,16047000000.000000,,90509000000.000000,10480000000.000000,2328260000000.000000,566712000000.000000,,275355000000.000000,16622000000.000000,,,291977000000.000000,663000000.000000,180855000000.000000,93217000000.000000,566712000000.000000,2894972000000.000000,,718599000000.000000,509125000000.000000,574175000000.000000,,,574175000000.000000,43000000.000000,751533000000.000000,2553475000000.000000,5448447000000.000000,7185992035.000000
12M 2016,,,31338000000.000000,,660231000000.000000,638952000000.000000,21279000000.000000,660231000000.000000,31487000000.000000,29257000000.000000,2230000000.000000,31487000000.000000,2453266000000.000000,,101656000000.000000,3277978000000.000000,,23018000000.000000,23741000000.000000,1984343000000.000000,55321000000.000000,4788000000.000000,,,672622000000.000000,2763833000000.000000,6041811000000.000000,,,2827200000000.000000,,101890000000.000000,938000000.000000,102828000000.000000,2557871000000.000000,30711000000.000000,28215000000.000000,13028000000.000000,,63978000000.000000,,21088000000.000000,,85066000000.000000,9481000000.000000,2827200000000.000000,569554000000.000000,,269651000000.000000,18280000000.000000,,,287931000000.000000,,164514000000.000000,117109000000.000000,569554000000.000000,3396754000000.000000,,718599000000.000000,509125000000.000000,641732000000.000000,,,641732000000.000000,51000000.000000,775550000000.000000,2645057000000.000000,6041811000000.000000,7185992035.000000
12M 2017,,,170489000000.000000,,715844000000.000000,685243000000.000000,30601000000.000000,715844000000.000000,14054000000.000000,11824000000.000000,2230000000.000000,14054000000.000000,2414970000000.000000,,116346000000.000000,3431703000000.000000,,17268000000.000000,23419000000.000000,2199589000000.000000,46344000000.000000,8868000000.000000,,,542174000000.000000,2837662000000.000000,6269365000000.000000,,,2279714000000.000000,,435258000000.000000,913000000.000000,436171000000.000000,1694842000000.000000,22038000000.000000,3334000000.000000,4093000000.000000,,101298000000.000000,,7277000000.000000,,108575000000.000000,10661000000.000000,2279714000000.000000,1148710000000.000000,,775781000000.000000,11489000000.000000,,,787270000000.000000,,223384000000.000000,138056000000.000000,1148710000000.000000,3428424000000.000000,,718599000000.000000,509125000000.000000,639763000000.000000,,,639763000000.000000,46000000.000000,973408000000.000000,2840941000000.000000,6269365000000.000000,7185992035.000000
12M 2018,,,232235000000.000000,,669538000000.000000,655892000000.000000,13646000000.000000,669538000000.000000,14689000000.000000,12459000000.000000,2230000000.000000,14689000000.000000,2658086000000.000000,,66172000000.000000,3640720000000.000000,,17000000.000000,24863000000.000000,2197050000000.000000,30136000000.000000,9067000000.000000,,,592217000000.000000,2853350000000.000000,6494070000000.000000,,,2579383000000.000000,,89199000000.000000,1298000000.000000,90497000000.000000,2223226000000.000000,14774000000.000000,1510000000.000000,5291000000.000000,,207811000000.000000,,8528000000.000000,,216339000000.000000,27746000000.000000,2579383000000.000000,999271000000.000000,,620330000000.000000,12235000000.000000,,,632565000000.000000,11699000000.000000,221111000000.000000,133896000000.000000,999271000000.000000,3578654000000.000000,,718599000000.000000,509125000000.000000,688486000000.000000,,,688486000000.000000,64000000.000000,999142000000.000000,2915416000000.000000,6494070000000.000000,7185992035.000000
12M 2019,,,219024000000.000000,,798622000000.000000,785057000000.000000,13565000000.000000,798622000000.000000,8923000000.000000,6693000000.000000,2230000000.000000,8923000000.000000,2453314000000.000000,,67406000000.000000,3547289000000.000000,,11000000.000000,26479000000.000000,2128844000000.000000,22656000000.000000,9067000000.000000,,,690161000000.000000,2877218000000.000000,6424507000000.000000,,,2542901000000.000000,,165435000000.000000,858000000.000000,166293000000.000000,2109182000000.000000,7959000000.000000,2568000000.000000,19171000000.000000,,204597000000.000000,,8825000000.000000,,213422000000.000000,24306000000.000000,2542901000000.000000,782940000000.000000,,415733000000.000000,6604000000.000000,,,422337000000.000000,7643000000.000000,208765000000.000000,144195000000.000000,782940000000.000000,3325841000000.000000,,718599000000.000000,509125000000.000000,874181000000.000000,,,874181000000.000000,63000000.000000,996698000000.000000,3098666000000.000000,6424507000000.000000,7185992035.000000
12M 2020,,,59543000000.000000,,848299000000.000000,830077000000.000000,18222000000.000000,848299000000.000000,6409000000.000000,4179000000.000000,2230000000.000000,6409000000.000000,2103313000000.000000,,96048000000.000000,3113612000000.000000,,11000000.000000,26818000000.000000,2197790000000.000000,20601000000.000000,9067000000.000000,,,708705000000.000000,2962992000000.000000,6076604000000.000000,,,2162323000000.000000,,28852000000.000000,1215000000.000000,30067000000.000000,1877269000000.000000,9162000000.000000,34061000000.000000,10742000000.000000,,174436000000.000000,,3175000000.000000,,177611000000.000000,23411000000.000000,2162323000000.000000,578941000000.000000,,243102000000.000000,3429000000.000000,,,246531000000.000000,6205000000.000000,161241000000.000000,164964000000.000000,578941000000.000000,2741264000000.000000,,718599000000.000000,500880000000.000000,1050006000000.000000,,1050006000000.000000,1050006000000.000000,73000000.000000,1065782000000.000000,3335340000000.000000,6076604000000.000000,7185992035.000000
12M 2021,,,50092000000.000000,,1019584000000.000000,972698000000.000000,46886000000.000000,1019584000000.000000,1618000000.000000,,1618000000.000000,1618000000.000000,3243760000000.000000,,107635000000.000000,4422689000000.000000,,7000000.000000,30218000000.000000,2214814000000.000000,13922000000.000000,9067000000.000000,,,406605000000.000000,2674633000000.000000,7097322000000.000000,,,2761503000000.000000,,386320000000.000000,1508000000.000000,387828000000.000000,1838460000000.000000,16641000000.000000,118666000000.000000,18129000000.000000,,154064000000.000000,101000000000.000000,9846000000.000000,99000000000.000000,363910000000.000000,17869000000.000000,2761503000000.000000,548706000000.000000,,89038000000.000000,20912000000.000000,49000000000.000000,51000000000.000000,209950000000.000000,6205000000.000000,176451000000.000000,156100000000.000000,548706000000.000000,3310209000000.000000,,718599000000.000000,500880000000.000000,1493676000000.000000,10000000000.000000,1483676000000.000000,1493676000000.000000,72000000.000000,1073886000000.000000,3787113000000.000000,7097322000000.000000,7185992035.000000
