Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Pemasok, Karyawan Dll",Pembayaran :,Beban Bunga Dan Keuangan,Pajak Penghasilan,Total Pembayaran :,Penerimaan Restitusi Pajak,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan (Penempatan) Bersih Deposito Berjangka,Penyertaan Pada Perusahaan Asosiasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan (Penambahan) Piutang Kepada Pihak Berelasi,Penambahan Properti Investasi,Penambahan Aset Tidak Lancar Lainnya,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan (Pengurangan) Bersih Utang Bank Jangka Pendek,Penambahan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Obligasi,Biaya Emisi Obligasi,Penerimaan Utang Sukuk,Pembayaran Utang Sukuk,Biaya Emisi Suku,Pembayaran Utang Obligasi,Penambahan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Kenaikan (Penurunan) Bersih Utang Afliasi,Penerimaan (Penambahan) Piutang Kepada Pihak Berelasi,Penambahan Utang Pihak Berelasi,Penerimaan Setoran Modal,Pembayaran Dividen Tunai,Pembayaran Biaya Emisi Saham,Pembelian Saham Diperoleh Kembali,Penambahan Utang Sewa Pembiayaan,Pembayaran Utang Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2012,-774453000000.000000,3247319000000.000000,-3838287000000.000000,,-148135000000.000000,-51778000000.000000,-199913000000.000000,16356000000.000000,72000000.000000,-774453000000.000000,-33513000000.000000,27158000000.000000,-229000000.000000,-57696000000.000000,209000000.000000,,,,,-2955000000.000000,-33513000000.000000,816006000000.000000,796028000000.000000,,,,,,,,,,,22670000000.000000,,,,,,,,-2692000000.000000,816006000000.000000,8040000000.000000,6207000000.000000,67000000.000000,,14314000000.000000
12M 2013,304874000000.000000,3324211000000.000000,-2831043000000.000000,,-134603000000.000000,-57270000000.000000,-191873000000.000000,,3579000000.000000,304874000000.000000,-412097000000.000000,-150000000000.000000,-24132000000.000000,-235427000000.000000,394000000.000000,,,,,-2932000000.000000,-412097000000.000000,211366000000.000000,-422183000000.000000,,,,,,,,,,,-161148000000.000000,,,855500000000.000000,,-56375000000.000000,,,-4428000000.000000,211366000000.000000,104143000000.000000,14314000000.000000,739000000.000000,,119196000000.000000
12M 2014,-191012000000.000000,3859222000000.000000,-3847352000000.000000,,-137239000000.000000,-76783000000.000000,-214022000000.000000,,11140000000.000000,-191012000000.000000,-168408000000.000000,150000000000.000000,,-257024000000.000000,44539000000.000000,-89642000000.000000,,,,-16281000000.000000,-168408000000.000000,437594000000.000000,428197000000.000000,,,,,,,,,232367000000.000000,-135722000000.000000,-41145000000.000000,-20223000000.000000,,,-14372000000.000000,,,,-11508000000.000000,437594000000.000000,78174000000.000000,119196000000.000000,406000000.000000,,197776000000.000000
12M 2015,176316000000.000000,4040230000000.000000,-3550691000000.000000,,-243226000000.000000,-77578000000.000000,-320804000000.000000,,7581000000.000000,176316000000.000000,-543442000000.000000,,-4120000000.000000,-276497000000.000000,610000000.000000,-161823000000.000000,,-4723000000.000000,,-96889000000.000000,-543442000000.000000,190535000000.000000,168362000000.000000,,,,,,,,,150540000000.000000,-89452000000.000000,663000000.000000,-2635000000.000000,,,,,-19640000000.000000,,-17303000000.000000,190535000000.000000,-176591000000.000000,197776000000.000000,3400000000.000000,,24585000000.000000
12M 2016,-374268000000.000000,3550645000000.000000,-3580054000000.000000,,-293852000000.000000,-51100000000.000000,-344952000000.000000,,93000000.000000,-374268000000.000000,-309571000000.000000,,,-140492000000.000000,396000000.000000,-146968000000.000000,,-66000000.000000,,-22441000000.000000,-309571000000.000000,690508000000.000000,713504000000.000000,,,,,,,,,63688000000.000000,-79877000000.000000,44752000000.000000,,,,-35360000000.000000,,,,-16199000000.000000,690508000000.000000,6669000000.000000,24585000000.000000,84000000.000000,,31338000000.000000
12M 2017,743427000000.000000,3638152000000.000000,-2635182000000.000000,,-269760000000.000000,-21179000000.000000,-290939000000.000000,31291000000.000000,105000000.000000,743427000000.000000,-215484000000.000000,,,-52051000000.000000,90000000.000000,-152362000000.000000,,-4080000000.000000,,-7081000000.000000,-215484000000.000000,-388857000000.000000,-863029000000.000000,,,,,,,,,506130000000.000000,-1415000000.000000,5751000000.000000,,,,-10608000000.000000,,,,-25686000000.000000,-388857000000.000000,139086000000.000000,31338000000.000000,65000000.000000,,170489000000.000000
12M 2018,-374759000000.000000,4947188000000.000000,-5061056000000.000000,,-257413000000.000000,-10055000000.000000,-267468000000.000000,,6577000000.000000,-374759000000.000000,-74943000000.000000,,,-65999000000.000000,231000000.000000,-35000000.000000,,-199000000.000000,,-8941000000.000000,-74943000000.000000,510393000000.000000,528385000000.000000,,,,,,,,,149846000000.000000,-198783000000.000000,17250000000.000000,,11699000000.000000,,,,,9329000000.000000,-7333000000.000000,510393000000.000000,60691000000.000000,170489000000.000000,1055000000.000000,,232235000000.000000
12M 2019,461351000000.000000,5201844000000.000000,-4411451000000.000000,,-261675000000.000000,-76306000000.000000,-337981000000.000000,,8939000000.000000,461351000000.000000,-139161000000.000000,,,-30717000000.000000,82000000.000000,-14031000000.000000,,,,-94495000000.000000,-139161000000.000000,-335306000000.000000,-114044000000.000000,,,,,,,,,,-207811000000.000000,1001000000.000000,,-5051000000.000000,,,,,,-9401000000.000000,-335306000000.000000,-13116000000.000000,232235000000.000000,-95000000.000000,,219024000000.000000
12M 2020,350585000000.000000,3726165000000.000000,-3152160000000.000000,,-205665000000.000000,-19793000000.000000,-225458000000.000000,,2038000000.000000,350585000000.000000,-66260000000.000000,,,-47061000000.000000,72000000.000000,,,,,-19271000000.000000,-66260000000.000000,-443788000000.000000,-231913000000.000000,,,,,,,,,,-202792000000.000000,,,-1000000.000000,,,,,,-9082000000.000000,-443788000000.000000,-159463000000.000000,219024000000.000000,-18000000.000000,,59543000000.000000
12M 2021,-110281000000.000000,5209490000000.000000,-5273948000000.000000,,-174578000000.000000,-47798000000.000000,-222376000000.000000,155714000000.000000,20839000000.000000,-110281000000.000000,41451000000.000000,,,-105557000000.000000,618000000.000000,-6000000000.000000,4000000.000000,,,152386000000.000000,41451000000.000000,59379000000.000000,,8072669000000.000000,-8111478000000.000000,150000000000.000000,-2652000000.000000,150000000000.000000,,-2690000000.000000,,,-174436000000.000000,,,,,-42392000000.000000,,,26526000000.000000,-6168000000.000000,59379000000.000000,-9451000000.000000,59543000000.000000,,,50092000000.000000
12M 2022,-31546000000.000000,6111987000000.000000,-5837494000000.000000,,-200743000000.000000,-105393000000.000000,-306136000000.000000,,97000000.000000,-31546000000.000000,-106739000000.000000,,,-103949000000.000000,975000000.000000,-4728000000.000000,,,,963000000.000000,-106739000000.000000,138371000000.000000,,6798833000000.000000,-6567577000000.000000,150000000000.000000,-1995000000.000000,150000000000.000000,-99000000000.000000,-2040000000.000000,-101000000000.000000,,-154064000000.000000,,,,,-63588000000.000000,,,39548000000.000000,-10746000000.000000,138371000000.000000,86000000.000000,50092000000.000000,,,50178000000.000000
