Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kas Kepada Direksi Dan Karyawan,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak,Penerimaan Restitusi Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pelunasan Piutang Pihak Berelasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan (Pembayaran) Utang Pihak Berelasi,Penerimaan Utang Bank,Pembayaran Utang Bank,Setoran Modal,Pembayaran Liabilitas Sewa,Pembayaran Utang Lembaga Keuangan,Penerimaan Penerbitan Saham Baru,Pembayaran Emisi Efek,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,-12464676965.000000,158498096057.000000,-159481464955.000000,-3763122985.000000,226128335.000000,-6457271417.000000,-1487042000.000000,,-12464676965.000000,-1260331353.000000,300000000.000000,-1542409035.000000,,-17922318.000000,-1260331353.000000,13548441412.000000,1200000000.000000,6867899808.000000,-4130044220.000000,10000000000.000000,,-389414176.000000,,,,13548441412.000000,-176566906.000000,255202707.000000,78635801.000000
12M 2021,10292471763.000000,234427233813.000000,-212597427553.000000,-4873283619.000000,132942780.000000,-6300400826.000000,-1985358640.000000,1488765808.000000,10292471763.000000,-23897475058.000000,1700000000.000000,-25834353695.000000,358636364.000000,-121757727.000000,-23897475058.000000,17623848551.000000,-1500000000.000000,,-21630472805.000000,42500000000.000000,-180827220.000000,-1564851424.000000,,,,17623848551.000000,4018845256.000000,78635801.000000,4097481057.000000
12M 2022,12235254620.000000,339854792667.000000,-310291061447.000000,-4390759962.000000,12712997.000000,-5222208492.000000,-7728221143.000000,,12235254620.000000,-6891648201.000000,,-6238044598.000000,,-653603603.000000,-6891648201.000000,9125822674.000000,,17000000000.000000,-11022612914.000000,6500000000.000000,-2129143430.000000,-1222420982.000000,,,,9125822674.000000,14469429093.000000,4097481057.000000,18566910150.000000
12M 2023,23705217465.000000,448540419401.000000,-402831638733.000000,-6618522696.000000,20499700.000000,-5493109404.000000,-9912430803.000000,,23705217465.000000,-14080080390.000000,,-7858674084.000000,400270270.000000,-6621676576.000000,-14080080390.000000,-7237807731.000000,,5000000000.000000,-2069444444.000000,,-1178773185.000000,-1317090102.000000,,-1172500000.000000,-6500000000.000000,-7237807731.000000,2387329344.000000,18566910150.000000,20954239494.000000
12M 2024,-79431818372.000000,512900844388.000000,-567692795904.000000,-7317884073.000000,52420442.000000,-7773279894.000000,-10357400125.000000,756276794.000000,-79431818372.000000,-10117981938.000000,,-10243207163.000000,225225225.000000,-100000000.000000,-10117981938.000000,71451122847.000000,,42500000000.000000,-36000000000.000000,,-1389806480.000000,-2893585869.000000,73800000000.000000,-1490484804.000000,-3075000000.000000,71451122847.000000,-18098677463.000000,20954239494.000000,2855562031.000000
