Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,150244951958.000000,-128070318300.000000,22174633658.000000,-10796304399.000000,-4656196578.000000,-6140107821.000000,-10796304399.000000,11378329259.000000,-5968243132.000000,-6457271417.000000,489028285.000000,-5968243132.000000,5410086127.000000,-1346788567.000000,-1602790860.000000,256002293.000000,,-1346788567.000000,4063297560.000000,-35450623.000000,4027846937.000000,4063297560.000000,4063297560.000000,,4063297560.000000,4027846937.000000,4027846937.000000,,4027846937.000000
12M 2021,215688385268.000000,-186916448834.000000,28771936434.000000,-13304456478.000000,-4384817924.000000,-8919638554.000000,-13304456478.000000,15467479956.000000,-7362292505.000000,-6300400826.000000,-1061891679.000000,-7362292505.000000,8105187451.000000,-1982739979.000000,-2270755740.000000,288015761.000000,,-1982739979.000000,6122447472.000000,-10001532.000000,6112445940.000000,6122447472.000000,6122447472.000000,,6122447472.000000,6112445940.000000,6112445940.000000,,6112445940.000000
12M 2022,322067750949.000000,-268577077727.000000,53490673222.000000,-16716048284.000000,-6695480672.000000,-10020567612.000000,-16716048284.000000,36774624938.000000,-10424640456.000000,-5222208492.000000,-5202431964.000000,-10424640456.000000,26349984482.000000,-5933167464.000000,-6130448280.000000,197280816.000000,,-5933167464.000000,20416817018.000000,45452155.000000,20462269173.000000,20416817018.000000,20416817018.000000,,20416817018.000000,20462269173.000000,20462269173.000000,,20462269173.000000
12M 2023,456791047874.000000,-388803810908.000000,67987236966.000000,-25362020502.000000,-10951098184.000000,-14410922318.000000,-25362020502.000000,42625216464.000000,-6943957334.000000,-5493109404.000000,-1450847930.000000,-6943957334.000000,35681259130.000000,-8034690070.000000,-8090053840.000000,55363770.000000,,-8034690070.000000,27646569060.000000,-48720360.000000,27597848700.000000,27646569060.000000,27646569060.000000,,27646569060.000000,27597848700.000000,27597848700.000000,,27597848700.000000
12M 2024,449827790397.000000,-404190721658.000000,45637068739.000000,-29850627322.000000,-14280189913.000000,-15570437409.000000,-29850627322.000000,15786441417.000000,-10635491911.000000,-7773279894.000000,-2862212017.000000,-10635491911.000000,5150949506.000000,-961946268.000000,-915847680.000000,-46098588.000000,,-961946268.000000,4189003238.000000,24080940.000000,4213084178.000000,4189003238.000000,4189003238.000000,,4189003238.000000,4213084178.000000,4213084178.000000,,4213084178.000000
