Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Pendapatan Keuangan,Beban Keuangan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjusment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,3537835326.000000,-1465062832.000000,2072772494.000000,-1526352516.000000,-41422186.000000,-1484930330.000000,,,-1526352516.000000,546419978.000000,-6679969.000000,-6679969.000000,-6679969.000000,539740009.000000,-17689177.000000,,,-17689177.000000,-17689177.000000,522050832.000000,,,,522050832.000000,522050832.000000,522050832.000000,,522050832.000000,522050832.000000,522050832.000000,,,522050832.000000
12M 2021,4032907621.000000,-1856463211.000000,2176444410.000000,-1558746353.000000,-60684355.000000,-1498061998.000000,,,-1558746353.000000,617698057.000000,5081976.000000,5081976.000000,5081976.000000,622780033.000000,-20164538.000000,,,-20164538.000000,-20164538.000000,602615495.000000,,,,602615495.000000,602615495.000000,602615495.000000,,602615495.000000,602615495.000000,602615495.000000,,,602615495.000000
12M 2022,5739556693.000000,-2366013091.000000,3373543602.000000,-2322791072.000000,-122275300.000000,-2200515772.000000,,,-2322791072.000000,1050752530.000000,-39609549.000000,,-39609549.000000,1011142981.000000,-136879708.000000,-148828248.000000,11948540.000000,,-136879708.000000,874263273.000000,,,,874263273.000000,874263273.000000,874263273.000000,,874263273.000000,874263273.000000,874263273.000000,,,874263273.000000
12M 2023,7071671177.000000,-2804290241.000000,4267380936.000000,-2837914019.000000,-15630946.000000,-2822283073.000000,,,-2837914019.000000,1429466917.000000,-53013692.000000,,-53013692.000000,1376453225.000000,-62450659.000000,-124350160.000000,84720203.000000,-22820702.000000,-62450659.000000,1314002566.000000,6859451.000000,,6859451.000000,1320862017.000000,1314002566.000000,1300862540.000000,13140026.000000,1314002566.000000,1320862017.000000,1300862540.000000,13140026.000000,6859451.000000,1320862017.000000
12M 2024,8046288315.000000,-2809293428.000000,5236994887.000000,-4602427198.000000,-47671928.000000,-4643399587.000000,132547769.000000,-43903452.000000,-4602427198.000000,634567689.000000,-15227063.000000,-15227063.000000,-15227063.000000,619340626.000000,-208763529.000000,-116882590.000000,-67959416.000000,-23921523.000000,-208763529.000000,410577097.000000,11111489.000000,,11111489.000000,421688586.000000,410577097.000000,413891482.000000,-3314385.000000,410577097.000000,421688586.000000,425002971.000000,-3314385.000000,,421688586.000000
