Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2020,8.41,3.49,0.0,1.08,0.0,0.0,-0.22,0.0,0.08
12M 2021,1.87,0.58,0.0,1.42,0.0,0.0,-0.17,0.0,0.42
12M 2022,2.86,1.2,0.05,1.14,0.0,0.0,-0.03,0.04,0.14
12M 2023,15.08,8.82,0.01,1.04,0.0,0.0,-0.36,0.01,0.04
12M 2024,9.26,3.42,0.0,1.04,0.0,0.0,-0.1,0.0,0.04
