Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Operasi,Pembayaran Pajak Penghasilan - Neto,Penerimaan (Pembayaran) Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Aset Pajak Tangguhan,Aset Tak Berwujud,Beban Ditangguhkan,Perolehan Aset Tetap,Perolehan Aset Hak Guna,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Disetor,Penerimaan Pinjaman Bank,Konfersi Utang Ke Modal,Agio Saham,Kepentingan Non Pengendali,Tambahan Modal Disetor Ipo,Koreksi Laba Ditahan,Penambahan Modal Saham,Deviden Saham,Pembayaran Dividen,Penerimaan Dari Ekutas Lainnya,Pembayaran Bunga Dan Beban Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setra Kas Akhir Periode
12M 2020,925907486.000000,3799262574.000000,-1345210042.000000,,-1516587031.000000,-15702073.000000,4144058.000000,925907486.000000,-1027406323.000000,,,,-1027406323.000000,,-1027406323.000000,400000000.000000,400000000.000000,,,,,,,,,,,,400000000.000000,298501163.000000,477223768.000000,775724931.000000
12M 2021,243007289.000000,3945165735.000000,-2118340141.000000,,-1548160378.000000,-38227477.000000,2569550.000000,243007289.000000,-307846101.000000,,,,-307846101.000000,,-307846101.000000,,,,,,,,,,,,,,,-64838812.000000,775724931.000000,710886119.000000
12M 2022,-551807200.000000,5029653765.000000,-4144920470.000000,-1436540495.000000,,,,-551807200.000000,-6323808303.000000,-11948540.000000,-2738000000.000000,-1326637541.000000,,-2247222222.000000,-6323808303.000000,7109906615.000000,,571906615.000000,2738000000.000000,,,,,3800000000.000000,2500000000.000000,-2500000000.000000,,,7109906615.000000,234291112.000000,710886119.000000,945177231.000000
12M 2023,-7608522650.000000,7377659529.000000,-13632207565.000000,-1353974614.000000,,,,-7608522650.000000,-9451366766.000000,-72771662.000000,-4750000000.000000,-1147872699.000000,-3797389072.000000,316666667.000000,-9451366766.000000,33312165921.000000,,-250934079.000000,,,7500000.000000,29253247250.000000,,4302352750.000000,,,,,33312165921.000000,16252276505.000000,945177230.000000,17197453735.000000
12M 2024,-4178246867.000000,6582870118.000000,-9337270702.000000,-1423846283.000000,,,,-4178246867.000000,-8607274752.000000,,-2062200000.000000,,-6545074752.000000,,-8607274752.000000,-320805226.000000,167310.000000,-320972536.000000,,,,,,,,,,,-320805226.000000,-13106326845.000000,17197453734.000000,4091126889.000000
