Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,775724931.000000,208085149.000000,208085149.000000,208085149.000000,1387795375.000000,2000.000000,2371607455.000000,,,1495947906.000000,,1495947906.000000,3867555361.000000,,,281860194.000000,,,214297983.000000,214297983.000000,,44261000.000000,,44261000.000000,18467177.000000,4834034.000000,,281860194.000000,,,,281860194.000000,,1000000000.000000,,2585695167.000000,,2585695167.000000,2585695167.000000,,,3585695167.000000,3867555361.000000,1000.000000
12M 2021,,,710886119.000000,293914945.000000,293914945.000000,293914945.000000,2301770774.000000,25448005.000000,3332019843.000000,,,1133509204.000000,1500000000.000000,2633509204.000000,5965529047.000000,,,1777218386.000000,,,206697624.000000,206697624.000000,,44261000.000000,1500000000.000000,1544261000.000000,25850243.000000,409519.000000,,1777218386.000000,,,,1777218386.000000,,1000000000.000000,,3188310661.000000,,3188310661.000000,3188310661.000000,,,4188310661.000000,5965529047.000000,1000.000000
12M 2022,,,945177230.000000,1003817874.000000,1003817874.000000,1003817874.000000,2708576187.000000,16550620.000000,4674121911.000000,,11948540.000000,750788760.000000,7811859763.000000,8574597063.000000,13248718974.000000,,,1632151293.000000,571906615.000000,46118664.000000,,46118664.000000,420000000.000000,,,420000000.000000,594126014.000000,,,1632151293.000000,15993747.000000,15993747.000000,15993747.000000,1648145040.000000,,10038000000.000000,,1562573934.000000,200000000.000000,1362573934.000000,1562573934.000000,,,11600573934.000000,13248718974.000000,100380000.000000
12M 2023,,,17197453734.000000,697829522.000000,697829522.000000,697829522.000000,12704778327.000000,,30600061583.000000,,84720203.000000,4456862110.000000,13393065795.000000,17934648108.000000,48534709691.000000,,,2029135318.000000,320972536.000000,1670000000.000000,,1670000000.000000,,,,,38162782.000000,,,2029135318.000000,21038422.000000,21038422.000000,21038422.000000,2050173740.000000,,14340352750.000000,,2863436474.000000,300000000.000000,2563436474.000000,2863436474.000000,13140026.000000,29267606701.000000,46484535951.000000,48534709691.000000,1434000000.000000
12M 2024,,,4091126889.000000,2161247720.000000,2161247720.000000,2161247720.000000,10805127704.000000,71510563.000000,17129012876.000000,,6620112.000000,10132357268.000000,17608395692.000000,27747373072.000000,44876385948.000000,,,1848820760.000000,,1698392000.000000,,1698392000.000000,,,,,57872177.000000,62556583.000000,30000000.000000,1848820760.000000,22907446.000000,22907446.000000,22907446.000000,1871728206.000000,,14340520060.000000,25360280490.000000,3270261758.000000,300000000.000000,2970261758.000000,3270261758.000000,17133573.000000,16461861.000000,43004657742.000000,44876385948.000000,1434052006.000000
