Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Direktur Dan Karyawan,Penerimaan Dari Pendapatan Keuangan,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan Badan,Pembayaran Royalti/Iuran Eksploitasi,Penerimaan Kelebihan Pembayaran Pajak Penghasilan Badan,Pembayaran Audit Pajak Dan Pajak Lainnya,Penerimaan Dari Transaksi Kontrak Swap,Penerimaan Lainnya,Pembayaran Sehubungan Dengan Transaksi Kontrak Swap,Penerimaan /Pembayaran Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembelian Aset Keuangan Tersedia Untuk Dijual,Penempatan Jaminan Penutupan Tambang,Pelepasan Kas Yang Dibatasi Penggunaannya,Akuisisi Tambahan Kepemilikan Anak Perusahaan,Hasil Penjualan Aset Tetap,Hasil Pelepasan Saham Anak Perusahaan,Pembelian Aset Keuangan Yang Diukur Dengan Nilai Wajar Mellui Laba Rugi,Pembelian Aset Keuangan Yang Diukur Dengan Nilai Wajar Melalui Penghasilan Komprehensif Lain,Pembelian Aset Keuangan Yang Diukur Pada Biaya Perolehan Amortisasi,Penerimaan Dari Aset Keuangan Pada Nilai Wajar Melalui Laba Rugi Yang Telah Jatuh Tempo,Hasil Penjualan Aset Keuangan Pada Nilai Wajar Melalui Penghasilan Komprehensif Lain,Pembayaran Atas Akuisisi Kepentingan Di Ventura Bersama,Penambahan Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Kas,Pembayaran Pokok Sewa Pembiayaan,Penerimaan Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Pendek,Pembayaran Beban Bunga Atas Pinjaman Jangka Pendek,Pembayaran Kembali Atas Liabilitas Sewa,Penerimaan Pinjaman Dari Pihak Relasi,Akuisisi Saham Treasuri,Penerimaan Atas Penerbitan Saham Anak Perusahaan Kepada Pemegang Saham Minoritas,Pembayaran Pinjaman Kepada Pihak Relasi,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,235780000.000000,1255407000.000000,-758559000.000000,-35145000.000000,10045000.000000,-8059000.000000,-45174000.000000,-134160000.000000,,,,,,-48575000.000000,235780000.000000,-102763000.000000,-95235000.000000,,,,,929000.000000,,,,,,,,-8457000.000000,-102763000.000000,-168574000.000000,-87929000.000000,-125000.000000,,,,,21000000.000000,,,-77400000.000000,,-24120000.000000,-168574000.000000,-35557000.000000,257294000.000000,,221737000.000000
12M 2009,400700000.000000,1514780000.000000,-774823000.000000,-39472000.000000,4200000.000000,-2059000.000000,-175508000.000000,-185868000.000000,,,,,,59450000.000000,400700000.000000,-86302000.000000,-74169000.000000,,,,-450000.000000,1695000.000000,,,,,,,,-13378000.000000,-86302000.000000,-107555000.000000,-151376000.000000,-119000.000000,,,,,,,,,50000000.000000,-6060000.000000,-107555000.000000,206843000.000000,221737000.000000,,428580000.000000
12M 2010,239491000.000000,1672384000.000000,-954545000.000000,-44989000.000000,5421000.000000,-4090000.000000,-162126000.000000,-244857000.000000,,,,,,-27707000.000000,239491000.000000,-62421000.000000,-53076000.000000,,,,,332000.000000,,,,,,,,-9677000.000000,-62421000.000000,-311081000.000000,-255999000.000000,-32000.000000,,,,,,,,,,-55050000.000000,-311081000.000000,-134011000.000000,428580000.000000,,294569000.000000
12M 2011,591612000.000000,2291739000.000000,-1242091000.000000,-59600000.000000,6606000.000000,-1922000.000000,-92909000.000000,-287407000.000000,,,,,,-22804000.000000,591612000.000000,-67342000.000000,-48813000.000000,,,,,1857000.000000,,,,,,,,-20386000.000000,-67342000.000000,-206423000.000000,-206423000.000000,,,,,,,,,,,,-206423000.000000,317847000.000000,294569000.000000,,612416000.000000
12M 2012,414368000.000000,2425716000.000000,-1544869000.000000,-55810000.000000,13943000.000000,-674000.000000,-227106000.000000,-296263000.000000,44821000.000000,,73906000.000000,,-5752000.000000,-13544000.000000,414368000.000000,-64893000.000000,-48574000.000000,,,,,157000.000000,,,,,,,,-16476000.000000,-64893000.000000,-504967000.000000,-504967000.000000,,,,,,,,,,,,-504967000.000000,-155492000.000000,612416000.000000,4306000.000000,461230000.000000
12M 2013,159291000.000000,2233851000.000000,-1534879000.000000,-64031000.000000,8847000.000000,-901000.000000,-184221000.000000,-277190000.000000,,,9572000.000000,,-8188000.000000,-23569000.000000,159291000.000000,-56889000.000000,-35895000.000000,,,,,688000.000000,,,,,,,,-21682000.000000,-56889000.000000,-269046000.000000,-269046000.000000,,,,,,,,,,,,-269046000.000000,-166644000.000000,461230000.000000,-5879000.000000,288707000.000000
12M 2014,190926000.000000,1941646000.000000,-1343552000.000000,-53336000.000000,6271000.000000,-898000.000000,-120994000.000000,-261126000.000000,,,24160000.000000,,-8856000.000000,7611000.000000,190926000.000000,-52124000.000000,-35144000.000000,,,,,7602000.000000,,,,,,,,-24582000.000000,-52124000.000000,-200065000.000000,-200065000.000000,,,,,,,,,,,,-200065000.000000,-61263000.000000,288707000.000000,-1324000.000000,226120000.000000
12M 2015,192667000.000000,1647868000.000000,-1096155000.000000,-62099000.000000,4378000.000000,-1089000.000000,-103146000.000000,-188667000.000000,49926000.000000,,605000.000000,,-42792000.000000,-16162000.000000,192667000.000000,-34820000.000000,-24753000.000000,,,,,1294000.000000,,,,,,,,-11361000.000000,-34820000.000000,-114538000.000000,-114538000.000000,,,,,,,,,,,,-114538000.000000,43309000.000000,226120000.000000,-1611000.000000,267818000.000000
12M 2016,145224000.000000,1354254000.000000,-863231000.000000,-43852000.000000,2309000.000000,-912000.000000,-65163000.000000,-166895000.000000,1020000.000000,-67009000.000000,,,-4674000.000000,-623000.000000,145224000.000000,-24500000.000000,-21020000.000000,,-1385000.000000,,,280000.000000,,,,,,,,-2375000.000000,-24500000.000000,-60784000.000000,-41573000.000000,,,,,,,-19211000.000000,,,,,-60784000.000000,59940000.000000,267818000.000000,327000.000000,328085000.000000
12M 2017,318977000.000000,1638406000.000000,-991320000.000000,-52344000.000000,3387000.000000,-793000.000000,-59595000.000000,-220922000.000000,23119000.000000,-21419000.000000,,,458000.000000,,318977000.000000,-73825000.000000,-47092000.000000,,-8542000.000000,,,874000.000000,,,,,,,,-19065000.000000,-73825000.000000,-199050000.000000,-199050000.000000,,,,,,,,,,,,-199050000.000000,46102000.000000,328085000.000000,43000.000000,374230000.000000
