Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.78,5915.04,1.78,5915.04,127 B,203 B,330 B,"(2,098 B)","1,887 B"
12M 2009,4.85,6551.20,4.85,6551.20,271 B,409 B,680 B,"(3,349 B)","3,128 B"
12M 2010,8.85,5737.31,8.85,5737.31,571 B,,571 B,"(2,077 B)","2,487 B"
12M 2011,4.46,8673.79,4.46,8673.79,13 B,,13 B,"(5,540 B)","5,583 B"
12M 2012,4.84,8578.78,4.84,8578.78,88 B,,88 B,"(4,372 B)","5,144 B"
12M 2013,2.74,10405.21,2.74,10405.21,39 B,,39 B,"(3,482 B)","4,533 B"
12M 2014,1.55,9894.27,1.55,9894.27,240 B,,240 B,"(2,573 B)","2,555 B"
12M 2015,0.56,10188.92,0.56,10188.92,15 B,,15 B,"(3,680 B)","3,145 B"
12M 2016,1.56,10790.30,1.56,10790.30,7 B,,7 B,"(4,401 B)","4,033 B"
12M 2017,1.80,11486.45,1.80,11486.45,6 B,,6 B,"(5,064 B)","6,361 B"
12M 2018,1.62,12464.21,1.62,12464.21,28 B,,28 B,"(5,305 B)","5,453 B"
12M 2019,1.05,10946.53,1.05,10946.53,148 B,,148 B,"(2,065 B)","3,325 B"
12M 2020,1.30,10662.29,1.30,10662.29,524 B,515 B,"1,039 B","(2,226 B)","2,999 B"
12M 2021,1.33,15281.08,1.33,15281.08,671 B,434 B,"1,105 B","(8,760 B)","8,899 B"
12M 2022,1.45,26978.13,1.45,26978.13,572 B,206 B,777 B,"(21,524 B)","20,627 B"
12M 2023,1.05,24425.01,1.05,24425.01,730 B,118 B,847 B,"(12,294 B)","15,217 B"
12M 2024,0.97,27569.78,0.97,27569.78,473 B,737 B,"1,209 B","(14,792 B)","17,625 B"
