Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Beban Keuangan,Others,Total Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1316981000.000000,-839170000.000000,477811000.000000,-137799000.000000,-77852000.000000,-59947000.000000,-137799000.000000,340012000.000000,5671000.000000,,-580000.000000,-4993000.000000,-5573000.000000,9877000.000000,-17987000.000000,10000.000000,19344000.000000,5671000.000000,345683000.000000,-110758000.000000,234925000.000000,,,,,,234925000.000000,234925000.000000,,234925000.000000,,,,
12M 2009,1508359000.000000,-937955000.000000,570404000.000000,-134589000.000000,-77413000.000000,-57176000.000000,-134589000.000000,435815000.000000,20660000.000000,,-1295000.000000,-632000.000000,-1927000.000000,4046000.000000,4006000.000000,69000.000000,14466000.000000,20660000.000000,456475000.000000,-120924000.000000,335551000.000000,,,,,,335551000.000000,335551000.000000,,335551000.000000,,,,
12M 2010,1668192000.000000,-1126597000.000000,541595000.000000,-178687000.000000,-99386000.000000,-79301000.000000,-178687000.000000,362908000.000000,-85554000.000000,,-3242000.000000,,-3242000.000000,5421000.000000,5131000.000000,-4488000.000000,-88376000.000000,-85554000.000000,277354000.000000,-73203000.000000,204151000.000000,,,,,,204151000.000000,204151000.000000,,204151000.000000,,,,
12M 2011,2381875000.000000,-1489807000.000000,892068000.000000,-185153000.000000,-99374000.000000,-85779000.000000,-185153000.000000,706915000.000000,23023000.000000,,-1922000.000000,,-1922000.000000,6606000.000000,639000.000000,-879000.000000,18579000.000000,23023000.000000,729938000.000000,-183812000.000000,546126000.000000,5178000.000000,5178000.000000,,5178000.000000,551304000.000000,546126000.000000,546126000.000000,,546126000.000000,551304000.000000,551304000.000000,,551304000.000000
12M 2012,2438941000.000000,-1697774000.000000,741167000.000000,-182729000.000000,-145058000.000000,-37671000.000000,-182729000.000000,558438000.000000,32671000.000000,,-674000.000000,,-674000.000000,13943000.000000,,,19402000.000000,32671000.000000,591109000.000000,-159066000.000000,432043000.000000,-5463000.000000,-5463000.000000,,-5463000.000000,426580000.000000,432043000.000000,432043000.000000,,432043000.000000,426580000.000000,426580000.000000,,426580000.000000
12M 2013,2178763000.000000,-1669569000.000000,509194000.000000,-171719000.000000,-140817000.000000,-30902000.000000,-171719000.000000,337475000.000000,-16527000.000000,,-901000.000000,,-901000.000000,8847000.000000,,,-24473000.000000,-16527000.000000,320948000.000000,-90464000.000000,230484000.000000,,,,,230484000.000000,230484000.000000,230484000.000000,,230484000.000000,230484000.000000,230484000.000000,,230484000.000000
12M 2014,1942655000.000000,-1534561000.000000,408094000.000000,-172159000.000000,-145950000.000000,-26209000.000000,-172159000.000000,235935000.000000,26095000.000000,,-898000.000000,,-898000.000000,6271000.000000,,,20722000.000000,26095000.000000,262030000.000000,-61812000.000000,200218000.000000,,,,,200218000.000000,200218000.000000,200218000.000000,,200218000.000000,200218000.000000,200218000.000000,,200218000.000000
12M 2015,1589409000.000000,-1239178000.000000,350231000.000000,-156649000.000000,-134132000.000000,-22517000.000000,-156649000.000000,193582000.000000,-54136000.000000,,-1089000.000000,,-1089000.000000,4378000.000000,,,-57425000.000000,-54136000.000000,139446000.000000,-76339000.000000,63107000.000000,1368000.000000,,1368000.000000,1368000.000000,64475000.000000,63107000.000000,63107000.000000,,63107000.000000,64475000.000000,64475000.000000,,64475000.000000
12M 2016,1367498000.000000,-1036799000.000000,330699000.000000,-122141000.000000,-99384000.000000,-22757000.000000,-122141000.000000,208558000.000000,-16567000.000000,,-912000.000000,,-912000.000000,2381000.000000,,,-18036000.000000,-16567000.000000,191991000.000000,-61282000.000000,130709000.000000,2948000.000000,,2948000.000000,2948000.000000,133657000.000000,130709000.000000,130709000.000000,,130709000.000000,133657000.000000,133657000.000000,,133657000.000000
12M 2017,1689525000.000000,-1184077000.000000,505448000.000000,-117362000.000000,-87450000.000000,-29912000.000000,-117362000.000000,388086000.000000,-26031000.000000,,-793000.000000,,-793000.000000,3387000.000000,,,-28625000.000000,-26031000.000000,362055000.000000,-109352000.000000,252703000.000000,-3000000.000000,,-3000000.000000,-3000000.000000,249703000.000000,252703000.000000,252608000.000000,95000.000000,252703000.000000,249703000.000000,249608000.000000,95000.000000,249703000.000000
