Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Biaya Pengupasan Tanah Yang Ditangguhkan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tetap,Biaya Pengupasan Tanah Yang Ditangguhkan,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Properti Pertambangan,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Liabilitas Derivatif,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,221737000.000000,131675000.000000,127617000.000000,4058000.000000,131675000.000000,15400000.000000,15400000.000000,,15400000.000000,36088000.000000,,93328000.000000,498228000.000000,,690000.000000,,690000.000000,690000.000000,315224000.000000,77364000.000000,50410000.000000,25375000.000000,6849000.000000,4925000.000000,480837000.000000,979065000.000000,,,325905000.000000,,,61625000.000000,,61625000.000000,93631000.000000,,93631000.000000,145246000.000000,5539000.000000,6060000.000000,,13804000.000000,325905000.000000,42790000.000000,7354000.000000,13466000.000000,5050000.000000,,16920000.000000,42790000.000000,368695000.000000,,63892000.000000,344198000.000000,208177000.000000,13000.000000,208164000.000000,208177000.000000,,-5897000.000000,610370000.000000,979065000.000000,1129925000.000000
12M 2009,,,428580000.000000,125254000.000000,123080000.000000,2174000.000000,125254000.000000,18285000.000000,18285000.000000,,18285000.000000,64928000.000000,,35957000.000000,673004000.000000,,605000.000000,,605000.000000,605000.000000,343515000.000000,79908000.000000,60992000.000000,24605000.000000,12939000.000000,3003000.000000,525567000.000000,1198571000.000000,,,340267000.000000,,,89255000.000000,,89255000.000000,55065000.000000,,55065000.000000,165736000.000000,13780000.000000,15050000.000000,,1381000.000000,340267000.000000,70818000.000000,6151000.000000,3521000.000000,40000000.000000,,21146000.000000,70818000.000000,411085000.000000,,63892000.000000,344198000.000000,394566000.000000,1013000.000000,393553000.000000,394566000.000000,,-15170000.000000,787486000.000000,1198571000.000000,1129925000.000000
12M 2010,,,294569000.000000,121062000.000000,117919000.000000,3143000.000000,121062000.000000,12151000.000000,12151000.000000,,12151000.000000,70533000.000000,,109838000.000000,608153000.000000,,728000.000000,,728000.000000,728000.000000,348290000.000000,50737000.000000,42975000.000000,24083000.000000,12493000.000000,2247000.000000,481553000.000000,1089706000.000000,,,331527000.000000,,,94783000.000000,,94783000.000000,13763000.000000,,13763000.000000,150130000.000000,63560000.000000,,,9291000.000000,331527000.000000,37155000.000000,6021000.000000,,,,31134000.000000,37155000.000000,368682000.000000,,63892000.000000,344198000.000000,342718000.000000,3000000.000000,339718000.000000,342718000.000000,,-29784000.000000,721024000.000000,1089706000.000000,1129925000.000000
12M 2011,,,612416000.000000,211198000.000000,202256000.000000,8942000.000000,211198000.000000,18375000.000000,18375000.000000,,18375000.000000,106971000.000000,67382000.000000,50085000.000000,1066427000.000000,,436000.000000,,436000.000000,436000.000000,344357000.000000,18772000.000000,53931000.000000,23356000.000000,15544000.000000,55651000.000000,512047000.000000,1578474000.000000,,,450748000.000000,,,146419000.000000,,146419000.000000,109312000.000000,,109312000.000000,188576000.000000,1449000.000000,,,4992000.000000,450748000.000000,46922000.000000,8102000.000000,,,,38820000.000000,46922000.000000,497670000.000000,,63892000.000000,344198000.000000,682421000.000000,5000000.000000,677421000.000000,682421000.000000,,-9707000.000000,1080804000.000000,1578474000.000000,1129925000.000000
12M 2012,,,461230000.000000,224423000.000000,216446000.000000,7977000.000000,224423000.000000,24777000.000000,24777000.000000,,24777000.000000,150974000.000000,87611000.000000,19913000.000000,968928000.000000,,459000.000000,,459000.000000,459000.000000,335510000.000000,68993000.000000,52850000.000000,22300000.000000,18601000.000000,23583000.000000,522296000.000000,1491224000.000000,,,437021000.000000,,,185644000.000000,,185644000.000000,,44086000.000000,44086000.000000,189597000.000000,9129000.000000,,,8565000.000000,437021000.000000,51786000.000000,6805000.000000,,,,44981000.000000,51786000.000000,488807000.000000,,63892000.000000,329028000.000000,609497000.000000,10000000.000000,599497000.000000,609497000.000000,,,1002417000.000000,1491224000.000000,1129925000.000000
12M 2013,,,288707000.000000,169335000.000000,159711000.000000,9624000.000000,169335000.000000,23606000.000000,23606000.000000,,23606000.000000,120873000.000000,137304000.000000,6503000.000000,746328000.000000,,709000.000000,,709000.000000,709000.000000,316573000.000000,84083000.000000,64715000.000000,20935000.000000,21160000.000000,137637000.000000,645812000.000000,1392140000.000000,,,374674000.000000,,,165673000.000000,,165673000.000000,,22927000.000000,22927000.000000,164146000.000000,3222000.000000,,,18706000.000000,374674000.000000,53611000.000000,7007000.000000,,,,46604000.000000,53611000.000000,428285000.000000,,63892000.000000,329028000.000000,570935000.000000,13000000.000000,557935000.000000,570935000.000000,,,963855000.000000,1392140000.000000,1129925000.000000
12M 2014,,,226120000.000000,170344000.000000,158442000.000000,11902000.000000,170344000.000000,15527000.000000,15527000.000000,,15527000.000000,149858000.000000,,7704000.000000,569553000.000000,,655000.000000,,655000.000000,655000.000000,285688000.000000,138241000.000000,80952000.000000,18915000.000000,28707000.000000,184637000.000000,737795000.000000,1307348000.000000,,,364170000.000000,,,164775000.000000,,164775000.000000,,16142000.000000,16142000.000000,144013000.000000,19322000.000000,,,19918000.000000,364170000.000000,44554000.000000,4729000.000000,,,,39825000.000000,44554000.000000,408724000.000000,,63892000.000000,329028000.000000,505704000.000000,13000000.000000,492704000.000000,505704000.000000,,,898624000.000000,1307348000.000000,1129925000.000000
12M 2015,,,267818000.000000,111885000.000000,97761000.000000,14124000.000000,111885000.000000,6878000.000000,6878000.000000,,6878000.000000,117372000.000000,,8365000.000000,512318000.000000,,657000.000000,,657000.000000,657000.000000,254594000.000000,126261000.000000,82749000.000000,17130000.000000,36638000.000000,148016000.000000,666045000.000000,1178363000.000000,,,284344000.000000,,,120608000.000000,,120608000.000000,,14228000.000000,14228000.000000,131093000.000000,1075000.000000,,,17340000.000000,284344000.000000,59462000.000000,5699000.000000,,,,53763000.000000,59462000.000000,343806000.000000,,63892000.000000,329028000.000000,442443000.000000,13000000.000000,429443000.000000,442443000.000000,,-806000.000000,834557000.000000,1178363000.000000,1129925000.000000
12M 2016,,,328085000.000000,125231000.000000,115355000.000000,9876000.000000,125231000.000000,6407000.000000,6407000.000000,,6407000.000000,61991000.000000,,17290000.000000,539004000.000000,,444000.000000,,444000.000000,444000.000000,223796000.000000,110021000.000000,74466000.000000,16556000.000000,36248000.000000,209257000.000000,670788000.000000,1209792000.000000,,,238835000.000000,,,93962000.000000,,93962000.000000,,18857000.000000,18857000.000000,117197000.000000,548000.000000,,,8271000.000000,238835000.000000,63527000.000000,4689000.000000,,,,58838000.000000,63527000.000000,302362000.000000,,63892000.000000,329028000.000000,532693000.000000,13000000.000000,519693000.000000,532693000.000000,,-18183000.000000,907430000.000000,1209792000.000000,1129925000.000000
12M 2017,,,374230000.000000,176350000.000000,162500000.000000,13850000.000000,176350000.000000,18538000.000000,18538000.000000,,18538000.000000,108679000.000000,,119199000.000000,796996000.000000,,559000.000000,,559000.000000,559000.000000,222537000.000000,90664000.000000,85448000.000000,15989000.000000,35801000.000000,110669000.000000,561667000.000000,1358663000.000000,,,327508000.000000,,,152953000.000000,,152953000.000000,,42017000.000000,42017000.000000,117046000.000000,453000.000000,,,15039000.000000,327508000.000000,73016000.000000,3919000.000000,,,,69097000.000000,73016000.000000,400524000.000000,,63892000.000000,329028000.000000,584754000.000000,13000000.000000,571754000.000000,584754000.000000,151000.000000,-19686000.000000,958139000.000000,1358663000.000000,1129925000.000000
