Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Karyawan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,520643000.000000,,520643000.000000,-133249000.000000,-39195000.000000,-94054000.000000,-133249000.000000,387394000.000000,-145201000.000000,25000.000000,-125251000.000000,667000.000000,-20642000.000000,-145201000.000000,242193000.000000,-125720000.000000,,,,-125720000.000000,116473000.000000,11766000.000000,11766000.000000,11766000.000000,128239000.000000,116473000.000000,63705000.000000,52768000.000000,116473000.000000,128239000.000000,70027000.000000,58212000.000000,128239000.000000
12M 2021,537362000.000000,,537362000.000000,-135307000.000000,-39100000.000000,-96207000.000000,-135307000.000000,402055000.000000,-109219000.000000,24000.000000,-86164000.000000,-137000.000000,-22942000.000000,-109219000.000000,292836000.000000,-134067000.000000,,,,-134067000.000000,158769000.000000,3032000.000000,3032000.000000,3032000.000000,161801000.000000,158769000.000000,86097000.000000,72672000.000000,158769000.000000,161801000.000000,87722000.000000,74079000.000000,161801000.000000
12M 2022,569780000.000000,,569780000.000000,-142487000.000000,-39835000.000000,-102652000.000000,-142487000.000000,427293000.000000,-107729000.000000,2886000.000000,-85078000.000000,-1940000.000000,-23597000.000000,-107729000.000000,319564000.000000,-147004000.000000,,,,-147004000.000000,172560000.000000,652000.000000,652000.000000,652000.000000,173212000.000000,172560000.000000,91126000.000000,81434000.000000,172560000.000000,173212000.000000,91493000.000000,81719000.000000,173212000.000000
12M 2023,594937000.000000,,594937000.000000,-152251000.000000,-40181000.000000,-112070000.000000,-152251000.000000,442686000.000000,-151265000.000000,11399000.000000,-136488000.000000,-2859000.000000,-23317000.000000,-151265000.000000,291421000.000000,-146152000.000000,,,,-146152000.000000,145269000.000000,-878000.000000,-878000.000000,-878000.000000,144391000.000000,145269000.000000,107417000.000000,37852000.000000,145269000.000000,144391000.000000,106719000.000000,37672000.000000,144391000.000000
12M 2024,596823000.000000,,596823000.000000,-155628000.000000,-39210000.000000,-116418000.000000,-155628000.000000,441195000.000000,-143099000.000000,15397000.000000,-134472000.000000,-202000.000000,-23822000.000000,-143099000.000000,298096000.000000,-143013000.000000,,,,-143013000.000000,155083000.000000,-890000.000000,-890000.000000,-890000.000000,154193000.000000,155083000.000000,122108000.000000,32975000.000000,155083000.000000,154193000.000000,121249000.000000,32944000.000000,154193000.000000
