Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Sewa Pembiayaan,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Sewa Pembiayaan,Aset Tetap,Aset Tak Berwujud,Aset Eksplorasi Dan Evaluasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Pinjaman Jangka Pendek,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Pinjaman Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,123260000.000000,100064000.000000,100064000.000000,,100064000.000000,6570000.000000,17154000.000000,191016000.000000,438064000.000000,,64072000.000000,63769000.000000,303000.000000,64072000.000000,387692000.000000,409291000.000000,1631956000.000000,,401023000.000000,2894034000.000000,3332098000.000000,,,134086000.000000,,11591000.000000,270000.000000,11861000.000000,,30607000.000000,30607000.000000,48786000.000000,41614000.000000,1218000.000000,134086000.000000,2356861000.000000,,,,,6796000.000000,1569871000.000000,746574000.000000,,33620000.000000,2356861000.000000,2490947000.000000,,80000.000000,750083000.000000,276156000.000000,,,276156000.000000,423392000.000000,-608560000.000000,841151000.000000,3332098000.000000,1250.000000
12M 2021,,,203350000.000000,95007000.000000,95007000.000000,,95007000.000000,7272000.000000,14811000.000000,204747000.000000,525187000.000000,,71220000.000000,70910000.000000,310000.000000,71220000.000000,380420000.000000,488691000.000000,1575363000.000000,,401021000.000000,2916715000.000000,3441902000.000000,,,138101000.000000,,11930000.000000,263000.000000,12193000.000000,,29396000.000000,29396000.000000,53095000.000000,41184000.000000,2233000.000000,138101000.000000,2321019000.000000,,,,,6718000.000000,1531636000.000000,752396000.000000,,30269000.000000,2321019000.000000,2459120000.000000,,80000.000000,750083000.000000,354643000.000000,,,354643000.000000,486536000.000000,-608560000.000000,982782000.000000,3441902000.000000,1250.000000
12M 2022,,,169331000.000000,126758000.000000,126758000.000000,,126758000.000000,8052000.000000,13286000.000000,186537000.000000,503964000.000000,,59212000.000000,58970000.000000,242000.000000,59212000.000000,372368000.000000,616806000.000000,1442238000.000000,,399134000.000000,2889758000.000000,3393722000.000000,,,126831000.000000,,7089000.000000,36000.000000,7125000.000000,,31134000.000000,31134000.000000,48025000.000000,38000000.000000,2547000.000000,126831000.000000,2831889000.000000,,,,,6093000.000000,2027100000.000000,761391000.000000,,37305000.000000,2831889000.000000,2958720000.000000,,1248120000.000000,-497917000.000000,410136000.000000,,,410136000.000000,243497000.000000,-968834000.000000,435002000.000000,3393722000.000000,19465683.000000
12M 2023,,,247787000.000000,109338000.000000,109338000.000000,,109338000.000000,8919000.000000,14854000.000000,271889000.000000,652787000.000000,,57162000.000000,57162000.000000,,57162000.000000,363449000.000000,593645000.000000,1442058000.000000,5125000.000000,394205000.000000,2855644000.000000,3508431000.000000,,,236296000.000000,,15367000.000000,,15367000.000000,,42457000.000000,42457000.000000,42236000.000000,134792000.000000,1444000.000000,236296000.000000,2621797000.000000,,,,,6218000.000000,1849737000.000000,726462000.000000,,39380000.000000,2621797000.000000,2858093000.000000,,1286720000.000000,-338977000.000000,483988000.000000,911000.000000,483077000.000000,483988000.000000,206229000.000000,-987622000.000000,650338000.000000,3508431000.000000,133786220000.000000
12M 2024,,,162724000.000000,112629000.000000,112629000.000000,,112629000.000000,9883000.000000,23301000.000000,350250000.000000,658787000.000000,,68891000.000000,68891000.000000,,68891000.000000,353566000.000000,835958000.000000,1462429000.000000,7009000.000000,400873000.000000,3128726000.000000,3787513000.000000,,,355736000.000000,,21104000.000000,97000.000000,21201000.000000,,42950000.000000,42950000.000000,87119000.000000,202613000.000000,1853000.000000,355736000.000000,2699244000.000000,7377000.000000,,,7377000.000000,5931000.000000,1894624000.000000,746081000.000000,,45231000.000000,2699244000.000000,3054980000.000000,,1286720000.000000,-338977000.000000,557257000.000000,2011000.000000,555246000.000000,557257000.000000,215671000.000000,-988138000.000000,732533000.000000,3787513000.000000,133786220000.000000
