Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Pihak Ketiga Lainnya,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Lainnya,Pembayaran Pajak Penghasilan,Pembayaran Beban Keuangan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Aset Tidak Lancar Lain-Lain,Perolehan Aset Tetap,Penambahan Biaya Pengembangan Proyek,Penambahan Aset Sewa Operasi,Penambahan Biaya Ditangguhkan,Penambahan Aset Eksplorasi Dan Evaluasi,Penambahan Barang Modal Dan Peralatan,Pembayaran Pinjaman Novasi,Penambahan Aset Tidak Berwujud,Akuisisi Entitas Anak,Uang Muka Untuk Akuisisi Pihak Non-Pengendali,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank,Penerimaan Dari Senior Secured Notes,Pembayaran Kembali Utang Bank,Pembayaran Senior Secured Notes,Pembagian Dividen Kepada Kepentingan Non-Pengendali Di Anak Perusahaan,Pembagian Dividen Kepada Pemilik Entitas Induk,Penurunan Pada Kas Yang Dibatasi Penggunaannya,Kenaikan Pada Kas Yang Dibatasi Penggunaannya,Pembagian Kas Dari Pengurangan Modal,Pembayaran Atas Porsi Pokok Liabilitas Sewa,Penerbitan Saham Baru,Pembayaran Biaya Emisi Saham,Akuisisi Kepemilikan Di Entitas Anak Dari Pihak Non-Pengendali,Pembayaran Biaya Transaksi Akuisisi Kepemilikan Di Entitas Anak,Penerimaan Atas Biaya Keuangan,Pembayaran Atas Biaya Keuangan,Penyelesaian Transaksi Swap,Biaya Pembatalan Tranche B,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,218060000.000000,529518000.000000,-100654000.000000,,25000.000000,-340000.000000,-134272000.000000,-76217000.000000,,,218060000.000000,-25104000.000000,,,,-23272000.000000,-973000.000000,,-859000.000000,,,,,-25104000.000000,-108677000.000000,,1110000000.000000,-955975000.000000,-7540000.000000,-47531000.000000,,342219000.000000,-396592000.000000,-112668000.000000,-3970000.000000,,,,,,-15911000.000000,-16709000.000000,-4000000.000000,-108677000.000000,,84279000.000000,,38981000.000000,123260000.000000
12M 2021,234932000.000000,538132000.000000,-91412000.000000,,24000.000000,-524000.000000,-127461000.000000,-83827000.000000,,,234932000.000000,-77484000.000000,-1003000.000000,-48098000.000000,,-23476000.000000,-3614000.000000,,,,-1293000.000000,,,-77484000.000000,-77358000.000000,,,,-41614000.000000,-10935000.000000,-9235000.000000,177384000.000000,-190673000.000000,,-2910000.000000,,,,,625000.000000,,,,-77358000.000000,,80090000.000000,,123260000.000000,203350000.000000
12M 2022,237585000.000000,556108000.000000,-112027000.000000,,2886000.000000,-585000.000000,-127505000.000000,-81292000.000000,,,237585000.000000,-60871000.000000,-224000.000000,-26790000.000000,,-24144000.000000,-9267000.000000,,,,-446000.000000,,,-60871000.000000,-210733000.000000,650450000.000000,,-110000000.000000,-41184000.000000,-40032000.000000,-36000000.000000,190287000.000000,-171418000.000000,,-2426000.000000,40000.000000,,-645000000.000000,,,-5450000.000000,,,-210733000.000000,,-34019000.000000,,203350000.000000,169331000.000000
12M 2023,227207000.000000,625585000.000000,-104855000.000000,,11246000.000000,-411000.000000,-169059000.000000,-135299000.000000,,,227207000.000000,-38516000.000000,,-16397000.000000,,-8279000.000000,-4736000.000000,-3454000.000000,-482000.000000,,,-5168000.000000,,-38516000.000000,-110235000.000000,43550000.000000,,-90000000.000000,-38000000.000000,-25210000.000000,-32867000.000000,140074000.000000,-227720000.000000,,-2330000.000000,200718000.000000,-3178000.000000,-69811000.000000,-5461000.000000,,,,,-110235000.000000,,78456000.000000,,169331000.000000,247787000.000000
12M 2024,268410000.000000,607927000.000000,-89347000.000000,,15397000.000000,-592000.000000,-154084000.000000,-110891000.000000,,,268410000.000000,-227647000.000000,,-109552000.000000,-1448000.000000,-794000.000000,-4743000.000000,-1884000.000000,-3067000.000000,-5156000.000000,,-101003000.000000,,-227647000.000000,-125826000.000000,199167000.000000,,-89468000.000000,-82167000.000000,-28001000.000000,-48496000.000000,456438000.000000,-531093000.000000,,-2206000.000000,,,,,,,,,-125826000.000000,,-85063000.000000,,247787000.000000,162724000.000000
