Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Utang Pajak,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang Lainnya,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,104153.000000,11368722.000000,6609439.000000,4759283.000000,11368722.000000,237442.000000,5711.000000,231731.000000,237442.000000,183742.000000,11894059.000000,,68804544.000000,956669.000000,69761213.000000,81655272.000000,,,61033104.000000,,1812936.000000,166607.000000,1979543.000000,379239.000000,336966.000000,,,33217336.000000,33217336.000000,2500000.000000,19418192.000000,3201828.000000,61033104.000000,8552010.000000,833501.000000,7704000.000000,14509.000000,8552010.000000,69585114.000000,,267809.000000,,11802349.000000,11802349.000000,11802349.000000,,12070158.000000,81655272.000000,625080000.000000
12M 2013,,,217621.000000,15876807.000000,10437024.000000,5439783.000000,15876807.000000,250215.000000,249459.000000,756.000000,250215.000000,412674.000000,16757317.000000,,71061144.000000,1396769.000000,72457913.000000,89215230.000000,,,63946671.000000,,2536316.000000,36595.000000,2572911.000000,212633.000000,328110.000000,,20887.000000,44919261.000000,44940148.000000,2500000.000000,9186923.000000,4205946.000000,63946671.000000,9601461.000000,815399.000000,8769827.000000,16235.000000,9601461.000000,73548132.000000,,8421344.000000,222149.000000,7023605.000000,7023605.000000,7023605.000000,,15667098.000000,89215230.000000,833440000.000000
12M 2014,,,67680.000000,13976314.000000,7778841.000000,6197473.000000,13976314.000000,258728.000000,255739.000000,2989.000000,258728.000000,1158445.000000,15461167.000000,,63696622.000000,1494460.000000,65191082.000000,80652249.000000,,,64464436.000000,,2116056.000000,36595.000000,2152651.000000,183399.000000,354538.000000,,74573.000000,50009502.000000,50084075.000000,2500000.000000,4108783.000000,5080990.000000,64464436.000000,5760427.000000,984949.000000,4740494.000000,34984.000000,5760427.000000,70224863.000000,,8421344.000000,222149.000000,1783893.000000,1783893.000000,1783893.000000,,10427386.000000,80652249.000000,833440000.000000
12M 2015,,,101614.000000,9303723.000000,6515281.000000,2788442.000000,9303723.000000,267698.000000,249183.000000,18515.000000,267698.000000,875887.000000,10548922.000000,,57374923.000000,1072591.000000,58447514.000000,68996436.000000,,,63495072.000000,,2575944.000000,,2575944.000000,187557.000000,347171.000000,,121860.000000,49750234.000000,49872094.000000,2500000.000000,2828282.000000,5184024.000000,63495072.000000,2824327.000000,770025.000000,1988712.000000,65590.000000,2824327.000000,66319399.000000,,8421344.000000,222149.000000,-5954277.000000,-5954277.000000,-5954277.000000,-12179.000000,2677037.000000,68996436.000000,833440000.000000
12M 2016,,,109706.000000,9872418.000000,6660412.000000,3212006.000000,9872418.000000,375374.000000,359074.000000,16300.000000,375374.000000,549513.000000,10907011.000000,,49451729.000000,2149060.000000,51600789.000000,62507800.000000,,,63741742.000000,,2504652.000000,,2504652.000000,26699.000000,670853.000000,,601180.000000,51427734.000000,52028914.000000,2500000.000000,813970.000000,5196654.000000,63741742.000000,2003442.000000,788580.000000,1173852.000000,41010.000000,2003442.000000,65745184.000000,,8421344.000000,222149.000000,-11869906.000000,-11869906.000000,-11869906.000000,-10971.000000,-3237384.000000,62507800.000000,833440000.000000
12M 2017,,,59412.000000,10596608.000000,6076535.000000,4520073.000000,10596608.000000,2474939.000000,1846569.000000,628370.000000,2474939.000000,591557.000000,13722516.000000,,43895628.000000,120663.000000,44016291.000000,57738807.000000,,,64456682.000000,,2324756.000000,,2324756.000000,49681.000000,811485.000000,,285556.000000,51907311.000000,52192867.000000,2500000.000000,1238518.000000,5339375.000000,64456682.000000,816199.000000,788580.000000,,27619.000000,816199.000000,65272881.000000,,8421344.000000,222149.000000,-16182412.000000,-16182412.000000,-16182412.000000,4845.000000,-7534074.000000,57738807.000000,833440000.000000
12M 2018,,,35599.000000,6578167.000000,6033441.000000,544726.000000,6578167.000000,1142720.000000,1114106.000000,28614.000000,1142720.000000,831005.000000,8587491.000000,,30417685.000000,5292440.000000,35710125.000000,44297616.000000,,,55580348.000000,,2536476.000000,,2536476.000000,24000.000000,940518.000000,,309709.000000,45600721.000000,45910430.000000,2500000.000000,,3668924.000000,55580348.000000,479263.000000,423257.000000,,56006.000000,479263.000000,56059611.000000,,8421344.000000,222149.000000,-20411126.000000,-20411126.000000,-20411126.000000,5638.000000,-11761995.000000,44297616.000000,833440000.000000
12M 2019,,,32113.000000,1288714.000000,1052485.000000,236229.000000,1288714.000000,1179065.000000,1150615.000000,28450.000000,1179065.000000,6481.000000,2506373.000000,,26366025.000000,200902.000000,26566927.000000,29073300.000000,,,51236860.000000,,1948402.000000,,1948402.000000,514789.000000,2043463.000000,,304825.000000,42956229.000000,43261054.000000,2500000.000000,,969152.000000,51236860.000000,326982.000000,206371.000000,,120611.000000,326982.000000,51563842.000000,,8421344.000000,222149.000000,-31151807.000000,-31151807.000000,-31151807.000000,17772.000000,-22490542.000000,29073300.000000,833440000.000000
12M 2020,,,39746.000000,1601092.000000,1102666.000000,498426.000000,1601092.000000,258673.000000,224311.000000,34362.000000,258673.000000,224947.000000,2124458.000000,,21921941.000000,140677.000000,22062618.000000,24187076.000000,,,48495181.000000,,1797946.000000,,1797946.000000,241548.000000,1365414.000000,,263187.000000,41408478.000000,41671665.000000,2500000.000000,,918608.000000,48495181.000000,46776.000000,,,46776.000000,46776.000000,48541957.000000,,8421344.000000,222149.000000,-33012986.000000,-33012986.000000,-33012986.000000,14612.000000,-24354881.000000,24187076.000000,833440000.000000
12M 2021,,,1149497.000000,1597022.000000,1097688.000000,499334.000000,1597022.000000,159074.000000,126512.000000,32562.000000,159074.000000,245079.000000,3150672.000000,,16809669.000000,31713.000000,16841382.000000,19992054.000000,,,46200911.000000,,1495323.000000,,1495323.000000,193196.000000,265236.000000,,212128.000000,41616420.000000,41828548.000000,1500000.000000,,918608.000000,46200911.000000,66311.000000,,,66311.000000,66311.000000,46267222.000000,,8421344.000000,222149.000000,-34941032.000000,-34941032.000000,-34941032.000000,22371.000000,-26275168.000000,19992054.000000,833440000.000000
