Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Penghasilan Bunga Yang Diterima,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Dari Uang Muka Penjualan Aset Tetap,Penerimaan Penjualan Aset Tetap,Pembayaran Pengedokan Kapal,Penambahan Dana Yang Dibatasi Penggunaannya,Penerimaan Dana Yang Dibatasi Penggunaannya,Penerimaan Dari Penjualan Aset Tidak Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank Jangka Pendek,Penerimaan Atas Penawaran Umum Perdana Saham,Biaya Emisi Saham,Pinjaman Bank Jangka Panjang,Penerimaan,Pembayaran,Total Pinjaman Bank Jangka Panjang,Pembayaran Bunga,Utang Kepada Pemegang Saham,Penerimaan,Pembayaran,Total Utang Kepada Pemegang Saham,Utang Lain-Lain Kepada Pihak Berelasi,Penerimaan,Pembayaran,Total Utang Lain-Lain Kepada Pihak Berelasi,Utang Nonusaha Kepada Pihak Ketiga,Penerimaan,Pembayaran,Total Utang Nonusaha Kepada Pihak Ketiga,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2012,7360386.000000,15878233.000000,-6752604.000000,-1520361.000000,7082.000000,-251964.000000,7360386.000000,-7292969.000000,-3386654.000000,-3593582.000000,,,-212733.000000,-100000.000000,,,-7292969.000000,-2044426.000000,2500000.000000,,,,2880002.000000,-8763714.000000,-5883712.000000,-1260714.000000,,1800000.000000,,1800000.000000,,800000.000000,,800000.000000,,,,,-2044426.000000,-8683.000000,-1985692.000000,2089845.000000,104153.000000
12M 2013,7355715.000000,13307924.000000,-4425981.000000,-1370627.000000,14152.000000,-169753.000000,7355715.000000,-3143513.000000,-2677624.000000,,,,-456781.000000,-9108.000000,,,-3143513.000000,-4111585.000000,,,,,,-9165442.000000,-9165442.000000,-1018948.000000,,1110000.000000,,1110000.000000,,4962805.000000,,4962805.000000,,,,,-4111585.000000,12851.000000,113468.000000,104153.000000,217621.000000
12M 2014,3858906.000000,12095343.000000,-5923362.000000,-2057408.000000,10775.000000,-266442.000000,3858906.000000,-108691.000000,-11000.000000,,,,-88271.000000,-9420.000000,,,-108691.000000,-3903939.000000,,,,,,-9107473.000000,-9107473.000000,-674963.000000,,788256.000000,,788256.000000,,5090241.000000,,5090241.000000,,,,,-3903939.000000,3783.000000,-149941.000000,217621.000000,67680.000000
12M 2015,1645022.000000,9222619.000000,-5623127.000000,-1923302.000000,3899.000000,-35067.000000,1645022.000000,-1014005.000000,-637899.000000,,,,-279496.000000,-209610.000000,113000.000000,,-1014005.000000,-596600.000000,,,,,,-4032283.000000,-4032283.000000,-353042.000000,,462574.000000,-380831.000000,81743.000000,,3728942.000000,-21960.000000,3706982.000000,,,,,-596600.000000,-483.000000,33934.000000,67680.000000,101614.000000
12M 2016,-108548.000000,3801663.000000,-2568538.000000,-1316159.000000,848.000000,-26362.000000,-108548.000000,-763504.000000,-99528.000000,,,,-27544.000000,-637072.000000,640.000000,,-763504.000000,879115.000000,,,,,,-2829172.000000,-2829172.000000,-186536.000000,,13413.000000,-10459.000000,2954.000000,,3904694.000000,-284835.000000,3619859.000000,,456881.000000,-184871.000000,272010.000000,879115.000000,1029.000000,8092.000000,101614.000000,109706.000000
12M 2017,-554195.000000,1592085.000000,-1544203.000000,-569130.000000,90.000000,-33037.000000,-554195.000000,755228.000000,,,,838735.000000,-83507.000000,,,,755228.000000,-251155.000000,,,,,,-749304.000000,-749304.000000,-116532.000000,,15721.000000,-12086.000000,3635.000000,,954537.000000,-347710.000000,606827.000000,,150191.000000,-145972.000000,4219.000000,-251155.000000,-172.000000,-50294.000000,109706.000000,59412.000000
12M 2018,-1402930.000000,724521.000000,-1527736.000000,-599432.000000,84.000000,-367.000000,-1402930.000000,1913481.000000,-2408.000000,,1915889.000000,,,,,,1913481.000000,-534064.000000,,,,,,-1238518.000000,-1238518.000000,-62064.000000,,12015.000000,-11215.000000,800.000000,,950878.000000,-209322.000000,741556.000000,,25335.000000,-1173.000000,24162.000000,-534064.000000,-300.000000,-23813.000000,59412.000000,35599.000000
12M 2019,-709805.000000,416682.000000,-641394.000000,-383301.000000,237.000000,-102029.000000,-709805.000000,1479325.000000,,,441208.000000,,-117773.000000,,,1155890.000000,1479325.000000,-773060.000000,,,,,,,,-75214.000000,,40352.000000,-170605.000000,-130253.000000,,279820.000000,-863185.000000,-583365.000000,,15772.000000,,15772.000000,-773060.000000,54.000000,-3486.000000,35599.000000,32113.000000
12M 2020,-3646.000000,833601.000000,-341222.000000,-477579.000000,350.000000,-18796.000000,-3646.000000,-30999.000000,,,,,-30999.000000,,,,-30999.000000,41920.000000,,,,,,,,-46984.000000,,2500.000000,-2526.000000,-26.000000,,120002.000000,-31087.000000,88915.000000,,3415.000000,-3400.000000,15.000000,41920.000000,358.000000,7633.000000,32113.000000,39746.000000
12M 2021,-1585427.000000,1236654.000000,-1520158.000000,-1103522.000000,2556.000000,-200957.000000,-1585427.000000,2133810.000000,-1754.000000,,,2135564.000000,,,,,2133810.000000,533803.000000,,,,,,-1000000.000000,-1000000.000000,-27271.000000,,,,,,1345909.000000,-179821.000000,1166088.000000,,679952.000000,-284966.000000,394986.000000,533803.000000,27565.000000,1109751.000000,39746.000000,1149497.000000
