Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2015,(686 B),(124 B),(810 B),-969624.41
12M 2016,"(3,035 B)",(832 B),"(3,867 B)",-146.70
12M 2017,"(2,414 B)","(1,302 B)","(3,716 B)",-140.97
12M 2018,"1,818 B","(1,272 B)",546 B,20.71
12M 2019,26 B,(926 B),(899 B),-34.12
12M 2020,561 B,(162 B),399 B,15.14
12M 2021,(19 B),(0 B),(19 B),-0.72
12M 2022,152 B,(2 B),150 B,5.70
12M 2023,(106 B),(1 B),(107 B),-1.97
12M 2024,82 B,(6 B),76 B,1.39
