Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2015,0.00,1593696.92,0.00,1593696.92,302 B,459 B,761 B,663 B,"(1,429 B)"
12M 2016,1.98,280.92,1.98,280.92,"1,907 B","1,449 B","3,356 B",(850 B),"3,366 B"
12M 2017,1.47,277.55,1.47,277.55,"4,988 B",,"4,988 B","3,960 B","3,982 B"
12M 2018,1.26,299.01,1.26,299.01,"5,463 B",,"5,463 B","4,164 B","2,909 B"
12M 2019,0.99,308.58,0.99,308.58,"4,091 B","3,980 B","8,072 B","7,602 B","3,715 B"
12M 2020,-8.26,-33.16,-8.26,-33.16,"3,669 B","4,019 B","7,688 B","7,444 B","(3,360 B)"
12M 2021,-1.08,-105.40,-1.08,-105.40,"5,862 B",13 B,"5,875 B","5,782 B","(5,440 B)"
12M 2022,-1.19,-79.78,-1.19,-79.78,"2,522 B","1,739 B","4,261 B","4,022 B","(4,288 B)"
12M 2023,-4.11,-12.18,-4.11,-12.18,671 B,"2,690 B","3,361 B","3,240 B",(968 B)
12M 2024,-0.56,-28.55,-0.56,-28.55,671 B,"2,891 B","3,562 B","3,357 B","(1,177 B)"
