Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Pendapatan Bersih Ventura Bersama,Laba Kotor Setelah Ventura Bersama,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,2644319999853.000000,-2224889972556.000000,419430027297.000000,,419430027297.000000,-56075404982.000000,-2321834794.000000,-53753570188.000000,-56075404982.000000,363354622315.000000,-17804410220.000000,-19581814877.000000,2359244674.000000,-557470218.000000,,-24369799.000000,-17804410220.000000,345550212095.000000,-11180627089.000000,-11180627089.000000,,-11180627089.000000,334369585006.000000,94649958802.000000,429019543808.000000,334369585006.000000,334369585006.000000,,334369585006.000000,429019543808.000000,429019543808.000000,,429019543808.000000
12M 2016,4717150071779.000000,-3667087981947.000000,1050062089832.000000,16715621117.000000,1066777710949.000000,-97012206655.000000,-4280880513.000000,-92731326142.000000,-97012206655.000000,969765504294.000000,-2420954278.000000,-45153615414.000000,58048439682.000000,-197471592.000000,,-15118306954.000000,-2420954278.000000,967344550016.000000,-332525025124.000000,-335518156838.000000,2993131714.000000,-332525025124.000000,634819524892.000000,451511906.000000,635271036798.000000,634819524892.000000,634819524892.000000,,634819524892.000000,635271036798.000000,635271036798.000000,,635271036798.000000
12M 2017,7104157901230.000000,-5155966777478.000000,1948191123752.000000,-3354253842.000000,1944836869910.000000,-414514476793.000000,-6990531406.000000,-407523945387.000000,-414514476793.000000,1530322393117.000000,-374088381104.000000,-462208188431.000000,87893613760.000000,-145297657.000000,,371491224.000000,-374088381104.000000,1156234012013.000000,-155903861503.000000,-155903861503.000000,,-155903861503.000000,1000330150510.000000,4188382734.000000,1004518533244.000000,1000330150510.000000,1000330150510.000000,,1000330150510.000000,1004518533244.000000,1004518533244.000000,,1004518533244.000000
12M 2018,8000149423527.000000,-6153867715706.000000,1846281707821.000000,,1846281707821.000000,-196479227148.000000,-7987878198.000000,-188491348950.000000,-196479227148.000000,1649802480673.000000,-294254169069.000000,-331723112056.000000,11186002756.000000,-1105532031.000000,-38587250567.000000,65975722829.000000,-294254169069.000000,1355548311604.000000,-252075523422.000000,-211680901266.000000,-40394622156.000000,-252075523422.000000,1103472788182.000000,212431924745.000000,1315904712927.000000,1103472788182.000000,1103472788182.000000,,1103472788182.000000,1315904712927.000000,1315904712927.000000,,1315904712927.000000
12M 2019,7467175916375.000000,-5904248163360.000000,1562927753015.000000,,1562927753015.000000,-273932420696.000000,-13453058225.000000,-260479362471.000000,-273932420696.000000,1288995332319.000000,-339905196775.000000,-312445392896.000000,9140719517.000000,152199301.000000,-39322731339.000000,2570008642.000000,-339905196775.000000,949090135544.000000,-142941382618.000000,-119703990464.000000,-23237392154.000000,-142941382618.000000,806148752926.000000,-2304135020.000000,803844617906.000000,806148752926.000000,806148752926.000000,,806148752926.000000,803844617906.000000,803844617906.000000,,803844617906.000000
12M 2020,2211413142070.000000,-2264507177589.000000,-53094035519.000000,,-53094035519.000000,-1568568111617.000000,-349200187029.000000,-1219367924588.000000,-1568568111617.000000,-1621662147136.000000,-2500229562417.000000,-761342954810.000000,3645844618.000000,-281423727.000000,-19429250144.000000,-1722821778354.000000,-2500229562417.000000,-4121891709553.000000,-165419666542.000000,,-165419666542.000000,-165419666542.000000,-4287311376095.000000,-57694224210.000000,-4345005600305.000000,-4287311376095.000000,-4287311376095.000000,,-4287311376095.000000,-4345005600305.000000,-4345005600305.000000,,-4345005600305.000000
12M 2021,1380071332830.000000,-1073122548594.000000,306948784236.000000,,306948784236.000000,-1371772994133.000000,-154906009569.000000,-1216866984564.000000,-1371772994133.000000,-1064824209897.000000,-878538228499.000000,-617250878677.000000,1165943389.000000,515902590.000000,-8654167357.000000,-254315028444.000000,-878538228499.000000,-1943362438396.000000,,,,,-1943362438396.000000,38936554547.000000,-1904425883849.000000,-1943362438396.000000,-1943362438396.000000,,-1943362438396.000000,-1904425883849.000000,-1904425883849.000000,,-1904425883849.000000
12M 2022,2062171056660.000000,-1757946301923.000000,304224754737.000000,,304224754737.000000,-660682802464.000000,-117165244103.000000,-543517558361.000000,-660682802464.000000,-356458047727.000000,1032227725218.000000,-451275271676.000000,1848023168.000000,294219783.000000,-4465123541.000000,1485825877484.000000,1032227725218.000000,675769677491.000000,,,,,675769677491.000000,-449111915.000000,675320565576.000000,675769677491.000000,675769677491.000000,,675769677491.000000,675320565576.000000,675320565576.000000,,675320565576.000000
12M 2023,1487587869182.000000,-1496422947848.000000,-8835078666.000000,,-8835078666.000000,-600157587848.000000,-93827185052.000000,-506330402796.000000,-600157587848.000000,-608992666514.000000,615292950323.000000,-246964100404.000000,2131062433.000000,-63617835.000000,-1275123574.000000,861464729703.000000,615292950323.000000,6300283809.000000,,,,,6300283809.000000,-151662160.000000,6148621649.000000,6300283809.000000,6300283809.000000,,6300283809.000000,6148621649.000000,6148621649.000000,,6148621649.000000
12M 2024,1971896434453.000000,-1602221726484.000000,369674707969.000000,,369674707969.000000,-611113019237.000000,-137382281636.000000,-473730737601.000000,-611113019237.000000,-241438311268.000000,-755863539491.000000,-283912861098.000000,2628660841.000000,6981533.000000,-7387409122.000000,-467198911645.000000,-755863539491.000000,-997301850759.000000,,,,,-997301850759.000000,77087819833.000000,-920214030926.000000,-997301850759.000000,-997301850759.000000,,-997301850759.000000,-920214030926.000000,-920214030926.000000,,-920214030926.000000
