Period,Arus Kas Dari Aktivitas Operasi,Penerimaandari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Pinjaman,Penerimaan Jasa Giro Dan Deposito Berjangka,Pembayaran Denda Pajak,Penerimaan Hasil Restitusi Ppn,Pembayaran Pajak,Penerimaan Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penempatan Pada Ventura Bersama,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Biaya Dibayar Dimuka Atas Emisi Saham,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Pembayaran Beban Pinjaman,Penerimaan Setoran Modal,Pembayaran Liabilitas Sewa,Penerimaan Tambahan Setoran Modal,Pembayaran Dividen Tunai,Pembelian Kembali Saham Beredar,Penerimaan Pinjaman Dari Pemegang Saham,Penerimaan Obligasi,Biaya Emisi Obligasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2015,-686135441847.000000,573118833278.000000,-1238658566622.000000,-13381507370.000000,,2359292545.000000,,,-9573493678.000000,,-686135441847.000000,-123555236321.000000,-123555236321.000000,,,-123555236321.000000,635655313244.000000,,500655313244.000000,,,135000000000.000000,,,,,,,,635655313244.000000,-174035364924.000000,272221266941.000000,,98185902017.000000
12M 2016,-3034905406375.000000,978966203756.000000,-3620933382811.000000,-86446281889.000000,-120403722969.000000,58067622176.000000,,,-244155844638.000000,,-3034905406375.000000,-833319532443.000000,-832216018443.000000,,-1103514000.000000,-833319532443.000000,7975859442472.000000,-86210357848.000000,3367539220690.000000,-772256290370.000000,,5466786870000.000000,,,,,,,,7975859442472.000000,4107634503654.000000,98185902017.000000,,4205820405671.000000
12M 2017,-2413798672493.000000,4693276446278.000000,-5976491111444.000000,-431922927231.000000,-469743788352.000000,87893613760.000000,-53000134.000000,,-316757905370.000000,,-2413798672493.000000,-1302336089771.000000,-1302336089771.000000,,,-1302336089771.000000,538659938611.000000,,3182023423397.000000,-1550000000000.000000,,,,,-317409762446.000000,-775953722340.000000,,,,538659938611.000000,-3177474823653.000000,4205820405671.000000,,1028345582018.000000
12M 2018,1818103331586.000000,11401174639156.000000,-7996351811508.000000,-810222569294.000000,-536712675803.000000,9308815329.000000,,222959929385.000000,-472052995679.000000,,1818103331586.000000,-1272087863733.000000,-1272087863733.000000,,,-1272087863733.000000,-275156832449.000000,,7918370560037.000000,-7443279779604.000000,,,,,-750247612882.000000,,,,,-275156832449.000000,270858635404.000000,1028345582018.000000,,1299204217422.000000
12M 2019,26265454496.000000,6030496433012.000000,-4862630886437.000000,-522395885448.000000,-481435406818.000000,7777361078.000000,,259595120109.000000,-405141281000.000000,,26265454496.000000,-925757937201.000000,-925757937201.000000,,,-925757937201.000000,69622035433.000000,,5385774621299.000000,-6753757606665.000000,,,,,-551607222015.000000,,,2000000000000.000000,-10787757186.000000,69622035433.000000,-829870447272.000000,1299204217422.000000,,469333770150.000000
12M 2020,561476766499.000000,3325422038384.000000,-2235338944559.000000,-507324458328.000000,-581545523626.000000,3004266332.000000,,605668823505.000000,-48409435209.000000,,561476766499.000000,-162359229167.000000,-162359229167.000000,,,-162359229167.000000,-624252454997.000000,,6601184520366.000000,-7023916470254.000000,,,,,-201520505109.000000,,,,,-624252454997.000000,-225134917665.000000,469333770150.000000,,244198852485.000000
12M 2021,-18561790720.000000,1496312823914.000000,-555898216730.000000,-375184379221.000000,-599595399628.000000,1156765779.000000,,37867327689.000000,-23220712523.000000,,-18561790720.000000,-387000000.000000,-387000000.000000,,,-387000000.000000,-131586157889.000000,,,-131586157889.000000,,,,,,,,,,-131586157889.000000,-150534948609.000000,244198852485.000000,,93663903876.000000
12M 2022,151945946515.000000,2117518639844.000000,-1642734172610.000000,-288188603875.000000,-14823644066.000000,1848023168.000000,,6208543282.000000,-27882839228.000000,,151945946515.000000,-1597600000.000000,-1597600000.000000,,,-1597600000.000000,-5359613880.000000,,,,,,-5359613880.000000,,,,,,,-5359613880.000000,144988732635.000000,93663903876.000000,294219783.000000,238946856294.000000
12M 2023,-106350093592.000000,1893344592840.000000,-1608346529333.000000,-275554973335.000000,-86867422530.000000,2131062433.000000,,,-31056823667.000000,,-106350093592.000000,-1144450000.000000,-1144450000.000000,,,-1144450000.000000,-10577034420.000000,,,,,,-10577034420.000000,,,,,,,-10577034420.000000,-118071578012.000000,238946856294.000000,-63617835.000000,120811660447.000000
12M 2024,82213389667.000000,2264905292822.000000,-2022128881587.000000,-135721515057.000000,-80117808222.000000,1841632928.000000,,10849588873.000000,-49510505690.000000,92095585600.000000,82213389667.000000,17115300958.000000,-6301115739.000000,23416416697.000000,,17115300958.000000,-14392922691.000000,,,-13420097691.000000,,,-972825000.000000,,,,,,,-14392922691.000000,84935767934.000000,120811660447.000000,6981533.000000,205754409914.000000
