Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Aset Tetap,Properti Pertambangan,Goodwill,Biaya Pengupasan Tanah Yang Ditangguhkan,Aset Eksplorasi Dan Evaluasi,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Obligasi Konversi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Lain-Lain,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,250150020957.000000,182129826325.000000,62008150736.000000,120121675589.000000,182129826325.000000,633033250.000000,,,633033250.000000,50570622934.000000,57444283448.000000,540927786914.000000,,12497453064.000000,3709227500.000000,8788225564.000000,12497453064.000000,5384584318.000000,108403595710.000000,55363359329.000000,,39351678015.000000,,227896505024.000000,,127445020083.000000,576342195543.000000,1117269982457.000000,,,235901444484.000000,50000000000.000000,,1781208009.000000,117749645562.000000,119530853571.000000,,,8605186130.000000,8605186130.000000,14438104166.000000,34294877343.000000,,112666230.000000,7941985794.000000,,8054652024.000000,977771250.000000,235901444484.000000,310141577998.000000,284720916664.000000,,,,70538706.000000,13747912628.000000,13818451334.000000,11602210000.000000,310141577998.000000,546043022482.000000,,500000000000.000000,,27492203401.000000,,,27492203401.000000,35222330999.000000,8512425575.000000,571226959975.000000,1117269982457.000000,5000000000.000000
12M 2011,,,1878790806278.000000,239712220903.000000,9861437844.000000,229850783059.000000,239712220903.000000,2161086224.000000,,,2161086224.000000,96197412402.000000,262818793281.000000,2479680319088.000000,,8788225564.000000,,8788225564.000000,8788225564.000000,13585019651.000000,265069415077.000000,48705991895.000000,,91756886816.000000,,310733801265.000000,,101982249051.000000,840621589319.000000,3320301908407.000000,,,457483283483.000000,,,240234043.000000,222935605445.000000,223175839488.000000,,,11973925249.000000,11973925249.000000,109700684962.000000,61437273207.000000,,70538706.000000,493377480.000000,20000000000.000000,20563916186.000000,30631644391.000000,457483283483.000000,22548748080.000000,14869315.000000,,,,,982618837.000000,982618837.000000,21551259928.000000,22548748080.000000,480032031563.000000,,588235300000.000000,2065277180390.000000,142268259176.000000,,,142268259176.000000,5317238455.000000,39171898823.000000,2840269876844.000000,3320301908407.000000,5882353000.000000
12M 2012,,,951348181514.000000,522301389273.000000,310868597812.000000,211432791461.000000,522301389273.000000,11658627561.000000,,,11658627561.000000,103220203378.000000,207683837048.000000,1796212238774.000000,,12651269204.000000,7225738397.000000,5425530807.000000,12651269204.000000,22263890156.000000,550663491903.000000,912025950423.000000,8703582324.000000,,,,,137805586649.000000,1644113770659.000000,3440326009433.000000,,,506386611524.000000,,,4710483186.000000,282307268337.000000,287017751523.000000,,,116051061763.000000,116051061763.000000,40422390607.000000,61255133881.000000,,,,,,1640273750.000000,506386611524.000000,32478604008.000000,148750.000000,,,,,,,32478455258.000000,32478604008.000000,538865215532.000000,,588235300000.000000,2062705870831.000000,216014545314.000000,1000000000.000000,215014545314.000000,216014545314.000000,5712178646.000000,28792899110.000000,2901460793901.000000,3440326009433.000000,5882353000.000000
12M 2013,,,780999288709.000000,717168786759.000000,533883844600.000000,183284942159.000000,717168786759.000000,6205528367.000000,,,6205528367.000000,148445755562.000000,209147196888.000000,1861966556285.000000,,10676900368.000000,6619340202.000000,4057560166.000000,10676900368.000000,42722171601.000000,694183880714.000000,1034625123061.000000,8703582324.000000,,,,,369515352956.000000,2160427011024.000000,4022393567309.000000,,,1015810673088.000000,58066371407.000000,,5237069515.000000,424107588529.000000,429344658044.000000,,,414828197540.000000,414828197540.000000,20688503129.000000,79364090523.000000,,,,,,13518852445.000000,1015810673088.000000,37607347698.000000,,,,,,,,37607347698.000000,37607347698.000000,1053418020786.000000,,588235300000.000000,2062587414338.000000,199852729706.000000,2000000000.000000,197852729706.000000,199852729706.000000,6882793725.000000,111417308754.000000,2968975546523.000000,4022393567309.000000,5882353000.000000
12M 2014,,,786436429465.000000,493658397433.000000,59527788009.000000,434130609424.000000,493658397433.000000,16602389703.000000,,,16602389703.000000,122374171018.000000,338729941715.000000,1757801329334.000000,,10921109498.000000,6583062908.000000,4338046590.000000,10921109498.000000,66304375104.000000,683585633245.000000,1082281028044.000000,8703582324.000000,,,,,312206295969.000000,2164002024184.000000,3921803353518.000000,,,796834747302.000000,62435946992.000000,,64930021404.000000,556811252972.000000,621741274376.000000,,125000000.000000,4445398735.000000,4570398735.000000,23217613782.000000,82378403417.000000,,,,,,2491110000.000000,796834747302.000000,44091088893.000000,,,,,,,,44091088893.000000,44091088893.000000,840925836195.000000,,588235300000.000000,2062587414338.000000,320640138264.000000,3000000000.000000,317640138264.000000,320640138264.000000,8776906844.000000,100637757877.000000,3080877517323.000000,3921803353518.000000,5882353000.000000
12M 2015,,,43421601.000000,56786206.000000,28763021.000000,28023185.000000,56786206.000000,32790467.000000,,,32790467.000000,16182172.000000,46556665.000000,195737111.000000,,710213.000000,481625.000000,228588.000000,710213.000000,8347649.000000,52972131.000000,63523845.000000,694774.000000,,,,,47681572.000000,173930184.000000,369667295.000000,,,70048270.000000,3369910.000000,,15126184.000000,39199019.000000,54325203.000000,,65676.000000,5480170.000000,5545846.000000,1415682.000000,4291379.000000,,,900000.000000,,900000.000000,200250.000000,70048270.000000,52107413.000000,,,480354.000000,,,48337500.000000,48337500.000000,3289559.000000,52107413.000000,122155683.000000,,65065961.000000,229019198.000000,26144016.000000,368787.000000,25775229.000000,26144016.000000,605517.000000,-73323080.000000,247511612.000000,369667295.000000,5882353000.000000
12M 2016,,,57769414.000000,44306258.000000,7383309.000000,36922949.000000,44306258.000000,33714997.000000,,,33714997.000000,8547808.000000,59073222.000000,203411699.000000,,258702.000000,83803.000000,174899.000000,258702.000000,7492986.000000,50349933.000000,83715917.000000,7854673.000000,,407270.000000,,,24178820.000000,174258301.000000,377670000.000000,,,53894292.000000,1319832.000000,,1512628.000000,33245151.000000,34757779.000000,,9303.000000,223939.000000,233242.000000,9433175.000000,7000014.000000,,,950000.000000,,950000.000000,200250.000000,53894292.000000,58857022.000000,,,7631191.000000,,,47387500.000000,47387500.000000,3838331.000000,58857022.000000,112751314.000000,,65065961.000000,229019198.000000,44531283.000000,441787.000000,44089496.000000,44531283.000000,833317.000000,-74531073.000000,264918686.000000,377670000.000000,5882353000.000000
12M 2017,,,175045058.000000,98700357.000000,30414911.000000,68285446.000000,98700357.000000,33176260.000000,,,33176260.000000,15960923.000000,91900155.000000,414782753.000000,,204350.000000,95934.000000,108416.000000,204350.000000,4666220.000000,55355314.000000,80705573.000000,7826415.000000,,429201.000000,,,26499558.000000,175686631.000000,590469384.000000,,,246554242.000000,20506459.000000,,567401.000000,107038770.000000,107606171.000000,,9226.000000,253756.000000,262982.000000,42624493.000000,16663914.000000,,,4702289.000000,,4702289.000000,54187934.000000,246554242.000000,51697031.000000,,,7572264.000000,,,39773757.000000,39773757.000000,4351010.000000,51697031.000000,298251273.000000,,65065961.000000,229019198.000000,72251470.000000,516287.000000,71735183.000000,72251470.000000,1334674.000000,-75453192.000000,292218111.000000,590469384.000000,5882353000.000000
12M 2018,,,78698801.000000,104894003.000000,17886316.000000,87007687.000000,104894003.000000,18499939.000000,,,18499939.000000,19439560.000000,106044260.000000,327576563.000000,,165258.000000,100220.000000,65038.000000,165258.000000,6018839.000000,71682384.000000,222528272.000000,24391364.000000,,416421.000000,,,48267529.000000,373470067.000000,701046630.000000,,,248222303.000000,36982888.000000,,879492.000000,147776841.000000,148656333.000000,,483814.000000,8032592.000000,8516406.000000,4818406.000000,26323275.000000,,,9183960.000000,,9183960.000000,13741035.000000,248222303.000000,137011411.000000,,33821056.000000,23558413.000000,,,74660777.000000,74660777.000000,4971165.000000,137011411.000000,385233714.000000,,65065961.000000,229019198.000000,96021812.000000,1516287.000000,94505525.000000,96021812.000000,1211348.000000,-75505403.000000,315812916.000000,701046630.000000,5882353000.000000
12M 2019,,,134509807.000000,118328946.000000,10818096.000000,107510850.000000,118328946.000000,9178286.000000,,9178286.000000,9178286.000000,22552076.000000,83194710.000000,367763825.000000,,8974629.000000,,8974629.000000,8974629.000000,7125962.000000,84856175.000000,226760401.000000,24391364.000000,,434176.000000,,,60339635.000000,412882342.000000,780646167.000000,,,277997670.000000,38030534.000000,,1167453.000000,169331860.000000,170499313.000000,,4643716.000000,345369.000000,4989085.000000,4353401.000000,43371104.000000,,,12117456.000000,,12117456.000000,4636777.000000,277997670.000000,144381487.000000,,25599649.000000,23475950.000000,,,85987472.000000,85987472.000000,9318416.000000,144381487.000000,422379157.000000,,65065961.000000,229019198.000000,138430698.000000,2516287.000000,135914411.000000,138430698.000000,2340988.000000,-76589835.000000,358267010.000000,780646167.000000,5882353000.000000
