Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kepada Kontraktor,Pemasok Dan Lainnya",Pembayaran Kepada Karyawan,Pembayaran Dhpb Dan Deadrent Kepada Pemerintah,Penghasilan Bunga,Pembayaran Beban Bunga Dan Keuangan Lainnya,Penerimaan Dari Pengembalian Tagihan Pajak Penghasilan,Pembayaran Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Biaya Eksplorasi Dan Pengembangan,Pembayaran Tambang Pada Tahap Produksi,Pembayaran Uang Muka Ganti Rugi Lahan,Pembayaran Piutang Lain-Lain - Pihak Ketiga,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Aset Tidak Lancar Lain-Lain,Penambahan Aset Pertambangan,Perubahan Dalam Dana Yang Dibatasi Pencairannya,Penerimaan Dari Piutang Lain-Lain - Pihak Ketiga,Penurunan/Kenaikan Uang Muka Pembelian Aset Tetap,Pencairan Deposito Berjangka,Penempatan Deposito Berjangka,Penempatan Investasi Saham,Arus Kas Keluar Bersih Dari Pelepasan Entitas Anak Setelah Dikurangi Saldo Kas Entitas Anak Pada Tanggal Akuisisi,Pembayaran Untuk Akuisisi Entitas Anak Setelah Dikurangi Saldo Kas Entitas Anak,Pembayaran Uang Muka Pembelian Tanah,Penurunan/Penambahan Aset Tidak Lancar,Penambahan Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Penambahan Investasi Saham Pada Anak Perusahaan Sebelum Pelepasan,Akuisisi Saham Anak Perusahaan Dari Kepentingan Nonpengendali,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Utang Bank Lembaga Keuangan,Pembayaran Utang Kepada Pihak Berelasi,Pembayaran Biaya Emisi Saham,Pembayaran Dividen,Pembayaran Dividen - Kepentingan Non Pengendali,Penerimaan Dividen Dari Dssp,Penerbitan Modal Saham Melalui Penawaran Umum Perdana,Penerimaan Utang Lain-Lain Dari Pihak Berelasi,Penambahan Utang Obligasi,Penambahan Utang Jangka Pendek,Penerimaan Utang Dari Bank Dan Lembaga Keuangan,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penerimaan Pinjaman Anjak Piutang,Pembayaran Pinjaman Anjak Piutang,Penambahan Modal Disetor,Pelepasan Kepentingan Terhadap Entitas Anak Kepada Pihak Non-Pengendali,Pembayaran Utang Obligasi,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Pengaruh Tidak Dikonsolidasikannya Entitas Anak Yang Dilepaskan,Dampak Dari Kehilangan Pengendalian Atas Entitas Anak,Pengaruh Penyesuaian Proforma Dari Transaksi Dengan Entitas Sepengendali,Kas Dan Setara Kas Akhir Periode
12M 2010,-121892569833.000000,857031874863.000000,-847508097448.000000,-72489125433.000000,-36247783910.000000,3401508691.000000,-24383198324.000000,,-1697748272.000000,-121892569833.000000,-181971178383.000000,,-38924678106.000000,,,,,,,,109474550.000000,,-7933387243.000000,,-16657500000.000000,,31704054625.000000,-37000907463.000000,-2044571000.000000,-15498207268.000000,-71395256478.000000,-24300000000.000000,-30200000.000000,-181971178383.000000,516584614938.000000,-125081501.000000,-178206934490.000000,,,,,,,268758505556.000000,,,35811165373.000000,-20000000000.000000,,,,-5000000000.000000,451198000000.000000,,-35851040000.000000,,516584614938.000000,212845948223.000000,33683782917.000000,-73501675.000000,-9120127007.000000,,12939000000.000000,250275102458.000000
12M 2011,315694903382.000000,2881538365570.000000,-2252723931189.000000,-129963159621.000000,-155170762036.000000,15367884034.000000,-24352300204.000000,,-19001193172.000000,315694903382.000000,-340721814386.000000,,-163249074218.000000,,,,,,,,-2850514023.000000,,-30709117603.000000,,16657500000.000000,-125000000.000000,-2668621628.000000,-12339078762.000000,,-52011003241.000000,-93426904911.000000,,,-340721814386.000000,1651860220546.000000,-112666230.000000,-20675902105.000000,-616948519179.000000,-49948707610.000000,-171165228200.000000,,,2205882500000.000000,334366743870.000000,20000000000.000000,,462000000.000000,-50000000000.000000,,,,,,,,,1651860220546.000000,1626945975772.000000,250150020957.000000,-175542786.000000,2582939803.000000,,-599921238.000000,1878903472508.000000
12M 2012,-472310970396.000000,3654724762133.000000,-3655370647750.000000,-135472174935.000000,-219210277944.000000,68429064642.000000,-3264877893.000000,,-182146818649.000000,-472310970396.000000,-313633151494.000000,93431818.000000,-283341629699.000000,-62477378856.000000,,,,,,,-3808259151.000000,,24645541479.000000,,,,,,,11255142915.000000,,,,-313633151494.000000,-142398094139.000000,-70538706.000000,-1475996317.000000,-1665688616.000000,-2421312000.000000,-136764558500.000000,,,,,,,,,,,,,,,,,-142398094139.000000,-928271677323.000000,1878790806278.000000,1042537994.000000,,-142946729.000000,,951418720220.000000
12M 2013,200995886835.000000,4244637402866.000000,-3625288170730.000000,-136826904914.000000,-223126626565.000000,40002475140.000000,-8361017028.000000,,-90041271934.000000,200995886835.000000,-238988304205.000000,,-93198105767.000000,-14278082073.000000,,-99326155500.000000,,-86960685.000000,-28759632389.000000,,-3339367791.000000,,,,,,,,,,,,,-238988304205.000000,-132143289865.000000,,,,,-186397878814.000000,,,,,,,91590927173.000000,-37336338224.000000,,,,,,,,,-132143289865.000000,-170135707235.000000,951348181514.000000,-213185570.000000,,,,780999288709.000000
12M 2014,96999724370.000000,5400104571194.000000,-4828964940971.000000,-138934522279.000000,-284532347075.000000,51493009352.000000,-65055992757.000000,41655973814.000000,-78766026908.000000,96999724370.000000,-100390077624.000000,2323676528.000000,-45107442064.000000,-28708305495.000000,,-17978100000.000000,,,-5326906610.000000,,-7632093283.000000,2039093300.000000,,,,,,,,,,,,-100390077624.000000,8619436656.000000,,,,,,,,,,,,188780082402.000000,-182160645746.000000,,,,,,2000000000.000000,,,8619436656.000000,5229083402.000000,780999288709.000000,208057354.000000,,,,786436429465.000000
12M 2015,-8252391.000000,336222169.000000,-295408533.000000,-12062436.000000,-26642781.000000,2605968.000000,-6985097.000000,,-5981681.000000,-8252391.000000,-55343696.000000,31789.000000,-2473112.000000,-92516.000000,,-4298496.000000,,,-19674620.000000,,1115438.000000,-29952179.000000,,,,,,,,,,,,-55343696.000000,45025328.000000,,-10355276.000000,,,-3081288.000000,,,,,,,58461892.000000,,,,,,,,,,45025328.000000,-18570759.000000,63218362.000000,-1226002.000000,,,,43421601.000000
12M 2016,50023864.000000,397358936.000000,-300212733.000000,-12153907.000000,-26819050.000000,5146995.000000,-9562134.000000,1196908.000000,-4931151.000000,50023864.000000,-19522798.000000,,-1864034.000000,-26373.000000,,-1741990.000000,,,21428517.000000,,-325429.000000,6511.000000,,,,,,,,,,,-37000000.000000,-19522798.000000,-19428700.000000,,-21229738.000000,,,-16329510.000000,,,,,,,18130548.000000,,,,,,,,,,-19428700.000000,11072366.000000,43421601.000000,3275447.000000,,,,57769414.000000
12M 2017,157716655.000000,705005992.000000,-451114291.000000,-15728500.000000,-63411874.000000,7416726.000000,-9500404.000000,3055583.000000,-18006577.000000,157716655.000000,-23424374.000000,15613.000000,-9522190.000000,-23025.000000,,-4240018.000000,,,-23793.000000,,-2671071.000000,,,,,-8000000.000000,1040110.000000,,,,,,,-23424374.000000,-16636214.000000,,-103377270.000000,,,-32399122.000000,,,,,,,119140178.000000,,,,,,,,,,-16636214.000000,117656067.000000,57769414.000000,-380423.000000,,,,175045058.000000
12M 2018,79634832.000000,1012563932.000000,-561184755.000000,-19523021.000000,-280038066.000000,9138951.000000,-10774904.000000,107865.000000,-70655170.000000,79634832.000000,-81537164.000000,,-17638328.000000,-71403.000000,,-4327553.000000,,,-200908.000000,,-2304430.000000,,,,,,,,,,,,-56994542.000000,-81537164.000000,-98193482.000000,,-62487396.000000,,,-122007639.000000,,,,,,,86301553.000000,,,,,,,,,,-98193482.000000,-100095814.000000,175045058.000000,3749557.000000,,,,78698801.000000
12M 2019,105413246.000000,1099514565.000000,-787524596.000000,-21659412.000000,-132826828.000000,3401404.000000,-13290111.000000,,-42201776.000000,105413246.000000,-24660554.000000,,-20517004.000000,,,-2041199.000000,,,-370988.000000,,-1731363.000000,,,,,,,,,,,,,-24660554.000000,-23401072.000000,,-102567917.000000,,,-38000000.000000,-544147.000000,17299.000000,,,,,117693693.000000,,,,,,,,,,-23401072.000000,57351620.000000,78698801.000000,-1540614.000000,,,,134509807.000000
