Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Eksplorasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Beban Bunga,Others,Total Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,927111965072.000000,-679382743227.000000,247729221845.000000,-196086380987.000000,-60439212208.000000,-134277582265.000000,-1369586514.000000,-196086380987.000000,51642840858.000000,-10949016398.000000,3401508691.000000,13876627691.000000,-25080745158.000000,,,-25080745158.000000,-3146407622.000000,-10949016398.000000,40693824460.000000,-6732754993.000000,-9188532750.000000,2455777757.000000,,-6732754993.000000,33961069467.000000,5572157110.000000,39533226577.000000,33961069467.000000,30752392265.000000,3208677202.000000,33961069467.000000,39533226577.000000,36324549375.000000,3208677202.000000,39533226577.000000
12M 2011,2861548447435.000000,-2027645842094.000000,833902605341.000000,-447022242614.000000,-182789926128.000000,-259295303118.000000,-4937013368.000000,-447022242614.000000,386880362727.000000,16464175323.000000,15367884034.000000,-10726653198.000000,-24707861678.000000,,,-24707861678.000000,36530806165.000000,16464175323.000000,403344538050.000000,-101684659667.000000,-109885095000.000000,8200435333.000000,,-101684659667.000000,301659878383.000000,-1110037804.000000,300549840579.000000,301659878383.000000,284776055775.000000,16883822608.000000,301659878383.000000,300549840579.000000,283666017971.000000,16883822608.000000,300549840579.000000
12M 2012,3958897172445.000000,-3238659073969.000000,720238098476.000000,-601562545521.000000,-312325355890.000000,-283481483747.000000,-5755705884.000000,-601562545521.000000,118675552955.000000,100309111362.000000,68429064642.000000,39913524404.000000,-3264877893.000000,,,-3264877893.000000,-4768599791.000000,100309111362.000000,218984664317.000000,-40050139218.000000,-58852034526.000000,18801895308.000000,,-40050139218.000000,178934525099.000000,19130545145.000000,198065070244.000000,178934525099.000000,177745694802.000000,1188830297.000000,178934525099.000000,198065070244.000000,196515007611.000000,1550062633.000000,198065070244.000000
12M 2013,4427626221656.000000,-3644017250925.000000,783608970731.000000,-738344866550.000000,-326028976039.000000,-409068243251.000000,-3247647260.000000,-738344866550.000000,45264104181.000000,188740205718.000000,39530347161.000000,164503512126.000000,-8520112488.000000,,,-8520112488.000000,-6773541081.000000,188740205718.000000,234004309899.000000,-63735876104.000000,-82876040741.000000,19140164637.000000,,-63735876104.000000,170268433795.000000,83966544513.000000,254234978308.000000,170268433795.000000,169132303892.000000,1136129903.000000,170268433795.000000,254234978308.000000,251756713536.000000,2478264772.000000,254234978308.000000
12M 2014,5185585519326.000000,-3437249149784.000000,1748336369542.000000,-1572502938190.000000,-1125823060347.000000,-445825392793.000000,-854485050.000000,-1572502938190.000000,175833431352.000000,9842681437.000000,48995770846.000000,22198046675.000000,-65133356393.000000,,,-65133356393.000000,3782220309.000000,9842681437.000000,185676112789.000000,-51854211562.000000,-65561598844.000000,13707387282.000000,,-51854211562.000000,133821901227.000000,4804654701.000000,138626555928.000000,133821901227.000000,133414215825.000000,407685402.000000,133821901227.000000,138626555928.000000,138238357777.000000,388198151.000000,138626555928.000000
12M 2015,353186003.000000,-242938302.000000,110247701.000000,-100864406.000000,-66610009.000000,-34176620.000000,-77777.000000,-100864406.000000,9383295.000000,-7711314.000000,4006724.000000,-4848719.000000,,-2463952.000000,-4002178.000000,-6466130.000000,-403189.000000,-7711314.000000,1671981.000000,416800.000000,-2770435.000000,3187235.000000,,416800.000000,2088781.000000,453207.000000,2541988.000000,2088781.000000,2016767.000000,72014.000000,2088781.000000,2541988.000000,2869605.000000,-327617.000000,2541988.000000
12M 2016,384339836.0,-246138018.0,138201818.0,-86972055.0,-55332302.0,-31487810.0,-151943.0,-86972055.0,51229763.0,-1964580.0,6404173.0,624510.0,,-5169732.0,-4477902.0,-9647634.0,654371.0,-1964580.0,49265183.0,-14276935.0,-12928738.0,-999750.0,-348447.0,-14276935.0,34988248.0,-1199995.0,33788253.0,34988248.0,34446090.0,542158.0,34988248.0,33788253.0,33175896.0,612357.0,33788253.0
12M 2017,759448383.0,-444969466.0,314478917.0,-145055787.0,-98202771.0,-46105358.0,-747658.0,-145055787.0,169423130.0,-1564148.0,7332930.0,-294486.0,,-4469973.0,-5026556.0,-9496529.0,893937.0,-1564148.0,167858982.0,-47752942.0,-44114126.0,-3087510.0,-551306.0,-47752942.0,120106040.0,-988962.0,119117078.0,120106040.0,117720187.0,2385853.0,120106040.0,119117078.0,116798068.0,2319010.0,119117078.0
12M 2018,1045058516.0,-685079630.0,359978886.0,-217456725.0,-150606914.0,-66260235.0,-589576.0,-217456725.0,142522161.0,-6378654.0,7827170.0,-4658716.0,,-5262853.0,-4982396.0,-10245249.0,698141.0,-6378654.0,136143507.0,-35594929.0,-36652592.0,1670473.0,-612810.0,-35594929.0,100548578.0,-60996.0,100487582.0,100548578.0,98770342.0,1778236.0,100548578.0,100487582.0,98718131.0,1769451.0,100487582.0
12M 2019,1107464101.0,-746006736.0,361457365.0,-250174854.0,-184050603.0,-65772604.0,-351647.0,-250174854.0,111282511.0,-10251001.0,12863681.0,-2084960.0,,-11398313.0,-4515751.0,-15914064.0,-5115658.0,-10251001.0,101031510.0,-34265653.0,-34501604.0,927301.0,-691350.0,-34265653.0,66765857.0,-1134491.0,65631366.0,66765857.0,65408886.0,1356971.0,66765857.0,65631366.0,64324454.0,1306912.0,65631366.0
