Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2007,1632453613659.000000,-1473863801507.000000,158589812152.000000,-109672944328.000000,-21372770915.000000,-88300173413.000000,-109672944328.000000,48916867824.000000,-2085618047.000000,370795502.000000,-4701443158.000000,-1010087335.000000,-464949722.000000,3720066666.000000,-2085618047.000000,46831249777.000000,-25632022624.000000,,-25632022624.000000,-25632022624.000000,21199227153.000000,-2784591.000000,21196442562.000000,,,21196442562.000000,21199227153.000000,-2784591.000000,21196442562.000000,,,,
12M 2008,2331686331402.000000,-2115923956080.000000,215762375322.000000,-141309140133.000000,-27834180121.000000,-113474960012.000000,-141309140133.000000,74453235189.000000,-30393935820.000000,605159974.000000,-25224774181.000000,-1743242278.000000,891582843.000000,-4922662178.000000,-30393935820.000000,44059299369.000000,-16805692651.000000,,-16805692651.000000,-16805692651.000000,27253606718.000000,-75846.000000,27253530872.000000,,,27253530872.000000,27253606718.000000,-75846.000000,27253530872.000000,,,,
12M 2009,3242550823708.000000,-3011765532656.000000,230785291052.000000,-158101763870.000000,-36696601539.000000,-121405162331.000000,-158101763870.000000,72683527182.000000,-11434052588.000000,326088268.000000,-33169335299.000000,11512687788.000000,238380795.000000,9658125860.000000,-11434052588.000000,61249474594.000000,-24015006007.000000,-6013784868.000000,-18001221139.000000,-24015006007.000000,37234468587.000000,-18976540.000000,37215492047.000000,,,37215492047.000000,37234468587.000000,-18976540.000000,37215492047.000000,,,,
12M 2010,3642500860349.000000,-3291055163693.000000,351445696656.000000,-211264870283.000000,-64530310152.000000,-146734560131.000000,-211264870283.000000,140180826373.000000,-47059471607.000000,195172705.000000,-48767869899.000000,476708446.000000,347461133.000000,689056008.000000,-47059471607.000000,93121354766.000000,-31960990892.000000,-17975076975.000000,-13985913917.000000,-31960990892.000000,61160363874.000000,-12057704.000000,61148306170.000000,,,61148306170.000000,61160363874.000000,-12057704.000000,61148306170.000000,,,,
12M 2011,4029131023628.000000,-3607549568193.000000,421581455435.000000,-292158493594.000000,-97668332959.000000,-194490160635.000000,-292158493594.000000,129422961841.000000,-95410060743.000000,370547639.000000,-87790617495.000000,-15995754104.000000,152744875.000000,7853018342.000000,-95410060743.000000,34012901098.000000,-10560634634.000000,-10209592415.000000,-351042219.000000,-10560634634.000000,23452266464.000000,,23452266464.000000,,23452266464.000000,23452266464.000000,22067819087.000000,1384447377.000000,23452266464.000000,23452266464.000000,22067819087.000000,1384447377.000000,23452266464.000000
12M 2012,4354469720627.000000,-3771876841713.000000,582592878914.000000,-436717373617.000000,-191227520037.000000,-245489853580.000000,-436717373617.000000,145875505297.000000,-126047282430.000000,1358100592.000000,-122557991175.000000,-11343082454.000000,646718541.000000,5848972066.000000,-126047282430.000000,19828222867.000000,-4766749335.000000,-8537403477.000000,3770654142.000000,-4766749335.000000,15061473532.000000,,15061473532.000000,,15061473532.000000,15061473532.000000,22320717237.000000,-7259243705.000000,15061473532.000000,15061473532.000000,22320717237.000000,-7259243705.000000,15061473532.000000
12M 2013,3854271748057.000000,-3267634958535.000000,586636789522.000000,-444601584280.000000,-194442284768.000000,-250159299512.000000,-444601584280.000000,142035205242.000000,-130765344394.000000,1005590346.000000,-149932393236.000000,-147513340.000000,16514502644.000000,1794469192.000000,-130765344394.000000,11269860848.000000,-2892352196.000000,-6658277600.000000,3765925404.000000,-2892352196.000000,8377508652.000000,,8377508652.000000,,8377508652.000000,8377508652.000000,9640599357.000000,-1263090705.000000,8377508652.000000,8377508652.000000,9640599357.000000,-1263090705.000000,8377508652.000000
12M 2014,2505575102503.000000,-2127570139929.000000,378004962574.000000,-381193771090.000000,-156615676555.000000,-224578094535.000000,-381193771090.000000,-3188808516.000000,27773591343.000000,3164314675.000000,-158260181729.000000,-9965468974.000000,3127421741.000000,189707505630.000000,27773591343.000000,24584782827.000000,-22520727373.000000,-16288272916.000000,-6232454457.000000,-22520727373.000000,2064055454.000000,,2064055454.000000,,2064055454.000000,2064055454.000000,1780688352.000000,283367102.000000,2064055454.000000,2064055454.000000,1780688352.000000,283367102.000000,2064055454.000000
12M 2015,2113148210101.000000,-1928946147173.000000,184202062928.000000,-473479499028.000000,-201700082544.000000,-271779416484.000000,-473479499028.000000,-289277436100.000000,-154312046082.000000,1333220117.000000,-129243720389.000000,-12699660951.000000,2891426596.000000,-16593311455.000000,-154312046082.000000,-443589482182.000000,81558564075.000000,,81558564075.000000,81558564075.000000,-362030918107.000000,,-362030918107.000000,6115502926.000000,-355915415181.000000,-362030918107.000000,-352335236454.000000,-9695681653.000000,-362030918107.000000,-355915415181.000000,-346219733528.000000,-9695681653.000000,-355915415181.000000
12M 2016,2427199231761.000000,-1985294635043.000000,441904596718.000000,-387547728832.000000,-152903681756.000000,-234644047076.000000,-387547728832.000000,54356867886.000000,-45840236677.000000,5369744953.000000,-106578193545.000000,716499797.000000,44471224202.000000,10180487916.000000,-45840236677.000000,8516631209.000000,4532149718.000000,,4532149718.000000,4532149718.000000,13048780927.000000,,13048780927.000000,-4450967218.000000,8597813709.000000,13048780927.000000,13048780927.000000,,13048780927.000000,8597813709.000000,8597813709.000000,,8597813709.000000
12M 2017,2449961000000.000000,-2203687000000.000000,246274000000.000000,-392306000000.000000,-180197000000.000000,-212109000000.000000,-392306000000.000000,-146032000000.000000,-91450000000.000000,5368000000.000000,-96907000000.000000,-1358000000.000000,261000000.000000,1186000000.000000,-91450000000.000000,-237482000000.000000,-117443000000.000000,-112012000000.000000,-5431000000.000000,-117443000000.000000,-354925000000.000000,,-354925000000.000000,3406000000.000000,-351519000000.000000,-354925000000.000000,-354925000000.000000,,-354925000000.000000,-351519000000.000000,-351519000000.000000,,-351519000000.000000
12M 2018,3120459000000.000000,-2616017000000.000000,504442000000.000000,-376127000000.000000,-181958000000.000000,-194169000000.000000,-376127000000.000000,128315000000.000000,-94326000000.000000,2513000000.000000,-92937000000.000000,,,-3902000000.000000,-94326000000.000000,33989000000.000000,-8055000000.000000,,-8055000000.000000,-8055000000.000000,25934000000.000000,,25934000000.000000,23242000000.000000,49176000000.000000,25934000000.000000,25934000000.000000,,25934000000.000000,49176000000.000000,49176000000.000000,,49176000000.000000
12M 2019,4105991000000.000000,-3459707000000.000000,646284000000.000000,-438745000000.000000,-242512000000.000000,-196233000000.000000,-438745000000.000000,207539000000.000000,-97498000000.000000,1696000000.000000,-91107000000.000000,,,-8087000000.000000,-97498000000.000000,110041000000.000000,-30265000000.000000,,-30265000000.000000,-30265000000.000000,79776000000.000000,,79776000000.000000,-4051000000.000000,75725000000.000000,79776000000.000000,79776000000.000000,,79776000000.000000,75725000000.000000,75725000000.000000,,75725000000.000000
12M 2020,4341295000000.000000,-3805701000000.000000,535594000000.000000,-390193000000.000000,-191242000000.000000,-198951000000.000000,-390193000000.000000,145401000000.000000,-98595000000.000000,4112000000.000000,-74175000000.000000,,,-28532000000.000000,-98595000000.000000,46806000000.000000,-18540000000.000000,,-18540000000.000000,-18540000000.000000,28266000000.000000,,28266000000.000000,-1095000000.000000,27171000000.000000,28266000000.000000,28266000000.000000,,28266000000.000000,27171000000.000000,27171000000.000000,,27171000000.000000
12M 2021,5423774000000.000000,-5104283000000.000000,319491000000.000000,-324318000000.000000,-139376000000.000000,-184942000000.000000,-324318000000.000000,-4827000000.000000,-18821000000.000000,1002000000.000000,-62711000000.000000,,,42888000000.000000,-18821000000.000000,-23648000000.000000,11871000000.000000,,11871000000.000000,11871000000.000000,-11777000000.000000,,-11777000000.000000,4561000000.000000,-7216000000.000000,-11777000000.000000,-11777000000.000000,,-11777000000.000000,-7216000000.000000,-7216000000.000000,,-7216000000.000000
12M 2022,6047203000000.000000,-5565971000000.000000,481232000000.000000,-444720000000.000000,-234059000000.000000,-210661000000.000000,-444720000000.000000,36512000000.000000,-245561000000.000000,1047000000.000000,-72090000000.000000,,,-174518000000.000000,-245561000000.000000,-209049000000.000000,-9054000000.000000,,-9054000000.000000,-9054000000.000000,-218103000000.000000,,-218103000000.000000,6904000000.000000,-211199000000.000000,-218103000000.000000,-218103000000.000000,,-218103000000.000000,-211199000000.000000,-211199000000.000000,,-211199000000.000000
12M 2023,6091342000000.000000,-5518539000000.000000,572803000000.000000,-463471000000.000000,-265262000000.000000,-198209000000.000000,-463471000000.000000,109332000000.000000,-151325000000.000000,10571000000.000000,-69647000000.000000,,,-92249000000.000000,-151325000000.000000,-41993000000.000000,24678000000.000000,,24678000000.000000,24678000000.000000,-17315000000.000000,,-17315000000.000000,11815000000.000000,-5500000000.000000,-17315000000.000000,-17315000000.000000,,-17315000000.000000,-5500000000.000000,-5500000000.000000,,-5500000000.000000
12M 2024,5360755000000.000000,-4868201000000.000000,492554000000.000000,-427634000000.000000,-236267000000.000000,-191367000000.000000,-427634000000.000000,64920000000.000000,-49071000000.000000,18191000000.000000,-68319000000.000000,,,1057000000.000000,-49071000000.000000,15849000000.000000,-12524000000.000000,,-12524000000.000000,-12524000000.000000,3325000000.000000,,3325000000.000000,7469000000.000000,10794000000.000000,3325000000.000000,3325000000.000000,,3325000000.000000,10794000000.000000,10794000000.000000,,10794000000.000000
