Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Pihak Ketiga Lainnya,Pembayaran Kepada Karyawan,Pembayaran Pajak - Bersih,Penerimaan Hasil Restitusi Pajak,Penerimaan Bunga,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Investasi Jangka Pendek,Penambahan Investasi Jangka Pendek,Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Penerimaan Dari Klaim Asuransi,Divestasi Entitas Anak,Pelepasan Investasi,Investasi Pada Perusahaan Asosiasi,Uang Muka Investasi Pada Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Utang Bank Dan Utang Sewa Pembiayaan,Pembayaran Utang Bank,Pembayaran Utang Sewa Pembiayaan,Total Pembayaran Utang Bank Dan Utang Sewa Pembiayaan,Pembayaran Liabilitas Sewa,Penerbitan Saham Baru,Biaya Emisi Saham,Pembayaran Dividen,Penerimaan Dari Put I,Penerimaan Dari Supplier Financing Dan Letter Of Credit Arrangements,Pembayaran Dari Supplier Financing Dan Letter Of Credit Arrangements,Pembayaran Ke Pihak-Pihak Berelasi,Penerimaan Dari Pihak-Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Akusisi Entitas Anak,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Penyesuaian Saldo Sehubungan Dengan Penghapusan /Penjualan Perusahaan Anak,Kas Dan Setara Kas Akhir Periode
12M 2007,-70058788816.000000,1599337443434.000000,-1611488060873.000000,-62026356888.000000,8788860348.000000,,,-4670674837.000000,-70058788816.000000,-20153957460.000000,,,659645143.000000,-22059493443.000000,,,,,1245890840.000000,,,-20153957460.000000,82728971600.000000,185314569222.000000,,-102281347935.000000,-304249687.000000,-102585597622.000000,,,,,,,,,,82728971600.000000,-7483774676.000000,,7656084.000000,16679001980.000000,-151243002.000000,9051640386.000000
12M 2008,-51225579945.000000,2290117379035.000000,-2227986232749.000000,-80956776299.000000,-6057655442.000000,,,-26342294490.000000,-51225579945.000000,-29943569065.000000,,,1851837712.000000,-31795406777.000000,,,,,,,,-29943569065.000000,113753591883.000000,116323375372.000000,,-1404306555.000000,-1165476934.000000,-2569783489.000000,,,,,,,,,,113753591883.000000,32584442873.000000,,4411230117.000000,9051640386.000000,,46047313376.000000
12M 2009,-7075621909.000000,3088930503261.000000,-2938388676514.000000,-92437612223.000000,-32372530625.000000,1640448407.000000,220328295.000000,-34668082510.000000,-7075621909.000000,-97411274879.000000,,,440841817.000000,-71951135612.000000,-25900981084.000000,,,,,,,-97411274879.000000,78379716629.000000,145451936766.000000,-69339451621.000000,,,-69339451621.000000,,,,,,,,,2267231484.000000,78379716629.000000,-26107180159.000000,,123494886.000000,46047313376.000000,,20063628103.000000
12M 2010,24842374118.000000,3608538946736.000000,-3378206180796.000000,-120315331102.000000,-46908510801.000000,7266238517.000000,206634216.000000,-45739422652.000000,24842374118.000000,-257583442434.000000,,,1455801333.000000,-259039243767.000000,,,,,,,,-257583442434.000000,249011883484.000000,6263225858391.000000,-6005533974907.000000,,,-6005533974907.000000,,,,,,,,,-8680000000.000000,249011883484.000000,16270815168.000000,,,20063628103.000000,,36334443271.000000
12M 2011,22464668307.000000,4014015493801.000000,-3677367327753.000000,-162831900779.000000,-68413849852.000000,654017672.000000,370547639.000000,-83962312421.000000,22464668307.000000,-379205552122.000000,,,569479685.000000,-379775031807.000000,,,,,,,,-379205552122.000000,369585881012.000000,7954364352582.000000,-7579965366527.000000,,,-7579965366527.000000,,,,-9212449313.000000,,,,,4399344270.000000,369585881012.000000,12844997197.000000,1550015679.000000,,36334443271.000000,,50729456147.000000
12M 2012,-142720644791.000000,4041176667810.000000,-3801432565430.000000,-195518870471.000000,-67401667829.000000,,309744793.000000,-119853953664.000000,-142720644791.000000,-311899978062.000000,,,1786467035.000000,-313686445097.000000,,,,,,,,-311899978062.000000,489759468535.000000,8925043308887.000000,-8436511375865.000000,,,-8436511375865.000000,,,,-9212411791.000000,,,,,10439947304.000000,489759468535.000000,35138845682.000000,,,50729456147.000000,,85868301829.000000
12M 2013,88982040665.000000,4049196774753.000000,-3506600495432.000000,-232929032692.000000,-84471936259.000000,4683323566.000000,1005590346.000000,-141902183617.000000,88982040665.000000,-189875102538.000000,,,81192374442.000000,-271067476980.000000,,,,,,,,-189875102538.000000,91257429964.000000,6674563954636.000000,-6585406348522.000000,,,-6585406348522.000000,,,,,,,,,2099823850.000000,91257429964.000000,-9635631909.000000,,,85868301829.000000,,76232669920.000000
12M 2014,-26515915109.000000,2535309202906.000000,-2125085007334.000000,-223426106671.000000,-62614063865.000000,,3164314675.000000,-153864254820.000000,-26515915109.000000,320333904970.000000,,,393080986042.000000,-72747081072.000000,,,,,,,,320333904970.000000,-174235209943.000000,7429762378139.000000,-7617919352068.000000,,,-7617919352068.000000,,,,,,,,,13921763986.000000,-174235209943.000000,119582779918.000000,,,31232669920.000000,,150815449838.000000
12M 2015,205597582102.000000,2288171902599.000000,-1686361359971.000000,-213242310673.000000,-66934070006.000000,1029109342.000000,2891426596.000000,-119957115785.000000,205597582102.000000,-253673948996.000000,,,2553008946.000000,-56196957942.000000,,,,,,-200030000000.000000,,-253673948996.000000,-48354716796.000000,9284113574276.000000,,-9407255955762.000000,-212530855.000000,-9407468486617.000000,,195545.000000,,,,,,,75000000000.000000,-48354716796.000000,-96431083690.000000,,,150815449838.000000,,54384366148.000000
12M 2016,-5128315318.000000,2394020656568.000000,-2010924179112.000000,-216584572305.000000,-74120759184.000000,209408193.000000,5369568501.000000,-103098437979.000000,-5128315318.000000,-7649875943.000000,,,56077076061.000000,-68827952004.000000,5101000000.000000,,,,,,,-7649875943.000000,355764305691.000000,12301887977089.000000,,-12335918385655.000000,-196964743.000000,-12336115350398.000000,,399991679000.000000,,,,,,,-10000000000.000000,355764305691.000000,342986114430.000000,,,54384366148.000000,,397370480578.000000
