Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Hewan Ternak Produksi - Berumur Pendek,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Piutang Pihak Berelasi,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Aset Pajak Tangguhan,Aset Tetap,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Murabahah,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Utang Pajak,Others,Total Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Murabahah,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Murabahah,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,,9051640386.000000,,202598411661.000000,,,202598411661.000000,8578849947.000000,312630912658.000000,55938118580.000000,62086756835.000000,650884690067.000000,,,42423468210.000000,,,,,74954244851.000000,485503960070.000000,,,41296514970.000000,644178188101.000000,1295062878168.000000,,,270544495340.000000,,,150708261985.000000,,,150708261985.000000,14900304146.000000,9607455878.000000,,9607455878.000000,,83781591393.000000,,1165476934.000000,,84947068327.000000,10381405004.000000,270544495340.000000,18482525197.000000,290119766.000000,,,35598892.000000,,2438513293.000000,,2474112185.000000,15718293246.000000,18482525197.000000,289027020537.000000,,3184291525400.000000,237474479595.000000,-2763658955648.000000,,,-2763658955648.000000,224916218.000000,347703892066.000000,1006035857631.000000,1295062878168.000000,9391108493.000000
12M 2008,,,46047313376.000000,,244167364028.000000,,,244167364028.000000,12258264348.000000,292498954027.000000,55715491575.000000,101553715327.000000,752241102681.000000,,,42073275777.000000,,,,,58143942045.000000,479497193994.000000,,,53036612504.000000,632751024320.000000,1384992127001.000000,,,329377922874.000000,,,86973868761.000000,,,86973868761.000000,18458701018.000000,10521002698.000000,,10521002698.000000,,199892148061.000000,,1645570583.000000,,201537718644.000000,11886631753.000000,329377922874.000000,22324739778.000000,285509611.000000,,,,,2191362905.000000,,2191362905.000000,19847867262.000000,22324739778.000000,351702662652.000000,,3184291525400.000000,237474479595.000000,-2388701532710.000000,,,-2388701532710.000000,224992064.000000,,1033289464349.000000,1384992127001.000000,9391108493.000000
12M 2009,,,20063628103.000000,,341717086921.000000,,,341717086921.000000,22906508222.000000,333016737038.000000,66525532387.000000,75308400116.000000,859537892787.000000,,,39596515935.000000,,,,,39941534065.000000,647320130771.000000,,,54899066416.000000,781757247187.000000,1641295139974.000000,,,425312756788.000000,266823919030.000000,,117710972592.000000,,,117710972592.000000,10995641242.000000,7518197196.000000,,7518197196.000000,,2152000000.000000,,2688601903.000000,,4840601903.000000,17423424825.000000,425312756788.000000,37138022529.000000,84322770.000000,,,9824855150.000000,,3052737396.000000,,12877592546.000000,24176107213.000000,37138022529.000000,462450779317.000000,,3184291525400.000000,756839.000000,26032049687.000000,,,26032049687.000000,183684676.000000,-2031663655945.000000,1178844360657.000000,1641295139974.000000,9391108493.000000
12M 2010,,,36334443271.000000,,368521453160.000000,,,368521453160.000000,19913572235.000000,467297522768.000000,75922250072.000000,121817042616.000000,1089806284122.000000,,,30916515935.000000,,,,,27720644748.000000,853609651000.000000,,,53690108859.000000,965936920542.000000,2055743204664.000000,,,568551215156.000000,320475300399.000000,30975000000.000000,119823760772.000000,,,119823760772.000000,38895664257.000000,5110428254.000000,,5110428254.000000,,13753102407.000000,7819824309.000000,2094693120.000000,,23667619836.000000,29603441638.000000,568551215156.000000,254180513651.000000,101035464.000000,,,185308897124.000000,38530431307.000000,1384473678.000000,,225223802109.000000,28855676078.000000,254180513651.000000,822731728807.000000,,1152627869455.000000,756839.000000,80194512997.000000,,,80194512997.000000,188336566.000000,,1233011475857.000000,2055743204664.000000,9391108493.000000
12M 2011,,,50729456147.000000,,326581346321.000000,,,326581346321.000000,25673445000.000000,552632653553.000000,146576797945.000000,127134874672.000000,1229328573638.000000,,,26517171665.000000,,,,,28784777526.000000,1272861185548.000000,10890455260.000000,34723691462.000000,38497077061.000000,1412274358522.000000,2641602932160.000000,,,882649500592.000000,424461825760.000000,83000000000.000000,202976869279.000000,,,202976869279.000000,25786073067.000000,4288493411.000000,,4288493411.000000,,106371250161.000000,7370172720.000000,909435703.000000,,114650858584.000000,27485380491.000000,882649500592.000000,487881029453.000000,1340350359.000000,,,402033260018.000000,33627909370.000000,431200000.000000,,436092369388.000000,50448309706.000000,487881029453.000000,1370530530045.000000,,1152627869455.000000,756839.000000,92871223591.000000,3057415309.000000,89813808282.000000,92871223591.000000,25572552230.000000,,1271072402115.000000,2641602932160.000000,9391108493.000000
12M 2012,,,85868301829.000000,,635333519159.000000,,,635333519159.000000,,661950950116.000000,129737560481.000000,147455620208.000000,1660345951793.000000,,,16077224362.000000,,,,,31319761882.000000,1492758985541.000000,10890455260.000000,30816906487.000000,55914289446.000000,1637777622978.000000,3298123574771.000000,,,1435662667304.000000,681257534925.000000,140000000000.000000,327689903058.000000,,,327689903058.000000,38097653936.000000,6091235136.000000,,6091235136.000000,,197999504558.000000,10240900677.000000,486870000.000000,,208727275235.000000,33799065014.000000,1435662667304.000000,585718140313.000000,104680573.000000,,,480005289009.000000,34684808122.000000,170867500.000000,,514860964631.000000,70752495109.000000,585718140313.000000,2021380807617.000000,,1152627869455.000000,756839.000000,105800832335.000000,4160806263.000000,101640026072.000000,105800832335.000000,18313308525.000000,,1276742767154.000000,3298123574771.000000,9391108493.000000
12M 2013,,,76232669920.000000,,431547275995.000000,,,431547275995.000000,,507694110429.000000,153153956708.000000,234775232930.000000,1403403245982.000000,,,13977400512.000000,,,,,35083849779.000000,1587626244834.000000,10890455260.000000,26910121512.000000,77789076601.000000,1752277148498.000000,3155680394480.000000,,,1224772011935.000000,613332810877.000000,160000000000.000000,160880528104.000000,,,160880528104.000000,36777671507.000000,3166944162.000000,,3166944162.000000,,187072578278.000000,18723613585.000000,234530855.000000,,206030722718.000000,44583334567.000000,1224772011935.000000,645788106739.000000,102843066.000000,,,473879437184.000000,84820870833.000000,246246068.000000,,558946554085.000000,86738709588.000000,645788106739.000000,1870560118674.000000,,1152627869455.000000,756839.000000,115441431692.000000,4913879940.000000,110527551752.000000,115441431692.000000,17050217820.000000,,1285120275806.000000,3155680394480.000000,9391108493.000000
12M 2014,,,150815449838.000000,,432110287781.000000,,,432110287781.000000,,557327627156.000000,99608585713.000000,480717119958.000000,1720579070446.000000,,,55636525.000000,,,,,28839753124.000000,913875523360.000000,10890455260.000000,42099674450.000000,84574440713.000000,1080335483432.000000,2800914553878.000000,,,1203289509984.000000,600048661063.000000,160000000000.000000,154762177316.000000,,,154762177316.000000,30199693110.000000,9509996365.000000,,9509996365.000000,,169041785907.000000,58065467203.000000,212530855.000000,,227319783965.000000,21449198165.000000,1203289509984.000000,310618828500.000000,100116505.000000,,,173066203229.000000,44919132772.000000,33715202.000000,,218019051203.000000,92499660792.000000,310618828500.000000,1513908338484.000000,,1152627869455.000000,756839.000000,117222120044.000000,5332755373.000000,111889364671.000000,117222120044.000000,17155469056.000000,,1287006215394.000000,2800914553878.000000,9391108493.000000
12M 2015,,,54384366148.000000,,251852212190.000000,251433610755.000000,418601435.000000,251852212190.000000,,373941409810.000000,85306837552.000000,379678103358.000000,1145162929058.000000,,,,,,,,107424522357.000000,866102467013.000000,10890455260.000000,19096551562.000000,98093241649.000000,1101607237841.000000,2246770166899.000000,,,1046536150971.000000,608679005945.000000,119966000000.000000,173453790262.000000,,,173453790262.000000,61431158854.000000,1431162185.000000,,1431162185.000000,,39663213328.000000,18482984246.000000,33715202.000000,,58179912776.000000,23395120949.000000,1046536150971.000000,465991737634.000000,98865330.000000,75000000000.000000,,242677778344.000000,54845357280.000000,,,297523135624.000000,93369736680.000000,465991737634.000000,1512527888605.000000,,1152628065000.000000,756839.000000,-224305013852.000000,5435958146.000000,-229740971998.000000,-224305013852.000000,1000.000000,-194081530693.000000,734242278294.000000,2246770166899.000000,939110900.000000
12M 2016,,,397370480578.000000,,283660525394.000000,283512991287.000000,147534107.000000,283660525394.000000,,446440485002.000000,71168070857.000000,299517202516.000000,1498156764347.000000,,,,,,,,113440327814.000000,835515581680.000000,10890455260.000000,15560954083.000000,93647110075.000000,1069054428912.000000,2567211193259.000000,,,1075374955578.000000,583644210639.000000,,130754306187.000000,,,130754306187.000000,44236233815.000000,3288227511.000000,,3288227511.000000,,276776335230.000000,17860330527.000000,370100653.000000,,295006766410.000000,18445211016.000000,1075374955578.000000,349005465678.000000,,65000000000.000000,,13550692598.000000,156841943322.000000,630489819.000000,,171023125739.000000,112982339939.000000,349005465678.000000,1424380421256.000000,,1552619744000.000000,756839.000000,-211256232925.000000,5435958146.000000,-216692191071.000000,-211256232925.000000,2000.000000,-198533497911.000000,1142830772003.000000,2567211193259.000000,1339102579.000000
12M 2017,,,248025000000.000000,,288686000000.000000,288240000000.000000,446000000.000000,288686000000.000000,,394641000000.000000,98485000000.000000,138833000000.000000,1168670000000.000000,,,,,,,,106873000000.000000,915679000000.000000,10890000000.000000,13978000000.000000,23609000000.000000,1071029000000.000000,2239699000000.000000,,,1072809000000.000000,597421000000.000000,,206816000000.000000,,,206816000000.000000,76667000000.000000,2704000000.000000,,2704000000.000000,,5575000000.000000,156681000000.000000,4594000000.000000,,166850000000.000000,22351000000.000000,1072809000000.000000,375578000000.000000,,,,238309000000.000000,,8471000000.000000,,246780000000.000000,128798000000.000000,375578000000.000000,1448387000000.000000,,1552620000000.000000,1000000.000000,-566181000000.000000,6088000000.000000,-572269000000.000000,-566181000000.000000,,-195128000000.000000,791312000000.000000,2239699000000.000000,1339102579.000000
12M 2018,,,186845000000.000000,,347447000000.000000,347020000000.000000,427000000.000000,347447000000.000000,,396783000000.000000,100497000000.000000,122631000000.000000,1154203000000.000000,,,,,,,,91070000000.000000,879228000000.000000,10890000000.000000,12395000000.000000,40093000000.000000,1033676000000.000000,2187879000000.000000,,,1047350000000.000000,566120000000.000000,,198018000000.000000,,,198018000000.000000,101622000000.000000,2052000000.000000,,2052000000.000000,,34828000000.000000,124378000000.000000,703000000.000000,,159909000000.000000,19629000000.000000,1047350000000.000000,300041000000.000000,,,,171182000000.000000,,15346000000.000000,,186528000000.000000,113513000000.000000,300041000000.000000,1347391000000.000000,,1552620000000.000000,1000000.000000,-540247000000.000000,6088000000.000000,-546335000000.000000,-540247000000.000000,,-171886000000.000000,840488000000.000000,2187879000000.000000,1339102579.000000
12M 2019,,,310039000000.000000,,477138000000.000000,475958000000.000000,1180000000.000000,477138000000.000000,,,,694499000000.000000,1481676000000.000000,,,,,,,,82917000000.000000,856230000000.000000,10890000000.000000,10814000000.000000,28266000000.000000,989117000000.000000,2470793000000.000000,,,1251213000000.000000,586237000000.000000,,381428000000.000000,,,381428000000.000000,118753000000.000000,13136000000.000000,,13136000000.000000,,1017000000.000000,104651000000.000000,8114000000.000000,,113782000000.000000,37877000000.000000,1251213000000.000000,303367000000.000000,,,,166294000000.000000,,1888000000.000000,,168182000000.000000,135185000000.000000,303367000000.000000,1554580000000.000000,,1552620000000.000000,,-460471000000.000000,7385000000.000000,-467856000000.000000,-460471000000.000000,,-175937000000.000000,916212000000.000000,2470792000000.000000,1339102579.000000
12M 2020,,,228603000000.000000,,533928000000.000000,533928000000.000000,,533928000000.000000,,,,841682000000.000000,1604213000000.000000,,,,,,,,93400000000.000000,819420000000.000000,10890000000.000000,9231000000.000000,55696000000.000000,988637000000.000000,2592850000000.000000,,,1483479000000.000000,547094000000.000000,,648854000000.000000,,,648854000000.000000,110826000000.000000,19263000000.000000,,19263000000.000000,,29743000000.000000,109340000000.000000,2284000000.000000,8971000000.000000,150338000000.000000,7104000000.000000,1483479000000.000000,178696000000.000000,,,,,,1490000000.000000,18896000000.000000,20386000000.000000,158310000000.000000,178696000000.000000,1662175000000.000000,,1552620000000.000000,1000000.000000,-444914000000.000000,8985000000.000000,-453899000000.000000,-444914000000.000000,,-177032000000.000000,930675000000.000000,2592850000000.000000,1339102579.000000
12M 2021,,,124382000000.000000,,557003000000.000000,557003000000.000000,,557003000000.000000,100894000000.000000,743536000000.000000,,214827000000.000000,1740642000000.000000,,,,103101000000.000000,103101000000.000000,,103101000000.000000,76241000000.000000,771558000000.000000,10890000000.000000,13893000000.000000,71225000000.000000,1046908000000.000000,2787550000000.000000,,,1728951000000.000000,829816000000.000000,,763118000000.000000,,,763118000000.000000,106023000000.000000,15013000000.000000,,15013000000.000000,,,,10383000000.000000,,10383000000.000000,4598000000.000000,1728951000000.000000,145083000000.000000,,,,,,10812000000.000000,,10812000000.000000,134271000000.000000,145083000000.000000,1874034000000.000000,,1552620000000.000000,1000000.000000,-467308000000.000000,9555000000.000000,-476863000000.000000,-467308000000.000000,,-171797000000.000000,913516000000.000000,2787550000000.000000,1339102579.000000
12M 2022,,,272720000000.000000,,625958000000.000000,625958000000.000000,,625958000000.000000,18051000000.000000,813817000000.000000,,167205000000.000000,1897751000000.000000,,,,90603000000.000000,90603000000.000000,,90603000000.000000,65240000000.000000,804171000000.000000,10890000000.000000,14182000000.000000,119587000000.000000,1104673000000.000000,3002424000000.000000,,,2174878000000.000000,1111341000000.000000,,,812268000000.000000,1254000000.000000,813522000000.000000,125793000000.000000,,9683000000.000000,9683000000.000000,,,,6638000000.000000,9697000000.000000,16335000000.000000,98204000000.000000,2174878000000.000000,125229000000.000000,,,,,,11398000000.000000,,11398000000.000000,113831000000.000000,125229000000.000000,2300107000000.000000,,1552620000000.000000,1000000.000000,-685411000000.000000,9555000000.000000,-694966000000.000000,-685411000000.000000,,-164893000000.000000,702317000000.000000,3002424000000.000000,1339102579.000000
12M 2023,,,249359000000.000000,355174000000.000000,562068000000.000000,562068000000.000000,,562068000000.000000,18114000000.000000,749584000000.000000,,187807000000.000000,2122106000000.000000,,,,109678000000.000000,109678000000.000000,,109678000000.000000,94994000000.000000,810201000000.000000,10890000000.000000,11369000000.000000,122233000000.000000,1159365000000.000000,3281471000000.000000,,,1949230000000.000000,919605000000.000000,,,741786000000.000000,1450000000.000000,743236000000.000000,145678000000.000000,,8464000000.000000,8464000000.000000,,9400000000.000000,,7975000000.000000,22256000000.000000,39631000000.000000,92616000000.000000,1949230000000.000000,139192000000.000000,,,,41953000000.000000,,11391000000.000000,,53344000000.000000,85848000000.000000,139192000000.000000,2088422000000.000000,,2052619000000.000000,-3766000000.000000,-702726000000.000000,9857000000.000000,-712583000000.000000,-702726000000.000000,,-153078000000.000000,1193049000000.000000,3281471000000.000000,1839102056.000000
12M 2024,,,405055000000.000000,115485000000.000000,487673000000.000000,487673000000.000000,,487673000000.000000,15216000000.000000,561907000000.000000,,237556000000.000000,1822892000000.000000,,,,107853000000.000000,107853000000.000000,,107853000000.000000,80363000000.000000,996755000000.000000,10890000000.000000,7332000000.000000,93411000000.000000,1296604000000.000000,3119496000000.000000,,,1790792000000.000000,948652000000.000000,,,643490000000.000000,557000000.000000,644047000000.000000,119802000000.000000,,6673000000.000000,6673000000.000000,,12787000000.000000,,8959000000.000000,8096000000.000000,29842000000.000000,41776000000.000000,1790792000000.000000,124861000000.000000,,,,29169000000.000000,,7750000000.000000,,36919000000.000000,87942000000.000000,124861000000.000000,1915653000000.000000,,2052619000000.000000,-3766000000.000000,-699401000000.000000,9857000000.000000,-709258000000.000000,-699401000000.000000,,-145609000000.000000,1203843000000.000000,3119496000000.000000,1839102056.000000
