Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada:,Pemasok Dan Subkontraktor,Direksi,Karyawan Dan Pihak Ketiga Lainnya,Direksi Dan Karyawan,"Direksi, Karyawan Dan Pihak Ketiga Lainnya",Total Pembayaran Kas Kepada:,Pembayaran Pajak-Pajak,Penerimaan Pajak (Restitusi),Pembayaran Imbalan Pasca Kerja,Penerimaan Bunga,Pembayaran Bunga,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Akuisisi Entitas Anak Pt Gsn Dengan Kas,Penerimaan (Pembayaran) Investasi Jangka Pendek,Penerimaan Investasi Jangka Pendek,Pembayaran Investasi Jangka Pendek,Total Penerimaan (Pembayaran) Investasi Jangka Pendek,Penambahan Kas Yang Dibatasi Penggunaannya,Pengurangan Kas Yang Dibatasi Penggunaannya,Penerimaan Dana Talangan Dari Lman,Penerimaan Jaminan,Pembayaran Jaminan,Penerimaan Bunga,Pengurangan (Penambahan) Penyertaan,(Penambahan) Pengurangan Investasi Pada Entitas Asosiasi,Penambahan Investasi Pada Entitas Asosiasi,Pengurangan Investasi Pada Entitas Asosiasi,Total (Penambahan) Pengurangan Investasi Pada Entitas Asosiasi,Penambahan Investasi Jangka Panjang Lainnya,Pengurangan Investasi Jangka Panjang Lainnya,"Hasil Divestasi Pada Entitas Anak, Asosiasi Dan Jangka Panjang Lainnya",Penambahan Aset Jasa Konsesi,Pengurangan Aset Keuangan Dari Proyek Konsesi,Pembayaran Atas Biaya Divestasi,Penerimaan Pinjaman Kepada Entitas Asosiasi Dan Jangka Panjang Lainnya,Penerimaan Pembayaran Dari Entitas Asosiasi Dan Jangka Panjang Lainnya,Pemberian Pinjaman Kepada Entitas Asosiasi,Penerimaan Pembayaran Pinjaman Oleh Pihak Berelasi,Akuisisi Entitas Anak,Uang Muka Beban,Penerimaan Dividen,Penambahan Aset Minyak Dan Gas Bumi,Pengurangan (Penambahan) Investasi Ventura Bersama,Penambahan Investasi Ventura Bersama,Penambahan Uang Muka Investasi,Penerimaan Pengembalian (Pembayaran) Pajak Penghasilan Dari Aktivitas Investasi,Penambahan Tanah Yang Akan Dikembangkan,Perolehan Persediaan Tidak Lancar,Penambahan Aset Tidak Berwujud,Pelepasan Aset Tidak Berwujud,Penambahan Aset Dalam Penyelesaian,Penambahan Properti Investasi,Perolehan Properti Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penambahan Aset Sewa Pembiayaan,Perolehan Aset Guna Usaha,Hasil Dari Penjualan Aset Guna Usaha,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,"Pembayaran Dividen, Program Kemitraan Dan Bina Lingkungan",Pembayaran Dividen,Pembayaran Program Kemitraan Dan Bina Lingkungan,"Total Pembayaran Dividen, Program Kemitraan Dan Bina Lingkungan",Pengembalian Program Kemitraan Dan Bina Lingkungan,Penerimaan Uang Muka Investasi,Pembayaran Pinjaman Lainnya,Penerimaan Obligasi,Pembayaran Biaya Emisi Obligasi,Penerimaan Utang Bank,Pembayaran Obligasi,Pembayaran Perpetual Bond,Pembayaran Utang Bank,Pembayaran Utang Pemegang Saham,Penambahan Surat Berharga Jangka Menengah,Pembayaran Surat Berharga Jangka Menengah,Penerimaan Setoran Modal,Surat Berharga Perpetual,Saham Treasury,Penawaran Saham Terbatas,Hak Kepentingan Non Pengendali,Penerimaan Utang Non Bank,Pembayaran Utang Non Bank,Pembayaran Liabilitas Sewa,Dana Hasil Ipo,Biaya Emisi Ipo,Pembayaran Utang Sewa Pembiayaan,Penerimaan Dari Divestasi Entitas Anak,Penambahan Sukuk Mudharabah,Pembayaran Sukuk,Perubahan Ekuitas Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Cadangan Kerugian Penurunan Nilai,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-240066978318.000000,3431919529594.000000,,-3516781466117.000000,-2208000000.000000,-83519462007.000000,,,-3602508928124.000000,-64689394824.000000,74723239264.000000,-12835752480.000000,3062982447.000000,-69738654195.000000,,-240066978318.000000,-104562556137.000000,,,,-100000000000.000000,-100000000000.000000,,,,2965140138.000000,-281026949.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5346669326.000000,,-1900000000.000000,,,,,,-104562556137.000000,343829162040.000000,-30221097100.000000,,,-30221097100.000000,,,,,,477003672594.000000,,,-229020000000.000000,,150000000000.000000,-22470000000.000000,,,,,,,,,,,-1463413454.000000,,,,,343829162040.000000,-800372415.000000,1798071101.000000,,184656530075.000000,185654228761.000000
12M 2009,24327854391.000000,4324063709720.000000,,-4043342943655.000000,-3036000000.000000,-96346233390.000000,,,-4142725177045.000000,-160583287242.000000,90127479544.000000,-18940935000.000000,8905542592.000000,-76519478178.000000,,24327854391.000000,36253936907.000000,,,100261432621.000000,-3500000000.000000,96761432621.000000,,,,1908587344.000000,-343530000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-62072553058.000000,,,,,,,,36253936907.000000,201150815310.000000,-39237377389.000000,,,-39237377389.000000,,,,,,221916124576.000000,,,-322644181877.000000,,380000000000.000000,-227910000000.000000,,,,,,199500000000.000000,-10473750000.000000,,,,,,,,,201150815310.000000,261732606608.000000,-1125092725.000000,,185654228761.000000,446261742644.000000
12M 2010,66876718076.000000,4275674869564.000000,,-4011897055863.000000,,,-89858047263.000000,,-4101755103126.000000,-117414605513.000000,67063318235.000000,-13278077876.000000,20107433046.000000,-63521116254.000000,,66876718076.000000,-192988643495.000000,,,,-171527800000.000000,-171527800000.000000,,,,218314817.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11930608797.000000,,-9748549515.000000,,,,,,-192988643495.000000,638976614118.000000,-53875800000.000000,,,-53875800000.000000,,,,,,1417394852168.000000,,,-1239794040891.000000,,259829395000.000000,-215829395000.000000,,,,,,,-94812500000.000000,,566064102841.000000,,,,,,,638976614118.000000,512864688699.000000,482498386.000000,,446261742644.000000,959608929729.000000
12M 2011,146244079601.000000,5702594919022.000000,,-5169809074817.000000,-3659760000.000000,-131142345900.000000,,,-5304611180717.000000,-128804902999.000000,76749632237.000000,-6419125317.000000,,-193265262625.000000,,146244079601.000000,59004906332.000000,-1000000.000000,,127500000000.000000,,127500000000.000000,,,,,,22963571240.000000,-79489625676.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10718053364.000000,,-1249985868.000000,,,,,,59004906332.000000,140807523524.000000,-76626205340.000000,,,-76626205340.000000,,,,,,1533063353864.000000,,,-1278717125000.000000,,325000000000.000000,-299100000000.000000,,,,,,,-62812500000.000000,,,,,,,,,140807523524.000000,346056509457.000000,444574910.000000,,959608929729.000000,1306110014096.000000
12M 2012,195817167331.000000,7432616714484.000000,,-6436990386283.000000,-3680400000.000000,-137891212673.000000,,,-6578561998956.000000,-402567772550.000000,5180845008.000000,-20509511665.000000,,-240341108990.000000,,195817167331.000000,-465087901813.000000,,,,-411083953337.000000,-411083953337.000000,,,,,,18337633474.000000,,,-37617617607.000000,69869625676.000000,32252008069.000000,,,,,,,,,,,,,,,,,,,,,,,,-103709333514.000000,,-884256505.000000,,,,,,-465087901813.000000,257984000348.000000,-79273647547.000000,,,-79273647547.000000,,,,,,1709227225558.000000,,,-1570568327663.000000,,630000000000.000000,-400000000000.000000,,,,,,,-31401250000.000000,,,,,,,,,257984000348.000000,-11286734134.000000,8300649959.000000,,1306110014096.000000,1303123929921.000000
12M 2013,650849805114.000000,10997317783798.000000,,-9673900350229.000000,-5492400000.000000,-135637935973.000000,,,-9815030686202.000000,-335664502926.000000,116428601500.000000,-43417818758.000000,,-268783572298.000000,,650849805114.000000,-363139884139.000000,,,347848350267.000000,-382848350267.000000,-35000000000.000000,,,,,,12551840607.000000,,,-106400000000.000000,,-106400000000.000000,-23000000000.000000,,,,,,,,,,,,,,,,,,,,,,,-118066292170.000000,,-93225432576.000000,,,,,,-363139884139.000000,659009020538.000000,-92926356435.000000,,,-92926356435.000000,,,,700000000000.000000,,2287311838841.000000,,,-2244915668500.000000,,448824000000.000000,-598824000000.000000,,,,,,222528448475.000000,-62989241843.000000,,,,,,,,,659009020538.000000,946718941513.000000,-6385853379.000000,,1456468725427.000000,2396801813561.000000
12M 2014,282346734521.000000,13055091268038.000000,,-12168059771248.000000,-8694577448.000000,-187217705692.000000,,,-12363972054388.000000,-251894094174.000000,214724240251.000000,-9866358478.000000,,-361736266728.000000,,282346734521.000000,-525444455654.000000,,,288080053397.000000,-480382076483.000000,-192302023086.000000,,,,,,16543506111.000000,,,,-78165485563.000000,-78165485563.000000,-110888731000.000000,,,,,,,,,,,,,,,,,,,,,,,-762796662.000000,,-159868925454.000000,,,,,,-525444455654.000000,243091683060.000000,-126203302161.000000,,,-126203302161.000000,,,,,,2949910596725.000000,,,-2998307304753.000000,,375000000000.000000,-605000000000.000000,,,,,,776982023037.000000,-129290329788.000000,,,,,,,,,243091683060.000000,-6038073.000000,1844413876.000000,,2406287845834.000000,2408126221637.000000
12M 2015,502626694452.000000,13862547732986.000000,,-12343844725937.000000,-15112427762.000000,-341963397186.000000,,,-12700920550885.000000,-595280953481.000000,302003633090.000000,,,-365723167258.000000,,502626694452.000000,-662004226231.000000,,,137400000000.000000,-214658037662.000000,-77258037662.000000,,,,,,28685891876.000000,,,8700000000.000000,-133394500000.000000,-124694500000.000000,-6000000000.000000,,,,,,,,,,,,,,-62393625246.000000,,,,-143469150000.000000,,,,-121322928000.000000,,,-155599817199.000000,47940000.000000,,,,,-662004226231.000000,704254904111.000000,-106390160192.000000,,,-106390160192.000000,,,,300000000000.000000,-240000000.000000,4630945557338.000000,,,-4473732895739.000000,,300000000000.000000,-300000000000.000000,,,,,,965700000000.000000,-867891717463.000000,,,,,,,,255864120167.000000,704254904111.000000,544877372332.000000,71084195760.000000,,2409432892973.000000,3025394461065.000000
12M 2016,986831200221.000000,15430951225445.000000,,-12819545649299.000000,-11911492876.000000,-425368543084.000000,,,-13256825685259.000000,-1007564909028.000000,229369425533.000000,,,-409098856470.000000,,986831200221.000000,-1826286676814.000000,,,323650000000.000000,-346580900787.000000,-22930900787.000000,,,,,,40378298013.000000,,,-700772008079.000000,261026835489.000000,-439745172590.000000,-101100000000.000000,,,,,,,,,,,,,,4110085223.000000,-1747558877.000000,,,-594871295200.000000,,,,-340305689259.000000,,,-370117651228.000000,43207891.000000,,,,,-1826286676814.000000,6899357806294.000000,,-176966808609.000000,,-176966808609.000000,1260000000.000000,,,600000000000.000000,-43586057667.000000,5950950772298.000000,,,-4587427984020.000000,,900000000000.000000,-300000000000.000000,,,,4411747775500.000000,251089478.000000,1951540489396.000000,-1808411470082.000000,,,,,,,,,6899357806294.000000,6059902329701.000000,39872160681.000000,,3025394461065.000000,9125168951447.000000
12M 2017,1462721816743.000000,16438291101882.000000,,-12398455142536.000000,-29862227627.000000,-500851388423.000000,,,-12929168758586.000000,-1469730900972.000000,76583765353.000000,,,-653253390934.000000,,1462721816743.000000,-3903484063010.000000,,,145108828335.000000,-50000000000.000000,95108828335.000000,,,,,,240777900925.000000,,,-527281577253.000000,1141678906.000000,-526139898347.000000,-211715587500.000000,,,,,,,,,,-764464268304.000000,,,,11990252207.000000,,,,-1214467600642.000000,,-14890206160.000000,,,,,-1519683483524.000000,,,,,,-3903484063010.000000,2695858445661.000000,,-307010840936.000000,,-307010840936.000000,,,,,,9125657468364.000000,,,-7800444711882.000000,,1200000000000.000000,-600000000000.000000,,,,,,1952000000000.000000,-2393750433000.000000,,,,,1519406963115.000000,,,,2695858445661.000000,255096199394.000000,3228788096.000000,,9125168951448.000000,9383493938938.000000
