Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Pendapatan Bersih Ventura Bersama,Laba Kotor Setelah Ventura Bersama,Total Beban Usaha,Beban Karyawan,Beban Umum Dan Administrasi,Beban Penyusutan,Beban Penjualan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Keuntungan Atas Penjualan Entitas Anak,Beban Keuangan,Pendapatan Bersih Ventura Bersama,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Adjustment,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Adjustment,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,3933668883068.000000,-3648308989237.000000,285359893831.000000,66594142641.000000,351954036472.000000,-84092793498.000000,-63523463453.000000,-16951061315.000000,-1070622448.000000,-2547646282.000000,-84092793498.000000,267861242974.000000,-89106785730.000000,,,,,,-89106785730.000000,178754457244.000000,-57145013728.000000,-19105374856.000000,-34122315216.000000,-3917323656.000000,,-57145013728.000000,121609443516.000000,,,121609443516.000000,,,,,,121609443516.000000,121609443516.000000,,121609443516.000000,,,,
12M 2009,4203312721990.000000,-3860773231712.000000,342539490278.000000,124109521974.000000,466649012252.000000,-98750333428.000000,-71817381748.000000,-22426462545.000000,-1092932851.000000,-3413556284.000000,-98750333428.000000,367898678824.000000,-97518232788.000000,,,,,,-97518232788.000000,270380446036.000000,-107120230798.000000,-107120230798.000000,,,,-107120230798.000000,163260215238.000000,,,163260215238.000000,,,,,,163260215238.000000,163260215238.000000,,163260215238.000000,,,,
12M 2010,4401228558349.000000,-3983231854106.000000,417996704243.000000,96627288940.000000,514623993183.000000,-122429598751.000000,-81888772338.000000,-27773010280.000000,-1252448297.000000,-11515367836.000000,-122429598751.000000,392194394432.000000,-65528070194.000000,,,,,,-65528070194.000000,326666324238.000000,-125018415449.000000,-125018415449.000000,,,,-125018415449.000000,201647908789.000000,,,201647908789.000000,,,,,,201647908789.000000,201647908789.000000,,201647908789.000000,,,,
12M 2011,6231897707375.000000,-5526135624010.000000,705762083365.000000,80159588723.000000,785921672088.000000,-130981268643.000000,-97632339424.000000,-27173988826.000000,-1580118672.000000,-4594821721.000000,-130981268643.000000,654940403445.000000,-236464447720.000000,,-178506009713.000000,,-363638895.000000,-57594799112.000000,-236464447720.000000,418475955725.000000,-178252781343.000000,-178252781343.000000,,,,-178252781343.000000,240223174382.000000,,,240223174382.000000,,,,,240223174382.000000,240223174382.000000,240223187088.000000,-12706.000000,240223174382.000000,240223174382.000000,240223187088.000000,-12706.000000,240223174382.000000
12M 2012,8003872577187.000000,-7149367220954.000000,854505356233.000000,,854505356233.000000,-143680641641.000000,-108514371988.000000,-28939321661.000000,-2718504166.000000,-3508443826.000000,-143680641641.000000,710824714592.000000,-165433146906.000000,,-213743066181.000000,141776207062.000000,3317617607.000000,-96783905394.000000,-165433146906.000000,545391567686.000000,-235708738083.000000,-235708738083.000000,,,,-235708738083.000000,309682829603.000000,,,309682829603.000000,,,,,309682829603.000000,309682829604.000000,309682831680.000000,-2076.000000,309682829604.000000,309682829604.000000,309682831680.000000,-2076.000000,309682829604.000000
12M 2013,11655844311524.000000,-10382922743069.000000,1272921568455.000000,,1272921568455.000000,-199536616962.000000,-148945757299.000000,-43005352380.000000,-2046345000.000000,-5539162283.000000,-199536616962.000000,1073384951493.000000,-306494971816.000000,,-267192349782.000000,94252483918.000000,1473266866.000000,-135028372818.000000,-306494971816.000000,766889979677.000000,-346170003241.000000,-344759784991.000000,-1410218250.000000,,,-346170003241.000000,420719976436.000000,,,420719976436.000000,,,,,420719976436.000000,420719976436.000000,420707825469.000000,12150967.000000,420719976436.000000,420719976436.000000,420707825469.000000,12150967.000000,420719976436.000000
12M 2014,12427371312550.000000,-10894711083647.000000,1532660228903.000000,,1532660228903.000000,-275957940111.000000,-209722687904.000000,-59033339690.000000,-1878545276.000000,-5323367241.000000,-275957940111.000000,1256702288792.000000,-337257401345.000000,,-333646520051.000000,71023917344.000000,1374798731.000000,-76009597369.000000,-337257401345.000000,919444887447.000000,-387379616524.000000,-378125465420.000000,-9254151104.000000,,,-387379616524.000000,532065270923.000000,,,532065270923.000000,,,,,532065270923.000000,532065270922.000000,531950800962.000000,114469960.000000,532065270922.000000,532065270922.000000,531950800962.000000,114469960.000000,532065270922.000000
12M 2015,14217372867769.000000,-12210412121484.000000,2006960746285.000000,,2006960746285.000000,-409796588209.000000,-287556323896.000000,-96071384547.000000,-21286576550.000000,-4882303216.000000,-409796588209.000000,1597164158076.000000,-309630106183.000000,,-372986744301.000000,66924769110.000000,46190743.000000,-3614321735.000000,-309630106183.000000,1287534051893.000000,-441970750275.000000,-434761337347.000000,,,-7209412928.000000,-441970750275.000000,845563301618.000000,,,845563301618.000000,1192088888915.000000,1192088888915.000000,1192088888915.000000,,2037652190533.000000,845563301618.000000,740323181921.000000,105240119697.000000,845563301618.000000,2037652190533.000000,1932412070836.000000,105240119697.000000,2037652190533.000000
12M 2016,16458884219698.000000,-14003354538043.000000,2455529681655.000000,,2455529681655.000000,-487330340025.000000,-328431003722.000000,-119705230256.000000,-31208838050.000000,-7985267997.000000,-487330340025.000000,1968199341630.000000,-264589195607.000000,,-408739515709.000000,155067559826.000000,-250227144.000000,-10667012580.000000,-264589195607.000000,1703610146023.000000,-552178255150.000000,-534694905667.000000,,,-17483349483.000000,-552178255150.000000,1151431890873.000000,,,1151431890873.000000,125634134684.000000,125634134684.000000,125634134684.000000,,1277066025557.000000,1151431890873.000000,1023369469788.000000,128062421085.000000,1151431890873.000000,1277066025557.000000,1149003604472.000000,128062421085.000000,1277066025557.000000
12M 2017,21502259604154.000000,-18250798096637.000000,3251461507517.000000,,3251461507517.000000,-726105708897.000000,,,,,-726105708897.000000,2525355798620.000000,-89759471282.000000,,-653253390934.000000,361171278220.000000,2635628171.000000,199687013261.000000,-89759471282.000000,2435596327338.000000,-711743433052.000000,-643334764872.000000,,-3169351372.000000,-65239316808.000000,-711743433052.000000,1723852894286.000000,,,1723852894286.000000,84592623876.000000,84592623876.000000,84592623876.000000,,1808445518162.000000,1723852894286.000000,1453140728771.000000,270712165515.000000,1723852894286.000000,1808445518162.000000,1522097050435.000000,286348467727.000000,1808445518162.000000
12M 2018,25119560112231.000000,-21573636305880.000000,3545923806351.000000,,3545923806351.000000,-917519561768.000000,,,,,-917519561768.000000,2628404244583.000000,184102011122.000000,,-759837836078.000000,418282786106.000000,65670193232.000000,459986867862.000000,184102011122.000000,2812506255705.000000,-853513196345.000000,-809415517377.000000,,-16310593534.000000,-27787085434.000000,-853513196345.000000,1958993059360.000000,,,1958993059360.000000,157615883133.000000,157615883133.000000,157615883133.000000,,2116608942493.000000,1958993059360.000000,1501973077232.000000,457019982128.000000,1958993059360.000000,2116608942493.000000,1602552796073.000000,514056146420.000000,2116608942493.000000
12M 2019,24659998995266.000000,-21174884307780.000000,3485114687486.000000,,3485114687486.000000,-828429133890.000000,,,,,-828429133890.000000,2656685553596.000000,-631855626019.000000,92591480000.000000,-782155094120.000000,200195358833.000000,-107893439754.000000,-34593930978.000000,-631855626019.000000,2024829927577.000000,-816559372247.000000,-785066835284.000000,-31367832464.000000,-124704499.000000,,-816559372247.000000,1208270555330.000000,,,1208270555330.000000,34632307813.000000,34632307813.000000,34632307813.000000,,1242902863143.000000,1208270555330.000000,930322560867.000000,277947994463.000000,1208270555330.000000,1242902863143.000000,947308256675.000000,295594606468.000000,1242902863143.000000
12M 2020,15831388462166.000000,-13657930676733.000000,2173457785433.000000,,2173457785433.000000,-583708784467.000000,,,,,-583708784467.000000,1589749000966.000000,-834076574221.000000,7675875000.000000,-894583427597.000000,449915336068.000000,-214447696686.000000,-182636661006.000000,-834076574221.000000,755672426745.000000,-489402555894.000000,-466105768485.000000,-23296787409.000000,,,-489402555894.000000,266269870851.000000,,,266269870851.000000,-31250692376.000000,-31250692376.000000,-31250692376.000000,,235019178475.000000,266269870851.000000,128752518892.000000,137517351959.000000,266269870851.000000,235019178475.000000,95778121802.000000,139241056673.000000,235019178475.000000
12M 2021,16763936677996.000000,-14589354446412.000000,2174582231584.000000,,2174582231584.000000,-625238532386.000000,,,,,-625238532386.000000,1549343699198.000000,-581506459549.000000,497605684246.000000,-1343188833235.000000,586601339485.000000,-104549747496.000000,-217974902549.000000,-581506459549.000000,967837239649.000000,-606415255490.000000,-590806876919.000000,-15608378571.000000,,,-606415255490.000000,361421984159.000000,,,361421984159.000000,40826083972.000000,40826083972.000000,40826083972.000000,,402248068131.000000,361421984159.000000,265976722562.000000,95445261597.000000,361421984159.000000,402248068131.000000,299544028653.000000,102704039478.000000,402248068131.000000
12M 2022,18921838539997.000000,-16245773879846.000000,2676064660151.000000,,2676064660151.000000,-698928404657.000000,,,,,-698928404657.000000,1977136255494.000000,-1112552369122.000000,,-1255013604766.000000,379503642130.000000,34582035154.000000,-271624441640.000000,-1112552369122.000000,864583886372.000000,-498842155308.000000,-484365934705.000000,-14476220603.000000,,,-498842155308.000000,365741731064.000000,,,365741731064.000000,32306712297.000000,32306712297.000000,32306712297.000000,,398048443361.000000,365741731064.000000,271698788919.000000,94042942145.000000,365741731064.000000,398048443361.000000,297157030347.000000,100891413014.000000,398048443361.000000
12M 2023,18464215470859.000000,-16081950211034.000000,2382265259825.000000,,2382265259825.000000,-741584660711.000000,,,,,-741584660711.000000,1640680599114.000000,-997329245434.000000,,-1206628832432.000000,676855722388.000000,72520023172.000000,-540076158562.000000,-997329245434.000000,643351353680.000000,-516261834325.000000,-494147234198.000000,-22114600127.000000,,,-516261834325.000000,127089519355.000000,,,127089519355.000000,85159136914.000000,85159136914.000000,85159136914.000000,,212248656269.000000,127089519355.000000,481365877654.000000,-354276358299.000000,127089519355.000000,212248656269.000000,568475358839.000000,-356226702570.000000,212248656269.000000
