Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Retensi,Pihak Ketiga,Pihak Berelasi,Total Piutang Retensi,Tagihan Bruto Kepada Pemberi Kerja,Pihak Ketiga,Pihak Berelasi,Total Tagihan Bruto Kepada Pemberi Kerja,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Piutang Usaha,Properti Investasi,Aset Tetap,Tanah Untuk Dikembangkan,Aset Tak Berwujud,Aset Minyak Dan Gas Bumi,Goodwill,Aset Pajak Tangguhan,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Pihak Ketiga,Pihak Berelasi,Total Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Pihak Ketiga,Pihak Berelasi,Total Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Surat Berharga Jangka Menengah,Utang Obligasi,Sukuk Mudharabah,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Pihak Ketiga,Pihak Berelasi,Total Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Surat Berharga Jangka Menengah,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Obligasi,Obligasi Konversi,Liabilitas Pajak Tangguhan,Adjustment,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Others,Total Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,185654228761.000000,107961432621.000000,747882143152.000000,526418477455.000000,221463665697.000000,747882143152.000000,250167366901.000000,171919729374.000000,78247637527.000000,250167366901.000000,443693554521.000000,198680062230.000000,245013492291.000000,443693554521.000000,259986037394.000000,259986037394.000000,,259986037394.000000,203831972594.000000,,452370745685.000000,2651547481629.000000,,906548492.000000,17059050000.000000,,22194807809.000000,82848971710.000000,,,,,,,8574582000.000000,131583960011.000000,2783131441640.000000,,,2101078103097.000000,573606252271.000000,,,573606252271.000000,,1050642288233.000000,148375592245.000000,1199017880478.000000,11978378856.000000,61297687911.000000,,,,,,,128010000000.000000,,,122590877864.000000,250600877864.000000,,4577025717.000000,2101078103097.000000,257175584713.000000,,,,,,,100000000000.000000,148129790147.000000,248129790147.000000,,,,,,,,,9045794566.000000,257175584713.000000,2358253687810.000000,,110000000000.000000,,314877753830.000000,193268310314.000000,121609443516.000000,,121609443516.000000,314877753830.000000,,,,424877753830.000000,2783131441640.000000,220000000.000000
12M 2009,,,446261742644.000000,11200000000.000000,684096922001.000000,335192774101.000000,348904147900.000000,684096922001.000000,269920249245.000000,152849975993.000000,117070273252.000000,269920249245.000000,729689695450.000000,243527995296.000000,486161700154.000000,729689695450.000000,25181728889.000000,25181728889.000000,,25181728889.000000,1275007488204.000000,,493553444363.000000,3934911270796.000000,,877485895.000000,17059050000.000000,,85766012677.000000,78861891981.000000,,,,,,,8075708000.000000,190640148553.000000,4125551419349.000000,,,3015594155139.000000,480055574090.000000,,,480055574090.000000,,1905996749843.000000,247991279887.000000,2153988029730.000000,12066740670.000000,59147833354.000000,,,,,,94807500000.000000,80000000000.000000,,,92086068925.000000,266893568925.000000,,43442408370.000000,3015594155139.000000,561950595142.000000,,,,,,94218750000.000000,300100000000.000000,156874174100.000000,551192924100.000000,,,,,,,,,10757671042.000000,561950595142.000000,3577544750281.000000,,380346000000.000000,,167660669068.000000,4400453830.000000,163260215238.000000,,163260215238.000000,167660669068.000000,,,,548006669068.000000,4125551419349.000000,3803460000.000000
12M 2010,,,959608929729.000000,157700000000.000000,800497516536.000000,335491257052.000000,465006259484.000000,800497516536.000000,273899527003.000000,163323389477.000000,110576137526.000000,273899527003.000000,951946070061.000000,275619101703.000000,676326968358.000000,951946070061.000000,25129599492.000000,,25129599492.000000,25129599492.000000,1509428092994.000000,,551717457559.000000,5229927193374.000000,,787024728.000000,34770350000.000000,,94918517414.000000,77126920371.000000,,,,,,,6543893937.000000,214146706450.000000,5444073899824.000000,,,3729101968314.000000,657656385367.000000,,,657656385367.000000,,2184870202369.000000,199775627285.000000,2384645829654.000000,7227147611.000000,81844301602.000000,,,,,,,349100000000.000000,,,178379052198.000000,527479052198.000000,,70249251882.000000,3729101968314.000000,453129050812.000000,,,,,,94213750000.000000,75000000000.000000,266478840077.000000,435692590077.000000,,,,,,,,,17436460735.000000,453129050812.000000,4182231019126.000000,,484243650000.000000,462166452841.000000,315432777857.000000,113784869068.000000,201647908789.000000,,201647908789.000000,315432777857.000000,,,,1261842880698.000000,5444073899824.000000,4842436500.000000
12M 2011,,,1306110014096.000000,30200000000.000000,995877969850.000000,386183128061.000000,609694841789.000000,995877969850.000000,262857007106.000000,153480059107.000000,109376947999.000000,262857007106.000000,1790517140326.000000,534303957133.000000,1256213183193.000000,1790517140326.000000,25939636740.000000,191675445.000000,25747961295.000000,25939636740.000000,1586309420113.000000,,639049903926.000000,6636861092157.000000,,787024728.000000,113896336781.000000,,99601033576.000000,75996724937.000000,,,,,,,6211375664.000000,296492495686.000000,6933353587843.000000,,,5095936514266.000000,912002614231.000000,,,912002614231.000000,,3265194579695.000000,198308136514.000000,3463502716209.000000,21425023619.000000,75126884940.000000,,,,,,31401250000.000000,300000000000.000000,,,162968980547.000000,494370230547.000000,,129509044720.000000,5095936514266.000000,411977223837.000000,,,,,,,150000000000.000000,243292613962.000000,393292613962.000000,,,,,,,,,18684609875.000000,411977223837.000000,5507913738103.000000,,484243650000.000000,462166452841.000000,479029759605.000000,238806572517.000000,240223187088.000000,,240223187088.000000,479029759605.000000,,-12706.000000,,1425439849740.000000,6933353587843.000000,4842436500.000000
12M 2012,,,1303123929922.000000,141200000000.000000,1339247640840.000000,1036166837704.000000,303080803136.000000,1339247640840.000000,268396400774.000000,231433905628.000000,36962495146.000000,268396400774.000000,2689054580227.000000,1223096872865.000000,1465957707362.000000,2689054580227.000000,26292553756.000000,25519028749.000000,773525007.000000,26292553756.000000,1565641704087.000000,,855988391236.000000,8188945200842.000000,,787024728.000000,61345278712.000000,,199994347539.000000,72775407301.000000,,,,,,,27003265552.000000,361905323832.000000,8550850524674.000000,,,6032342111437.000000,,260635139637.000000,854942419152.000000,1115577558789.000000,,4215583944499.000000,28026108477.000000,4243610052976.000000,26570158996.000000,130660054872.000000,,,,,,,150000000000.000000,,,202729223594.000000,352729223594.000000,,163195062210.000000,6032342111437.000000,862659381440.000000,,,,,,,530000000000.000000,303597274335.000000,833597274335.000000,,,,,,,,,29062107105.000000,862659381440.000000,6895001492877.000000,,484243650000.000000,462166452841.000000,709438943738.000000,399756099353.000000,309682844385.000000,,309682844385.000000,709438943738.000000,,-14782.000000,,1655849031797.000000,8550850524674.000000,4842436500.000000
12M 2013,,,2396801813562.000000,176080053397.000000,1710017689183.000000,1256555857973.000000,453461831210.000000,1710017689183.000000,447957168250.000000,310346879855.000000,137610288395.000000,447957168250.000000,4230664209591.000000,2047237004842.000000,2183427204749.000000,4230664209591.000000,29031613658.000000,26196581483.000000,2835032175.000000,29031613658.000000,1777419373872.000000,,1133613609519.000000,11901585531032.000000,,787024728.000000,70218545578.000000,,235053215300.000000,141882278136.000000,,,,,,,66142806287.000000,514083870029.000000,12415669401061.000000,,,8776012824226.000000,,31888656369.000000,804877213048.000000,836765869417.000000,,6254135938944.000000,46210320446.000000,6300346259390.000000,59420290190.000000,191440935562.000000,,,,,,,530000000000.000000,,,546637914397.000000,1076637914397.000000,,311401555270.000000,8776012824226.000000,1654909270524.000000,,,,,,114704178590.000000,,819210831394.000000,933915009984.000000,,,,,697800695683.000000,,,,23193564857.000000,1654909270524.000000,10430922094750.000000,,484243650000.000000,462356846439.000000,1037220400067.000000,616512574598.000000,420707825469.000000,,420707825469.000000,1037220400067.000000,,926409806.000000,,1984747306312.000000,12415669401062.000000,4842436500.000000
12M 2014,,,2408126221637.000000,202500000000.000000,2300164054542.000000,1921982143795.000000,378181910747.000000,2300164054542.000000,807265432035.000000,542044875044.000000,265220556991.000000,807265432035.000000,4136962880824.000000,3164134228452.000000,972828652372.000000,4136962880824.000000,27614239312.000000,25851925861.000000,1762313451.000000,27614239312.000000,2570345608332.000000,,1092201979924.000000,13545180416606.000000,,787024728.000000,147393344309.000000,,219895629055.000000,493575829412.000000,104523442095.000000,,,,,,100509164765.000000,1066684434364.000000,14611864850970.000000,,,9838496713070.000000,,90063303630.000000,801804504414.000000,891867808044.000000,,6950110285786.000000,71522301911.000000,7021632587697.000000,34722714899.000000,310449174817.000000,,10218181818.000000,,,10218181818.000000,,,,,638077882621.000000,648296064439.000000,,931528363174.000000,9838496713070.000000,2383097962409.000000,,,6554299639.000000,,6554299639.000000,420111025477.000000,330000000000.000000,880815140210.000000,1637480465326.000000,,,,,698318179052.000000,,,,47299318031.000000,2383097962409.000000,12221594675479.000000,,484243650000.000000,462018090364.000000,1442958853389.000000,911008052427.000000,531950800962.000000,,531950800962.000000,1442958853389.000000,,1049581738.000000,,2390270175491.000000,14611864850970.000000,4842436500.000000
12M 2015,,,3025394461065.000000,276900000000.000000,2927370223940.000000,2510492079141.000000,416878144799.000000,2927370223940.000000,1180476980060.000000,744116219449.000000,436360760611.000000,1180476980060.000000,4721321332405.000000,3037067784346.000000,1684253548059.000000,4721321332405.000000,3887317790.000000,247315921.000000,3640001869.000000,3887317790.000000,2498625335323.000000,,796559783975.000000,15430535434558.000000,,787024728.000000,272134035052.000000,,113375946005.000000,2989066252797.000000,247992592095.000000,1121447184.000000,,,,,73799050000.000000,3698276347861.000000,19128811782419.000000,,,11114413553106.000000,,109067959675.000000,1147275079906.000000,1256343039581.000000,,7861184653253.000000,26606966541.000000,7887791619794.000000,56570043478.000000,324088272363.000000,,106954129392.000000,,,106954129392.000000,,,,,712137127618.000000,819091257010.000000,,770529320880.000000,11114413553106.000000,2895325995150.000000,,,29036221948.000000,,29036221948.000000,555413002074.000000,330000000000.000000,937611268524.000000,1852060492546.000000,,,,,998635662420.000000,,,,44629840184.000000,2895325995150.000000,14009739548256.000000,,484243650000.000000,431845369858.000000,2047155142292.000000,1306831960371.000000,740323181921.000000,,740323181921.000000,2047155142292.000000,,737195320507.000000,1418632751506.000000,5119072234163.000000,19128811782419.000000,4842436500.000000
12M 2016,,,9125168951448.000000,298908828335.000000,4776036772909.000000,4394528245138.000000,381508527771.000000,4776036772909.000000,1237667414091.000000,770290080579.000000,467377333512.000000,1237667414091.000000,4905897275040.000000,2230995314168.000000,2674901960872.000000,4905897275040.000000,234745609849.000000,404587858.000000,234341021991.000000,234745609849.000000,2655638456048.000000,,1109961332656.000000,24344024640376.000000,,273845840377.000000,486336312193.000000,249387113602.000000,113375946005.000000,4177882676836.000000,1348698763640.000000,43111906819.000000,,,,,196103367542.000000,6888741927014.000000,31232766567390.000000,,,15878599066552.000000,,872144844804.000000,1123928242844.000000,1996073087648.000000,,9766949763386.000000,470292178077.000000,10237241941463.000000,218961542312.000000,491115263276.000000,,,77276995262.000000,442833932673.000000,520110927935.000000,,630000000000.000000,,,684545972241.000000,1834656900176.000000,,1100550331677.000000,15878599066552.000000,4558009993427.000000,,,313202632977.000000,837061540838.000000,1150264173815.000000,,300000000000.000000,810350596199.000000,2260614770014.000000,,,,,1597559346694.000000,,,,699835876719.000000,4558009993427.000000,20436609059979.000000,,619989735400.000000,4709829020084.000000,2921539060701.000000,1898169590913.000000,1023369469788.000000,,1023369469788.000000,2921539060701.000000,,1000300898324.000000,1544498792902.000000,10796157507411.000000,31232766567390.000000,6199897355.000000
12M 2017,,,9383493938938.000000,203800000000.000000,6509980535317.000000,5950165085681.000000,559815449636.000000,6509980535317.000000,1478755538704.000000,800614366545.000000,678141172159.000000,1478755538704.000000,7925755512817.000000,3144845915267.000000,4780909597550.000000,7925755512817.000000,314700433864.000000,57458403093.000000,257242030771.000000,314700433864.000000,2420508274041.000000,,1670854862207.000000,29907849095888.000000,,679729185358.000000,1183665793913.000000,240896476908.000000,112800502380.000000,5789644335276.000000,3154069617116.000000,40450476283.000000,,277036234877.000000,,,396639197112.000000,11874931819223.000000,41782780915111.000000,,,20699814835735.000000,,1515075688556.000000,639307830679.000000,2154383519235.000000,,14041381255221.000000,464787348309.000000,14506168603530.000000,716134973182.000000,227079436066.000000,,,297282118710.000000,101466982287.000000,398749100997.000000,,100000000000.000000,699870629158.000000,,1195655938344.000000,2394275668499.000000,,701772635223.000000,20699814835735.000000,6839855594779.000000,,,1007863672484.000000,1807337964735.000000,2815201637219.000000,,1430000000000.000000,1153175580604.000000,5398377217823.000000,,,,,898910920548.000000,,,,542567456408.000000,6839855594779.000000,27539670430514.000000,,619989735400.000000,4709945362707.000000,4062974630774.000000,2609833902003.000000,1453140728771.000000,,1453140728771.000000,4062974630774.000000,,2789390078296.000000,2060810677420.000000,14243110484597.000000,41782780915111.000000,6199897355.000000
