Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Pihak Berelasi,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,27850189137.000000,222197822518.000000,200674846338.000000,150231038537.000000,50443807801.000000,200674846338.000000,491238618.000000,1004084975166.000000,38873000000.000000,440757016898.000000,1934929088675.000000,,543490630.000000,816552450402.000000,,53200000.000000,817149141032.000000,2752078229707.000000,,,1826964300132.000000,,18529497161.000000,660972996156.000000,679502493317.000000,484542603.000000,716932034.000000,10748400817.000000,122184000000.000000,885981504956.000000,,126630166558.000000,126630166558.000000,716259847.000000,1826964300132.000000,267772373122.000000,,237337587667.000000,237337587667.000000,4447859709.000000,25986925746.000000,267772373122.000000,2094736673254.000000,,154000000000.000000,66438850615.000000,337082708535.000000,,,337082708535.000000,99819997303.000000,657341556453.000000,2752078229707.000000,308000000.000000
12M 2014,,,51502003307.000000,210340535808.000000,278752811664.000000,121510103765.000000,157242707899.000000,278752811664.000000,35123006028.000000,1330722084741.000000,63538000000.000000,458498548393.000000,2428476989941.000000,,1961441546.000000,781940149737.000000,,60400000.000000,783961991283.000000,3212438981224.000000,,,2370051137523.000000,,27550397900.000000,117142490440.000000,144692888340.000000,455436362.000000,852012986.000000,12593474002.000000,,2041897508110.000000,,168790037489.000000,168790037489.000000,769780234.000000,2370051137523.000000,201352065466.000000,,167519217000.000000,167519217000.000000,4133716882.000000,29699131584.000000,201352065466.000000,2571403202989.000000,,154000000000.000000,66438850615.000000,326711671599.000000,285351334592.000000,41360337007.000000,326711671599.000000,93885256021.000000,641035778235.000000,3212438981224.000000,616000000.000000
12M 2015,,,31773447971.000000,125237728303.000000,143680551292.000000,47670584939.000000,96009966353.000000,143680551292.000000,1405837513.000000,729659654409.000000,33695496356.000000,305331096648.000000,1370783812492.000000,,,792208520867.000000,25760872648.000000,284380050.000000,818253773565.000000,2189037586057.000000,,,1520673338662.000000,,21583573923.000000,974429200634.000000,996012774557.000000,1653489945.000000,832669787.000000,9168924459.000000,57698000000.000000,305091867806.000000,,149445831933.000000,149445831933.000000,769780175.000000,1520673338662.000000,103253246813.000000,,33911943796.000000,33911943796.000000,,69341303017.000000,103253246813.000000,1623926585475.000000,,154000000000.000000,66438850615.000000,244200484654.000000,285351334592.000000,-41150849938.000000,244200484654.000000,100471665313.000000,565111000582.000000,2189037586057.000000,616000000.000000
12M 2016,,,46166334726.000000,196298089476.000000,129840434328.000000,42747243457.000000,87093190871.000000,129840434328.000000,3886566719.000000,840062055130.000000,75716000000.000000,132741926802.000000,1424711407181.000000,,1563944388.000000,701939227149.000000,18635239058.000000,6180685755.000000,728319096350.000000,2153030503531.000000,,,1667249369925.000000,,87879086040.000000,919410499454.000000,1007289585494.000000,772938144.000000,615709940.000000,10024905135.000000,2426363707.000000,611772804949.000000,,33577282409.000000,33577282409.000000,769780147.000000,1667249369925.000000,82086791545.000000,,,,,82086791545.000000,82086791545.000000,1749336161470.000000,,154000000000.000000,72324850615.000000,138949727108.000000,285351334592.000000,-146401607484.000000,138949727108.000000,38419764338.000000,403694342061.000000,2153030503531.000000,836000000.000000
12M 2017,,,51808282103.000000,106048326155.000000,272641438893.000000,50265172624.000000,222376266269.000000,272641438893.000000,1699371432.000000,991753212184.000000,26011000054.000000,251319845279.000000,1701281476100.000000,,,644735905720.000000,24014820530.000000,6249594578.000000,675000320828.000000,2376281796928.000000,,,1747767173359.000000,,15437472100.000000,973721525021.000000,989158997121.000000,967304013.000000,719485236.000000,12108557835.000000,204868060900.000000,498530988102.000000,,40644000000.000000,40644000000.000000,769780152.000000,1747767173359.000000,249644071180.000000,,161781612299.000000,161781612299.000000,,87862458881.000000,249644071180.000000,1997411244539.000000,,154000000000.000000,72324850615.000000,142433542647.000000,285351334592.000000,-142917791945.000000,142433542647.000000,10112159127.000000,378870552389.000000,2376281796928.000000,616000000.000000
12M 2018,,,71000352993.000000,105302102853.000000,183718940720.000000,43744399859.000000,139974540861.000000,183718940720.000000,2169570498.000000,1382113970257.000000,16449000048.000000,355240167788.000000,2115994105157.000000,,,644184195044.000000,14806374131.000000,6681699685.000000,665672268860.000000,2781666374017.000000,,,2144650311300.000000,,84310852706.000000,835114245093.000000,919425097799.000000,44025979.000000,730632193.000000,12006732366.000000,131667127187.000000,1003791095664.000000,,76215819960.000000,76215819960.000000,769780152.000000,2144650311300.000000,309815366787.000000,,228099862313.000000,228099862313.000000,,81715504474.000000,309815366787.000000,2454465678087.000000,,154000000000.000000,72324850615.000000,154527871867.000000,285351334592.000000,-130823462725.000000,154527871867.000000,-53652026552.000000,327200695930.000000,2781666374017.000000,616000000.000000
12M 2019,,,7944591361.000000,11946866925.000000,69355724666.000000,32128711549.000000,37227013117.000000,69355724666.000000,1707714286.000000,796506004780.000000,35828999973.000000,237330760912.000000,1160620662903.000000,,,564902241975.000000,,126720000.000000,565028961975.000000,1725649624878.000000,,,1573757483662.000000,,15933859164.000000,93363258498.000000,109297117662.000000,74829130680.000000,1881069255.000000,11156316221.000000,595675999980.000000,706984882457.000000,,73163187160.000000,73163187160.000000,769780247.000000,1573757483662.000000,149702039069.000000,,145988492027.000000,145988492027.000000,3713547042.000000,,149702039069.000000,1723459522731.000000,,154000000000.000000,72324850615.000000,-144281030930.000000,,,-144281030930.000000,-79853717538.000000,2190102147.000000,1725649624878.000000,616000000.000000
12M 2020,,,821146.000000,,7066437.000000,4711213.000000,2355224.000000,7066437.000000,121098.000000,44876814.000000,2618788.000000,9505043.000000,65009326.000000,,,35679718.000000,,460077.000000,36139795.000000,101149121.000000,,,99946499.000000,,480459.000000,22003653.000000,22484112.000000,358182.000000,62230.000000,699166.000000,53866359.000000,19942067.000000,,2479808.000000,2479808.000000,54575.000000,99946499.000000,20285489.000000,,19555297.000000,19555297.000000,730192.000000,,20285489.000000,120231988.000000,,72888664.000000,28067077.000000,-120043058.000000,,,-120043058.000000,4450.000000,-19082867.000000,101149121.000000,616000000.000000
12M 2021,,,6367341.000000,,9744296.000000,4623451.000000,5120845.000000,9744296.000000,138892.000000,30978608.000000,2332686.000000,9362277.000000,58924100.000000,,,30743681.000000,3682892.000000,459151.000000,34885724.000000,93809824.000000,,,41756304.000000,,5621133.000000,21288616.000000,26909749.000000,9430.000000,23965.000000,853592.000000,,9680763.000000,,4224857.000000,4224857.000000,53948.000000,41756304.000000,15330440.000000,,15330440.000000,15330440.000000,,,15330440.000000,57086744.000000,,128658141.000000,28067077.000000,-120005729.000000,,,-120005729.000000,3591.000000,36723080.000000,93809824.000000,3816000000.000000
12M 2022,,,557076.000000,,1816683.000000,1030827.000000,785856.000000,1816683.000000,2072.000000,31488614.000000,,9270913.000000,43135358.000000,,,25962845.000000,4025067.000000,458090.000000,30446002.000000,73581360.000000,,,33987411.000000,,1246975.000000,11384671.000000,12631646.000000,4661.000000,10872.000000,346328.000000,6678105.000000,8046472.000000,,6220393.000000,6220393.000000,48934.000000,33987411.000000,6035047.000000,,6035047.000000,6035047.000000,,,6035047.000000,40022458.000000,,128658141.000000,28067077.000000,-123169079.000000,,,-123169079.000000,2763.000000,33558902.000000,73581360.000000,3816000000.000000
