Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Biaya Operasi,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Penerimaan Bunga,Pembayaran Bunga Dan Beban Keuangan,Penerimaan Pendapatan Lain-Lain,Penerimaan (Pembayaran) Pajak,Penerimaan Pajak,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penempatan Investasi Sementara,Penerimaan (Penempatan) Investasi Jangka Pendek,Penerimaan Bunga,Penempatan Uang Muka Pembelian Aset Tetap,Perolehan Aset Tetap,Penerimaan Hasil Penjualan Aset Tetap,Penurunan (Kenaikan) Piutang Kepada Pihak Berelasi,Kenaikan Piutang Kepada Pihak Berelasi,Pembayaran Uang Jaminan,Pembayaran Hutang Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Pinjaman Pihak Berelasi,Penerimaan Pinjaman Pihak Berelasi,Pembayaran Pinjaman Pihak Berelasi,Kenaikan Piutang Kepada Pihak Berelasi,Penerimaan Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Pendek,Penerimaan Setoran Modal,Pengembalian Tolakan (Pembayaran) Dividen,Penambahan (Pembayaran) Hutang Bank Jangka Pendek,Penambahan Hutang Bank Jangka Panjang,Pembayaran Hutang Bank Jangka Panjang,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2013,-705788130271.000000,2945791746747.000000,-77839976677.000000,,,-3327795757156.000000,7961316010.000000,-46268579061.000000,3151988932.000000,-210788869066.000000,,,-705788130271.000000,-156664969866.000000,,-139000160266.000000,,,-17948877491.000000,3661363636.000000,-3377295745.000000,,,,-156664969866.000000,734675550476.000000,122184000000.000000,,,,,,,-6134875321.000000,687053262444.000000,,-68426836647.000000,734675550476.000000,-127777549661.000000,47687508876.000000,107940229922.000000,27850189137.000000
12M 2014,-935671862182.000000,3258009429714.000000,-87265025626.000000,,,-4134637212240.000000,4867696474.000000,-88318814135.000000,2962530234.000000,108709533397.000000,,,-935671862182.000000,-27545252972.000000,,11855486710.000000,,,-13317788766.000000,,-26082950916.000000,,,,-27545252972.000000,993807023806.000000,-122184000000.000000,,,,,,,-12266479613.000000,1155916003155.000000,124400000000.000000,-152058499736.000000,993807023806.000000,30589908652.000000,27850189137.000000,-6938094482.000000,51502003307.000000
12M 2015,1749582272593.000000,3468401914411.000000,-94184637789.000000,,,-1755473541060.000000,9815243125.000000,-64658193780.000000,25500957078.000000,160180530608.000000,,,1749582272593.000000,116560131479.000000,,85102807527.000000,,,-437535496.000000,90914378.000000,31803945070.000000,,,,116560131479.000000,-1832059100356.000000,57698000000.000000,,,,,,,,-1736805640304.000000,,-152951460052.000000,-1832059100356.000000,34083303716.000000,51502003307.000000,-53811859052.000000,31773447971.000000
12M 2016,49190107633.000000,2475640485300.000000,-84110133628.000000,,,-2313139156865.000000,5054833984.000000,-44850253363.000000,3176642865.000000,7417689340.000000,,,49190107633.000000,-117192746745.000000,,-71060361173.000000,,,-2557937540.000000,,-43584448032.000000,,10000000.000000,,-117192746745.000000,101628807502.000000,-55271636293.000000,,,,,,,,306680937115.000000,,-149780493320.000000,101628807502.000000,33626168390.000000,31773447971.000000,-19233281635.000000,46166334726.000000
12M 2017,-373368308766.000000,3342104166919.000000,-89585853567.000000,,,-3482831286303.000000,7834162264.000000,-50471922648.000000,4647420693.000000,-105064996124.000000,,,-373368308766.000000,132299999549.000000,,90249763321.000000,,,-9648708106.000000,430000000.000000,51268944334.000000,,,,132299999549.000000,258048210236.000000,202441697193.000000,,,,,,,,-113241816847.000000,168848329890.000000,,258048210236.000000,16979901019.000000,46166334726.000000,-11337953642.000000,51808282103.000000
12M 2018,-444151604001.000000,4594032502033.000000,-66267227857.000000,,,-4800309064084.000000,3604650053.000000,-93546364205.000000,6723572612.000000,-88389672553.000000,,,-444151604001.000000,-11792660807.000000,,8049374195.000000,,,-31743145693.000000,547830566.000000,11353280125.000000,,,,-11792660807.000000,471568493419.000000,-87309429399.000000,,,,,,,,470928146246.000000,139787500000.000000,-51837723428.000000,471568493419.000000,15624228611.000000,51808282103.000000,3567842279.000000,71000352993.000000
12M 2019,-253724256753.000000,2299046244502.000000,-128093131376.000000,,,-2415258947570.000000,2811594852.000000,-99503850704.000000,2660088979.000000,84613744564.000000,,,-253724256753.000000,53807059833.000000,,89137625289.000000,,,-15291742243.000000,,-20038823213.000000,,,,53807059833.000000,139705175688.000000,469282468066.000000,,,,,,,,-256601887850.000000,,-72975404528.000000,139705175688.000000,-60212021232.000000,71000352993.000000,-2843740400.000000,7944591361.000000
12M 2020,13710889.000000,65936746.000000,-1720511.000000,-41851411.000000,-9433119.000000,,243533.000000,-8543455.000000,1191666.000000,-144474.000000,8031914.000000,,13710889.000000,170256.000000,,861720.000000,,,-666275.000000,16159.000000,4426450.000000,-4467798.000000,,,170256.000000,-13631512.000000,,191964471.000000,-180949418.000000,,314140404.000000,-345056900.000000,,,,22035105.000000,-15765174.000000,-13631512.000000,249633.000000,571513.000000,,821146.000000
12M 2021,16312255.000000,99711934.000000,-2160752.000000,-71870614.000000,-4105575.000000,,245831.000000,-7091835.000000,360228.000000,-1489929.000000,2712967.000000,,16312255.000000,71934.000000,,926.000000,,,-215094.000000,,2984314.000000,-2698212.000000,,,71934.000000,-10837994.000000,,122233423.000000,-176099782.000000,,101375968.000000,-111637272.000000,55769477.000000,,,,-2479808.000000,-10837994.000000,5546195.000000,821146.000000,,6367341.000000
12M 2022,-5568948.000000,88640450.000000,-1690801.000000,-87475055.000000,-3752225.000000,,1298196.000000,-2273593.000000,182189.000000,-1058422.000000,560313.000000,,-5568948.000000,2014726.000000,,,,,-325768.000000,7808.000000,2494013.000000,-161327.000000,,,2014726.000000,-2256043.000000,,108362578.000000,-101684473.000000,,70589980.000000,-72224271.000000,,,,,-7299857.000000,-2256043.000000,-5810265.000000,6367341.000000,,557076.000000
12M 2023,-5369467.000000,56668024.000000,-1301792.000000,-55878768.000000,-3016450.000000,,1369.000000,-2543105.000000,67233.000000,-3319590.000000,3953612.000000,,-5369467.000000,-145603.000000,,,,,-145603.000000,,,,,,-145603.000000,5465770.000000,,61111567.000000,-47182537.000000,,72545415.000000,-74248282.000000,,,,,-6760393.000000,5465770.000000,-49300.000000,557076.000000,,507776.000000
