Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,2871313447075.000000,-2697872674840.000000,173440772235.000000,-82904022916.000000,-33908470244.000000,-48995552672.000000,-82904022916.000000,90536749319.000000,-67597698869.000000,7915389728.000000,-47051082345.000000,-300916848.000000,-31313078337.000000,3151988933.000000,-67597698869.000000,22939050450.000000,3179681857.000000,26118732307.000000,49499803120.000000,75618535427.000000,26118732307.000000,26118732307.000000,,26118732307.000000,75618535427.000000,75618535427.000000,,75618535427.000000
12M 2014,3336087554837.000000,-3170079666494.000000,166007888343.000000,-94990184025.000000,-39088794928.000000,-55901389097.000000,-94990184025.000000,71017704318.000000,-69382884081.000000,4951535601.000000,-87477557573.000000,,10180607659.000000,2962530232.000000,-69382884081.000000,1634820237.000000,314142827.000000,1948963064.000000,-5934741282.000000,-3985778218.000000,1948963064.000000,1948963064.000000,,1948963064.000000,-3985778218.000000,-3985778218.000000,,-3985778218.000000
12M 2015,3333329653540.000000,-3265954379057.000000,67375274483.000000,-92912045908.000000,-33708993211.000000,-59203052697.000000,-92912045908.000000,-25536771425.000000,-48340676813.000000,9661187921.000000,-64526434556.000000,90914378.000000,-19067301275.000000,25500956719.000000,-48340676813.000000,-73877448238.000000,20263542471.000000,-53613905767.000000,4114908704.000000,-49498997063.000000,-53613905767.000000,-53613905767.000000,,-53613905767.000000,-49498997063.000000,-49498997063.000000,,-49498997063.000000
12M 2016,2461800368336.000000,-2398715233863.000000,63085134473.000000,-91733940882.000000,-32983765282.000000,-58750175600.000000,-91733940882.000000,-28648806409.000000,-62392546698.000000,7134657719.000000,-44196441226.000000,,-28507406056.000000,3176642865.000000,-62392546698.000000,-91041353107.000000,-8890501302.000000,-99931854409.000000,-67370804112.000000,-167302658521.000000,-99931854409.000000,-99931854409.000000,,-99931854409.000000,-167302658521.000000,-167302658521.000000,,-167302658521.000000
12M 2017,3484905171484.000000,-3351275672816.000000,133629498668.000000,-89753569766.000000,-35372526007.000000,-54381043759.000000,-89753569766.000000,43875928902.000000,-39159377308.000000,5705631805.000000,-51880212801.000000,24114808.000000,2343668187.000000,4647420693.000000,-39159377308.000000,4716551594.000000,3729904090.000000,8446455684.000000,-33270245356.000000,-24823789672.000000,8446455684.000000,8446455684.000000,,8446455684.000000,-24823789672.000000,-24823789672.000000,,-24823789672.000000
12M 2018,4422880456073.000000,-4211082034359.000000,211798421714.000000,-106503819566.000000,-43710827714.000000,-62792991852.000000,-106503819566.000000,105294602148.000000,-91393722705.000000,3538244109.000000,-91848277580.000000,548636364.000000,-10276650269.000000,6644324671.000000,-91393722705.000000,13900879443.000000,-7356244381.000000,6544635062.000000,-58214491521.000000,-51669856459.000000,6544635062.000000,6544635062.000000,,6544635062.000000,-51669856459.000000,-51669856459.000000,,-51669856459.000000
12M 2019,2234124975480.000000,-2314796368653.000000,-80671393173.000000,-79298797488.000000,-24980553462.000000,-54318244026.000000,-79298797488.000000,-159970190661.000000,-120320950963.000000,2855172580.000000,-106595964030.000000,,-3187909101.000000,-13392250412.000000,-120320950963.000000,-280291141624.000000,-18517761173.000000,-298808902797.000000,-26201690986.000000,-325010593783.000000,-298808902797.000000,-298808902797.000000,,-298808902797.000000,-325010593783.000000,-325010593783.000000,,-325010593783.000000
12M 2020,68013921.000000,-76840998.000000,-8827077.000000,-1616821.000000,-666575.000000,-950246.000000,-1616821.000000,-10443898.000000,-8004933.000000,242309.000000,-8570512.000000,16159.000000,-884555.000000,1191666.000000,-8004933.000000,-18448831.000000,-467795.000000,-18916626.000000,-1282.000000,-18917908.000000,-18916626.000000,-18916626.000000,,-18916626.000000,-18917908.000000,-18917908.000000,,-18917908.000000
12M 2021,102389792.000000,-99120016.000000,3269776.000000,-2540784.000000,-1336061.000000,-1204723.000000,-2540784.000000,728992.000000,-5104680.000000,262028.000000,-6890812.000000,,1163876.000000,360228.000000,-5104680.000000,-4375688.000000,4413017.000000,37329.000000,-859.000000,36470.000000,37329.000000,37329.000000,,37329.000000,36470.000000,36470.000000,,36470.000000
12M 2022,80712837.000000,-82330485.000000,-1617648.000000,-1311619.000000,-768752.000000,-542867.000000,-1311619.000000,-2929267.000000,-576024.000000,1264369.000000,-2168757.000000,7808.000000,138367.000000,182189.000000,-576024.000000,-3505291.000000,341941.000000,-3163350.000000,-828.000000,-3164178.000000,-3163350.000000,-3163350.000000,,-3163350.000000,-3164178.000000,-3164178.000000,,-3164178.000000
