Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Untuk Beban Usaha,Penjualan (Pembelian) Tanah,Penerimaan Bunga,Pembayaran Beban Keuangan,Pembayaran Pajak,Pembayaran Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembelian Tanah,Penerimaan Piutang Lainnya,Perolehan Aset Tetap,Penurunan (Peningkatan) Investasi Jangka Panjang,Penurunan (Peningkatan) Penyertaan Saham,Hasil Penjualan Investasi Saham,Pembayaran Utang,Total Penurunan (Peningkatan) Investasi Jangka Panjang,Peningkatan Aset Kerjasama Operasi,Peningkatan Penyertaan Saham,Penambahan Properti Investasi,Penurunan (Peningkatan) Investasi Jangka Pendek,Pembayaran Untuk Perolehan Tambahan Kepemilikan Entitas Anak,Akuisisi/Divestasi Entitas Anak,Penurunan (Peningkatan) Dana Dalam Pembatasan,Penerimaan (Pembayaran) Piutang Kepada Pihak Berelasi,Penerimaan Penjualan Aset Tetap,Penurunan Piutang Lainlain Jangka Pendek,Penurunan Piutang Dari Pihak Ketiga,Penurunan (Peningkatan) Aset Keuangan Tersedia Untuk Dijual,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Investasi,Peningkatan Aset Kso,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Peningkatan (Penurunan) Pinjaman Jangka Panjang,Penerimaan (Pembayaran) Dari Obligasi Dan Sukuk,Obligasi,Sukuk,Total Penerimaan (Pembayaran) Dari Obligasi Dan Sukuk,Peningkatan Tambahan Modal Disetor :,Penerbitan Saham,Realisasi Waran,Agio Saham,Biaya Emisi Saham,Total Peningkatan Tambahan Modal Disetor :,Penerimaan Dari Penjualan (Pembelian) Saham Treasury,Penurunan Piutang Lain-Lain Jangka Pendek,Peningkatan (Penurunan) Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Musyarakah Jangka Panjang,Peningkatan (Penurunan) Utang Pihak Berelasi,Penerimaan (Pembayaran) Utang Pembelian Aset Tetap,Peningkatan Modal Disetor :,Penerbitan Saham,Realisasi Waran,Total Peningkatan Modal Disetor :,Kenaikan (Penurunan) Pinjaman Musyawarah Jangka Pendek,Penurunan (Peningkatan) Utang Pembelian Aset Tetap,Penurunan Utang Sewa Pembiayaan,Penurunan (Peningkatan) Piutang Pihak Berelasi,Penurunan Utang Usaha Jangka Panjang,Penerimaan Setoran Modal Dari Pemegang Saham Non-Pengendali,Penerimaan Dari Hasil Penawaran Perdana Saham Entitas Anak,Penerimaan Dari Penerbitan Saham Baru Entitas Anak,Pembayaran Deviden,Biaya Penerbitan Saham,Pembayaran Liabilitas Sewa Pembiayaan,Penerimaan Liabilitas Sewa Pembiayaan,Biaya Penerbitan Sukuk,Biaya Emisi Obligasi,Peningkatan Saham Diperoleh Kembali,Penerimaan Dari Waran,Pencairan (Penempatan) Dana Yang Dibatasi Penggunaannya,Penerimaan (Penurunan) Utang,Penerimaan Utang Pihak Berelasi,Kenaikan Pinjaman Dari Pihak Ketiga,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Pembayaran Utang Pihak Berelasi,Penerimaan (Pembayaran) Utang Bank,Penerimaan Utang Bank,Pembayaran Utang Bank,Total Penerimaan (Pembayaran) Utang Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Reklasifikasi Ke Aset Yang Diklasifikasikan Sebagai Dimilik Untuk Dijual,Kas Dan Setara Kas Dari Akuisisi Entitas Anak,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-1057406702136.000000,906060744633.000000,-1031151963352.000000,-77902999628.000000,-252867917446.000000,-587059725147.000000,35589807955.000000,-24172430366.000000,-25902218785.000000,,-1057406702136.000000,-74798997123.000000,,,-297981268690.000000,,347253797735.000000,,,347253797735.000000,,,-22756403383.000000,-169649402015.000000,,,67873842347.000000,,460436883.000000,,,,,,-74798997123.000000,829639493443.000000,302015515336.000000,,500000000000.000000,,500000000000.000000,,,45820987279.000000,,,45820987279.000000,,,11400000000.000000,,-1845506846.000000,,,,29418467300.000000,29418467300.000000,,,24105482.000000,-36578718804.000000,-8423933832.000000,,,,,,,,,-12191422472.000000,,,,,,,,,,,,,829639493443.000000,-302566205816.000000,1042876224766.000000,,,,740310018950.000000
12M 2009,-365677947540.000000,907321016408.000000,-795570694966.000000,-102192850240.000000,-213274885021.000000,-10601761500.000000,71779643703.000000,-51384354391.000000,-171754061533.000000,,-365677947540.000000,-1494071966319.000000,,,-1574316322007.000000,,-245735872953.000000,,,-245735872953.000000,,,-18739447036.000000,283941207655.000000,,,60773468022.000000,,5000000.000000,,,,,,-1494071966319.000000,1879855432144.000000,1682613254372.000000,,150000000000.000000,,150000000000.000000,,,117750000.000000,,,117750000.000000,,,98482798450.000000,,-11524550344.000000,,,,78500000.000000,78500000.000000,,,2832817313.000000,-28770014973.000000,-10450303022.000000,,,,,,,,,-2025000000.000000,-1499819652.000000,,,,,,,,,,,,1879855432144.000000,20105518285.000000,740310018950.000000,,,,760415537235.000000
12M 2010,-2208637400758.000000,1064548631200.000000,-616237675019.000000,-160574298348.000000,-253115793299.000000,-2066303809277.000000,33578038740.000000,-140886534078.000000,-69645960677.000000,,-2208637400758.000000,-2054001618980.000000,,,-934049685136.000000,,-339832014500.000000,,,-339832014500.000000,,,-13065340427.000000,-649048867794.000000,,,-118341250523.000000,,335539400.000000,,,,,,-2054001618980.000000,4362781439682.000000,188231127190.000000,,1009981481413.000000,,1009981481413.000000,,1193420915865.000000,6453933300.000000,,,1199874849165.000000,,,64017382762.000000,,8158436945.000000,,,1995988569500.000000,4302622200.000000,2000291191700.000000,,,-3254990362.000000,65558242129.000000,-10201778923.000000,,,,-19279720916.000000,-114259100073.000000,,,,,-26335681348.000000,,,,,,,,,,,,4362781439682.000000,100142419944.000000,760415537235.000000,,,,860557957179.000000
12M 2011,-1268893315704.000000,2054816346274.000000,-1414955073643.000000,-263202215116.000000,-699679245378.000000,-730579795071.000000,28261457223.000000,-207321441714.000000,-36233348279.000000,,-1268893315704.000000,610644005219.000000,,,-336052576048.000000,,124175443073.000000,,,124175443073.000000,,,-2347369959.000000,769702335932.000000,,,54627939647.000000,,538232574.000000,,,,,,610644005219.000000,394548249732.000000,649511513691.000000,,-220000000000.000000,,-220000000000.000000,,,56875.000000,,,56875.000000,,,-108827664706.000000,,114295548472.000000,,,,87500.000000,87500.000000,,,1945273363.000000,-33151475536.000000,-9225089927.000000,,,,,,,,,,,,,,,,,,,,,,394548249732.000000,-263701060753.000000,860557957179.000000,,,271145913.000000,597128042339.000000
12M 2012,817470902679.000000,3341174472116.000000,-994860959264.000000,-337636353698.000000,-408116346706.000000,-354737306370.000000,6712544399.000000,-288282040341.000000,-146783107457.000000,,817470902679.000000,-2283931585286.000000,,,-1048450753850.000000,,-1168953368267.000000,331547110324.000000,-306723562612.000000,-1144129820555.000000,-5263351949.000000,,,-17547795038.000000,,,-70494772977.000000,,1954909083.000000,,,,,,-2283931585286.000000,1148415837979.000000,167877073923.000000,,-90000000000.000000,,-90000000000.000000,,,234139149010.000000,,,234139149010.000000,,,144650735015.000000,,160361772903.000000,,,,360214075400.000000,360214075400.000000,,-447916058.000000,,-20043734751.000000,-8334317463.000000,199999000000.000000,,,,,,,,,,,,,,,,,,,,,1148415837979.000000,-318044844628.000000,597128042339.000000,-9976510849.000000,,-737570488.000000,268369116374.000000
12M 2013,282075455970.000000,3854124219426.000000,-2253560563133.000000,-284400191754.000000,-395733343628.000000,-198507202555.000000,17330637481.000000,-164891940928.000000,-292286158939.000000,,282075455970.000000,69593472378.000000,,,-207566152394.000000,,209796287788.000000,9088193881.000000,,218884481669.000000,-4827570853.000000,,,17845330925.000000,,,23574448436.000000,,21682934595.000000,,,,,,69593472378.000000,-472968182700.000000,-577755975726.000000,,-280000000000.000000,,-280000000000.000000,,,,,,,,,357965376282.000000,,28397589788.000000,,,,,,,-2491101396.000000,,4380235462.000000,-3464307110.000000,,,,,,,,,,,,,,,,,,,,,,-472968182700.000000,-121299254352.000000,268369116374.000000,-5708036333.000000,,-907479094.000000,140454346595.000000
12M 2014,138091393268.000000,1999835135509.000000,-848937367172.000000,-243490016051.000000,-381581032730.000000,-182474797167.000000,41066081997.000000,-182466291065.000000,-63860320053.000000,,138091393268.000000,-126455164498.000000,,,-108009097071.000000,,-5603228870.000000,,,-5603228870.000000,-53808794679.000000,,,,,,5491348574.000000,,35474607548.000000,,,,,,-126455164498.000000,-55321011909.000000,60472711151.000000,,,,,,,,,,,,,-148042054469.000000,,67595906165.000000,,,,,,,-683447529.000000,,-34664127227.000000,,,,,,,,,,,,,,,,,,,,,,,-55321011909.000000,-43684783139.000000,140454346595.000000,-13328776217.000000,36165973395.000000,29269170.000000,119636029804.000000
12M 2015,113283072729.000000,1583249468727.000000,-768209185533.000000,-274576979107.000000,-325230398157.000000,,12294753353.000000,-67246748949.000000,-46997837605.000000,,113283072729.000000,-155595956996.000000,,,-91404113238.000000,,-12787398975.000000,,,-12787398975.000000,-39817171115.000000,,,308219600.000000,,-825972741.000000,-12710754905.000000,,1641234378.000000,,,,,,-155595956996.000000,-797026532.000000,47541600569.000000,,,,,,,,,,,,,-61061402905.000000,,-33236681479.000000,,,,,,,-515528454.000000,,46474985737.000000,,,,,,,,,,,,,,,,,,,,,,,-797026532.000000,-43109910799.000000,119636029804.000000,,,84376147.000000,76610495152.000000
12M 2016,-444344330131.000000,1091971148633.000000,-899395109269.000000,-259395737189.000000,-162454139008.000000,2905935365.000000,12473721820.000000,-186883134053.000000,-43567016430.000000,,-444344330131.000000,-144064276718.000000,,,-31820792964.000000,,-82000000.000000,,,-82000000.000000,-39817171115.000000,,,-276088500000.000000,,,203070166601.000000,,674020760.000000,,,,,,-144064276718.000000,590401520325.000000,284062382501.000000,,,,,,,,,,,,,-18602362016.000000,,-4604792743.000000,,,,,,,-355669182.000000,,7901961765.000000,,,,322000000000.000000,,,,,,,,,,,,,,,,,,,590401520325.000000,1992913476.000000,76610495152.000000,,,-24426364.000000,78578982264.000000
12M 2017,-340684111969.000000,1080844277934.000000,-502801254730.000000,-249937988402.000000,-134115964997.000000,-337203340951.000000,2152466961.000000,-134001579236.000000,-65620728548.000000,,-340684111969.000000,234367696687.000000,,,-65234974925.000000,,7500000000.000000,,,7500000000.000000,-16828627476.000000,,,303996245600.000000,,17228449.000000,3799113207.000000,,1118711832.000000,,,,,,234367696687.000000,95964979524.000000,-132899109824.000000,,,,,,,,,,,6156626125.000000,,43484711319.000000,,7359797032.000000,,,,,,,-451834201.000000,,72314789073.000000,,,,,,,,,,,,,,,,100000000000.000000,,,,,,,95964979524.000000,-10351435758.000000,78578982264.000000,,,41456947.000000,68269003453.000000
