Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Piutang Lain-Lain,Tanah Untuk Dikembangkan,Properti Investasi,Hak Pengusahaan Jalan Tol,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pkpu,Utang Usaha,Utang Sewa Pembiayaan,Utang Pembelian Aset Tetap,Utang Obligasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Derivatif,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Derivatif,Utang Lain Jangka Panjang,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,740310018950.000000,361072319532.000000,708512721413.000000,503053462137.000000,205459259276.000000,708512721413.000000,684709224471.000000,684709224471.000000,,684709224471.000000,1972447188263.000000,37122669394.000000,4504174142023.000000,,47830002650.000000,,1864265746087.000000,35354151300.000000,,1488690155879.000000,29630190063.000000,29063454578.000000,335983642512.000000,3830817343069.000000,8334991485092.000000,,,1914985713945.000000,30387201550.000000,,451791888489.000000,,451791888489.000000,,133625270773.000000,,133625270773.000000,425429372908.000000,175850085487.000000,,349857832965.000000,,19897194364.000000,1749957753.000000,,,,371504985082.000000,,326396909656.000000,1914985713945.000000,1218667621437.000000,34373642663.000000,,,56346581.000000,1184237632193.000000,1218667621437.000000,3133653335382.000000,,2551607447300.000000,1599628005271.000000,319571857602.000000,27209957137.000000,292361900465.000000,319571857602.000000,693659379952.000000,36871459585.000000,5201338149710.000000,8334991485092.000000,19916074473.000000
12M 2009,,,760415537235.000000,77175208377.000000,884706632435.000000,748623121618.000000,136083510817.000000,884706632435.000000,593573891319.000000,593573891319.000000,,593573891319.000000,1697868067485.000000,252796481036.000000,4266535817887.000000,,76600017623.000000,,1973224105466.000000,51663106209.000000,,4615514120951.000000,32852413801.000000,50359316453.000000,525882588843.000000,7326095669346.000000,11592631487233.000000,,,2702225163405.000000,138459000000.000000,,718561894846.000000,,718561894846.000000,,535101138660.000000,,535101138660.000000,362282138098.000000,220235933542.000000,,356475185349.000000,,22111886018.000000,4150640989.000000,,,,382737712356.000000,,344847345903.000000,2702225163405.000000,3091913413542.000000,22849092318.000000,,,22417793275.000000,3046646527949.000000,3091913413542.000000,5794138576947.000000,,2551685947300.000000,1603132327929.000000,451827770407.000000,27209957137.000000,424617813270.000000,451827770407.000000,1155964795717.000000,35882068933.000000,5798492910286.000000,11592631487233.000000,19916859473.000000
12M 2010,,,860557957179.000000,775342421134.000000,1168427204256.000000,1042256529855.000000,126170674401.000000,1168427204256.000000,565891395417.000000,565891395417.000000,,565891395417.000000,1557527766718.000000,598651968346.000000,5526398713050.000000,,11041775494.000000,,4755002320140.000000,61359992704.000000,,5639422127074.000000,67887921653.000000,41239243053.000000,961843681089.000000,11537797061207.000000,17064195774257.000000,,,2159330384791.000000,238226382762.000000,,387603089842.000000,,387603089842.000000,,307904777776.000000,,307904777776.000000,340478431206.000000,256758512669.000000,,317686308835.000000,,24612496806.000000,2102779634.000000,,,,344401585275.000000,,283957605261.000000,2159330384791.000000,4423397044405.000000,31007529263.000000,118881474525.000000,,21842049664.000000,4251665990953.000000,4423397044405.000000,6582727429196.000000,,4551977139000.000000,2692134649679.000000,604066728471.000000,40435548418.000000,563631180053.000000,604066728471.000000,2459739114639.000000,173550713272.000000,10481468345061.000000,17064195774257.000000,39919771390.000000
12M 2011,,,597128042339.000000,6685468837.000000,1166377037039.000000,991930558167.000000,174446478872.000000,1166377037039.000000,829867929992.000000,829163823238.000000,704106754.000000,829867929992.000000,1816318578119.000000,1211706563854.000000,5628083620180.000000,,44193251030.000000,,4846394733066.000000,472566282510.000000,,5601213500324.000000,133162185360.000000,33598690327.000000,948737335620.000000,12079865978237.000000,17707949598417.000000,,,4285433439080.000000,274828000000.000000,,491661801974.000000,,491661801974.000000,,312251167099.000000,,312251167099.000000,287981402476.000000,299345702741.000000,,2273747077197.000000,,12779702925.000000,1557924770.000000,,,,2288084704892.000000,,331280659898.000000,4285433439080.000000,2520444721023.000000,145303077735.000000,56691050360.000000,,16531692067.000000,2301918900861.000000,2520444721023.000000,6805878160103.000000,,4551977226500.000000,2692134706554.000000,989318818820.000000,40435548418.000000,948883270402.000000,989318818820.000000,2555204553077.000000,113436133363.000000,10902071438314.000000,17707949598417.000000,39919772265.000000
12M 2012,,,268369116374.000000,24233263875.000000,1032964819264.000000,820440230859.000000,212524588405.000000,1032964819264.000000,269007124393.000000,266136204616.000000,2870919777.000000,269007124393.000000,1695358232356.000000,536705062069.000000,3826637618331.000000,,64236985781.000000,,5093202757655.000000,949840756020.000000,,3498009020446.000000,10295214492.000000,34699665173.000000,1758710965296.000000,11408995364863.000000,15235632983194.000000,,,4470431893894.000000,418955235015.000000,,435882983014.000000,3642081634.000000,439525064648.000000,,377301076338.000000,657547171.000000,377958623509.000000,302406875904.000000,345291566476.000000,,549014008884.000000,,20658098780.000000,,2390789568.000000,1583060348323.000000,,2155123245555.000000,207578734200.000000,223592548587.000000,4470431893894.000000,1600986816270.000000,305664850638.000000,,,7506512226.000000,1287815453406.000000,1600986816270.000000,6071418710164.000000,,4912191301900.000000,2926273855564.000000,-212795736018.000000,40435548418.000000,-253231284436.000000,-212795736018.000000,1858009459054.000000,-319464607470.000000,9164214273030.000000,15235632983194.000000,43521913019.000000
12M 2013,,,140454346595.000000,88880105519.000000,612221372920.000000,412645927446.000000,199575445474.000000,612221372920.000000,600257105641.000000,600011653796.000000,245451845.000000,600257105641.000000,1079412659448.000000,255308635255.000000,2776534225378.000000,,1791605397563.000000,,1385222683717.000000,678619648520.000000,,1620783261055.000000,36014517168.000000,34699665173.000000,3977645020492.000000,9524590193688.000000,12301124419066.000000,,,4395252171260.000000,815520870533.000000,,181171057178.000000,,181171057178.000000,,267969060095.000000,499735855.000000,268468795950.000000,247199822053.000000,257107223558.000000,,170172783613.000000,,17193791670.000000,,1173135811.000000,2072130000000.000000,,2260669711094.000000,,365114690894.000000,4395252171260.000000,740478732018.000000,19614553028.000000,,,,720864178990.000000,740478732018.000000,5135730903278.000000,,4912191301900.000000,2981005868523.000000,-443872935218.000000,40435548418.000000,-484308483636.000000,-443872935218.000000,70252376394.000000,-354183095811.000000,7165393515788.000000,12301124419066.000000,43521913019.000000
12M 2014,,,119636029804.000000,308219600.000000,625689390838.000000,423083121098.000000,202606269740.000000,625689390838.000000,1676730836266.000000,1675067097625.000000,1663738641.000000,1676730836266.000000,1839816748788.000000,492397567200.000000,4754578792496.000000,,2004169353191.000000,,1740389431571.000000,708782301630.000000,,3082589505436.000000,17187283823.000000,1713372550221.000000,485054278495.000000,9751544704367.000000,14506123496863.000000,,,5144194341024.000000,693650268171.000000,,331837429948.000000,627651001.000000,332465080949.000000,,381018093599.000000,341924539.000000,381360018138.000000,410815251209.000000,304927569659.000000,,228675505271.000000,,17193791670.000000,,1194905736.000000,2514291417520.000000,,2761355620197.000000,,259620532701.000000,5144194341024.000000,1747927206935.000000,104223439915.000000,,,60573187769.000000,1583130579251.000000,1747927206935.000000,6892121547959.000000,,4912191301900.000000,2981005868523.000000,24023442390.000000,40435548418.000000,-16412106028.000000,24023442390.000000,102527850656.000000,-405746514565.000000,7614001948904.000000,14506123496863.000000,43521913019.000000
12M 2015,,,76610495152.000000,,544418176615.000000,425154962222.000000,119263214393.000000,544418176615.000000,1887839741187.000000,1887668431910.000000,171309277.000000,1887839741187.000000,1883801982677.000000,548452576365.000000,4941122971996.000000,,2083995834666.000000,,1724249780392.000000,520870938230.000000,,3114098878675.000000,39633150516.000000,1727355666489.000000,537489197499.000000,9747693446467.000000,14688816418463.000000,,,6424682069296.000000,653352402886.000000,,284004382182.000000,,284004382182.000000,,666182028721.000000,184113223.000000,666366141944.000000,596253880317.000000,435756881985.000000,,243712079329.000000,,17193791670.000000,,992707329.000000,3194200966527.000000,,3456099544855.000000,,332848835127.000000,6424682069296.000000,1591010951552.000000,27345870505.000000,,,61333621877.000000,1502331459170.000000,1591010951552.000000,8015693020848.000000,,4912191301900.000000,2981000259090.000000,-702150101484.000000,40435548418.000000,-742585649902.000000,-702150101484.000000,101313613099.000000,-619231674990.000000,6673123397615.000000,14688816418463.000000,43521913019.000000
12M 2016,,,78578982264.000000,290190582657.000000,715452292519.000000,546596039451.000000,168856253068.000000,715452292519.000000,1218975709654.000000,1218401490303.000000,574219351.000000,1218975709654.000000,1552804988497.000000,2317255742380.000000,6173258297971.000000,,286085789448.000000,262175004077.000000,1742167555847.000000,506853659147.000000,,3026623560856.000000,8260479391.000000,1722848678681.000000,335474800599.000000,7890489528046.000000,14063747826017.000000,,,5934464057546.000000,627210892673.000000,,218658530396.000000,614471234.000000,219273001630.000000,,261117957586.000000,4296501907.000000,265414459493.000000,510498675740.000000,287082929196.000000,,130598547589.000000,,17193791670.000000,,790859453.000000,3633867144668.000000,,3782450343380.000000,,242533755434.000000,5934464057546.000000,1730457492838.000000,22741077762.000000,,62969908513.000000,61333621877.000000,1583412884686.000000,1730457492838.000000,7664921550384.000000,,4912191301900.000000,2867158736957.000000,-1250250687055.000000,40435548418.000000,-1290686235473.000000,-1250250687055.000000,332064091449.000000,-462337167618.000000,6398826275633.000000,14063747826017.000000,43521913019.000000
12M 2017,,,68269003453.000000,135000000000.000000,777103146765.000000,592859717978.000000,184243428787.000000,777103146765.000000,908103849729.000000,905923278731.000000,2180570998.000000,908103849729.000000,1519215417617.000000,2836715099547.000000,6244406517111.000000,,143718583827.000000,496830230012.000000,1754111651440.000000,508921742365.000000,,2922191118590.000000,6934123266.000000,1704837784628.000000,300565791661.000000,7838111025789.000000,14082517542900.000000,,,6550909054835.000000,670809410255.000000,,262403105177.000000,2851545250.000000,265254650427.000000,,371651572170.000000,4633200000.000000,376284772170.000000,440652793432.000000,238087389363.000000,,347259805968.000000,,17193791670.000000,,533940548.000000,3917936614317.000000,,4282924152503.000000,,276895886685.000000,6550909054835.000000,1368052928052.000000,30100874794.000000,,74765424110.000000,61333621877.000000,1201853007271.000000,1368052928052.000000,7918961982887.000000,,4912191301900.000000,2755014958376.000000,-1521785227585.000000,40435548418.000000,-1562220776003.000000,-1521785227585.000000,435524817071.000000,-417390289749.000000,6163555560013.000000,14082517542900.000000,43521913019.000000
