Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Final,Keuntungan Atas Penjualan Entitas Anak,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Pra Akuisisi,Hak Minoritas,Operasi Yang Dihentikan,Others,Total Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Laba Pra Akuisisi,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1053801217899.000000,-543547654229.000000,510253563670.000000,-284222574061.000000,-62863392149.000000,-221359181912.000000,-284222574061.000000,226030989609.000000,132291358840.000000,109784727503.000000,460436883.000000,,,21045211393.000000,1000983061.000000,132291358840.000000,358322348449.000000,-81844192107.000000,-2461238134.000000,-90636426563.000000,11253472590.000000,-81844192107.000000,276478156342.000000,,-4378584972.000000,,,,272099571370.000000,,,,,272099571370.000000,276478156342.000000,-4378584972.000000,,272099571370.000000,,,,
12M 2009,1059003993596.000000,-560906036017.000000,498097957579.000000,-331347014456.000000,-51511551578.000000,-279835462878.000000,-331347014456.000000,166750943123.000000,36418410496.000000,4554878171.000000,-6788629887.000000,,,4058794341.000000,34593367871.000000,36418410496.000000,203169353619.000000,-42191863772.000000,-31600158135.000000,-12452170732.000000,1860465095.000000,-42191863772.000000,160977489847.000000,,-28721577042.000000,,,,132255912805.000000,,,,,132255912805.000000,160977489847.000000,-28721577042.000000,,132255912805.000000,,,,
12M 2010,1367555681767.000000,-698282199482.000000,669273482285.000000,-427559881442.000000,-55663930508.000000,-371895950934.000000,-427559881442.000000,241713600843.000000,-16058532127.000000,14618072906.000000,-392216107.000000,6827637625.000000,,,-37112026551.000000,-16058532127.000000,225655068716.000000,-15269082970.000000,-35504457285.000000,-14697576993.000000,34932951308.000000,-15269082970.000000,210385985746.000000,,-31681383886.000000,,,,178704601860.000000,,,,,178704601860.000000,210385985746.000000,-31681383886.000000,,178704601860.000000,,,,
12M 2011,2017319021475.000000,-1059110566343.000000,958208455132.000000,-725358636438.000000,-101214085309.000000,-624144551129.000000,-725358636438.000000,232849818694.000000,-125448949466.000000,-11650260656.000000,66727247.000000,1216584010.000000,,,-115082000067.000000,-125448949466.000000,107400869228.000000,-32650965540.000000,-76283524296.000000,-24233523140.000000,67866081896.000000,-32650965540.000000,74749903688.000000,,,,,,74749903688.000000,-60114579909.000000,-60114579909.000000,-60114579909.000000,14635323779.000000,74749903688.000000,-19155742667.000000,93905646355.000000,,74749903688.000000,14635323779.000000,-79270322576.000000,93905646355.000000,14635323779.000000
12M 2012,2949585801725.000000,-1332331844898.000000,1617253956827.000000,-832169213386.000000,-106561481778.000000,-725607731608.000000,-832169213386.000000,785084743441.000000,-1516686977667.000000,-43826741418.000000,1407279107.000000,-12890442017.000000,,23222601151.000000,-1484599674490.000000,-1516686977667.000000,-731602234226.000000,-159147358766.000000,-52785776226.000000,-87355054788.000000,-19006527752.000000,-159147358766.000000,-890749592992.000000,,,-211336650278.000000,-211336650278.000000,-211336650278.000000,-1102086243270.000000,-166605095920.000000,-166605095920.000000,-166605095920.000000,-1268691339190.000000,-1102086243270.000000,-1202114554838.000000,100028311568.000000,,-1102086243270.000000,-1268691339190.000000,-1368717461633.000000,100026122443.000000,-1268691339190.000000
12M 2013,3324852984839.000000,-1477079871923.000000,1847773112916.000000,-679013514136.000000,-59467319479.000000,-619546194657.000000,-679013514136.000000,1168759598780.000000,-1204516752065.000000,-17982746022.000000,20626330999.000000,-52635551774.000000,,-196809158887.000000,-957715626381.000000,-1204516752065.000000,-35757153285.000000,-165924732450.000000,-159238298303.000000,-32920935410.000000,26234501263.000000,-165924732450.000000,-201681885735.000000,,,-30567866033.000000,-30567866033.000000,-30567866033.000000,-232249751768.000000,20013524618.000000,20013524618.000000,20013524618.000000,-212236227150.000000,-232249751768.000000,-231077199200.000000,-1172552568.000000,,-232249751768.000000,-212236227150.000000,-211063674582.000000,-1172552568.000000,-212236227150.000000
12M 2014,1579947206733.000000,-807884957985.000000,772062248748.000000,-586315246248.000000,-50025531623.000000,-536289714625.000000,-586315246248.000000,185747002500.000000,353594608492.000000,3172052145.000000,-3744845398.000000,-11651146645.000000,,704236092572.000000,-338417544182.000000,353594608492.000000,539341610992.000000,-76408281166.000000,-55285447754.000000,-19526561174.000000,-1596272238.000000,-76408281166.000000,462933329826.000000,,,11781521514.000000,11781521514.000000,11781521514.000000,474714851340.000000,-51563418754.000000,-51563418754.000000,-51563418754.000000,423151432586.000000,474714851340.000000,467896377608.000000,6818473732.000000,,474714851340.000000,423151432586.000000,416332958854.000000,6818473732.000000,423151432586.000000
12M 2015,1395603904262.000000,-700915847467.000000,694688056795.000000,-660682714588.000000,-57641788075.000000,-603040926513.000000,-660682714588.000000,34005342207.000000,-693839555827.000000,-53398226392.000000,-10546899364.000000,-1287621250.000000,,-77440000.000000,-628529368821.000000,-693839555827.000000,-659834213620.000000,-64332687626.000000,-46387270828.000000,-40759063176.000000,22813646378.000000,-64332687626.000000,-724166901246.000000,,,,,,-724166901246.000000,-207445144066.000000,-207445144066.000000,-207445144066.000000,-931612045312.000000,-724166901246.000000,-726271031545.000000,2104130299.000000,,-724166901246.000000,-931612045312.000000,-933751850677.000000,2139805365.000000,-931612045312.000000
12M 2016,1688247885987.000000,-1088430167907.000000,599817718080.000000,-582569047701.000000,-63196005619.000000,-519373042082.000000,-582569047701.000000,17248670379.000000,-574083582445.000000,14225771107.000000,-10116770350.000000,-1620114467.000000,-24101803165.000000,,-552470665570.000000,-574083582445.000000,-556834912066.000000,-17812170032.000000,,-19465213265.000000,1653043233.000000,-17812170032.000000,-574647082098.000000,,,27382534974.000000,,27382534974.000000,-547264547124.000000,74447527637.000000,74447527637.000000,74447527637.000000,-472817019487.000000,-547264547124.000000,-548100585571.000000,836038447.000000,,-547264547124.000000,-472817019487.000000,-473567497837.000000,750478350.000000,-472817019487.000000
12M 2017,1239228442094.000000,-673149892039.000000,566078550055.000000,-546492033633.000000,-47621915998.000000,-498870117635.000000,-546492033633.000000,19586516422.000000,-329998293019.000000,-4316263485.000000,21207144.000000,-17098461926.000000,-16913995998.000000,,-291690778754.000000,-329998293019.000000,-310411776597.000000,-9438751248.000000,,-10353991900.000000,915240652.000000,-9438751248.000000,-319850527845.000000,,,50044981341.000000,,50044981341.000000,-269805546504.000000,16546744973.000000,16546744973.000000,16546744973.000000,-253258801531.000000,-269805546504.000000,-271534540530.000000,1728994026.000000,,-269805546504.000000,-253258801531.000000,-254948561553.000000,1689760022.000000,-253258801531.000000
