Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi Dan Pengendalian Bersama Entitas,Bagian Atas Hasil Bersih Entitas Asosiasi,Bagian Atas Hasil Bersih Pengendalian Bersama Entitas,Total Bagian Atas Hasil Bersih Entitas Asosiasi Dan Pengendalian Bersama Entitas,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,97064000000000.000000,-75334000000000.000000,21730000000000.000000,-9854000000000.000000,-4886000000000.000000,-4968000000000.000000,-9854000000000.000000,11876000000000.000000,3487000000000.000000,655000000000.000000,-513000000000.000000,-246000000000.000000,2404000000000.000000,,,2404000000000.000000,1187000000000.000000,3487000000000.000000,15363000000000.000000,-4065000000000.000000,11298000000000.000000,-2107000000000.000000,9191000000000.000000,,,9191000000000.000000,11298000000000.000000,-2107000000000.000000,9191000000000.000000,,,,
12M 2009,98526000000000.000000,-75755000000000.000000,22771000000000.000000,-10015000000000.000000,-4800000000000.000000,-5215000000000.000000,-10015000000000.000000,12756000000000.000000,3646000000000.000000,563000000000.000000,-485000000000.000000,88000000000.000000,2567000000000.000000,,,2567000000000.000000,913000000000.000000,3646000000000.000000,16402000000000.000000,-3958000000000.000000,12444000000000.000000,-2404000000000.000000,10040000000000.000000,,,10040000000000.000000,12444000000000.000000,-2404000000000.000000,10040000000000.000000,,,,
12M 2010,129991000000000.000000,-103117000000000.000000,26874000000000.000000,-12149000000000.000000,-6230000000000.000000,-5919000000000.000000,-12149000000000.000000,14725000000000.000000,6306000000000.000000,502000000000.000000,-484000000000.000000,-26000000000.000000,4896000000000.000000,,,4896000000000.000000,1418000000000.000000,6306000000000.000000,21031000000000.000000,-4027000000000.000000,17004000000000.000000,-2638000000000.000000,14366000000000.000000,,,14366000000000.000000,17004000000000.000000,-2638000000000.000000,14366000000000.000000,,,,
12M 2011,162564000000000.000000,-130530000000000.000000,32034000000000.000000,-14202000000000.000000,-6603000000000.000000,-7599000000000.000000,-14202000000000.000000,17832000000000.000000,7940000000000.000000,696000000000.000000,-710000000000.000000,118000000000.000000,5760000000000.000000,,,5760000000000.000000,2076000000000.000000,7940000000000.000000,25772000000000.000000,-4695000000000.000000,21077000000000.000000,,21077000000000.000000,271000000000.000000,21348000000000.000000,21077000000000.000000,17785000000000.000000,3292000000000.000000,21077000000000.000000,21348000000000.000000,18058000000000.000000,3290000000000.000000,21348000000000.000000
12M 2012,188053000000000.000000,-151853000000000.000000,36200000000000.000000,-16330000000000.000000,-7886000000000.000000,-8444000000000.000000,-16330000000000.000000,19870000000000.000000,8028000000000.000000,691000000000.000000,-1021000000000.000000,-215000000000.000000,,1112000000000.000000,4564000000000.000000,5676000000000.000000,2897000000000.000000,8028000000000.000000,27898000000000.000000,-5156000000000.000000,22742000000000.000000,,22742000000000.000000,-282000000000.000000,22460000000000.000000,22742000000000.000000,19421000000000.000000,3321000000000.000000,22742000000000.000000,22460000000000.000000,19053000000000.000000,3407000000000.000000,22460000000000.000000
12M 2013,193880000000000.000000,-158569000000000.000000,35311000000000.000000,-16708000000000.000000,-8163000000000.000000,-8545000000000.000000,-16708000000000.000000,18603000000000.000000,8920000000000.000000,943000000000.000000,-1109000000000.000000,-751000000000.000000,,1303000000000.000000,4994000000000.000000,6297000000000.000000,3540000000000.000000,8920000000000.000000,27523000000000.000000,-5226000000000.000000,22297000000000.000000,,22297000000000.000000,1411000000000.000000,23708000000000.000000,22297000000000.000000,19417000000000.000000,2880000000000.000000,22297000000000.000000,23708000000000.000000,20137000000000.000000,3571000000000.000000,23708000000000.000000
12M 2014,201701000000000.000000,-162892000000000.000000,38809000000000.000000,-18646000000000.000000,-8734000000000.000000,-9912000000000.000000,-18646000000000.000000,20163000000000.000000,7189000000000.000000,1526000000000.000000,-1375000000000.000000,-126000000000.000000,,1219000000000.000000,5020000000000.000000,6239000000000.000000,925000000000.000000,7189000000000.000000,27352000000000.000000,-5227000000000.000000,22125000000000.000000,,22125000000000.000000,23000000000.000000,22148000000000.000000,22125000000000.000000,19181000000000.000000,2944000000000.000000,22125000000000.000000,22151000000000.000000,18867000000000.000000,3284000000000.000000,22151000000000.000000
12M 2015,184196000000000.000000,-147486000000000.000000,36710000000000.000000,-19498000000000.000000,-9117000000000.000000,-10381000000000.000000,-19498000000000.000000,17212000000000.000000,2418000000000.000000,1515000000000.000000,-1370000000000.000000,-291000000000.000000,,1156000000000.000000,3311000000000.000000,4467000000000.000000,-1903000000000.000000,2418000000000.000000,19630000000000.000000,-4017000000000.000000,15613000000000.000000,,15613000000000.000000,841000000000.000000,16454000000000.000000,15613000000000.000000,14464000000000.000000,1149000000000.000000,15613000000000.000000,16454000000000.000000,15276000000000.000000,1178000000000.000000,16454000000000.000000
12M 2016,181084000000000.000000,-144652000000000.000000,36432000000000.000000,-18898000000000.000000,-7855000000000.000000,-11043000000000.000000,-18898000000000.000000,17534000000000.000000,4719000000000.000000,1699000000000.000000,-1745000000000.000000,-155000000000.000000,,2114000000000.000000,1235000000000.000000,3349000000000.000000,1571000000000.000000,4719000000000.000000,22253000000000.000000,-3951000000000.000000,18302000000000.000000,,18302000000000.000000,1502000000000.000000,19804000000000.000000,18302000000000.000000,15156000000000.000000,3146000000000.000000,18302000000000.000000,19804000000000.000000,16626000000000.000000,3178000000000.000000,19804000000000.000000
12M 2017,206057000000000.000000,-163689000000000.000000,42368000000000.000000,-22042000000000.000000,-10222000000000.000000,-11820000000000.000000,-22042000000000.000000,20326000000000.000000,8811000000000.000000,1982000000000.000000,-2042000000000.000000,-9000000000.000000,,5440000000000.000000,1254000000000.000000,6694000000000.000000,2186000000000.000000,8811000000000.000000,29137000000000.000000,-6016000000000.000000,23121000000000.000000,,23121000000000.000000,-529000000000.000000,22592000000000.000000,23121000000000.000000,18847000000000.000000,4274000000000.000000,23121000000000.000000,22592000000000.000000,18490000000000.000000,4102000000000.000000,22592000000000.000000
