Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Dari Aktivitas Operasi Lainnya,Pembayaran Untuk Aktivitas Operasi Lainnya,Pembayaran Beban Usaha Lain,Penghasilan Bunga Yang Diterima,Pembayaran Pajak Penghasilan Badan,Pengembalian Pajak,(Pembayaran)/Pengembalian Pajak Lainnya,Pengembalian Pajak Lainnya,Penurunan Saldo Sehubungan Dengan Margin Deposits Atas Fasilitas Letters Of Credit,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Dan Capital Repayment Investasi Lain-Lain,Dividen Kas Yang Diterima,Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Investasi Lain-Lain,"Pembelian Entitas Anak, Setelah Dikurangi Kas Yang Diperoleh","Penjualan Entitas Anak, Setelah Dikurangi Kas Yang Dikeluarkan",Penambahan Tanaman Perkebunan,Penjualan Tanaman Perkebunan,Penambahan Hak Konsesi,Penambahan Investasi Pada Entitas Asosiasi,Penambahan Properti Pertambangan,Uang Muka Perolehan Investasi,Penambahan Properti Investasi,Penambahan Aset Tidak Berwujud,Penjualan Aset Tidak Berwujud,Penambahan / Penurunan Aset Lain-Lain,Penambahan Investasi Pada Pengendalian Bersama Entitas,Penambahan Piutang Lain-Lain Kepada Pihak-Pihak Berelasi,Penurunan Piutang Lain-Lain Kepada Pihak Berelasi,Penjualan Properti Investasi,Pelepasan Entitas Asosiasi,Penambahan Investasi Pada Entitas Asosiasi Dan Pengendalian Bersama Entitas,Pembelian Aset Kerjasama Operasi,Penjualan Investasi Pada Pengendalian Bersama Entitas,Penjualan (Penambahan) Investasi Ventura Bersama,Penjualan Ventura Bersama,Penambahan Kas Yang Dibatasi Penggunaannya,Penurunan Kas Yang Dibatasi Penggunaan Nya,Uang Muka Pembelian Entitas Anak,Pembelian Dari Pemegang Saham Minoritas,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Jangka Pendek,Penerimaan Utang Jangka Panjang,Penurunan Kepemilikan Di Entitas Anak,Pembayaran Kembali Pinjaman Jangka Pendek,Pembayaran Kembali Utang Jangka Panjang,Dividen Kas Yang Dibayarkan,Dividen Kas Yang Dibayarkan Kepada Pemegang Saham Perseroan,Dividen Kas Yang Dibayarkan Kepada Kepentingan Nonpengendali,Penambahan Kepemilikan Di Entitas Anak,Penjualan Kepemilikan Di Entitas Anak Kepada Kepentingan Nonpengendali,Pembayaran Bunga,Penerbitan Saham Kepada Kepentingan Nonpengendali,Perubahan Kepentingan Pengendali Pada Entitas Anak,Pembayaran Uang Muka,Investasi Oleh Hak Nonpengendali,Pembayaran Kewajiban Anjak Piutang,Penurunan Kas Dan Deposito Berjangka Yang Dibatasi Penggunaannya,(Penambahan)/Penurunan Piutang Kepada Pihak Yang Mempunyai Hubungan Istimewa,Pembelian Kembali Saham Oleh Entitas Anak,Uang Muka Setoran Saham Oleh Kepentingan Non Pengendali,Transaksi Lainnya Dengan Kepentingan Non Pengendali,Akuisisi Kepentingan Nonpengendali Pada Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,9953000000000.000000,102627000000000.000000,-81155000000000.000000,-4945000000000.000000,556000000000.000000,,-4461000000000.000000,541000000000.000000,-3224000000000.000000,,,,14000000000.000000,9953000000000.000000,-6562000000000.000000,888000000000.000000,1651000000000.000000,560000000000.000000,-4795000000000.000000,-1592000000000.000000,-1826000000000.000000,-393000000000.000000,-688000000000.000000,135000000000.000000,,,,,54000000000.000000,,,-156000000000.000000,,1000000000.000000,,,,,,,,,,,,-401000000000.000000,-6562000000000.000000,-1239000000000.000000,11081000000000.000000,12379000000000.000000,,-8522000000000.000000,-13065000000000.000000,-3973000000000.000000,,,,,-526000000000.000000,,,,1462000000000.000000,-20000000000.000000,-55000000000.000000,,,,,,-1239000000000.000000,2152000000000.000000,5979000000000.000000,556000000000.000000,8687000000000.000000
12M 2009,11335000000000.000000,103904000000000.000000,-79546000000000.000000,-5655000000000.000000,434000000000.000000,,-3954000000000.000000,525000000000.000000,-4373000000000.000000,,,,,11335000000000.000000,-4771000000000.000000,628000000000.000000,1778000000000.000000,171000000000.000000,-4540000000000.000000,-1158000000000.000000,,-18000000000.000000,-756000000000.000000,,,,,,13000000000.000000,,,-105000000000.000000,,-622000000000.000000,,,,,,,,,,,,-162000000000.000000,-4771000000000.000000,-5994000000000.000000,4295000000000.000000,11298000000000.000000,,-6863000000000.000000,-10102000000000.000000,-4281000000000.000000,,,,,-497000000000.000000,,,,100000000000.000000,-4000000000.000000,60000000000.000000,,,,,,-5994000000000.000000,570000000000.000000,8687000000000.000000,-527000000000.000000,8730000000000.000000
12M 2010,2907000000000.000000,135669000000000.000000,-116169000000000.000000,-7112000000000.000000,161000000000.000000,,-5377000000000.000000,561000000000.000000,-4826000000000.000000,,,,,2907000000000.000000,-6894000000000.000000,1022000000000.000000,2675000000000.000000,116000000000.000000,-5368000000000.000000,-1530000000000.000000,25000000000.000000,176000000000.000000,-792000000000.000000,,,,,,,,,-214000000000.000000,,95000000000.000000,,,,-1173000000000.000000,-180000000000.000000,,,,,,,-1746000000000.000000,-6894000000000.000000,2334000000000.000000,9957000000000.000000,19408000000000.000000,,-7654000000000.000000,-12539000000000.000000,-6394000000000.000000,,,,,-444000000000.000000,,,,,,,,,,,,2334000000000.000000,-1653000000000.000000,8730000000000.000000,-72000000000.000000,7005000000000.000000
12M 2011,9330000000000.000000,166584000000000.000000,-138323000000000.000000,-8636000000000.000000,570000000000.000000,-7386000000000.000000,,696000000000.000000,-4175000000000.000000,,,,,9330000000000.000000,-8677000000000.000000,1129000000000.000000,4240000000000.000000,107000000000.000000,-8698000000000.000000,-1680000000000.000000,-1788000000000.000000,15000000000.000000,-801000000000.000000,,,,-191000000000.000000,,,-82000000000.000000,,-193000000000.000000,,-15000000000.000000,,36000000000.000000,10000000000.000000,-304000000000.000000,-462000000000.000000,,,,,,,,-8677000000000.000000,5382000000000.000000,16050000000000.000000,28339000000000.000000,,-16112000000000.000000,-16696000000000.000000,-8191000000000.000000,,,,,-662000000000.000000,2668000000000.000000,-14000000000.000000,,,,,,,,,,5382000000000.000000,6035000000000.000000,7005000000000.000000,31000000000.000000,13071000000000.000000
12M 2012,8932000000000.000000,201353000000000.000000,-170132000000000.000000,-10402000000000.000000,905000000000.000000,-7779000000000.000000,,675000000000.000000,-5688000000000.000000,,,,,8932000000000.000000,-9437000000000.000000,1956000000000.000000,4064000000000.000000,323000000000.000000,-9543000000000.000000,-2341000000000.000000,-856000000000.000000,21000000000.000000,-824000000000.000000,,-522000000000.000000,-5000000000.000000,,,-10000000000.000000,-226000000000.000000,,-130000000000.000000,-1309000000000.000000,-35000000000.000000,,,,,,,,,,,,,-9437000000000.000000,-1927000000000.000000,13324000000000.000000,27030000000000.000000,,-11050000000000.000000,-20141000000000.000000,,-8253000000000.000000,-1515000000000.000000,,,-990000000000.000000,1000000000.000000,-101000000000.000000,-232000000000.000000,,,,,,,,,-1927000000000.000000,-2432000000000.000000,13163000000000.000000,178000000000.000000,10909000000000.000000
12M 2013,21250000000000.000000,217430000000000.000000,-170186000000000.000000,-12541000000000.000000,1099000000000.000000,-9112000000000.000000,,942000000000.000000,-6382000000000.000000,,,,,21250000000000.000000,-8306000000000.000000,1242000000000.000000,3336000000000.000000,299000000000.000000,-8292000000000.000000,-1107000000000.000000,-780000000000.000000,97000000000.000000,-684000000000.000000,,-665000000000.000000,-101000000000.000000,-54000000000.000000,,-613000000000.000000,-223000000000.000000,,-77000000000.000000,-672000000000.000000,-23000000000.000000,,11000000000.000000,,,,,,,,,,,-8306000000000.000000,-6665000000000.000000,32644000000000.000000,22584000000000.000000,2754000000000.000000,-27871000000000.000000,-25277000000000.000000,,-8659000000000.000000,-1358000000000.000000,,,-1105000000000.000000,166000000000.000000,-543000000000.000000,,,,,,,,,,-6665000000000.000000,6279000000000.000000,10815000000000.000000,1461000000000.000000,18555000000000.000000
12M 2014,14963000000000.000000,232576000000000.000000,-189598000000000.000000,-13849000000000.000000,835000000000.000000,-10684000000000.000000,,1271000000000.000000,-5588000000000.000000,,,,,14963000000000.000000,-9564000000000.000000,1221000000000.000000,4062000000000.000000,398000000000.000000,-8487000000000.000000,-2242000000000.000000,-314000000000.000000,8000000000.000000,-971000000000.000000,,-911000000000.000000,-13000000000.000000,,,-800000000000.000000,-190000000000.000000,,-96000000000.000000,-1147000000000.000000,-151000000000.000000,,,,,,69000000000.000000,,,,,,,-9564000000000.000000,-4045000000000.000000,43598000000000.000000,33883000000000.000000,2194000000000.000000,-45287000000000.000000,-27320000000000.000000,,-8739000000000.000000,-1462000000000.000000,,,-912000000000.000000,,,,,,,,,,,,-4045000000000.000000,1354000000000.000000,18555000000000.000000,819000000000.000000,20728000000000.000000
12M 2015,26290000000000.000000,223681000000000.000000,-168324000000000.000000,-15079000000000.000000,1101000000000.000000,-9871000000000.000000,,1280000000000.000000,-6498000000000.000000,,,,,26290000000000.000000,-7541000000000.000000,1444000000000.000000,3554000000000.000000,208000000000.000000,-6439000000000.000000,-1625000000000.000000,-815000000000.000000,10000000000.000000,-974000000000.000000,,-391000000000.000000,-897000000000.000000,,,-309000000000.000000,-394000000000.000000,,-300000000000.000000,-400000000000.000000,-260000000000.000000,,15000000000.000000,,,,32000000000.000000,,,,,,,-7541000000000.000000,-13407000000000.000000,47314000000000.000000,26261000000000.000000,,-45744000000000.000000,-29951000000000.000000,,-8739000000000.000000,-1846000000000.000000,,,-718000000000.000000,,,,,,,,,22000000000.000000,,-6000000000.000000,-13407000000000.000000,5342000000000.000000,20728000000000.000000,1002000000000.000000,27072000000000.000000
12M 2016,19407000000000.000000,210472000000000.000000,-164519000000000.000000,-15282000000000.000000,523000000000.000000,-8460000000000.000000,,1379000000000.000000,-4706000000000.000000,,,,,19407000000000.000000,-10798000000000.000000,1710000000000.000000,3820000000000.000000,325000000000.000000,-6767000000000.000000,-2902000000000.000000,-182000000000.000000,,-751000000000.000000,,-202000000000.000000,-648000000000.000000,,,-1188000000000.000000,6000000000.000000,,-335000000000.000000,-4288000000000.000000,544000000000.000000,,13000000000.000000,47000000000.000000,,,,,,,,,,-10798000000000.000000,-5888000000000.000000,118779000000000.000000,23011000000000.000000,,-111666000000000.000000,-27439000000000.000000,,-6797000000000.000000,-1343000000000.000000,,149000000000.000000,-2042000000000.000000,1460000000000.000000,,,,,,,,,,,-5888000000000.000000,2721000000000.000000,27072000000000.000000,-437000000000.000000,29356000000000.000000
12M 2017,23285000000000.000000,233597000000000.000000,-182759000000000.000000,-17015000000000.000000,1313000000000.000000,-8160000000000.000000,,1699000000000.000000,-6369000000000.000000,979000000000.000000,,,,23285000000000.000000,-14941000000000.000000,4761000000000.000000,7033000000000.000000,211000000000.000000,-9799000000000.000000,-6148000000000.000000,-1096000000000.000000,-1000000000.000000,-624000000000.000000,,-207000000000.000000,-3449000000000.000000,,,-2168000000000.000000,,,-95000000000.000000,-1371000000000.000000,-555000000000.000000,55000000000.000000,564000000000.000000,,,,,474000000000.000000,,-2679000000000.000000,153000000000.000000,,,-14941000000000.000000,-6184000000000.000000,162776000000000.000000,38763000000000.000000,,-165334000000000.000000,-32645000000000.000000,,-6798000000000.000000,-1789000000000.000000,,,-2017000000000.000000,919000000000.000000,,,,,,,,,-11000000000.000000,-48000000000.000000,-6184000000000.000000,2160000000000.000000,29356000000000.000000,58000000000.000000,31574000000000.000000
