Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Pembiayaan,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Pembiayaan,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Investasi Pada Entitas Asosiasi Dan Entitas Pengendalian Bersama,Investasi Pada Entitas Asosiasi,Investasi Pada Entitas Pengendalian Bersama,Total Investasi Pada Entitas Asosiasi Dan Entitas Pengendalian Bersama,Aset Pajak Tangguhan,Properti Investasi,Tanaman Perkebunan,Aset Tetap,Tanah Untuk Dikembangkan,Properti Pertambangan,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Surat Berharga Yang Diterbitkan,Obligasi Konversi,Utang Obligasi,Surat Berharga Jangka Menengah,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Surat Berharga Yang Diterbitkan,Surat Berharga Jangka Menengah,Utang Obligasi,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Adjustment,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,8785000000000.000000,,6167000000000.000000,338000000000.000000,5829000000000.000000,6167000000000.000000,9499000000000.000000,307000000000.000000,,,307000000000.000000,8666000000000.000000,2107000000000.000000,35531000000000.000000,,,,,,8601000000000.000000,1090000000000.000000,342000000000.000000,748000000000.000000,1090000000000.000000,,10636000000000.000000,,,10636000000000.000000,804000000000.000000,190000000000.000000,1937000000000.000000,18742000000000.000000,,,830000000000.000000,,2379000000000.000000,45209000000000.000000,80740000000000.000000,,,26883000000000.000000,5185000000000.000000,,1013000000000.000000,5802000000000.000000,6815000000000.000000,2830000000000.000000,,,2830000000000.000000,1799000000000.000000,2393000000000.000000,,5852000000000.000000,1635000000000.000000,,,,307000000000.000000,7794000000000.000000,67000000000.000000,26883000000000.000000,13280000000000.000000,,,26000000000.000000,1026000000000.000000,1052000000000.000000,846000000000.000000,,8129000000000.000000,2317000000000.000000,,,108000000000.000000,10554000000000.000000,,828000000000.000000,13280000000000.000000,40163000000000.000000,,2024000000000.000000,1106000000000.000000,29027000000000.000000,425000000000.000000,28602000000000.000000,29027000000000.000000,7497000000000.000000,923000000000.000000,40577000000000.000000,80740000000000.000000,4048355314.000000
12M 2009,,,8732000000000.000000,,7579000000000.000000,307000000000.000000,7272000000000.000000,7579000000000.000000,10630000000000.000000,295000000000.000000,,,295000000000.000000,7282000000000.000000,2077000000000.000000,36595000000000.000000,,,,,,10103000000000.000000,1054000000000.000000,958000000000.000000,96000000000.000000,1054000000000.000000,,11484000000000.000000,,,11484000000000.000000,814000000000.000000,217000000000.000000,2614000000000.000000,21941000000000.000000,,,721000000000.000000,,3395000000000.000000,52343000000000.000000,88938000000000.000000,,,26735000000000.000000,2430000000000.000000,,1763000000000.000000,5515000000000.000000,7278000000000.000000,3529000000000.000000,,,3529000000000.000000,1403000000000.000000,3072000000000.000000,,5772000000000.000000,2839000000000.000000,,,,213000000000.000000,8824000000000.000000,199000000000.000000,26735000000000.000000,13271000000000.000000,,,25000000000.000000,684000000000.000000,709000000000.000000,933000000000.000000,,6285000000000.000000,4018000000000.000000,,,364000000000.000000,10667000000000.000000,,962000000000.000000,13271000000000.000000,40006000000000.000000,,2024000000000.000000,1106000000000.000000,35586000000000.000000,425000000000.000000,35161000000000.000000,35586000000000.000000,9038000000000.000000,1178000000000.000000,48932000000000.000000,88938000000000.000000,4048355314.000000
12M 2010,,,7005000000000.000000,,9391000000000.000000,372000000000.000000,9019000000000.000000,9391000000000.000000,15904000000000.000000,527000000000.000000,149000000000.000000,378000000000.000000,527000000000.000000,10842000000000.000000,3174000000000.000000,46843000000000.000000,,,,,,14001000000000.000000,949000000000.000000,722000000000.000000,227000000000.000000,949000000000.000000,,15053000000000.000000,,,15053000000000.000000,1083000000000.000000,225000000000.000000,3184000000000.000000,24363000000000.000000,,,1339000000000.000000,415000000000.000000,5402000000000.000000,66014000000000.000000,112857000000000.000000,,,37124000000000.000000,4689000000000.000000,,2058000000000.000000,7217000000000.000000,9275000000000.000000,,44000000000.000000,2944000000000.000000,2988000000000.000000,1281000000000.000000,3905000000000.000000,,8887000000000.000000,3902000000000.000000,,,,325000000000.000000,13114000000000.000000,1872000000000.000000,37124000000000.000000,17044000000000.000000,,,,135000000000.000000,135000000000.000000,1014000000000.000000,,10151000000000.000000,3365000000000.000000,,,419000000000.000000,13935000000000.000000,,1960000000000.000000,17044000000000.000000,54168000000000.000000,,2024000000000.000000,1106000000000.000000,44731000000000.000000,425000000000.000000,44306000000000.000000,44731000000000.000000,9379000000000.000000,1449000000000.000000,58689000000000.000000,112857000000000.000000,4048355314.000000
12M 2011,,,13111000000000.000000,,14526000000000.000000,522000000000.000000,14004000000000.000000,14526000000000.000000,22322000000000.000000,557000000000.000000,117000000000.000000,440000000000.000000,557000000000.000000,11990000000000.000000,3472000000000.000000,65978000000000.000000,,,,,,18711000000000.000000,1536000000000.000000,515000000000.000000,1021000000000.000000,1536000000000.000000,,16997000000000.000000,,,16997000000000.000000,1408000000000.000000,538000000000.000000,3796000000000.000000,28804000000000.000000,,5726000000000.000000,1392000000000.000000,590000000000.000000,8045000000000.000000,87543000000000.000000,153521000000000.000000,,,48371000000000.000000,4681000000000.000000,,2780000000000.000000,12762000000000.000000,15542000000000.000000,,82000000000.000000,3356000000000.000000,3438000000000.000000,1596000000000.000000,4291000000000.000000,,11976000000000.000000,3957000000000.000000,,,,426000000000.000000,16359000000000.000000,2464000000000.000000,48371000000000.000000,29312000000000.000000,,,,121000000000.000000,121000000000.000000,1835000000000.000000,,16895000000000.000000,6515000000000.000000,,,540000000000.000000,23950000000000.000000,,3406000000000.000000,29312000000000.000000,77683000000000.000000,,2024000000000.000000,1106000000000.000000,55628000000000.000000,425000000000.000000,55203000000000.000000,55628000000000.000000,15389000000000.000000,1691000000000.000000,75838000000000.000000,153521000000000.000000,4048355314.000000
12M 2012,,,11055000000000.000000,,16443000000000.000000,701000000000.000000,15742000000000.000000,16443000000000.000000,28157000000000.000000,1691000000000.000000,182000000000.000000,1509000000000.000000,1691000000000.000000,15285000000000.000000,3168000000000.000000,75799000000000.000000,,,,,,20474000000000.000000,1713000000000.000000,545000000000.000000,1168000000000.000000,1713000000000.000000,,19801000000000.000000,3926000000000.000000,15875000000000.000000,19801000000000.000000,1957000000000.000000,653000000000.000000,4473000000000.000000,34326000000000.000000,,10623000000000.000000,1392000000000.000000,1124000000000.000000,9939000000000.000000,106475000000000.000000,182274000000000.000000,,,54178000000000.000000,7202000000000.000000,,2972000000000.000000,9713000000000.000000,12685000000000.000000,,93000000000.000000,4649000000000.000000,4742000000000.000000,1886000000000.000000,5067000000000.000000,,14260000000000.000000,4805000000000.000000,,,,526000000000.000000,19591000000000.000000,3005000000000.000000,54178000000000.000000,38282000000000.000000,,,,682000000000.000000,682000000000.000000,2868000000000.000000,,14219000000000.000000,14820000000000.000000,,,925000000000.000000,29964000000000.000000,,4768000000000.000000,38282000000000.000000,92460000000000.000000,,2024000000000.000000,1106000000000.000000,66289000000000.000000,425000000000.000000,65864000000000.000000,66289000000000.000000,18613000000000.000000,1782000000000.000000,89814000000000.000000,182274000000000.000000,40483553140.000000
12M 2013,,,18557000000000.000000,,19843000000000.000000,876000000000.000000,18967000000000.000000,19843000000000.000000,28814000000000.000000,2988000000000.000000,195000000000.000000,2793000000000.000000,2988000000000.000000,14433000000000.000000,3717000000000.000000,88352000000000.000000,,,,,,25863000000000.000000,3389000000000.000000,702000000000.000000,2687000000000.000000,3389000000000.000000,,23870000000000.000000,4919000000000.000000,18951000000000.000000,23870000000000.000000,2488000000000.000000,1372000000000.000000,4973000000000.000000,37862000000000.000000,,12027000000000.000000,1534000000000.000000,1615000000000.000000,10649000000000.000000,125642000000000.000000,213994000000000.000000,,,71139000000000.000000,12854000000000.000000,,2698000000000.000000,14577000000000.000000,17275000000000.000000,,129000000000.000000,5006000000000.000000,5135000000000.000000,1600000000000.000000,6013000000000.000000,,14832000000000.000000,9198000000000.000000,,,,519000000000.000000,24549000000000.000000,3713000000000.000000,71139000000000.000000,36667000000000.000000,,,,822000000000.000000,822000000000.000000,3268000000000.000000,,12885000000000.000000,13261000000000.000000,,,974000000000.000000,27120000000000.000000,,5457000000000.000000,36667000000000.000000,107806000000000.000000,,2024000000000.000000,1139000000000.000000,77076000000000.000000,425000000000.000000,76651000000000.000000,77076000000000.000000,22250000000000.000000,3699000000000.000000,106188000000000.000000,213994000000000.000000,40483553140.000000
12M 2014,,,20902000000000.000000,,21332000000000.000000,909000000000.000000,20423000000000.000000,21332000000000.000000,30297000000000.000000,3130000000000.000000,261000000000.000000,2869000000000.000000,3130000000000.000000,16986000000000.000000,4594000000000.000000,97241000000000.000000,,,,,,30408000000000.000000,2543000000000.000000,819000000000.000000,1724000000000.000000,2543000000000.000000,,27250000000000.000000,5253000000000.000000,21997000000000.000000,27250000000000.000000,2891000000000.000000,2534000000000.000000,6007000000000.000000,41250000000000.000000,,9149000000000.000000,1534000000000.000000,1968000000000.000000,13254000000000.000000,138788000000000.000000,236029000000000.000000,,,73523000000000.000000,10586000000000.000000,,2801000000000.000000,16038000000000.000000,18839000000000.000000,,81000000000.000000,5567000000000.000000,5648000000000.000000,2132000000000.000000,5450000000000.000000,,17898000000000.000000,8487000000000.000000,,,,450000000000.000000,26835000000000.000000,4033000000000.000000,73523000000000.000000,42182000000000.000000,,,,947000000000.000000,947000000000.000000,2645000000000.000000,,19587000000000.000000,12465000000000.000000,,,599000000000.000000,32651000000000.000000,,5939000000000.000000,42182000000000.000000,115705000000000.000000,,2024000000000.000000,1139000000000.000000,87459000000000.000000,425000000000.000000,87034000000000.000000,87459000000000.000000,24713000000000.000000,4989000000000.000000,120324000000000.000000,236029000000000.000000,40483553140.000000
12M 2015,,,27102000000000.000000,,17776000000000.000000,923000000000.000000,16853000000000.000000,17776000000000.000000,31728000000000.000000,3501000000000.000000,249000000000.000000,3252000000000.000000,3501000000000.000000,18337000000000.000000,6717000000000.000000,105161000000000.000000,,,,,,28377000000000.000000,4865000000000.000000,1276000000000.000000,3589000000000.000000,4865000000000.000000,,29640000000000.000000,6439000000000.000000,23201000000000.000000,29640000000000.000000,3043000000000.000000,3493000000000.000000,6686000000000.000000,41702000000000.000000,,4859000000000.000000,1974000000000.000000,2039000000000.000000,13596000000000.000000,140274000000000.000000,245435000000000.000000,,,76242000000000.000000,11975000000000.000000,,3246000000000.000000,17311000000000.000000,20557000000000.000000,,285000000000.000000,6791000000000.000000,7076000000000.000000,2142000000000.000000,5621000000000.000000,,16437000000000.000000,7357000000000.000000,,,,433000000000.000000,24227000000000.000000,4644000000000.000000,76242000000000.000000,42660000000000.000000,,,,574000000000.000000,574000000000.000000,1796000000000.000000,,18315000000000.000000,15239000000000.000000,,,893000000000.000000,34447000000000.000000,,5843000000000.000000,42660000000000.000000,118902000000000.000000,,2024000000000.000000,1139000000000.000000,92989000000000.000000,425000000000.000000,92564000000000.000000,92989000000000.000000,24490000000000.000000,5891000000000.000000,126533000000000.000000,245435000000000.000000,40483553140.000000
12M 2016,,,29357000000000.000000,,18946000000000.000000,1537000000000.000000,17409000000000.000000,18946000000000.000000,33216000000000.000000,3964000000000.000000,223000000000.000000,3741000000000.000000,3964000000000.000000,17771000000000.000000,7149000000000.000000,110403000000000.000000,,480000000000.000000,,480000000000.000000,480000000000.000000,31423000000000.000000,1462000000000.000000,489000000000.000000,973000000000.000000,1462000000000.000000,,33987000000000.000000,6999000000000.000000,26988000000000.000000,33987000000000.000000,3980000000000.000000,6183000000000.000000,6675000000000.000000,43237000000000.000000,,4613000000000.000000,1974000000000.000000,2072000000000.000000,15366000000000.000000,151452000000000.000000,261855000000000.000000,,,89079000000000.000000,18764000000000.000000,,3666000000000.000000,18823000000000.000000,22489000000000.000000,,557000000000.000000,7039000000000.000000,7596000000000.000000,1851000000000.000000,6174000000000.000000,,15104000000000.000000,11264000000000.000000,,,,688000000000.000000,27056000000000.000000,5149000000000.000000,89079000000000.000000,32870000000000.000000,,,,232000000000.000000,232000000000.000000,1641000000000.000000,,10195000000000.000000,14836000000000.000000,,,59000000000.000000,25090000000000.000000,,5907000000000.000000,32870000000000.000000,121949000000000.000000,,2024000000000.000000,1139000000000.000000,101642000000000.000000,425000000000.000000,101217000000000.000000,101642000000000.000000,27955000000000.000000,7146000000000.000000,139906000000000.000000,261855000000000.000000,40483553140.000000
12M 2017,,,31574000000000.000000,,25351000000000.000000,1566000000000.000000,23785000000000.000000,25351000000000.000000,31882000000000.000000,4239000000000.000000,388000000000.000000,3851000000000.000000,4239000000000.000000,19504000000000.000000,8978000000000.000000,121528000000000.000000,,69000000000.000000,,69000000000.000000,69000000000.000000,31370000000000.000000,1787000000000.000000,915000000000.000000,872000000000.000000,1787000000000.000000,,39260000000000.000000,11331000000000.000000,27929000000000.000000,39260000000000.000000,4200000000000.000000,8381000000000.000000,6747000000000.000000,48402000000000.000000,3144000000000.000000,5877000000000.000000,1956000000000.000000,2569000000000.000000,20540000000000.000000,174302000000000.000000,295830000000000.000000,,,98722000000000.000000,16321000000000.000000,,3708000000000.000000,25760000000000.000000,29468000000000.000000,,308000000000.000000,9505000000000.000000,9813000000000.000000,2462000000000.000000,8337000000000.000000,,13265000000000.000000,13952000000000.000000,,,,46000000000.000000,27263000000000.000000,5058000000000.000000,98722000000000.000000,40603000000000.000000,,,,292000000000.000000,292000000000.000000,2003000000000.000000,,18589000000000.000000,12791000000000.000000,,,14000000000.000000,31394000000000.000000,,6914000000000.000000,40603000000000.000000,139325000000000.000000,,2024000000000.000000,1139000000000.000000,113563000000000.000000,425000000000.000000,113138000000000.000000,113563000000000.000000,32725000000000.000000,7054000000000.000000,156505000000000.000000,295830000000000.000000,40483553140.000000
