Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2015,0.00,100.20,0.00,100.18,280 B,848 B,"1,128 B","1,114 B",66 B
12M 2016,3.90,101.57,3.90,101.55,73 B,"1,040 B","1,112 B","1,098 B",908 B
12M 2017,1.31,101.24,1.31,101.24,260 B,856 B,"1,116 B","1,099 B",767 B
12M 2018,0.50,100.63,0.50,100.63,3 B,"1,170 B","1,173 B","1,153 B","1,113 B"
12M 2019,0.52,95.71,0.52,95.71,17 B,835 B,852 B,837 B,724 B
12M 2020,0.55,90.65,0.55,90.65,6 B,859 B,865 B,854 B,582 B
12M 2021,0.58,86.25,0.58,86.25,23 B,589 B,612 B,548 B,545 B
12M 2022,0.95,52.66,0.95,52.66,5 B,148 B,153 B,67 B,725 B
12M 2023,0.99,50.42,0.99,50.42,11 B,139 B,150 B,101 B,715 B
12M 2024,0.12,49.25,0.12,49.25,11 B,124 B,135 B,114 B,19 B
