Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pombayaran Kas Kepada Karyawan,Pembayaran Kas Untuk Aktifitas Operasional Lainnya,Penerimaan Bunga,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penyertaan Saham,Pencairan Dana Dalam Pembatasan,Penempatan Dana Dalam Pembatasan,Penempatan Investasi Jangka Pendek,Penerimaan Investasi Jangka Pendek,Kas Neto Dekonsolidasi Entitas Anak,Pembayaran Untuk Perolehan Tambahan Kepemilikan Entitas Anak,Peningkatan (Penurunan) Piutang Lain-Lain,Peningkatan Piutang Pihak Berelasi,Peningkatan Tanah Yang Belum Dikembangkan,Uang Muka Pembelian,Perolehan Entitas Anak,Hasil Penjualan Aset Tetap,Perolehan Aset Takberwujud,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Pembelian Aset Tetap,Penerimaan Pembayaran Piutang Pihak Berelasi,Peningkatan Piutang Pihak Berelasi,Peningkatan Piutang Lain-Lain,Pembayaran Utang Pihak Berelasi,Peningkatan Utang Pihak Berelasi,Penerimaan Dari Penambahan Utang Pihak Berelasi,Penururan Utang Pihak Ketiga Jangka Panjang,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembiayaan Musyarakah Jangka Panjang,Utang Pembelian Aset Tetap,Penerimaan Dari Penagihan Piutang Lain-Lain,Pembayaran Utang Lain-Lain,Peningkatan Utang Lain-Lain,Penerimaan Dari Utang Lain-Lain,Penerimaan Dari Hasil Penawaran Saham Perdana,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2015,-59166117231.000000,321675057575.000000,-190478272041.000000,-77023293263.000000,,424495687.000000,-86776812285.000000,-26987292904.000000,-59166117231.000000,-20043888250.000000,,4394008597.000000,-548525233.000000,,,,,,,,,,,,,-23889371614.000000,-20043888250.000000,59874543514.000000,-1133931951.000000,70846147107.000000,-26195259915.000000,,-2107597500.000000,21587937383.000000,,,15000000000.000000,-18122751610.000000,,,,,,,,59874543514.000000,-19335461967.000000,12888380.000000,33989961088.000000,14667387501.000000
12M 2016,-93677707799.000000,332702780599.000000,-196627108030.000000,-87714194007.000000,,198657917.000000,-84459164062.000000,-57778680216.000000,-93677707799.000000,-271001984525.000000,,7137293875.000000,,-276088500000.000000,,,,,,,,,,,,-2050778400.000000,-271001984525.000000,364002869859.000000,-784854984.000000,,,,-29691865680.000000,207378117673.000000,,,236013901542.000000,-353779628692.000000,,,145750000000.000000,-163182800000.000000,,300000000.000000,322000000000.000000,364002869859.000000,-676822465.000000,,14667387501.000000,13990565036.000000
12M 2017,10456411646.000000,355943473213.000000,-143701166869.000000,-94241798605.000000,,198451003.000000,-59941101136.000000,-47801445960.000000,10456411646.000000,-10368066458.000000,,1202949131.000000,,,311897733929.000000,,,,,,,,10711813.000000,,-305897733929.000000,-17581727402.000000,-10368066458.000000,3604526756.000000,-597256425.000000,,,,-6570000000.000000,112170000000.000000,,,,-101398216819.000000,,,,,,,,3604526756.000000,3692871944.000000,,13990565036.000000,17683436980.000000
12M 2018,-6600346763.000000,306033992165.000000,-142572317550.000000,-83720095275.000000,,463926928.000000,-54518850475.000000,-32287002556.000000,-6600346763.000000,-1540247603.000000,,2380130071.000000,,,,,,,,-1190637295.000000,,,2432000.000000,,,-2732172379.000000,-1540247603.000000,10254737311.000000,-85037280.000000,,,,,222223515548.000000,,,,-210440506142.000000,,,,-6617410300.000000,,5174175485.000000,,10254737311.000000,2114142945.000000,,17683436980.000000,19797579925.000000
12M 2019,-6580459691.000000,297778105384.000000,-137285686722.000000,-82418108994.000000,,516617740.000000,-52142590531.000000,-33028796568.000000,-6580459691.000000,-1340797750.000000,,231441300.000000,,,,,,,,,,,160000000.000000,,,-1732239050.000000,-1340797750.000000,3636854795.000000,-36686849.000000,,-2123389142.000000,,,-2279410743.000000,,,,-2996243834.000000,,,,10881708497.000000,,190876866.000000,,3636854795.000000,-4284402646.000000,,19797579925.000000,15513177279.000000
12M 2020,-923000000.000000,101531000000.000000,-33686000000.000000,-45479000000.000000,-11654000000.000000,463000000.000000,-6485000000.000000,-5613000000.000000,-923000000.000000,400000000.000000,,161000000.000000,,,,,,142000000.000000,,,,,286000000.000000,,,-189000000.000000,400000000.000000,-3868000000.000000,-51000000.000000,,,,,-467000000.000000,,,,-300000000.000000,,,,-3050000000.000000,,,,-3868000000.000000,-4391000000.000000,,15513000000.000000,11122000000.000000
12M 2021,-6211000000.000000,90965000000.000000,-42679000000.000000,-23245000000.000000,-23240000000.000000,301000000.000000,-1696000000.000000,-6617000000.000000,-6211000000.000000,8193000000.000000,,589000000.000000,,,,,,6735000000.000000,,,,-50000000.000000,1616000000.000000,,,-697000000.000000,8193000000.000000,50912000000.000000,,,,,,-15153000000.000000,,,,-10296000000.000000,,,,76361000000.000000,,,,50912000000.000000,52894000000.000000,,11122000000.000000,64016000000.000000
12M 2022,6777000000.000000,222550000000.000000,-76782000000.000000,-45330000000.000000,-71310000000.000000,764000000.000000,-14196000000.000000,-8919000000.000000,6777000000.000000,2681000000.000000,,1424000000.000000,,,,-1589000000.000000,,3424000000.000000,-656000000.000000,,,,1526000000.000000,,,-1448000000.000000,2681000000.000000,11969000000.000000,,,,,,-24224000000.000000,,,,-19837000000.000000,,,,56030000000.000000,,,,11969000000.000000,21427000000.000000,,64016000000.000000,85443000000.000000
12M 2023,2609000000.000000,150688000000.000000,-33780000000.000000,-41443000000.000000,-50726000000.000000,1515000000.000000,-15323000000.000000,-8322000000.000000,2609000000.000000,-47168000000.000000,,740000000.000000,,,,,,1782000000.000000,-37000000.000000,-40632000000.000000,,,1527000000.000000,,,-10548000000.000000,-47168000000.000000,8106000000.000000,,,,,,1125000000.000000,,,,-4692000000.000000,-4807000000.000000,,,16480000000.000000,,,,8106000000.000000,-36453000000.000000,,85443000000.000000,48990000000.000000
12M 2024,-6589000000.000000,156626000000.000000,-45012000000.000000,-18338000000.000000,-61405000000.000000,1173000000.000000,-17869000000.000000,-21764000000.000000,-6589000000.000000,-5829000000.000000,,398000000.000000,,,,,,3880000000.000000,-9000000.000000,,,,,-155000000.000000,,-9943000000.000000,-5829000000.000000,-16205000000.000000,,,,,,-1243000000.000000,,,,-9888000000.000000,-4423000000.000000,-181000000.000000,,-470000000.000000,,,,-16205000000.000000,-28623000000.000000,,48990000000.000000,20367000000.000000
