Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Lain-Lain,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,289951365000.000000,124338682000.000000,109379939000.000000,14958743000.000000,124338682000.000000,39120248000.000000,,,39120248000.000000,73810281000.000000,17016327000.000000,544236903000.000000,,124629188000.000000,6006518000.000000,,23424129000.000000,154059835000.000000,698296738000.000000,,,143621406000.000000,,26190551000.000000,5820328000.000000,32010879000.000000,78406530000.000000,20548100000.000000,12263065000.000000,,392832000.000000,143621406000.000000,30694198000.000000,4834971000.000000,9073965000.000000,16785262000.000000,30694198000.000000,174315604000.000000,,16013181000.000000,19015656000.000000,484739468000.000000,1000000.000000,484738468000.000000,484739468000.000000,4212829000.000000,523981134000.000000,698296738000.000000,16013181.000000
12M 2009,,,386104973000.000000,110807178000.000000,110185909000.000000,621269000.000000,110807178000.000000,23621621000.000000,,,23621621000.000000,66544644000.000000,25908167000.000000,612986583000.000000,,119290731000.000000,6199921000.000000,,21948395000.000000,147439047000.000000,760425630000.000000,,,130322253000.000000,,17760041000.000000,4194183000.000000,21954224000.000000,75616691000.000000,17776038000.000000,14487522000.000000,,487778000.000000,130322253000.000000,30485677000.000000,4959318000.000000,7384420000.000000,18141939000.000000,30485677000.000000,160807930000.000000,,16013181000.000000,19015656000.000000,555197396000.000000,2000000.000000,555195396000.000000,555197396000.000000,9391467000.000000,599617700000.000000,760425630000.000000,16013181.000000
12M 2010,,,248781847000.000000,181929173000.000000,181258599000.000000,670574000.000000,181929173000.000000,24050344000.000000,,,24050344000.000000,83359766000.000000,27832575000.000000,565953705000.000000,,113940099000.000000,6818255000.000000,,21871674000.000000,142630028000.000000,708583733000.000000,,,89396759000.000000,,22641469000.000000,6050772000.000000,28692241000.000000,17601276000.000000,17550899000.000000,16654879000.000000,7980028000.000000,917436000.000000,89396759000.000000,25828188000.000000,,5219231000.000000,20608957000.000000,25828188000.000000,115224947000.000000,,16013181000.000000,19015656000.000000,542639077000.000000,3000000.000000,542636077000.000000,542639077000.000000,15690872000.000000,593358786000.000000,708583733000.000000,16013181.000000
12M 2011,,,246669486000.000000,175236816000.000000,175236816000.000000,,175236816000.000000,35125392000.000000,,,35125392000.000000,84457599000.000000,36155243000.000000,577644536000.000000,,98160265000.000000,6810079000.000000,,13551796000.000000,118522140000.000000,696166676000.000000,,,96129303000.000000,,27858131000.000000,2235273000.000000,30093404000.000000,22827893000.000000,15066670000.000000,24349209000.000000,2631295000.000000,1160832000.000000,96129303000.000000,27101946000.000000,,3220716000.000000,23881230000.000000,27101946000.000000,123231249000.000000,,16013181000.000000,19015656000.000000,519585588000.000000,4000000.000000,519581588000.000000,519585588000.000000,18321002000.000000,572935427000.000000,696166676000.000000,16013181.000000
12M 2012,,,290769171000.000000,149495617000.000000,149270154000.000000,225463000.000000,149495617000.000000,48073970000.000000,,,48073970000.000000,106065078000.000000,36929385000.000000,631333221000.000000,,95121198000.000000,8951503000.000000,,9900913000.000000,113973614000.000000,745306835000.000000,,,119919552000.000000,,24394902000.000000,2365188000.000000,26760090000.000000,33352464000.000000,28427030000.000000,29239155000.000000,665896000.000000,1474917000.000000,119919552000.000000,27175770000.000000,,,27175770000.000000,27175770000.000000,147095322000.000000,,16013181000.000000,19015656000.000000,551561468000.000000,5000000.000000,551556468000.000000,551561468000.000000,11621208000.000000,598211513000.000000,745306835000.000000,16013181.000000
12M 2013,,,433776477000.000000,117544602000.000000,115867339000.000000,1677263000.000000,117544602000.000000,3347018000.000000,3347018000.000000,,3347018000.000000,171744931000.000000,21697975000.000000,748111003000.000000,,93078878000.000000,13282748000.000000,,12568173000.000000,118929799000.000000,867040802000.000000,,,158990741000.000000,,39680749000.000000,4986209000.000000,44666958000.000000,26255016000.000000,43142978000.000000,42227290000.000000,941037000.000000,1757462000.000000,158990741000.000000,31492068000.000000,,,31492068000.000000,31492068000.000000,190482809000.000000,,16013181000.000000,19015656000.000000,631860548000.000000,6000000.000000,631854548000.000000,631860548000.000000,9668608000.000000,676557993000.000000,867040802000.000000,16013181.000000
12M 2014,,,415161151000.000000,214319994000.000000,214239417000.000000,80577000.000000,214319994000.000000,3688095000.000000,3688095000.000000,,3688095000.000000,193300072000.000000,27706832000.000000,854176144000.000000,,113596416000.000000,15244780000.000000,,8929794000.000000,137770990000.000000,991947134000.000000,,,190952635000.000000,,31186300000.000000,1381181000.000000,32567481000.000000,22339117000.000000,45738132000.000000,30334823000.000000,2888575000.000000,57084507000.000000,190952635000.000000,36521246000.000000,,,36521246000.000000,36521246000.000000,227473881000.000000,,16013181000.000000,19015656000.000000,721876703000.000000,7000000.000000,721869703000.000000,721876703000.000000,7567713000.000000,764473253000.000000,991947134000.000000,16013181.000000
12M 2015,,,494886246000.000000,148289344000.000000,148113250000.000000,176094000.000000,148289344000.000000,33001526000.000000,33001526000.000000,,33001526000.000000,181162743000.000000,44666974000.000000,902006833000.000000,,105314440000.000000,21719183000.000000,,9281460000.000000,136315083000.000000,1038321916000.000000,,,140419495000.000000,,40572159000.000000,3738308000.000000,44310467000.000000,30848633000.000000,42328401000.000000,19188555000.000000,1458139000.000000,2285300000.000000,140419495000.000000,48280940000.000000,,,48280940000.000000,48280940000.000000,188700435000.000000,,16013181000.000000,19015656000.000000,811526592000.000000,8000000.000000,811518592000.000000,811526592000.000000,3066052000.000000,849621481000.000000,1038321916000.000000,800659050.000000
12M 2016,,,658665614000.000000,148407346000.000000,148351045000.000000,56301000.000000,148407346000.000000,32203315000.000000,32129116000.000000,74199000.000000,32203315000.000000,183868498000.000000,24988924000.000000,1048133697000.000000,,96275498000.000000,33304545000.000000,,20082910000.000000,149662953000.000000,1197796650000.000000,,,137842096000.000000,,28172802000.000000,1269421000.000000,29442223000.000000,32441831000.000000,42147266000.000000,30441325000.000000,1039519000.000000,2329932000.000000,137842096000.000000,47580546000.000000,,,47580546000.000000,47580546000.000000,185422642000.000000,,16013181000.000000,19015656000.000000,973312228000.000000,9000000.000000,973303228000.000000,973312228000.000000,4032943000.000000,1012374008000.000000,1197796650000.000000,800659050.000000
12M 2017,,,845324146000.000000,146029615000.000000,145972031000.000000,57584000.000000,146029615000.000000,12113383000.000000,12113383000.000000,,12113383000.000000,178863917000.000000,24245128000.000000,1206576189000.000000,,89978944000.000000,29449721000.000000,,14837911000.000000,134266576000.000000,1340842765000.000000,,,139684908000.000000,,34194225000.000000,803085000.000000,34997310000.000000,22079092000.000000,51738920000.000000,25555279000.000000,2734254000.000000,2580053000.000000,139684908000.000000,56512464000.000000,,,56512464000.000000,56512464000.000000,196197372000.000000,,16013181000.000000,19015656000.000000,1105556270000.000000,10000000.000000,1105546270000.000000,1105556270000.000000,4060286000.000000,1144645393000.000000,1340842765000.000000,800659050.000000
