Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Karyawan,Penerimaan Bunga,Penerimaan Bunga Pengembalian Pajak,Penerimaan Pengembalian Cukai,Pengeluaran Kas Untuk Pajak Pertambahan Nilai Dan Pajak Penjualan Barang Mewah Dan Bea Cukai,Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penurunan Nilai Investasi,Hasil Penjualan Aset Tetap,Hasil Pelepasan Investasi Saham,Rekening Bank Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Tunai,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,162006513000.000000,1225122850000.000000,-618541137000.000000,,,12510699000.000000,,,-427996397000.000000,-29089502000.000000,162006513000.000000,-13697795000.000000,-13880971000.000000,,183176000.000000,,,-13697795000.000000,-22906856000.000000,-22906856000.000000,,-22906856000.000000,125401862000.000000,164549503000.000000,289951365000.000000
12M 2009,169345237000.000000,1278382586000.000000,-640786893000.000000,,,18445424000.000000,,,-435229358000.000000,-51466522000.000000,169345237000.000000,-17090441000.000000,-17273145000.000000,,182704000.000000,,,-17090441000.000000,-56101188000.000000,-56101188000.000000,,-56101188000.000000,96153608000.000000,289951365000.000000,386104973000.000000
12M 2010,31742557000.000000,1134360263000.000000,-403030197000.000000,,,14333278000.000000,,,-626485176000.000000,-87435611000.000000,31742557000.000000,-16970122000.000000,-17324113000.000000,,353991000.000000,,,-16970122000.000000,-152095561000.000000,-152095561000.000000,,-152095561000.000000,-137323126000.000000,386104973000.000000,248781847000.000000
12M 2011,177327565000.000000,1332764640000.000000,-379142443000.000000,,,10222432000.000000,,,-734482655000.000000,-52034409000.000000,177327565000.000000,-7544921000.000000,-7544921000.000000,,,,,-7544921000.000000,-171895005000.000000,-171895005000.000000,,-171895005000.000000,-2112361000.000000,248781847000.000000,246669486000.000000
12M 2012,248441252000.000000,1635884960000.000000,,-384901806000.000000,-64616394000.000000,9787468000.000000,,,-873034064000.000000,-74678912000.000000,248441252000.000000,-16510661000.000000,-15524436000.000000,,330775000.000000,,-1317000000.000000,-16510661000.000000,-187830906000.000000,-187830906000.000000,,-187830906000.000000,44099685000.000000,246669486000.000000,290769171000.000000
12M 2013,348712041000.000000,1918662942000.000000,,-431641913000.000000,-73598042000.000000,14727280000.000000,5021847000.000000,,-984383360000.000000,-100076713000.000000,348712041000.000000,-13835698000.000000,-15065968000.000000,,1492804000.000000,,-262534000.000000,-13835698000.000000,-191869037000.000000,-191869037000.000000,,-191869037000.000000,143007306000.000000,290769171000.000000,433776477000.000000
12M 2014,164246813000.000000,1878470040000.000000,,-460173280000.000000,-82897030000.000000,24407904000.000000,,,-1094552309000.000000,-101008512000.000000,164246813000.000000,-38031012000.000000,-38017391000.000000,,393985000.000000,,-407606000.000000,-38031012000.000000,-144831127000.000000,-144831127000.000000,,-144831127000.000000,-18615326000.000000,433776477000.000000,415161151000.000000
12M 2015,246625414000.000000,1593761131000.000000,,-398296795000.000000,-87274472000.000000,23424315000.000000,,,-815754759000.000000,-69234006000.000000,246625414000.000000,-10022026000.000000,-10690161000.000000,,81070000.000000,,587065000.000000,-10022026000.000000,-156878293000.000000,-156878293000.000000,,-156878293000.000000,79725095000.000000,415161151000.000000,494886246000.000000
12M 2016,259851506000.000000,1688604416000.000000,,-399000321000.000000,-89767849000.000000,26607064000.000000,,,-881165110000.000000,-85426694000.000000,259851506000.000000,-37684000.000000,-10007511000.000000,,384546000.000000,9647382000.000000,-62101000.000000,-37684000.000000,-96034454000.000000,-96034454000.000000,,-96034454000.000000,163779368000.000000,494886246000.000000,658665614000.000000
12M 2017,342202126000.000000,1607508028000.000000,,-359433779000.000000,-83686289000.000000,32964756000.000000,8682148000.000000,19190108000.000000,-787304866000.000000,-95717980000.000000,342202126000.000000,-11675086000.000000,-11917667000.000000,,45601000.000000,,196980000.000000,-11675086000.000000,-143868508000.000000,-143868508000.000000,,-143868508000.000000,186658532000.000000,658665614000.000000,845324146000.000000
12M 2018,342493551000.000000,1699982607000.000000,,-429720529000.000000,-102695682000.000000,37315277000.000000,2556419000.000000,,-770604841000.000000,-94339700000.000000,342493551000.000000,-16808291000.000000,-16726754000.000000,,,,-81537000.000000,-16808291000.000000,-207667269000.000000,-207667269000.000000,,-207667269000.000000,118017991000.000000,845324146000.000000,963342137000.000000
