Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.62,32458.78,0.62,32458.78,,5 B,5 B,(285 B),401 B
12M 2009,1.68,36858.77,1.68,36858.77,,5 B,5 B,(381 B),483 B
12M 2010,3.33,36074.53,3.33,36074.53,8 B,,8 B,(241 B),477 B
12M 2011,3.22,34634.87,3.22,34634.87,3 B,,3 B,(244 B),482 B
12M 2012,6.96,36631.72,6.96,36631.72,1 B,,1 B,(290 B),511 B
12M 2013,9.12,41646.28,9.12,41646.28,1 B,,1 B,(433 B),589 B
12M 2014,8.25,47267.66,8.25,47267.66,3 B,,3 B,(412 B),663 B
12M 2015,4.92,1057.32,4.92,1057.32,1 B,,1 B,(493 B),762 B
12M 2016,3.97,1259.39,3.97,1259.39,1 B,,1 B,(658 B),910 B
12M 2017,3.22,1424.56,3.22,1424.56,3 B,,3 B,(843 B),"1,067 B"
12M 2018,3.44,1598.73,3.44,1598.73,3 B,,3 B,(961 B),"1,192 B"
12M 2019,4.50,1510.66,4.50,1510.66,1 B,,1 B,(844 B),"1,132 B"
12M 2020,3.47,1269.50,3.47,1269.50,1 B,,1 B,(697 B),957 B
12M 2021,187000.00,0.02,187000.00,0.02,0 B,,0 B,(812 B),"1,174 B"
12M 2022,3.07,1245.86,3.07,1245.86,1 B,,1 B,(747 B),910 B
12M 2023,3.04,1162.33,3.04,1162.33,1 B,,1 B,(611 B),844 B
12M 2024,2.03,1056.66,2.03,1056.66,1 B,,1 B,(562 B),752 B
