Period,Total Pendapatan,Penjualan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,673769675000.000000,1177061258000.000000,-503291583000.000000,673769675000.000000,-389438123000.000000,284331552000.000000,-184292769000.000000,-134382965000.000000,-49909804000.000000,,-184292769000.000000,100038783000.000000,17699306000.000000,13935588000.000000,,-326586000.000000,3403657000.000000,686647000.000000,17699306000.000000,117738089000.000000,-32122663000.000000,,,,-32122663000.000000,85615426000.000000,-1861068000.000000,83754358000.000000,,,83754358000.000000,85615426000.000000,-1861068000.000000,83754358000.000000,,,,
12M 2009,740680667000.000000,1264851082000.000000,-524170415000.000000,740680667000.000000,-401524361000.000000,339156306000.000000,-178527572000.000000,-136994535000.000000,-41533037000.000000,,-178527572000.000000,160628734000.000000,17375906000.000000,18039928000.000000,,50618000.000000,-3042290000.000000,2327650000.000000,17375906000.000000,178004640000.000000,-46246940000.000000,,,,-46246940000.000000,131757700000.000000,-5253638000.000000,126504062000.000000,,,126504062000.000000,131757700000.000000,-5253638000.000000,126504062000.000000,,,,
12M 2010,547816338000.000000,1205482258000.000000,-657665920000.000000,547816338000.000000,-188174567000.000000,359641771000.000000,-180587350000.000000,-135806144000.000000,-44781206000.000000,,-180587350000.000000,179054421000.000000,13918018000.000000,15066567000.000000,,338764000.000000,-653879000.000000,-833434000.000000,13918018000.000000,192972439000.000000,-46906134000.000000,,,,-46906134000.000000,146066305000.000000,-6499405000.000000,139566900000.000000,,,139566900000.000000,146066305000.000000,-6499405000.000000,139566900000.000000,,,,
12M 2011,564051178000.000000,1394152938000.000000,-830101760000.000000,564051178000.000000,-171149868000.000000,392901310000.000000,-200696380000.000000,-146677348000.000000,-44816524000.000000,-9202508000.000000,-200696380000.000000,192204930000.000000,12666240000.000000,10112429000.000000,,,,2553811000.000000,12666240000.000000,204871170000.000000,-53156128000.000000,,,,-53156128000.000000,151715042000.000000,,151715042000.000000,,151715042000.000000,151715042000.000000,145084912000.000000,6630130000.000000,151715042000.000000,151715042000.000000,145084912000.000000,6630130000.000000,151715042000.000000
12M 2012,719951793000.000000,1719814548000.000000,-999862755000.000000,719951793000.000000,-202564206000.000000,517387587000.000000,-239319253000.000000,-187303466000.000000,-47997113000.000000,-4018674000.000000,-239319253000.000000,278068334000.000000,9436736000.000000,9888518000.000000,,,,-451782000.000000,9436736000.000000,287505070000.000000,-74083993000.000000,,,,-74083993000.000000,213421077000.000000,,213421077000.000000,,213421077000.000000,213421077000.000000,208120871000.000000,5300206000.000000,213421077000.000000,213421077000.000000,208120871000.000000,5300206000.000000,213421077000.000000
12M 2013,867066542000.000000,2001358536000.000000,-1134291994000.000000,867066542000.000000,-261802094000.000000,605264448000.000000,-268859569000.000000,-211927899000.000000,-56931670000.000000,,-268859569000.000000,336404879000.000000,21991109000.000000,15740296000.000000,,,,6250813000.000000,21991109000.000000,358395988000.000000,-87897926000.000000,,,,-87897926000.000000,270498062000.000000,,270498062000.000000,,270498062000.000000,270498062000.000000,264450662000.000000,6047400000.000000,270498062000.000000,270498062000.000000,264450662000.000000,6047400000.000000,270498062000.000000
12M 2014,879253383000.000000,2111639244000.000000,-1232385861000.000000,879253383000.000000,-261747135000.000000,617506248000.000000,-260420091000.000000,-200232342000.000000,-60187749000.000000,,-260420091000.000000,357086157000.000000,22432655000.000000,23959366000.000000,,,,-1526711000.000000,22432655000.000000,379518812000.000000,-91445380000.000000,,,,-91445380000.000000,288073432000.000000,,288073432000.000000,,288073432000.000000,288073432000.000000,282174327000.000000,5899105000.000000,288073432000.000000,288073432000.000000,282174327000.000000,5899105000.000000,288073432000.000000
12M 2015,699506819000.000000,1573137749000.000000,-873630930000.000000,699506819000.000000,-233153268000.000000,466353551000.000000,-240095652000.000000,-170611590000.000000,-69484062000.000000,,-240095652000.000000,226257899000.000000,23939843000.000000,23318088000.000000,,,,621755000.000000,23939843000.000000,250197742000.000000,-58152543000.000000,,,,-58152543000.000000,192045199000.000000,,192045199000.000000,-740736000.000000,191304463000.000000,192045199000.000000,190478484000.000000,1566715000.000000,192045199000.000000,191304463000.000000,189822018000.000000,1482445000.000000,191304463000.000000
12M 2016,774968268000.000000,1658618899000.000000,-883650631000.000000,774968268000.000000,-234086288000.000000,540881980000.000000,-246863906000.000000,-158879740000.000000,-87984166000.000000,,-246863906000.000000,294018074000.000000,33029580000.000000,26951905000.000000,,,,6077675000.000000,33029580000.000000,327047654000.000000,-72538386000.000000,,,,-72538386000.000000,254509268000.000000,,254509268000.000000,4322345000.000000,258831613000.000000,254509268000.000000,253725436000.000000,783832000.000000,254509268000.000000,258831613000.000000,257864722000.000000,966891000.000000,258831613000.000000
12M 2017,777308328000.000000,777308328000.000000,,777308328000.000000,-203036967000.000000,574271361000.000000,-242666945000.000000,-157245312000.000000,-85421633000.000000,,-242666945000.000000,331604416000.000000,37408437000.000000,32823821000.000000,,,,4584616000.000000,37408437000.000000,369012853000.000000,-89240218000.000000,,,,-89240218000.000000,279772635000.000000,,279772635000.000000,-3382621000.000000,276390014000.000000,279772635000.000000,279745292000.000000,27343000.000000,279772635000.000000,276390014000.000000,276362671000.000000,27343000.000000,276390014000.000000
