Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kas Untuk Gaji Dan Tunjangan Kepada Karyawan,Pembayaran Kas Beban Operasi,Pembayaran Kas Beban Imbalan Kerja,Penerimaan (Pembayaran) Lain-Lain,Adjustment,Penerimaan Bunga,Pembayaran Pajak Penghasilan,Pembayaran Beban Keuangan,Pembayaran Bunga Atas Liabilitas Sewa,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Penjualan Aset Tetap,Perolehan Aset Tetap,Investasi Jangka Pendek Deposito,Penempatan Investasi Jangka Pendek,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Disetor Dari Penawaran Umum Perdana,Tambahan Modal Disetor Dari Waran,Penambahan Modal Disetor,Utang Bank,Penerimaan,Pembayaran,Total Utang Bank,Penurunan Piutang Lain-Lain Pihak Berelasi,Penurunan Utang Lain-Lain Pihak Berelasi,Penurunan Utang Bank Jangka Pendek,Penerimaan Pinjaman Pihak Ketiga,Penerimaan Pinjaman Pihak Berelasi,Pembayaran Pinjaman Pihak Berelasi,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Pokok Liabilitas Sewa,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan/(Penurunan) Neto Kas Dan Setara Kas,Dampak Akuisisi Atas Entitas Anak,Kas Dan Setara Kas Awal Tahun,Kas Dan Setara Kas Akhir Tahun
12M 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2020,-756735058.000000,144039606823.000000,-21061127880.000000,-112958180336.000000,-4822987143.000000,-76025180.000000,588658765.000000,,9714724.000000,-3357369508.000000,-2997869801.000000,-121155522.000000,-756735058.000000,-898964751.000000,,-898964751.000000,,,,-898964751.000000,1037288626.000000,,,200000000.000000,,1595288718.000000,-666666680.000000,928622038.000000,,,,,2410926434.000000,,-2272815368.000000,-228844478.000000,-600000.000000,1037288626.000000,-618411183.000000,,1661412273.000000,1043001090.000000
12M 2021,3091764958.000000,155648921209.000000,-15292422199.000000,-127786893048.000000,-3737055388.000000,,-1720346122.000000,,5431818.000000,-1324304946.000000,-2548713073.000000,-152853293.000000,3091764958.000000,-3097985315.000000,439500000.000000,-3537485315.000000,,,,-3097985315.000000,2897713026.000000,,,19100000000.000000,,6800000000.000000,-2149671441.000000,4650328559.000000,,-13122268557.000000,-3385866532.000000,,,,-3977333736.000000,-367146708.000000,,2897713026.000000,2891492669.000000,-530000000.000000,1043001090.000000,3404493759.000000
12M 2022,258862859.000000,160919810905.000000,-15616273425.000000,-136136269534.000000,-3913019600.000000,,-1815314923.000000,,4007288.000000,-547021430.000000,-2561520658.000000,-75535764.000000,258862859.000000,-3595030721.000000,313000000.000000,-3521164537.000000,,,-386866184.000000,-3595030721.000000,15791570595.000000,,,21700000000.000000,,,-2933333324.000000,-2933333324.000000,75670422.000000,-1796495278.000000,-19450716.000000,,,,-960356273.000000,-274464236.000000,,15791570595.000000,12455402733.000000,,3404493759.000000,15859896492.000000
12M 2023,-1885057012.000000,200109453212.000000,-20509219952.000000,-173208769567.000000,-4824825681.000000,,-1370036271.000000,,1445989921.000000,-1033250795.000000,-2428575040.000000,-65822839.000000,-1885057012.000000,-39934601232.000000,76300000.000000,-4955901232.000000,,-35000000000.000000,-55000000.000000,-39934601232.000000,65892519787.000000,57200000000.000000,878940.000000,10400097660.000000,,,-1433333331.000000,-1433333331.000000,,,1119291262.000000,,,,-1080237583.000000,-314177161.000000,,65892519787.000000,24072861543.000000,,15859896492.000000,39932758035.000000
12M 2024,15528174109.000000,214408812599.000000,-15250376005.000000,-174319105337.000000,-6246431058.000000,,200981158.000000,,1398651324.000000,-2998495343.000000,-1634578906.000000,-31284323.000000,15528174109.000000,-17487931884.000000,474000000.000000,-6461931884.000000,,-11500000000.000000,,-17487931884.000000,-2423493546.000000,,36781560.000000,4086840.000000,,,-694444451.000000,-694444451.000000,,,-30285375.000000,,,,-1370916443.000000,-368715677.000000,,-2423493546.000000,-4383251321.000000,,39932758035.000000,35549506714.000000
