Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Pendapatan Pengelolaan Dana Sebagai Mudharib,Pembayaran Bagi Hasil Dana Syirkah Temporer,Penerimaan Pendapatan Usaha Lainnya,Pembayaran Beban Usaha Lainnya,Penerimaan Kembali Kredit Yang Dihapusbukukan,Penerimaan (Pembayaran) Pendapatan (Beban) Non Usaha - Bersih,Penerimaan Pendapatan Non-Usaha,Pembayaran Beban Non-Usaha,Total Penerimaan (Pembayaran) Pendapatan (Beban) Non Usaha - Bersih,Penggunaan Dana Kebajikan,Pembayaran Beban Zakat,Pembayaran Beban Pajak,Penurunan (Kenaikan) Aset Operasi,Investasi Pada Sukuk,Sertifikat Bank Indonesia Syariah,Penempatan Efek,Pembiayaan,Piutang Murabahah,Piutang Ijarah,Pinjaman Qardh,Aset Ijarah,Pembiayaan Mudharabah Dan Musyarakah,Pembiayaan Mudharabah,Pembiayaan Musyarakah,Total Pembiayaan Mudharabah Dan Musyarakah,Perolehan Aset Ijarah Muntahiyah Bittamlik,Kredit,Aset Lain-Lain,Adjustment,Total Penurunan (Kenaikan) Aset Operasi,Kenaikan (Penurunan) Liabilitas Operasi,Liabilitas Segera,Simpanan,Kewajiban Pada Bank Indonesia,Liabilitas Sewa,Liabilitas Lain-Lain,Total Kenaikan (Penurunan) Liabilitas Operasi,Kenaikan Dana Syirkah Temporer,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Pencairan Investasi Pada Sukuk Yang Diukur Pada Biaya Perolehan,Perolehan Aset Tak Berwujud,Penambahan Aset Hak Guna,Perolehan Perangkat Lunak,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan Investasi Tidak Terikat,Uang Muka Setoran Modal,Penambahan Modal Disetor,Pembayaran Liabilitas Sewa,Penerimaan Dari Penerbitan Modal Saham,Pelaksanaan Waran,Penyesuaian Akibat Penjabaran Laporan Keuangan,Biaya Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2012,634541188000.000000,147007328000.000000,-55040020000.000000,5759696000.000000,-37215452000.000000,,,39822233000.000000,-39664985000.000000,157248000.000000,-24997000.000000,,-4109830000.000000,,-60040000000.000000,,,,,,,,,-250547676000.000000,-183093599000.000000,-433641275000.000000,,,-1855617000.000000,,-495536892000.000000,,-199633000.000000,167573820000.000000,,,2426143000.000000,169800330000.000000,903743777000.000000,634541188000.000000,53150609000.000000,750000000.000000,55189621000.000000,,,,-2789012000.000000,53150609000.000000,,,,,,,,,,,302108501000.000000,146382273000.000000,448490774000.000000
12M 2013,1306111907000.000000,268998137000.000000,-136323340000.000000,10262774000.000000,-73715350000.000000,,,68746516000.000000,-68659588000.000000,86928000.000000,,,-17421814000.000000,,800443000.000000,,,,,,,,,-143292633000.000000,-465378702000.000000,-608671335000.000000,,,-6958274000.000000,,-614829166000.000000,,173237000.000000,183415541000.000000,,,944994000.000000,184533772000.000000,1684519966000.000000,1306111907000.000000,-6920555000.000000,160000000.000000,,,,,-7080555000.000000,-6920555000.000000,13000000000.000000,,,13000000000.000000,,,,,,13000000000.000000,835408302000.000000,447741524000.000000,1283149826000.000000
12M 2014,-1119739304000.000000,511374346000.000000,-292123292000.000000,33498358000.000000,-116808713000.000000,,,146303953000.000000,-145663004000.000000,640949000.000000,,,-16185996000.000000,,-14066782000.000000,,,,,,-11970000000.000000,,,-199386218000.000000,-2593037712000.000000,-2792423930000.000000,,,-8623129000.000000,,-2827083841000.000000,,2054768000.000000,462941212000.000000,,,2911828000.000000,467907808000.000000,1119041077000.000000,-1119739304000.000000,-4527793000.000000,,,,,,-4527793000.000000,-4527793000.000000,475860771000.000000,,,475000000000.000000,,,7473410000.000000,,-6612639000.000000,475860771000.000000,-41197246000.000000,1283149826000.000000,1241952580000.000000
12M 2015,-258632027000.000000,707550788000.000000,-424447941000.000000,23354546000.000000,-184727561000.000000,,,1784837000.000000,-2406149000.000000,-621312000.000000,,-2454654000.000000,-30544086000.000000,,,,-181084091000.000000,,,,10929000000.000000,,,-175610852000.000000,-845441703000.000000,-1021052555000.000000,,,-7624680000.000000,,-1198832326000.000000,,77125000.000000,-42194642000.000000,,,-51109000.000000,-42168626000.000000,894259145000.000000,-258632027000.000000,-7993466000.000000,,,,,,-7993466000.000000,-7993466000.000000,5278119000.000000,,,,,,5278119000.000000,,,5278119000.000000,-178315591000.000000,1241952580000.000000,1063636989000.000000
12M 2016,252320042000.000000,680052028000.000000,-400093253000.000000,23528106000.000000,-221711746000.000000,,,1088583000.000000,-193983000.000000,894600000.000000,,-1932632000.000000,-9516543000.000000,,,-350000000000.000000,-725756971000.000000,,,,677300000.000000,,,428515880000.000000,-637977581000.000000,-209461701000.000000,,,-127513249000.000000,,-1412054621000.000000,,215785000.000000,177648748000.000000,,,1795484000.000000,179660017000.000000,1413494086000.000000,252320042000.000000,-30213234000.000000,230500000.000000,,,,,-30443734000.000000,-30213234000.000000,5148925000.000000,,,,,,5148925000.000000,,,5148925000.000000,-288355316000.000000,1063636989000.000000,775281673000.000000
12M 2017,229594847000.000000,785905462000.000000,-481279712000.000000,21340445000.000000,-321802156000.000000,,,405728000.000000,-986209000.000000,-580481000.000000,,-711570000.000000,-3809222000.000000,,,175000000000.000000,37240118000.000000,,,,363700000.000000,,,47796099000.000000,-795784002000.000000,-747987903000.000000,,,-9946795000.000000,,-545330880000.000000,,-728271000.000000,-396534437000.000000,,,22957479000.000000,-374305229000.000000,1150168190000.000000,229594847000.000000,-8704857000.000000,528109000.000000,,,,,-9232966000.000000,-8704857000.000000,30339083000.000000,,,,,,30339083000.000000,,,30339083000.000000,279972007000.000000,775281673000.000000,1055253680000.000000
12M 2018,-1876229551000.000000,610702342000.000000,-389397755000.000000,32016941000.000000,-256992185000.000000,,,228242000.000000,-491645000.000000,-263403000.000000,,,-11292000.000000,,,-105000000000.000000,202612978000.000000,,,,,,,-105448622000.000000,-593756358000.000000,-699204980000.000000,,,-27670749000.000000,,-629262751000.000000,,14317506000.000000,187451943000.000000,,,8179142000.000000,209948591000.000000,-1452970039000.000000,-1876229551000.000000,-85524000.000000,1380000000.000000,,,,-206735000.000000,-1258789000.000000,-85524000.000000,1372992453000.000000,,,,,1372992453000.000000,,,,1372992453000.000000,16847844000.000000,1055253680000.000000,1072101524000.000000
12M 2019,-65814291000.000000,661897888000.000000,-516215960000.000000,77069920000.000000,-189647833000.000000,,,8262326000.000000,-655136000.000000,7607190000.000000,,-535310000.000000,-12463990000.000000,,,-90000000000.000000,227926492000.000000,,,,,,,-148862471000.000000,-2099565224000.000000,-2248427695000.000000,-64421417000.000000,,-246379594000.000000,,-2421302214000.000000,,2455819000.000000,-256287938000.000000,,,-27861459000.000000,-281693578000.000000,2609469596000.000000,-65814291000.000000,-1377605000.000000,,,,,-89151000.000000,-1288454000.000000,-1377605000.000000,,,,,,,,,,,79269813000.000000,1072101524000.000000,1151371337000.000000
12M 2020,-1690238400000.000000,705165930000.000000,-575439022000.000000,93597479000.000000,-197074276000.000000,,,1091448000.000000,-1896042000.000000,-804594000.000000,,-583635000.000000,-8682119000.000000,,,215946000000.000000,-117949687000.000000,,,-1693225000.000000,,,,22725726000.000000,-283821682000.000000,-261095956000.000000,-347326696000.000000,,64829574000.000000,,-447289990000.000000,,-15992675000.000000,32628259000.000000,,-3671362000.000000,-31264000.000000,12932958000.000000,-1272061131000.000000,-1690238400000.000000,-938765000.000000,,,,-25800000.000000,-52799000.000000,-860166000.000000,-938765000.000000,1481422052000.000000,,,,,1481422052000.000000,,,,1481422052000.000000,-127765205000.000000,1151371337000.000000,1023606132000.000000
12M 2021,590209007000.000000,708265588000.000000,-346926346000.000000,55980204000.000000,-189986158000.000000,,,991051000.000000,-351251000.000000,639800000.000000,,-168450000.000000,-698359000.000000,,,154054000000.000000,-3085658505000.000000,,,-4545751000.000000,,-104351968000.000000,,44297416000.000000,-647260918000.000000,-602963502000.000000,,,66108747000.000000,,-3577356979000.000000,,-405714000.000000,136043605000.000000,,-6416052000.000000,-127689000.000000,129094150000.000000,3811365557000.000000,590209007000.000000,-1983212000.000000,2725007000.000000,,-115291000.000000,-3366534000.000000,,-1226394000.000000,-1983212000.000000,,,,,,,,,,,685431595000.000000,1023606132000.000000,1709037727000.000000
