Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2011,,,,,,,,,,,,,,,0.0
12M 2012,,,,,,,,,5.95,,0.09,,,,0.0
12M 2013,,,,,,,,,10.28,19.2,0.09,0.14,,,0.0
12M 2014,,,,,,,,,18.04,17.78,0.1,0.09,,,0.0
12M 2015,,,,,,,,,16.93,13.8,0.11,0.1,,,0.0
12M 2016,,,,,,,,,10.03,8.82,0.09,0.08,,,0.0
12M 2017,,,,,,,,,8.85,8.78,0.09,0.09,,,0.0
12M 2018,,,,,,,,,6.5,6.68,0.07,0.07,,,0.0
12M 2019,,,,,,,,,7.08,7.17,0.07,0.06,,,0.0
12M 2020,,,,,,,,,4.81,3.58,0.06,0.07,,,0.0
12M 2021,,,,,,,,,3.71,3.76,0.06,0.05,,,0.0
12M 2022,,,,,,,,,4.85,4.91,0.06,0.06,,,0.0
12M 2023,,,,,,,,,5.61,5.68,0.07,0.07,,,0.0
12M 2024,,,,,,,,,5.61,5.65,0.07,0.07,,,0.0
