Period,Aset,Kas Dan Setara Kas,Aset Tetap,Others,Total Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Others,Total Aset Tak Berwujud,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Liabilitas Pajak Tangguhan,Utang Pajak,Beban Akrual,Dana Syirkah Temporer,Others,Total Dana Syirkah Temporer,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,2005426000.000000,24446281000.000000,,24446281000.000000,1297051000.000000,,,,,990932364000.000000,1018681122000.000000,,,868145000.000000,19924957000.000000,,19924957000.000000,19924957000.000000,,1058563000.000000,1064278000.000000,535832584000.000000,535832584000.000000,535832584000.000000,5368409000.000000,564116936000.000000,,449516750000.000000,2741419000.000000,2306017000.000000,,2306017000.000000,2306017000.000000,,454564186000.000000,1018681122000.000000,101015.000000
12M 2012,,2562029000.000000,24760941000.000000,,24760941000.000000,773770000.000000,1255385000.000000,,1255385000.000000,,2111129979000.000000,2140482104000.000000,,,668512000.000000,187498777000.000000,319233000.000000,187179544000.000000,187498777000.000000,,9671623000.000000,2236704000.000000,1439576361000.000000,1439576361000.000000,1439576361000.000000,9167145000.000000,1648819122000.000000,,449516750000.000000,2741419000.000000,39404813000.000000,,39404813000.000000,39404813000.000000,,491662982000.000000,2140482104000.000000,101015.000000
12M 2013,,4853312000.000000,28526460000.000000,,28526460000.000000,3209772000.000000,2309160000.000000,,2309160000.000000,,4013801988000.000000,4052700692000.000000,,,841749000.000000,370914318000.000000,559816000.000000,370354502000.000000,370914318000.000000,,5778157000.000000,3181699000.000000,3124096327000.000000,3124096327000.000000,3124096327000.000000,21893434000.000000,3526705684000.000000,,500000000000.000000,,25995008000.000000,666334000.000000,25328674000.000000,25995008000.000000,,525995008000.000000,4052700692000.000000,5000000000.000000
12M 2014,,9707868000.000000,29860367000.000000,,29860367000.000000,2544577000.000000,1666861000.000000,,1666861000.000000,,6163898779000.000000,6207678452000.000000,,,2896517000.000000,833855530000.000000,786486000.000000,833069044000.000000,833855530000.000000,,16631795000.000000,8548181000.000000,4243137404000.000000,4243137404000.000000,4243137404000.000000,29814351000.000000,5134883778000.000000,,982473410000.000000,-6612639000.000000,96933903000.000000,666334000.000000,96267569000.000000,96933903000.000000,,1072794674000.000000,6207678452000.000000,9824734100.000000
12M 2015,,17483956000.000000,54139432000.000000,,54139432000.000000,3470430000.000000,2829253000.000000,,2829253000.000000,,7056311904000.000000,7134234975000.000000,,,2973642000.000000,791660888000.000000,11356631000.000000,780304257000.000000,791660888000.000000,,10008613000.000000,8497072000.000000,5137396549000.000000,5137396549000.000000,5137396549000.000000,28207609000.000000,5978744373000.000000,,987271700000.000000,-6132810000.000000,150456446000.000000,15666334000.000000,134790112000.000000,150456446000.000000,23895266000.000000,1155490602000.000000,7134234975000.000000,9872717000.000000
12M 2016,,17461615000.000000,84132090000.000000,,84132090000.000000,1725039000.000000,2918340000.000000,,2918340000.000000,,8651726519000.000000,8757963603000.000000,,,3189427000.000000,969309636000.000000,7711303000.000000,961598333000.000000,969309636000.000000,,7141983000.000000,9071494000.000000,6550890635000.000000,6550890635000.000000,6550890635000.000000,30419709000.000000,7570022884000.000000,,991952541000.000000,-5664726000.000000,169997360000.000000,26382010000.000000,143615350000.000000,169997360000.000000,31655544000.000000,1187940719000.000000,8757963603000.000000,9919525410.000000
12M 2017,,22183260000.000000,95224581000.000000,,95224581000.000000,6990820000.000000,36327172000.000000,,36327172000.000000,,8468549214000.000000,8629275047000.000000,,,2461156000.000000,572775199000.000000,3748165000.000000,569027034000.000000,572775199000.000000,,8367878000.000000,31317403000.000000,7701058825000.000000,7701058825000.000000,7701058825000.000000,39098221000.000000,8355078682000.000000,,1019533526000.000000,-1890212000.000000,-798853937000.000000,26382010000.000000,-825235947000.000000,-798853937000.000000,55406988000.000000,274196365000.000000,8629275047000.000000,10195335256.000000
12M 2018,,19058916000.000000,89050545000.000000,,89050545000.000000,6465911000.000000,11443965000.000000,,11443965000.000000,,8645038458000.000000,8771057795000.000000,,,16778662000.000000,760227142000.000000,4235355000.000000,755991787000.000000,760227142000.000000,,7206842000.000000,39496546000.000000,6248088786000.000000,6248088786000.000000,6248088786000.000000,30793702000.000000,7102591680000.000000,,2395903785000.000000,-5268018000.000000,-778065708000.000000,26382010000.000000,-804447718000.000000,-778065708000.000000,55896056000.000000,1668466115000.000000,8771057795000.000000,23959037851.000000
12M 2019,,18762684000.000000,98158654000.000000,,98158654000.000000,6575965000.000000,6650332000.000000,,6650332000.000000,,11005677210000.000000,11135824845000.000000,,,19234481000.000000,503939203000.000000,3055736000.000000,500883467000.000000,503939203000.000000,,13521742000.000000,11099779000.000000,8857558382000.000000,8857558382000.000000,8857558382000.000000,35905739000.000000,9441259326000.000000,,2395903785000.000000,-5268018000.000000,-764828697000.000000,26382010000.000000,-791210707000.000000,-764828697000.000000,68758449000.000000,1694565519000.000000,11135824845000.000000,23959037851.000000
12M 2020,,18198389000.000000,198947537000.000000,,198947537000.000000,5517217000.000000,2881933000.000000,,2881933000.000000,,11076537117000.000000,11302082193000.000000,,,3241806000.000000,536567462000.000000,6517368000.000000,530050094000.000000,536567462000.000000,,8297519000.000000,11068515000.000000,7585497251000.000000,7585497251000.000000,7585497251000.000000,41756208000.000000,8186428761000.000000,,3881364132000.000000,-9306313000.000000,-764700581000.000000,26382010000.000000,-791082591000.000000,-764700581000.000000,8296194000.000000,3115653432000.000000,11302082193000.000000,38813641319.000000
12M 2021,,16619892000.000000,194096150000.000000,,194096150000.000000,2741092000.000000,470365000.000000,,470365000.000000,,14212077380000.000000,14426004879000.000000,,,2836092000.000000,672611067000.000000,3021807000.000000,669589260000.000000,672611067000.000000,,3381910000.000000,16115019000.000000,11396862808000.000000,11396862808000.000000,11396862808000.000000,32253146000.000000,12124060042000.000000,,3881364132000.000000,-9306313000.000000,-1581850639000.000000,26382010000.000000,-1608232649000.000000,-1581850639000.000000,11737657000.000000,2301944837000.000000,14426004879000.000000,38813641319.000000
