Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,635 B,(3 B),632 B,6254043.22
12M 2013,"1,306 B",(7 B),"1,299 B",259.81
12M 2014,"(1,120 B)",(5 B),"(1,124 B)",-114.43
12M 2015,(259 B),(8 B),(267 B),-27.01
12M 2016,252 B,(30 B),222 B,22.37
12M 2017,230 B,(9 B),220 B,21.61
12M 2018,"(1,876 B)",(1 B),"(1,878 B)",-78.37
12M 2019,(66 B),(66 B),(132 B),-5.49
12M 2020,"(1,690 B)",(348 B),"(2,038 B)",-52.52
12M 2021,590 B,(1 B),589 B,15.17
12M 2022,(431 B),(1 B),(432 B),-11.13
12M 2023,942 B,(3 B),939 B,24.19
12M 2024,(832 B),(11 B),(843 B),-21.71
