Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Jasa Administrasi,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,146346178000.000000,146346178000.000000,146346178000.000000,-57585039000.000000,-57585039000.000000,-57585039000.000000,88761139000.000000,-39322159000.000000,,5437084000.000000,322612000.000000,5759696000.000000,,-16093620000.000000,-19906828000.000000,-9081407000.000000,-45081855000.000000,-39322159000.000000,49438980000.000000,133001000.000000,,133001000.000000,49571981000.000000,-12473185000.000000,-11949904000.000000,-523281000.000000,-12473185000.000000,37098796000.000000,,,,37098796000.000000,37098796000.000000,37098796000.000000,,37098796000.000000,37098796000.000000,37098796000.000000,,37098796000.000000
12M 2013,273812379000.000000,273812379000.000000,273812379000.000000,-146009000000.000000,-146009000000.000000,-146009000000.000000,127803379000.000000,-98728807000.000000,,9458885000.000000,487889000.000000,9946774000.000000,,-25118408000.000000,-35374636000.000000,-48182537000.000000,-108675581000.000000,-98728807000.000000,29074572000.000000,86928000.000000,,86928000.000000,29161500000.000000,-7829474000.000000,-10265476000.000000,2436002000.000000,-7829474000.000000,21332026000.000000,,,,21332026000.000000,21332026000.000000,21332026000.000000,,21332026000.000000,21332026000.000000,21332026000.000000,,21332026000.000000
12M 2014,526519793000.000000,526519793000.000000,526519793000.000000,-295597379000.000000,-295597379000.000000,-295597379000.000000,230922414000.000000,-133412644000.000000,,32508914000.000000,760009000.000000,33268923000.000000,,-38317873000.000000,-54735807000.000000,-73627887000.000000,-166681567000.000000,-133412644000.000000,97509770000.000000,676399000.000000,,676399000.000000,95731515000.000000,-24792620000.000000,-24127425000.000000,-665195000.000000,-24792620000.000000,70938895000.000000,,,,70938895000.000000,70938895000.000000,70938895000.000000,,70938895000.000000,70938895000.000000,70938895000.000000,,70938895000.000000
12M 2015,711205543000.000000,711205543000.000000,711205543000.000000,-421248712000.000000,-421248712000.000000,-421248712000.000000,289956831000.000000,-212030221000.000000,,22443549000.000000,587109000.000000,23030658000.000000,,-59354351000.000000,-76656350000.000000,-99050178000.000000,-235060879000.000000,-212030221000.000000,77926610000.000000,-621312000.000000,,-621312000.000000,75372666000.000000,-21794285000.000000,-21794285000.000000,,-21794285000.000000,53578381000.000000,20317082000.000000,20317082000.000000,20317082000.000000,74474438000.000000,53578381000.000000,53578381000.000000,,53578381000.000000,74474438000.000000,74474438000.000000,,74474438000.000000
12M 2016,693132212000.000000,693132212000.000000,693132212000.000000,-397856325000.000000,-397856325000.000000,-397856325000.000000,295275887000.000000,-267780860000.000000,,22808483000.000000,719623000.000000,23528106000.000000,,-71497098000.000000,-92253397000.000000,-127558471000.000000,-291308966000.000000,-267780860000.000000,27495027000.000000,967768000.000000,,967768000.000000,27751225000.000000,-8210311000.000000,-8210311000.000000,,-8210311000.000000,19540914000.000000,7760278000.000000,7760278000.000000,7760278000.000000,26468941000.000000,19540914000.000000,19540914000.000000,,19540914000.000000,26468941000.000000,26468941000.000000,,26468941000.000000
12M 2017,793406860000.000000,793406860000.000000,793406860000.000000,-480604374000.000000,-480604374000.000000,-480604374000.000000,312802486000.000000,-1274924362000.000000,,20551875000.000000,788570000.000000,21340445000.000000,,-92505056000.000000,-131487855000.000000,-1072271896000.000000,-1296264807000.000000,-1274924362000.000000,-962121876000.000000,-12680836000.000000,,-12680836000.000000,-974802712000.000000,5951415000.000000,5951415000.000000,,5951415000.000000,-968851297000.000000,23751444000.000000,23751444000.000000,23751444000.000000,-945099853000.000000,-968851297000.000000,-968851297000.000000,,-968851297000.000000,-945099853000.000000,-945099853000.000000,,-945099853000.000000
12M 2018,598862358000.000000,598862358000.000000,598862358000.000000,-393316662000.000000,-393316662000.000000,-393316662000.000000,205545696000.000000,-201462817000.000000,,16639509000.000000,58239775000.000000,74879284000.000000,,-94037743000.000000,-101872152000.000000,-80432206000.000000,-276342101000.000000,-201462817000.000000,4082879000.000000,17329508000.000000,,17329508000.000000,21412387000.000000,-624158000.000000,-624158000.000000,,-624158000.000000,20788229000.000000,489068000.000000,489068000.000000,489068000.000000,21277297000.000000,20788229000.000000,20788229000.000000,,20788229000.000000,21277297000.000000,21277297000.000000,,21277297000.000000
12M 2019,662560004000.000000,662560004000.000000,662560004000.000000,-522517916000.000000,-522517916000.000000,-522517916000.000000,140042088000.000000,-121491582000.000000,,35813432000.000000,41256488000.000000,77069920000.000000,,-77352229000.000000,-94411525000.000000,-26797748000.000000,-198561502000.000000,-121491582000.000000,18550506000.000000,4794927000.000000,,4794927000.000000,22226488000.000000,-8989477000.000000,-8989477000.000000,,-8989477000.000000,13237011000.000000,12862393000.000000,12862393000.000000,12862393000.000000,26099404000.000000,13237011000.000000,13237011000.000000,,13237011000.000000,26099404000.000000,26099404000.000000,,26099404000.000000
12M 2020,715082040000.000000,715082040000.000000,715082040000.000000,-591221428000.000000,-591221428000.000000,-591221428000.000000,123860612000.000000,-118552577000.000000,,24963409000.000000,68634070000.000000,93597479000.000000,,-88012806000.000000,-93542797000.000000,-30594453000.000000,-212150056000.000000,-118552577000.000000,5308035000.000000,1429973000.000000,,1429973000.000000,6569558000.000000,-6441442000.000000,-6441442000.000000,,-6441442000.000000,128116000.000000,-1817797000.000000,-1817797000.000000,-1817797000.000000,-1689681000.000000,128116000.000000,128116000.000000,,128116000.000000,-1689681000.000000,-1689681000.000000,,-1689681000.000000
12M 2021,729971176000.000000,729971176000.000000,729971176000.000000,-350787318000.000000,-350787318000.000000,-350787318000.000000,379183858000.000000,-1198130528000.000000,,32713535000.000000,23266669000.000000,55980204000.000000,,-87651208000.000000,-91365426000.000000,-1075094098000.000000,-1254110732000.000000,-1198130528000.000000,-818946670000.000000,622242000.000000,,622242000.000000,-818324428000.000000,212051000.000000,212051000.000000,,212051000.000000,-818112377000.000000,3441463000.000000,3441463000.000000,3441463000.000000,-814670914000.000000,-818112377000.000000,-818112377000.000000,,-818112377000.000000,-814670914000.000000,-814670914000.000000,,-814670914000.000000
