Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Aset Real Estat,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Usaha,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Real Estat,Persediaan,Properti Investasi,Properti Pertambangan,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Others,Total Utang Pajak,Utang Royalti,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Medium Term Notes,Utang Obligasi,Pinjaman Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Derivatif,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Obligasi,Surat Berharga Jangka Menengah,Pinjaman Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,460588000000.000000,423338000000.000000,423338000000.000000,423338000000.000000,23994000000.000000,23994000000.000000,,23994000000.000000,,3173453000000.000000,224533000000.000000,4305906000000.000000,,17251000000.000000,14345000000.000000,2906000000.000000,17251000000.000000,,,879597000000.000000,,283021000000.000000,30079000000.000000,,99577000000.000000,23194000000.000000,146378000000.000000,1479097000000.000000,5785003000000.000000,,,1640906000000.000000,365700000000.000000,,357028000000.000000,253000000.000000,357281000000.000000,274679000000.000000,,274679000000.000000,59287000000.000000,496264000000.000000,,,,,85400000000.000000,85400000000.000000,,2295000000.000000,1640906000000.000000,323250000000.000000,,,,,41699000000.000000,41699000000.000000,548000000.000000,,281003000000.000000,323250000000.000000,1964156000000.000000,,251651000000.000000,120792000000.000000,3413700000000.000000,2071342000000.000000,1342358000000.000000,3413700000000.000000,266000000.000000,34438000000.000000,3820847000000.000000,5785003000000.000000,5033020000.000000
12M 2009,,,501949000000.000000,470402000000.000000,470402000000.000000,470402000000.000000,80623000000.000000,80623000000.000000,,80623000000.000000,,1909219000000.000000,282282000000.000000,3244475000000.000000,,22447000000.000000,21603000000.000000,844000000.000000,22447000000.000000,,,1269801000000.000000,,,30079000000.000000,,120129000000.000000,33492000000.000000,135289000000.000000,1611237000000.000000,4855712000000.000000,,,1103074000000.000000,364318000000.000000,,346159000000.000000,5041000000.000000,351200000000.000000,65607000000.000000,,65607000000.000000,16185000000.000000,226083000000.000000,,,,,75601000000.000000,75601000000.000000,,4080000000.000000,1103074000000.000000,322287000000.000000,,,,,45052000000.000000,45052000000.000000,1811000000.000000,,275424000000.000000,322287000000.000000,1425361000000.000000,,251651000000.000000,120792000000.000000,3042848000000.000000,2729097000000.000000,313751000000.000000,3042848000000.000000,287000000.000000,14773000000.000000,3430351000000.000000,4855712000000.000000,5033020000.000000
12M 2010,,,844218000000.000000,865844000000.000000,865844000000.000000,865844000000.000000,75240000000.000000,75240000000.000000,,75240000000.000000,,1802707000000.000000,520881000000.000000,4108890000000.000000,,3401000000.000000,2729000000.000000,672000000.000000,3401000000.000000,,134184000000.000000,1361918000000.000000,,,30079000000.000000,,124253000000.000000,50758000000.000000,67625000000.000000,1772218000000.000000,5881108000000.000000,,,1269482000000.000000,431748000000.000000,,216168000000.000000,4566000000.000000,220734000000.000000,95613000000.000000,,95613000000.000000,14060000000.000000,430677000000.000000,,,,,68867000000.000000,68867000000.000000,,7783000000.000000,1269482000000.000000,408551000000.000000,,,,,131058000000.000000,131058000000.000000,2548000000.000000,,274945000000.000000,408551000000.000000,1678033000000.000000,,251651000000.000000,120792000000.000000,3821358000000.000000,2873422000000.000000,947936000000.000000,3821358000000.000000,309000000.000000,8965000000.000000,4203075000000.000000,5881108000000.000000,5033020000.000000
12M 2011,,,659584000000.000000,505326000000.000000,505326000000.000000,505326000000.000000,77568000000.000000,30854000000.000000,46714000000.000000,77568000000.000000,,2447376000000.000000,941564000000.000000,4631418000000.000000,,1386000000.000000,504000000.000000,882000000.000000,1386000000.000000,,127440000000.000000,1515559000000.000000,,,30079000000.000000,,141194000000.000000,50134000000.000000,72597000000.000000,1938389000000.000000,6569807000000.000000,,,1421976000000.000000,643675000000.000000,,300341000000.000000,2017000000.000000,302358000000.000000,69304000000.000000,,69304000000.000000,19778000000.000000,342079000000.000000,,,,,35067000000.000000,35067000000.000000,,9715000000.000000,1421976000000.000000,550036000000.000000,,,,,255906000000.000000,255906000000.000000,3361000000.000000,,290769000000.000000,550036000000.000000,1972012000000.000000,,251651000000.000000,120792000000.000000,4215732000000.000000,3318952000000.000000,896780000000.000000,4215732000000.000000,335000000.000000,9285000000.000000,4597795000000.000000,6569807000000.000000,5033020000.000000
12M 2012,,,670411000000.000000,470560000000.000000,470560000000.000000,470560000000.000000,27617000000.000000,27617000000.000000,,27617000000.000000,,1617389000000.000000,1143687000000.000000,3929664000000.000000,,52167000000.000000,4418000000.000000,47749000000.000000,52167000000.000000,,100298000000.000000,1722798000000.000000,,,71676000000.000000,,122763000000.000000,46833000000.000000,54808000000.000000,2171343000000.000000,6101007000000.000000,,,959806000000.000000,263605000000.000000,,305662000000.000000,2140000000.000000,307802000000.000000,24468000000.000000,,24468000000.000000,17002000000.000000,299901000000.000000,,,,,35067000000.000000,35067000000.000000,,11961000000.000000,959806000000.000000,583001000000.000000,,,,,277570000000.000000,277570000000.000000,1069000000.000000,,304362000000.000000,583001000000.000000,1542807000000.000000,,251651000000.000000,120792000000.000000,4172013000000.000000,3740439000000.000000,431574000000.000000,4172013000000.000000,349000000.000000,13395000000.000000,4558200000000.000000,6101007000000.000000,5033020000.000000
12M 2013,,,613698000000.000000,1055178000000.000000,1055178000000.000000,1055178000000.000000,21673000000.000000,21673000000.000000,,21673000000.000000,,2461256000000.000000,1208859000000.000000,5360664000000.000000,,90524000000.000000,18877000000.000000,71647000000.000000,90524000000.000000,,131975000000.000000,1888603000000.000000,,,71676000000.000000,167386000000.000000,,118908000000.000000,53558000000.000000,2522630000000.000000,7883294000000.000000,,,2439590000000.000000,404453000000.000000,,1080000000.000000,1354762000000.000000,1355842000000.000000,157742000000.000000,,157742000000.000000,3185000000.000000,417908000000.000000,,,,,38003000000.000000,38003000000.000000,,62457000000.000000,2439590000000.000000,551594000000.000000,,,,,226106000000.000000,226106000000.000000,396000000.000000,,325092000000.000000,551594000000.000000,2991184000000.000000,,251651000000.000000,120792000000.000000,4471302000000.000000,3956226000000.000000,515076000000.000000,4471302000000.000000,112000000.000000,48253000000.000000,4892110000000.000000,7883294000000.000000,5033020000.000000
12M 2014,,,346495000000.000000,1453352000000.000000,1453352000000.000000,1453352000000.000000,20445000000.000000,13365000000.000000,7080000000.000000,20445000000.000000,,3384026000000.000000,1347858000000.000000,6552176000000.000000,,103078000000.000000,15888000000.000000,87190000000.000000,103078000000.000000,,173236000000.000000,2017066000000.000000,,,638593000000.000000,176127000000.000000,,38423000000.000000,53778000000.000000,3200301000000.000000,9752477000000.000000,,,3512730000000.000000,851098000000.000000,,,2334218000000.000000,2334218000000.000000,53226000000.000000,,53226000000.000000,,184551000000.000000,,,,,13882000000.000000,13882000000.000000,,75755000000.000000,3512730000000.000000,631505000000.000000,,,,,276141000000.000000,276141000000.000000,,,355364000000.000000,631505000000.000000,4144235000000.000000,,372388000000.000000,55000000.000000,5186704000000.000000,4188010000000.000000,998694000000.000000,5186704000000.000000,98000000.000000,48997000000.000000,5608242000000.000000,9752477000000.000000,7447753454.000000
12M 2015,,,497472000000.000000,445077000000.000000,445077000000.000000,445077000000.000000,38386000000.000000,20538000000.000000,17848000000.000000,38386000000.000000,,3102423000000.000000,1360841000000.000000,5444199000000.000000,,83725000000.000000,1887000000.000000,81838000000.000000,83725000000.000000,,120534000000.000000,2224368000000.000000,,,821951000000.000000,355000000000.000000,,93755000000.000000,136151000000.000000,3835484000000.000000,9279683000000.000000,,,2998953000000.000000,583201000000.000000,,,2114539000000.000000,2114539000000.000000,50372000000.000000,,50372000000.000000,3729000000.000000,58401000000.000000,,,,,30511000000.000000,30511000000.000000,,158200000000.000000,2998953000000.000000,909662000000.000000,,,,,270076000000.000000,270076000000.000000,42929000000.000000,,596657000000.000000,909662000000.000000,3908615000000.000000,,372388000000.000000,55000000.000000,5170616000000.000000,4634588000000.000000,536028000000.000000,5170616000000.000000,76000000.000000,-172067000000.000000,5371068000000.000000,9279683000000.000000,7447753454.000000
12M 2016,,,563804000000.000000,821026000000.000000,821026000000.000000,821026000000.000000,61953000000.000000,17545000000.000000,44408000000.000000,61953000000.000000,,2309243000000.000000,1481881000000.000000,5237907000000.000000,,75432000000.000000,6445000000.000000,68987000000.000000,75432000000.000000,,125891000000.000000,2221103000000.000000,,554245000000.000000,882707000000.000000,161919000000.000000,,172621000000.000000,116806000000.000000,4310724000000.000000,9548631000000.000000,,,3061232000000.000000,661406000000.000000,,,1733295000000.000000,1733295000000.000000,212502000000.000000,,212502000000.000000,6077000000.000000,100847000000.000000,,,,,29864000000.000000,29864000000.000000,,317241000000.000000,3061232000000.000000,833714000000.000000,,,,,253008000000.000000,253008000000.000000,,,580706000000.000000,833714000000.000000,3894946000000.000000,,372388000000.000000,55000000.000000,5391972000000.000000,4703666000000.000000,688306000000.000000,5391972000000.000000,213000000.000000,-110943000000.000000,5653685000000.000000,9548631000000.000000,7447753454.000000
12M 2017,,,1357490000000.000000,1477845000000.000000,1477845000000.000000,1477845000000.000000,36223000000.000000,21890000000.000000,14333000000.000000,36223000000.000000,15791000000.000000,2509488000000.000000,1600129000000.000000,6996966000000.000000,,101417000000.000000,10957000000.000000,90460000000.000000,101417000000.000000,,145841000000.000000,2462393000000.000000,75109000000.000000,479439000000.000000,912679000000.000000,165661000000.000000,,181902000000.000000,354902000000.000000,4879343000000.000000,11876309000000.000000,,,3402526000000.000000,733424000000.000000,,,2191848000000.000000,2191848000000.000000,66515000000.000000,,66515000000.000000,,91137000000.000000,,,,,22870000000.000000,22870000000.000000,,296732000000.000000,3402526000000.000000,2412290000000.000000,,1500000000000.000000,,,260348000000.000000,1760348000000.000000,,,651942000000.000000,2412290000000.000000,5814816000000.000000,,372388000000.000000,55000000.000000,5818852000000.000000,4879948000000.000000,938904000000.000000,5818852000000.000000,200000000.000000,-130002000000.000000,6061493000000.000000,11876309000000.000000,7447753454.000000
