Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Restitusi Pajak,Restitusi Pajak Penghasilan,Penerimaan Bunga Dan Pendapatan Keuangan,Pembayaran Bunga,Program Kemitraan Dan Bina Lingkungan,Pembayaran Iuran Pensiun,Pembayaran Dividen,Pembayaran Pajak Penghasilan,Pembayaran Pajak Dan Royalti,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penambahan Properti Investasi,Penerimaan Dari Klaim Asuransi,Penerimaan Atas Penjualan Tbbe,Pelunasan Akuisisi Tbbe,Pembayaran Bersih Akibat Divestasi Entitas Anak,Penjualan Properti Investasi,Pembayaran Kegiatan Eksplorasi,Penerimaan Dari Penjualan Aset Lainnya,Penerimaan Uang Muka Penjualan Aset Yang Dimiliki Untuk Dijual,Pembayaran Uang Jaminan Kesungguhan,Penurunan (Kenaikan) Kas Yang Dibatasi Penggunaannya,Penambahan Properti Pertambangan,Penambahan Investasi Pasa Entitas Asosiasi,Penerimaan Dari Dividen Pada Penyertaan Saham,Pembelian Obligasi Pemerintah,Arus Kas Keluar Bersih Dari Akuisisi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,Pembayaran Pinjaman Bank,Pembayaran Pinjaman Jangka Panjang,Penerimaan Dari Liabilitas Supplier Financing,Pembayaran Dari Liabilitas Supplier Financing,Penerimaan Dari Pinjaman Jangka Panjang,Penerimaan Dari Obligasi,Penempatan Kas Yang Dibatasi Penggunannya,"Penerimaan Pinjaman Bank, Neto",Pembayaran Utang Sewa,Pembayaran Bunga,Pembelian Kembali Obligasi & Sukuk Ijarah,Pembayaran Utang Sukuk Ijarah,Pembayaran Mtn,Penerimaan Dari Medium Term Notes,Pembayaran Obligasi Dan Sukuk,Pembayaran Biaya Pembelian Kembali Obligasi & Sukuk Ijarah,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Diklasifikasikan Sebagai Dimiliki Untuk Dijual,Kas Dan Setara Kas Akhir Periode
12M 2008,-133146000000.000000,9476801000000.000000,-6778248000000.000000,-704841000000.000000,26369000000.000000,,35802000000.000000,,,-53171000000.000000,,,-2135858000000.000000,-133146000000.000000,-611054000000.000000,-575676000000.000000,,-60000000000.000000,,,,,24622000000.000000,,,,,,,,,,,-611054000000.000000,-576509000000.000000,-892220000000.000000,-912107000000.000000,,,,,,,1277807000000.000000,,-49989000000.000000,,,,,,,-576509000000.000000,-1320709000000.000000,1734159000000.000000,47138000000.000000,,460588000000.000000
12M 2009,1472820000000.000000,7584987000000.000000,-4403542000000.000000,-797030000000.000000,79572000000.000000,,9695000000.000000,,,-88946000000.000000,,,-911916000000.000000,1472820000000.000000,-661024000000.000000,-631024000000.000000,,-30000000000.000000,,,,,,,,,,,,,,,,-661024000000.000000,-727712000000.000000,-670531000000.000000,-265772000000.000000,,,,,,,264390000000.000000,,-55799000000.000000,,,,,,,-727712000000.000000,84084000000.000000,460588000000.000000,-42723000000.000000,,501949000000.000000
12M 2010,783764000000.000000,8020063000000.000000,-5376287000000.000000,-770372000000.000000,102985000000.000000,,18239000000.000000,,-12550000000.000000,-46537000000.000000,,,-1151777000000.000000,783764000000.000000,-308292000000.000000,-293292000000.000000,,-15000000000.000000,,,,,,,,,,,,,,,,-308292000000.000000,-127218000000.000000,-156871000000.000000,-309893000000.000000,,,,,,,354574000000.000000,,-15028000000.000000,,,,,,,-127218000000.000000,348254000000.000000,501949000000.000000,-5985000000.000000,,844218000000.000000
12M 2011,64341000000.000000,9269083000000.000000,-6325774000000.000000,-898555000000.000000,113309000000.000000,,32935000000.000000,,-28438000000.000000,-64274000000.000000,-473939000000.000000,,-1560006000000.000000,64341000000.000000,-420560000000.000000,-416623000000.000000,,,,,,,,,,,,-3937000000.000000,,,,,,-420560000000.000000,174225000000.000000,,-440080000000.000000,,,,,,,636727000000.000000,,-22422000000.000000,,,,,,,174225000000.000000,-181994000000.000000,841121000000.000000,457000000.000000,,659584000000.000000
12M 2012,1454476000000.000000,7857326000000.000000,-5116737000000.000000,-887546000000.000000,388603000000.000000,,20436000000.000000,,-26903000000.000000,-64364000000.000000,,,-716339000000.000000,1454476000000.000000,-588537000000.000000,-561610000000.000000,10661000000.000000,-41597000000.000000,,,,,,,,,,4009000000.000000,,,,,,-588537000000.000000,-858741000000.000000,-448366000000.000000,-1589378000000.000000,,,,,,,1209308000000.000000,,-30305000000.000000,,,,,,,-858741000000.000000,7198000000.000000,659584000000.000000,3629000000.000000,,670411000000.000000
12M 2013,-761537000000.000000,5626161000000.000000,-4401870000000.000000,-1104480000000.000000,571349000000.000000,,20752000000.000000,,,-52109000000.000000,-215787000000.000000,,-1205553000000.000000,-761537000000.000000,-454589000000.000000,-453297000000.000000,,,,,,,,,,,,-1292000000.000000,,,,,,-454589000000.000000,1052368000000.000000,,-387567000000.000000,,,,,,,1478756000000.000000,,-38821000000.000000,,,,,,,1052368000000.000000,-163758000000.000000,670411000000.000000,141252000000.000000,-34207000000.000000,613698000000.000000
12M 2014,-640782000000.000000,6974492000000.000000,-5599909000000.000000,-913725000000.000000,519435000000.000000,,16105000000.000000,,-4462000000.000000,-52262000000.000000,-283351000000.000000,,-1297105000000.000000,-640782000000.000000,-445984000000.000000,-422815000000.000000,9362000000.000000,,,,,,,,,,,,-32531000000.000000,,,,,-445984000000.000000,819474000000.000000,,-1716730000000.000000,,,,,,,2648050000000.000000,,-111846000000.000000,,,,,,,819474000000.000000,-267292000000.000000,613698000000.000000,89000000.000000,,346495000000.000000
12M 2015,1290229000000.000000,7818371000000.000000,-5182686000000.000000,-887912000000.000000,408865000000.000000,,8673000000.000000,,,-39473000000.000000,-191719000000.000000,,-643890000000.000000,1290229000000.000000,-687834000000.000000,-649120000000.000000,1963000000.000000,,,,,,,,,,,,-20882000000.000000,,,,-19795000000.000000,-687834000000.000000,-473979000000.000000,,-2288174000000.000000,,,,,,,1943491000000.000000,,-129296000000.000000,,,,,,,-473979000000.000000,128416000000.000000,346495000000.000000,18275000000.000000,4286000000.000000,497472000000.000000
12M 2016,1090381000000.000000,6588755000000.000000,-4480797000000.000000,-869843000000.000000,421447000000.000000,,10080000000.000000,,,-39375000000.000000,-30476000000.000000,,-509410000000.000000,1090381000000.000000,-548217000000.000000,-535037000000.000000,1148000000.000000,,,,,,,,,,,,-14328000000.000000,,,,,-548217000000.000000,-467505000000.000000,,-2345699000000.000000,,,,,,,1996434000000.000000,,-118240000000.000000,,,,,,,-467505000000.000000,74659000000.000000,497472000000.000000,-9835000000.000000,1508000000.000000,563804000000.000000
12M 2017,-152027000000.000000,8558175000000.000000,-6653473000000.000000,-1088260000000.000000,206729000000.000000,,24646000000.000000,,,-43813000000.000000,-1080481000000.000000,,-75550000000.000000,-152027000000.000000,-806172000000.000000,-779812000000.000000,,,,,,,,,,,,,-22610000000.000000,,,,-3750000000.000000,-806172000000.000000,1758141000000.000000,,-1759373000000.000000,,,,,1500000000000.000000,,2217926000000.000000,,-200412000000.000000,,,,,,,1758141000000.000000,799942000000.000000,563804000000.000000,-1880000000.000000,-4376000000.000000,1357490000000.000000
