Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.42,759.10,1.42,759.10,366 B,,366 B,(95 B),"2,665 B"
12M 2009,2.94,681.51,2.94,681.51,364 B,,364 B,(138 B),"2,141 B"
12M 2010,3.29,835.04,3.29,835.04,432 B,,432 B,(412 B),"2,839 B"
12M 2011,1.83,913.46,1.83,913.46,644 B,,644 B,(16 B),"3,209 B"
12M 2012,1.70,905.59,1.70,905.59,264 B,,264 B,(407 B),"2,970 B"
12M 2013,1.65,971.98,1.65,971.98,404 B,,404 B,(209 B),"2,921 B"
12M 2014,1.63,753.00,1.63,753.00,851 B,,851 B,505 B,"3,039 B"
12M 2015,0.70,721.16,0.70,721.16,583 B,,583 B,86 B,"2,445 B"
12M 2016,1.42,759.08,1.42,759.08,661 B,,661 B,98 B,"2,177 B"
12M 2017,0.95,813.84,0.95,813.84,733 B,"1,500 B","2,233 B",876 B,"3,594 B"
12M 2018,0.86,875.66,0.86,875.66,975 B,"1,500 B","2,475 B","1,690 B","3,028 B"
12M 2019,1.17,706.01,1.17,706.01,"9,459 B","2,102 B","11,561 B","9,961 B",349 B
12M 2020,2.24,663.29,2.24,663.29,"3,802 B","2,449 B","6,252 B","5,444 B",692 B
12M 2021,1.72,847.00,1.72,847.00,"2,665 B","1,436 B","4,100 B","2,318 B","1,738 B"
12M 2022,1.24,945.47,1.24,945.47,542 B,"2,245 B","2,787 B","1,578 B","3,088 B"
12M 2023,0.77,838.11,0.77,838.11,"1,412 B","1,269 B","3,487 B","1,960 B","1,537 B"
12M 2024,1.07,1000.25,1.07,1000.25,259 B,"1,233 B","1,491 B",(497 B),"3,313 B"
