Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Adjusment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,9053082000000.000000,-6334452000000.000000,2718630000000.000000,-632193000000.000000,-79478000000.000000,-552715000000.000000,-632193000000.000000,2086437000000.000000,22492000000.000000,-40484000000.000000,7952000000.000000,41896000000.000000,55205000000.000000,,-42077000000.000000,22492000000.000000,2108929000000.000000,-766578000000.000000,1342351000000.000000,,7000000.000000,1342358000000.000000,,,,,1342358000000.000000,1342351000000.000000,7000000.000000,1342358000000.000000,,,,
12M 2009,7709856000000.000000,-6556869000000.000000,1152987000000.000000,-460118000000.000000,-66429000000.000000,-393689000000.000000,-460118000000.000000,692869000000.000000,-143706000000.000000,-52901000000.000000,-16300000000.000000,10357000000.000000,-120178000000.000000,,35316000000.000000,-143706000000.000000,549163000000.000000,-235391000000.000000,313772000000.000000,,-21000000.000000,313751000000.000000,,,,,313751000000.000000,313772000000.000000,-21000000.000000,313751000000.000000,,,,
12M 2010,8339254000000.000000,-6415112000000.000000,1924142000000.000000,-611281000000.000000,-60567000000.000000,-550714000000.000000,-611281000000.000000,1312861000000.000000,-185534000000.000000,-15609000000.000000,134000000.000000,20594000000.000000,-23294000000.000000,,-167359000000.000000,-185534000000.000000,1127327000000.000000,-179369000000.000000,947958000000.000000,,-22000000.000000,947936000000.000000,,,,,947936000000.000000,947958000000.000000,-22000000.000000,947936000000.000000,,,,
12M 2011,8749617000000.000000,-6776336000000.000000,1973281000000.000000,-638598000000.000000,-62406000000.000000,-576192000000.000000,-638598000000.000000,1334683000000.000000,-66598000000.000000,-25230000000.000000,-7266000000.000000,39029000000.000000,-16639000000.000000,,-56492000000.000000,-66598000000.000000,1268085000000.000000,-371279000000.000000,896806000000.000000,,,896806000000.000000,320000000.000000,320000000.000000,320000000.000000,897126000000.000000,896806000000.000000,896780000000.000000,26000000.000000,896806000000.000000,897126000000.000000,897100000000.000000,26000000.000000,897126000000.000000
12M 2012,7822560000000.000000,-6498505000000.000000,1324055000000.000000,-641031000000.000000,-60447000000.000000,-580584000000.000000,-641031000000.000000,683024000000.000000,-36385000000.000000,-30305000000.000000,-16670000000.000000,20436000000.000000,25007000000.000000,,-34853000000.000000,-36385000000.000000,646639000000.000000,-215051000000.000000,431588000000.000000,,,431588000000.000000,4110000000.000000,4110000000.000000,4110000000.000000,435698000000.000000,431588000000.000000,431574000000.000000,14000000.000000,431588000000.000000,435698000000.000000,435684000000.000000,14000000.000000,435698000000.000000
12M 2013,5852453000000.000000,-4408732000000.000000,1443721000000.000000,-614669000000.000000,-44397000000.000000,-570272000000.000000,-614669000000.000000,829052000000.000000,-27550000000.000000,-34832000000.000000,-3604000000.000000,15633000000.000000,,,-4747000000.000000,-27550000000.000000,801502000000.000000,-257101000000.000000,544401000000.000000,-29299000000.000000,,515102000000.000000,34595000000.000000,34595000000.000000,34595000000.000000,549697000000.000000,515102000000.000000,515076000000.000000,26000000.000000,515102000000.000000,549697000000.000000,549671000000.000000,26000000.000000,549697000000.000000
12M 2014,7371212000000.000000,-5772925000000.000000,1598287000000.000000,-673188000000.000000,-54631000000.000000,-618557000000.000000,-673188000000.000000,925099000000.000000,98003000000.000000,-111846000000.000000,96000000.000000,16105000000.000000,,,193648000000.000000,98003000000.000000,1023102000000.000000,-345734000000.000000,677368000000.000000,-39414000000.000000,,637954000000.000000,745000000.000000,745000000.000000,745000000.000000,638699000000.000000,637954000000.000000,637968000000.000000,-14000000.000000,637954000000.000000,638699000000.000000,638713000000.000000,-14000000.000000,638699000000.000000
12M 2015,6874192000000.000000,-6188183000000.000000,686009000000.000000,-604512000000.000000,-89160000000.000000,-515352000000.000000,-604512000000.000000,81497000000.000000,86666000000.000000,-129296000000.000000,6713000000.000000,8673000000.000000,,,200576000000.000000,86666000000.000000,168163000000.000000,-66602000000.000000,101561000000.000000,,,101561000000.000000,961096000000.000000,961096000000.000000,961096000000.000000,1062657000000.000000,101561000000.000000,101583000000.000000,-22000000.000000,101561000000.000000,1062657000000.000000,1062679000000.000000,-22000000.000000,1062657000000.000000
12M 2016,6968294000000.000000,-5873406000000.000000,1094888000000.000000,-597102000000.000000,-63784000000.000000,-533318000000.000000,-597102000000.000000,497786000000.000000,-82816000000.000000,-118240000000.000000,3382000000.000000,10080000000.000000,,,21962000000.000000,-82816000000.000000,414970000000.000000,-131921000000.000000,283049000000.000000,-31080000000.000000,,251969000000.000000,61124000000.000000,61124000000.000000,61124000000.000000,313093000000.000000,251969000000.000000,251832000000.000000,137000000.000000,251969000000.000000,313093000000.000000,312956000000.000000,137000000.000000,313093000000.000000
12M 2017,9217160000000.000000,-7691597000000.000000,1525563000000.000000,-794607000000.000000,-83754000000.000000,-710853000000.000000,-794607000000.000000,730956000000.000000,-14745000000.000000,-200412000000.000000,11625000000.000000,24646000000.000000,,,149396000000.000000,-14745000000.000000,716211000000.000000,-207297000000.000000,508914000000.000000,-6497000000.000000,,502417000000.000000,-19059000000.000000,-19059000000.000000,-19059000000.000000,483358000000.000000,502417000000.000000,502430000000.000000,-13000000.000000,502417000000.000000,483358000000.000000,483371000000.000000,-13000000.000000,483358000000.000000
