Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,119529200545.000000,-102767671930.000000,16761528615.000000,-5581441716.000000,-77415099.000000,-5504026617.000000,-5581441716.000000,11180086899.000000,476965496.000000,27515199.000000,449450297.000000,476965496.000000,11657052395.000000,-2944406309.000000,8712646086.000000,50881995.000000,8763528081.000000,8712646086.000000,8712646086.000000,,8712646086.000000,8763528081.000000,8763528081.000000,,8763528081.000000
12M 2019,88393987345.000000,-79451138571.000000,8942848774.000000,-4811798355.000000,-226351973.000000,-4585446382.000000,-4811798355.000000,4131050419.000000,376798654.000000,562780574.000000,-185981920.000000,376798654.000000,4507849073.000000,-1376811810.000000,3131037263.000000,-135207073.000000,2995830190.000000,3131037263.000000,3131037263.000000,,3131037263.000000,2995830190.000000,2995830190.000000,,2995830190.000000
12M 2020,34773247358.000000,-30490800744.000000,4282446614.000000,-5307075078.000000,-15643309.000000,-5291431769.000000,-5307075078.000000,-1024628464.000000,2244011053.000000,2663551670.000000,-419540617.000000,2244011053.000000,1219382589.000000,-187581168.000000,1031801421.000000,33787458.000000,1065588879.000000,1031801421.000000,1031801421.000000,,1031801421.000000,1065588879.000000,1065588879.000000,,1065588879.000000
12M 2021,41184564806.000000,-37461492553.000000,3723072253.000000,-6418605721.000000,-75037255.000000,-6343568466.000000,-6418605721.000000,-2695533468.000000,1921928059.000000,1935782459.000000,-13854400.000000,1921928059.000000,-773605409.000000,419795549.000000,-353809860.000000,-59138749.000000,-412948609.000000,-353809860.000000,-353809860.000000,,-353809860.000000,-412948609.000000,-412948609.000000,,-412948609.000000
12M 2022,22510395004.000000,-17815359160.000000,4695035844.000000,-7781899545.000000,-48733358.000000,-7733166187.000000,-7781899545.000000,-3086863701.000000,1908636090.000000,1231041311.000000,677594779.000000,1908636090.000000,-1178227611.000000,317367698.000000,-860859913.000000,-451964617.000000,-1312824530.000000,-860859913.000000,-860859913.000000,,-860859913.000000,-1312824530.000000,-1312824530.000000,,-1312824530.000000
12M 2023,9117164461.000000,-10729120508.000000,-1611956047.000000,-6027035645.000000,-120104443.000000,-5906931202.000000,-6027035645.000000,-7638991692.000000,1300396720.000000,898567402.000000,401829318.000000,1300396720.000000,-6338594972.000000,1587049874.000000,-4751545098.000000,268204609.000000,-4483340489.000000,-4751545098.000000,-4751545098.000000,,-4751545098.000000,-4483340489.000000,-4483340489.000000,,-4483340489.000000
12M 2024,40784168728.000000,-41486700859.000000,-702532131.000000,-6831977751.000000,-885911964.000000,-5946065787.000000,-6831977751.000000,-7534509882.000000,675014996.000000,463113414.000000,211901582.000000,675014996.000000,-6859494886.000000,-1424788842.000000,-8284283728.000000,171204081.000000,-8113079647.000000,-8284283728.000000,-8284283728.000000,,-8284283728.000000,-8113079647.000000,-8113079647.000000,,-8113079647.000000
