Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Usaha,Pembayaran Kepada Karyawan,Pembayaran Untuk Pajak Penghasilan Badan,Penerimaan Bunga,Pembayaran Bunga Atas Liabilitas Sewa,Penerimaan (Pembayaran) Untuk Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Dari Penjualan Aset Keuangan,Hasil Penjualan Aset Tetap,Perolehan Aset Hak Guna,Penempatan Uang Jaminan,Pengembalian Uang Jaminan,Penerimaan Atas Uang Jaminan,Penambahan Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan Modal Saham,Penerimaan Utang Dari Pihak Berelasi,Pembayaran Utang Dari Pihak Berelasi,Pembayaran Liabilitas Sewa,Tambahan Modal Disetor,Saham Treasuri,Pembayaran Biaya Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-39284134896.000000,76784482508.000000,-108488683197.000000,-4172609071.000000,-3315698173.000000,-153523136.000000,,,61896173.000000,-39284134896.000000,3742500000.000000,-7500000.000000,,,3750000000.000000,,,,,,3742500000.000000,34700000000.000000,,34700000000.000000,,,,,,34700000000.000000,-841634896.000000,4242889875.000000,3401254979.000000
12M 2019,37191675866.000000,128485379312.000000,-81631879882.000000,-2797066736.000000,-2128841971.000000,-4267177341.000000,,,-468737516.000000,37191675866.000000,-54788605868.000000,-1788605868.000000,,,,,-53000000000.000000,,,,-54788605868.000000,51403806945.000000,41067000000.000000,,,,14000000000.000000,,-3663193055.000000,51403806945.000000,33806876943.000000,3401254979.000000,37208131922.000000
12M 2020,24174133145.000000,43677332519.000000,-16593393662.000000,-2699972760.000000,-2350098852.000000,-217590270.000000,,,2357856170.000000,24174133145.000000,23459883268.000000,-1020213635.000000,-11888885625.000000,,,,,36368982528.000000,,,23459883268.000000,-22797627885.000000,,,,-1042714390.000000,,-21754913495.000000,,-22797627885.000000,24836388528.000000,37208131922.000000,62044520450.000000
12M 2021,-2269622931.000000,37093655715.000000,-34589750994.000000,-2994606055.000000,-2687630836.000000,-2008820.000000,,,910718059.000000,-2269622931.000000,-23949547665.000000,-20612161301.000000,,,36363636.000000,,,6250000000.000000,,-9623750000.000000,-23949547665.000000,-100000000.000000,,,,-100000000.000000,,,,-100000000.000000,-26319170596.000000,62044520450.000000,35725349854.000000
12M 2022,175096531.000000,22510395004.000000,-17054687111.000000,-5733730843.000000,-2831580330.000000,,1231041311.000000,,2053658500.000000,175096531.000000,-19552169472.000000,-22052169472.000000,,,,,,2500000000.000000,,,-19552169472.000000,,,,,,,,,,-19377072941.000000,35725349854.000000,16348276913.000000
12M 2023,-10302292213.000000,8710906681.000000,-15327095887.000000,-2609127315.000000,-681557697.000000,,975754353.000000,-12109928.000000,-1359062420.000000,-10302292213.000000,1411987484.000000,-3361404988.000000,,3413375000.000000,110000000.000000,,,1250017472.000000,,,1411987484.000000,-94690072.000000,,,,-94690072.000000,,,,-94690072.000000,-8984994801.000000,16348276913.000000,7363282112.000000
12M 2024,-2722793903.000000,41190426508.000000,-38949686504.000000,-2587058026.000000,-2040214186.000000,,476170929.000000,-4222500.000000,-808210124.000000,-2722793903.000000,5011507653.000000,-1607254230.000000,,5929179000.000000,189582883.000000,,,500000000.000000,,,5011507653.000000,-102577500.000000,,,,-102577500.000000,,,,-102577500.000000,2186136250.000000,7363282112.000000,9549418362.000000
