Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2018,,,,,,,,,,,,,4.79,,1.57
12M 2019,102.65,90.73,13.97,179.41,3.56,8.51,4.02,5.49,106.02,53.76,0.95,0.76,0.78,0.78,73.64
12M 2020,25.26,137.78,6.25,156.79,14.45,87.91,2.65,4.65,14.03,13.52,0.32,0.36,0.45,0.45,16.24
12M 2021,,25.08,0.01,25.07,,,14.55,8.38,2.86,2.83,0.43,0.44,0.86,0.86,170.76
12M 2022,,27.5,,27.5,,362.59,13.27,5.26,0.55,0.42,0.24,0.24,0.86,0.86,15.24
12M 2023,8.13,54.42,13.91,48.64,44.88,44.88,6.71,2.47,0.16,0.16,0.1,0.1,0.39,0.39,20.76
12M 2024,1.82,10.29,3.6,8.51,200.78,,35.48,24.1,0.73,0.74,0.48,0.5,1.68,1.68,125.47
