Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Untuk:,Gaji Dan Tunjangan Karyawan,Pembayaran Kas Untuk Asuransi,Kontraktor Dan Pemasok,Beban Usaha Lainnya,Uang Muka Sewa,Perolehan Persediaan Unit Bangunan Kantor,Total Pembayaran Kas Untuk:,Pengeluaran Kas Untuk:,Bunga Dan Beban Pembiayaan Lainnya,Pajak,Asuransi,Denda Keterlambatan,Lain-Lain,Total Pengeluaran Kas Untuk:,Penerimaan Kas Dari:,Bunga,Lain-Lain,Total Penerimaan Kas Dari:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Dari Pengembalian Uang Muka Pembelian Tanah,Hasil Penjualan Aset Tetap,Hasil Penjualan Properti Investasi,Hasil Penjualan Efek Tersedia Untuk Dijual,Uang Muka Investasi,Hasil Penjualan Investasi Saham,Hasil Penjualan Entitas Anak,Pembayaran Kas Ke Kontraktor Dan Pemasok,Penambahan Tanah Untuk Dikembangkan,Akuisisi Entitas Anak,Penempatan Dana Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Pinjaman Jangka Pendek,Penerimaan Pinjaman Jangka Pendek,Pelunasan Utang Obligasi,Penerimaan Dari Obligasi,Biaya Emisi Obligasi,Pembayaran Pinjaman Jangka Panjang,Pembayaran Utang Bank Dan Utang Surat Berharga,Pembayaran Utang Sewa Pembiayaan,Pembayaran Dividen,Bunga Dan Beban Pembiayaan Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-249382613813.000000,471760927502.000000,,-59174874777.000000,,-288683920065.000000,-123260410910.000000,,,-471119205752.000000,,-234528980444.000000,-27335130427.000000,-3112341922.000000,-590441143.000000,-2787897875.000000,-268354791811.000000,,12492313504.000000,5838142744.000000,18330456248.000000,-249382613813.000000,213343142561.000000,-9059462770.000000,,231000000.000000,,,,,,,,,222171605331.000000,213343142561.000000,-16431580874.000000,,,,,,,,-15016650000.000000,-1414930874.000000,,,-16431580874.000000,39735203470.000000,-12735848656.000000,66269638119.000000,53533789463.000000
12M 2009,-68047212728.000000,374696009594.000000,,-55039501542.000000,,-30112063144.000000,-116725747305.000000,,,-201877311991.000000,,-208751668260.000000,-25563375825.000000,-2954299594.000000,,-9791829542.000000,-247061173221.000000,,3700921691.000000,2494341199.000000,6195262890.000000,-68047212728.000000,-264078555943.000000,-2815076138.000000,,,,11100000000.000000,,,,,,,-272363479805.000000,-264078555943.000000,468949495053.000000,500000000000.000000,,,,,,,-30076044799.000000,-974460148.000000,,,468949495053.000000,-40715712961.000000,96108013421.000000,53533789463.000000,149641802884.000000
12M 2010,60737782206.000000,349865585303.000000,,-54358484316.000000,,-47576707002.000000,-131027132279.000000,,,-232962323597.000000,,,-36807638967.000000,-2939356831.000000,,-21818924228.000000,-61565920026.000000,,5400440526.000000,,5400440526.000000,60737782206.000000,567108420503.000000,-2687833098.000000,,,,2500000000.000000,,,,,,,567296253601.000000,567108420503.000000,-755640954768.000000,419428000000.000000,,,,,,,-919349802244.000000,-625591368.000000,,-255093561156.000000,-755640954768.000000,-314829975.000000,-128109582034.000000,149641802884.000000,21532220850.000000
12M 2011,-32575733569.000000,486918388096.000000,,-58542034795.000000,,-117502820840.000000,-137202245933.000000,,-7911603672.000000,-321158705240.000000,,-141146620020.000000,-53793366852.000000,-2910651065.000000,,-14899233974.000000,-212749871911.000000,,2713027006.000000,11701428480.000000,14414455486.000000,-32575733569.000000,21365615817.000000,-3460825582.000000,,2305000000.000000,,13235059319.000000,,,,,,,9286382080.000000,21365615817.000000,9061041017.000000,114677200000.000000,,,,,,,-104818400000.000000,-797758983.000000,,,9061041017.000000,966413417.000000,-1182663318.000000,21532220850.000000,20349557532.000000
12M 2012,90161315000.000000,991653614000.000000,,-62892193000.000000,,-375834331000.000000,-152132632000.000000,,,-590859156000.000000,,-146960563000.000000,-97058085000.000000,-3113565000.000000,,-75689430000.000000,-322821643000.000000,,2681175000.000000,9507325000.000000,12188500000.000000,90161315000.000000,10054614000.000000,-11540121000.000000,,1357000000.000000,,62292264000.000000,,,,,,,-42054529000.000000,10054614000.000000,-85405174000.000000,442000000000.000000,,,,,,,-524790167000.000000,-2615007000.000000,,,-85405174000.000000,2147397000.000000,16958152000.000000,15590753000.000000,32548905000.000000
12M 2013,-85544196000.000000,895398839000.000000,,-66704826000.000000,,-553149173000.000000,-171104215000.000000,,,-790958214000.000000,,-130029581000.000000,-67059967000.000000,-2305623000.000000,,-5019254000.000000,-204414425000.000000,,3983502000.000000,10446102000.000000,14429604000.000000,-85544196000.000000,-31785858000.000000,-6210444000.000000,,378900000.000000,,2862750000.000000,,11000000.000000,,,-2614770000.000000,-3593636000.000000,-22619658000.000000,-31785858000.000000,168287429000.000000,1322760000000.000000,,,,250000000000.000000,-3851334000.000000,,-1293050000000.000000,-2783559000.000000,-87581434000.000000,-17206244000.000000,168287429000.000000,-15415279000.000000,35542096000.000000,32548905000.000000,68091001000.000000
12M 2014,51009384000.000000,1209327517000.000000,,-79561506000.000000,,-606058919000.000000,-195819816000.000000,-20000000000.000000,,-901440241000.000000,,-176284799000.000000,-114288598000.000000,-4214365000.000000,,-741009000.000000,-295528771000.000000,,3406940000.000000,35243939000.000000,38650879000.000000,51009384000.000000,38055306000.000000,-14879552000.000000,,4462000000.000000,31896000000.000000,,-1000000000.000000,,,,-16670058000.000000,,34246916000.000000,38055306000.000000,-72576723000.000000,328155535000.000000,,,,,,,-311000000000.000000,-2156206000.000000,-87576052000.000000,,-72576723000.000000,-307164000.000000,16180803000.000000,68091001000.000000,84271804000.000000
12M 2015,6717789000.000000,816443560000.000000,,-84678842000.000000,,-247999029000.000000,-195516573000.000000,,,-528194444000.000000,,-184133273000.000000,-93140788000.000000,-9327095000.000000,,,-286601156000.000000,,5069829000.000000,,5069829000.000000,6717789000.000000,-373661353000.000000,-34510425000.000000,,3939000000.000000,,,,,,-277901532000.000000,-73466990000.000000,,8278594000.000000,-373661353000.000000,335702150000.000000,470049465000.000000,,,,,,,-131500000000.000000,-2847315000.000000,,,335702150000.000000,10865277000.000000,-20376137000.000000,84271804000.000000,63895667000.000000
12M 2016,179530958000.000000,823269811000.000000,,-87106970000.000000,,-276910017000.000000,,,,-364016987000.000000,,-243527294000.000000,-32148776000.000000,-8056019000.000000,,,-283732089000.000000,,4010223000.000000,,4010223000.000000,179530958000.000000,-250646553000.000000,-36130679000.000000,,316000000.000000,,,,,,-236680649000.000000,-1500000000.000000,-1800000000.000000,25148775000.000000,-250646553000.000000,121459591000.000000,689200000000.000000,,,,,,,-519233801000.000000,-48506608000.000000,,,121459591000.000000,-636235000.000000,49707761000.000000,63895297000.000000,113603058000.000000
12M 2017,-102681989000.000000,454693666000.000000,,-94315415000.000000,,-151893851000.000000,,,,-246209266000.000000,,-264035080000.000000,-38435993000.000000,-11151490000.000000,,,-313622563000.000000,,2456174000.000000,,2456174000.000000,-102681989000.000000,-303979006000.000000,-16268208000.000000,,14650000.000000,,,,,,-276240005000.000000,,-1061723000.000000,-10423720000.000000,-303979006000.000000,343783061000.000000,1176800000000.000000,,,-250000000000.000000,,,,-440476706000.000000,-48721124000.000000,-93819109000.000000,,343783061000.000000,5773000.000000,-62872161000.000000,113603058000.000000,50730897000.000000
