Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,371712663749.000000,371712663749.000000,371712663749.000000,-53452033891.000000,318260629858.000000,-178879712311.000000,,-69540452095.000000,-109339260216.000000,-178879712311.000000,139380917547.000000,-13641329734.000000,11037704478.000000,-15395682238.000000,12948828025.000000,-22232179999.000000,-13641329734.000000,125739587813.000000,-24889019889.000000,,,,-24889019889.000000,100850567924.000000,,,,,100850567924.000000,100850567924.000000,,100850567924.000000,,,,
12M 2009,314355357529.000000,314355357529.000000,314355357529.000000,,314355357529.000000,-181094874285.000000,,-67085433869.000000,-114009440416.000000,-181094874285.000000,133260483244.000000,-76213134094.000000,3195904094.000000,-22097612438.000000,-21426153920.000000,-35885271830.000000,-76213134094.000000,57047349150.000000,-26860909994.000000,,,,-26860909994.000000,30186439156.000000,,,,,30186439156.000000,30186439156.000000,,30186439156.000000,,,,
12M 2010,348907476419.000000,348907476419.000000,348907476419.000000,-29279988566.000000,319627487853.000000,-192326142594.000000,,-75849061795.000000,-116477080799.000000,-192326142594.000000,127301345259.000000,-71178256901.000000,5042485497.000000,-72055041643.000000,913786766.000000,-5079487521.000000,-71178256901.000000,56123088358.000000,-29215185978.000000,,,,-29215185978.000000,26907902380.000000,,,,,26907902380.000000,26907902380.000000,,26907902380.000000,,,,
12M 2011,418674256293.000000,418674256293.000000,418674256293.000000,-46539039462.000000,372135216831.000000,-218451153138.000000,,-71538576354.000000,-146912576784.000000,-218451153138.000000,153684063693.000000,-54109816858.000000,2677664839.000000,-64970400789.000000,3391326122.000000,4791592970.000000,-54109816858.000000,99574246835.000000,-35761925006.000000,,,,-35761925006.000000,63812321829.000000,-2735732772.000000,-2735732772.000000,-2735732772.000000,61076589057.000000,63812321829.000000,63812321829.000000,,63812321829.000000,61076589057.000000,61076589057.000000,,61076589057.000000
12M 2012,845718621000.000000,,845718621000.000000,-496845159000.000000,348873462000.000000,-60040328000.000000,-7601824000.000000,-64753770000.000000,12315266000.000000,-60040328000.000000,288833134000.000000,-48798304000.000000,-74551839000.000000,2660735000.000000,,23092800000.000000,-48798304000.000000,240034830000.000000,-59206578000.000000,,,,-59206578000.000000,180828252000.000000,-455119000.000000,-455119000.000000,-455119000.000000,180373133000.000000,180828252000.000000,180828252000.000000,,180828252000.000000,180373133000.000000,180373133000.000000,,180373133000.000000
12M 2013,829383362000.000000,,829383362000.000000,-420591744000.000000,408791618000.000000,-60086285000.000000,-6541164000.000000,-77524140000.000000,23979019000.000000,-60086285000.000000,348705333000.000000,-107253336000.000000,4160567000.000000,-111413903000.000000,,,-107253336000.000000,241451997000.000000,-60651706000.000000,,,,-60651706000.000000,180800291000.000000,-3903750000.000000,-3903750000.000000,-3903750000.000000,176896541000.000000,180800291000.000000,180801565000.000000,-1274000.000000,180800291000.000000,176896541000.000000,176897815000.000000,-1274000.000000,176896541000.000000
12M 2014,1287984466000.000000,,1287984466000.000000,-613248683000.000000,674735783000.000000,-109090854000.000000,-8675529000.000000,-104816271000.000000,4400946000.000000,-109090854000.000000,565644929000.000000,-70527117000.000000,4154027000.000000,-74681144000.000000,,,-70527117000.000000,495117812000.000000,-87009186000.000000,,,,-87009186000.000000,408108626000.000000,,,,408108626000.000000,408108626000.000000,408113381000.000000,-4755000.000000,408108626000.000000,408108626000.000000,408113381000.000000,-4755000.000000,408108626000.000000
12M 2015,842706924000.000000,,842706924000.000000,-420886377000.000000,421820547000.000000,-116824172000.000000,-8781720000.000000,-120527079000.000000,12484627000.000000,-116824172000.000000,304996375000.000000,-64819572000.000000,5042223000.000000,-69861795000.000000,,,-64819572000.000000,240176803000.000000,-62410995000.000000,,,,-62410995000.000000,177765808000.000000,1242875000.000000,1242875000.000000,1242875000.000000,179008683000.000000,177765808000.000000,177769823000.000000,-4015000.000000,177765808000.000000,179008683000.000000,179012698000.000000,-4015000.000000,179008683000.000000
12M 2016,754737513000.000000,,754737513000.000000,-316931602000.000000,437805911000.000000,-124291908000.000000,-8743792000.000000,-116024104000.000000,475988000.000000,-124291908000.000000,313514003000.000000,-79838817000.000000,4010223000.000000,-83849040000.000000,,,-79838817000.000000,233675186000.000000,-41799118000.000000,,5350328000.000000,-47149446000.000000,-41799118000.000000,191876068000.000000,335546000.000000,335546000.000000,335546000.000000,192211614000.000000,191876068000.000000,191879844000.000000,-3776000.000000,191876068000.000000,192211614000.000000,192215390000.000000,-3776000.000000,192211614000.000000
12M 2017,445956264000.000000,,445956264000.000000,-210040546000.000000,235915718000.000000,-112769798000.000000,-7881237000.000000,-107104707000.000000,2216146000.000000,-112769798000.000000,123145920000.000000,-67885522000.000000,4339247000.000000,-72224769000.000000,,,-67885522000.000000,55260398000.000000,-25082581000.000000,,5814404000.000000,-30896985000.000000,-25082581000.000000,30177817000.000000,881087000.000000,881087000.000000,881087000.000000,31058904000.000000,30177817000.000000,30180885000.000000,-3068000.000000,30177817000.000000,31058904000.000000,31061972000.000000,-3068000.000000,31058904000.000000
