Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Investasi,Aset Dalam Pelaksanaan,Tanah Untuk Dikembangkan,Aset Pajak Tangguhan,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Obligasi,Pinjaman Jangka Pendek,Surat Berharga Yang Diterbitkan,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Liabilitas Derivatif,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Pihak Ketiga,Pihak Berelasi,Total Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Pinjaman Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,53533789463.000000,10738487673.000000,7260374961.000000,3478112712.000000,10738487673.000000,,,,,372596703694.000000,479391659105.000000,916260639935.000000,,89843331967.000000,184654853761.000000,1430447017502.000000,105114889938.000000,,-270.000000,48193756939.000000,1858253849837.000000,2774514489772.000000,,,2135992724347.000000,1759534876866.000000,,,16425000000.000000,,16881240819.000000,175000000.000000,17056240819.000000,10671810600.000000,95091977003.000000,,,95091977003.000000,13194903089.000000,53808085303.000000,,,53808085303.000000,,,,,,,,170209830667.000000,2135992724347.000000,,,,,,,,2135992724347.000000,,1430695481000.000000,177994263095.000000,-965989471631.000000,,-965989471631.000000,-965989471631.000000,,-4178507039.000000,638521765425.000000,2774514489772.000000,2861390962.000000
12M 2009,,,149641802884.000000,15653464788.000000,11050590822.000000,4602873966.000000,15653464788.000000,,,,,413155596662.000000,729993734997.000000,1308444599331.000000,,87253341315.000000,190858846998.000000,1503041652918.000000,86293288145.000000,,,37423324971.000000,1904870454347.000000,3213315053678.000000,,,2547691892986.000000,2004000000000.000000,,,11280000000.000000,,65292355642.000000,175000000.000000,65467355642.000000,70888955160.000000,92098761055.000000,,,92098761055.000000,26524374506.000000,85288289143.000000,,,85288289143.000000,,,,,,,,192144157480.000000,2547691892986.000000,,,,,,,,2547691892986.000000,,1430695481000.000000,177994263095.000000,-935803032475.000000,,-935803032475.000000,-935803032475.000000,,-7263550928.000000,665623160692.000000,3213315053678.000000,2861390962.000000
12M 2010,,,21532220850.000000,15618462911.000000,9329523970.000000,6288938941.000000,15618462911.000000,,,,,413415817933.000000,223828153778.000000,674394655472.000000,,80167195842.000000,183394480510.000000,1529657659106.000000,70641486820.000000,,,23675960492.000000,1887536782770.000000,2561931438242.000000,,,1822921411078.000000,1469001083694.000000,,,7192800000.000000,,11277100662.000000,,11277100662.000000,,96104875078.000000,,,96104875078.000000,30303885045.000000,60286890548.000000,,,60286890548.000000,,,,,,,,148754776051.000000,1822921411078.000000,,,,,,,,1822921411078.000000,,1430695481000.000000,177994263095.000000,-869679716931.000000,,-869679716931.000000,-869679716931.000000,,,739010027164.000000,2561931438242.000000,2861390962.000000
12M 2011,,,20349557532.000000,16201202234.000000,15039444773.000000,1161757461.000000,16201202234.000000,,,,,560605929509.000000,239272087481.000000,836428776756.000000,,12827968722.000000,1095409440788.000000,1928487024945.000000,219012051836.000000,,,11728596013.000000,3267465082304.000000,4103893859060.000000,,,1860457475509.000000,1523692311354.000000,,,2267000000.000000,,5991608534.000000,,5991608534.000000,,92342500553.000000,,,92342500553.000000,25625788489.000000,36847773743.000000,,,36847773743.000000,,,,,,,,173690492836.000000,1860457475509.000000,,,,,,,,1860457475509.000000,,1430695481000.000000,177994263095.000000,3131161621.000000,,3131161621.000000,3131161621.000000,,631615477835.000000,2243436383551.000000,4103893859060.000000,2861390962.000000
12M 2012,,,32548905000.000000,11281218000.000000,9425940000.000000,1855278000.000000,11281218000.000000,11765451000.000000,11765451000.000000,,11765451000.000000,524459040000.000000,205093145000.000000,785147759000.000000,,160971395000.000000,1089420854000.000000,1871410458000.000000,282307609000.000000,,,103903372000.000000,3508013688000.000000,4293161447000.000000,,,674676158000.000000,355509000000.000000,,,,,20788352000.000000,,20788352000.000000,,,14237739000.000000,,14237739000.000000,24462012000.000000,22141227000.000000,,,22141227000.000000,,,,,39989610000.000000,39989610000.000000,,197548218000.000000,674676158000.000000,780768573000.000000,,,707572753000.000000,,73195820000.000000,780768573000.000000,1455444731000.000000,,1570695481000.000000,451901463000.000000,183959414000.000000,500000000.000000,183459414000.000000,183959414000.000000,,631160358000.000000,2837716716000.000000,4293161447000.000000,3141390962.000000
12M 2013,,,68091001000.000000,9732130000.000000,8756903000.000000,975227000.000000,9732130000.000000,6475144000.000000,6475144000.000000,,6475144000.000000,564422762000.000000,368343825000.000000,1017064862000.000000,,1149791264000.000000,13157533000.000000,2155406252000.000000,308846433000.000000,,,124183294000.000000,3751384776000.000000,4768449638000.000000,,,504748990000.000000,162000000000.000000,,,,,46549799000.000000,,46549799000.000000,,,17041434000.000000,,17041434000.000000,35090375000.000000,,21943114000.000000,1044042000.000000,22987156000.000000,,,,,25598238000.000000,25598238000.000000,,195481988000.000000,504748990000.000000,1337022888000.000000,,,1007988728000.000000,246148666000.000000,82885494000.000000,1337022888000.000000,1841771878000.000000,,1570695481000.000000,451901463000.000000,904058640000.000000,1500000000.000000,902558640000.000000,904058640000.000000,22176000.000000,,2926677760000.000000,4768449638000.000000,3141390962.000000
12M 2014,,,84271804000.000000,144717248000.000000,143701512000.000000,1015736000.000000,144717248000.000000,4336120000.000000,4336120000.000000,,4336120000.000000,513804291000.000000,144511608000.000000,891641071000.000000,,1076194218000.000000,23552942000.000000,2689696860000.000000,324285624000.000000,,,108902943000.000000,4222632587000.000000,5114273658000.000000,,,479525250000.000000,124500000000.000000,,,,,99991653000.000000,,99991653000.000000,,,23078397000.000000,,23078397000.000000,39997897000.000000,,21943685000.000000,743095000.000000,22686780000.000000,,,,,22668362000.000000,22668362000.000000,,146602161000.000000,479525250000.000000,1387919969000.000000,,,1063767628000.000000,246739625000.000000,77412716000.000000,1387919969000.000000,1867445219000.000000,,1570695481000.000000,451901463000.000000,1224213074000.000000,2500000000.000000,1221713074000.000000,1224213074000.000000,18421000.000000,,3246828439000.000000,5114273658000.000000,3141390962.000000
12M 2015,,,63895297000.000000,179616253000.000000,176009101000.000000,3607152000.000000,179616253000.000000,8402140000.000000,8402140000.000000,,8402140000.000000,189548314000.000000,50488973000.000000,491950977000.000000,,1272725506000.000000,27450237000.000000,3461858704000.000000,335642579000.000000,,,150235238000.000000,5247912264000.000000,5739863241000.000000,,,740783157000.000000,,,,,,105901470000.000000,,105901470000.000000,,,8151768000.000000,,8151768000.000000,25416828000.000000,,26262726000.000000,1040425000.000000,27303151000.000000,,,424394008000.000000,44284103000.000000,19496890000.000000,488175001000.000000,,85834939000.000000,740783157000.000000,1570676258000.000000,133561620000.000000,,1115275139000.000000,247409096000.000000,74430403000.000000,1570676258000.000000,2311459415000.000000,,1570695481000.000000,451901463000.000000,1405792476000.000000,3500000000.000000,1402292476000.000000,1405792476000.000000,14406000.000000,,3428403826000.000000,5739863241000.000000,3141390962.000000
12M 2016,,,113603058000.000000,129961653000.000000,124599321000.000000,5362332000.000000,129961653000.000000,9289081000.000000,9289081000.000000,,9289081000.000000,77730483000.000000,59327678000.000000,389911953000.000000,,1879077865000.000000,75621865000.000000,3265042346000.000000,335792579000.000000,65381647000.000000,,55429341000.000000,5676345643000.000000,6066257596000.000000,,,605141343000.000000,,,,,,136751668000.000000,,136751668000.000000,,,14519542000.000000,,14519542000.000000,56207929000.000000,,24221506000.000000,,24221506000.000000,,,45605184000.000000,255774341000.000000,30068211000.000000,331447736000.000000,,41992962000.000000,605141343000.000000,1837767713000.000000,87956437000.000000,,1447492060000.000000,248167510000.000000,54151706000.000000,1837767713000.000000,2442909056000.000000,,1570695481000.000000,454133542000.000000,1598007866000.000000,4500000000.000000,1593507866000.000000,1598007866000.000000,511651000.000000,,3623348540000.000000,6066257596000.000000,3141390962.000000
12M 2017,,,50730897000.000000,159868935000.000000,152995255000.000000,6873680000.000000,159868935000.000000,10850190000.000000,10850190000.000000,,10850190000.000000,24707510000.000000,111371089000.000000,357528621000.000000,,1611286903000.000000,286676010000.000000,3632452948000.000000,335799743000.000000,11164732000.000000,,125936652000.000000,6003316988000.000000,6360845609000.000000,,,666459963000.000000,,,,,,74191616000.000000,,74191616000.000000,,,14526704000.000000,,14526704000.000000,48659337000.000000,,28422928000.000000,,28422928000.000000,,,43393003000.000000,403144539000.000000,8051219000.000000,454588761000.000000,,46070617000.000000,666459963000.000000,2134918222000.000000,44563434000.000000,,2025650001000.000000,,64704787000.000000,2134918222000.000000,2801378185000.000000,,1570695481000.000000,454133542000.000000,1534828109000.000000,5500000000.000000,1529328109000.000000,1534828109000.000000,9775000.000000,-199483000.000000,3559467424000.000000,6360845609000.000000,3141390962.000000
